Polling Station No,KUMARAN. G.P,SUBRAMANIAN. MA,SRIVIDYA. G,ARUL PRAKASAM. M,SENTHAMIZHAN. G,SOUNDARARAJAN. N,PARTHIBAN. S,ANAND. S,KANDHASAMY. R (ALIAS) BABU,PRASAD. N,PRITHVIRAJ. A,YOGAPRAKASH. B,RAJA. R,VALARMATHI. P,GINGSTON. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,3,132,30,188,126,2,0,0,1,0,0,2,0,1,0,485,0,7,492,0
2,1,147,31,258,97,1,0,0,0,1,1,0,0,1,0,538,0,7,545,0
3,0,194,14,337,43,0,0,0,0,0,0,0,0,0,0,588,0,5,593,0
4,6,257,15,378,75,0,1,1,0,2,1,1,1,1,0,739,0,6,745,1
5,2,196,25,317,31,0,1,0,0,0,0,1,0,0,0,573,0,4,577,0
6,1,155,16,395,51,2,0,0,0,0,1,2,1,0,1,625,0,2,627,0
7,1,194,18,359,73,0,2,0,0,1,1,0,2,3,0,654,0,7,661,0
8,2,110,9,311,35,0,0,1,0,0,0,0,2,0,2,472,0,5,477,0
9,2,182,23,288,71,1,0,0,0,0,0,1,2,0,3,573,0,3,576,0
10,3,161,36,395,55,0,1,0,0,0,0,1,2,0,0,654,0,1,655,0
11,1,159,22,266,46,0,1,0,0,1,1,0,0,0,0,497,0,3,500,0
12,1,100,16,188,31,0,1,0,1,0,0,0,0,0,0,338,0,2,340,0
13,2,205,31,338,56,0,0,0,0,0,0,0,1,0,0,633,0,1,634,0
14,3,145,16,316,58,0,2,0,0,0,1,2,3,0,0,546,0,1,547,0
15,1,153,19,459,53,0,2,1,2,0,1,1,1,0,0,693,0,1,694,0
16,1,163,21,360,57,10,1,0,0,2,1,2,1,0,0,619,0,0,619,0
17,2,155,28,364,64,1,1,0,0,0,0,0,0,1,0,616,0,2,618,0
18,2,158,31,368,45,2,1,0,0,0,1,1,3,0,0,612,0,1,613,0
19,0,171,13,297,35,0,0,0,0,0,0,0,1,0,0,517,0,1,518,0
20,2,206,16,317,84,0,1,0,0,0,0,0,2,0,0,628,0,1,629,0
21,2,165,34,325,62,0,0,0,1,0,0,1,1,1,0,592,0,0,592,0
22,0,184,16,359,44,1,2,0,0,0,0,0,1,0,0,607,0,3,610,0
23,0,171,28,334,71,0,0,0,1,0,0,2,1,0,0,608,0,2,610,0
24,0,150,24,328,37,0,1,1,1,0,0,0,1,1,0,544,0,5,549,0
25,4,188,33,408,83,0,1,0,0,1,0,1,1,1,1,722,0,4,726,0
26,4,149,21,311,81,0,1,0,0,0,1,2,1,0,0,571,0,3,574,0
27,1,162,23,291,66,0,0,1,0,1,0,0,0,0,0,545,0,0,545,0
28,1,115,13,206,42,0,1,0,0,0,0,1,0,0,0,379,0,1,380,0
29,3,235,17,343,100,1,2,1,0,0,0,1,2,0,0,705,0,3,708,0
30,3,232,23,409,119,1,1,1,0,1,0,0,2,0,2,794,0,0,794,0
31,2,171,44,356,58,0,1,0,0,1,1,0,1,0,1,636,0,2,638,0
32,1,202,20,336,55,1,0,0,0,0,0,2,0,0,0,617,0,1,618,0
33,5,162,11,340,82,1,0,1,1,2,0,3,3,0,2,613,0,4,617,0
34,5,207,36,397,144,1,1,0,0,0,0,2,0,2,3,798,0,4,802,0
35,2,142,22,296,88,0,0,0,0,0,1,0,1,0,0,552,0,3,555,0
36,5,157,22,263,59,0,1,0,0,1,0,1,0,0,1,510,0,2,512,0
37,0,140,20,299,124,0,0,0,0,1,0,1,2,0,0,587,0,4,591,0
38,5,148,18,270,98,0,0,0,0,0,0,1,5,0,0,545,0,6,551,0
39,4,162,28,282,81,1,1,0,0,0,0,1,1,0,1,562,0,1,563,0
40,0,175,16,297,73,0,0,0,0,0,0,0,0,0,1,562,0,5,567,0
41,3,156,19,297,85,0,2,0,0,0,0,0,0,0,0,562,0,1,563,0
42,3,192,27,352,103,0,0,0,0,1,0,0,2,0,0,680,0,3,683,0
43,0,107,17,285,50,0,0,1,0,0,0,1,2,0,0,463,0,2,465,0
44,1,119,17,284,74,1,1,1,0,0,2,1,0,0,0,501,0,1,502,0
45,1,277,12,197,45,0,0,0,0,0,0,0,0,0,0,532,0,0,532,0
46,1,367,17,271,29,0,0,0,0,0,0,0,1,0,1,687,0,2,689,0
47,e 12,280,23,246,38,0,1,0,0,0,1,1,0,1,0,593,0,0,593,0
48,3,92,12,211,81,0,0,0,0,0,0,0,0,1,1,401,0,1,402,0
49,4,158,34,292,186,0,0,2,0,0,1,2,1,1,0,681,0,6,687,0
50,0,184,18,395,75,0,2,0,0,1,0,2,0,0,0,677,0,2,679,0
51,3,151,27,357,73,1,1,2,0,0,0,0,3,1,2,621,0,3,624,0
52,5,148,38,290,137,0,0,1,0,0,0,1,1,1,0,622,0,3,625,0
53,2,124,31,229,78,1,0,0,1,1,0,1,0,0,0,468,0,2,470,0
54,4,130,18,173,117,0,0,0,0,0,0,0,0,0,1,443,0,5,448,0
55,3,105,18,138,68,0,1,0,1,0,1,1,1,1,1,339,0,11,350,0
56,3,179,28,298,92,0,0,0,0,1,1,0,0,1,0,603,0,8,611,0
57,1,246,36,378,72,0,0,0,1,0,0,0,0,2,1,737,0,8,745,0
58,0,173,32,252,101,2,0,1,0,0,0,0,0,0,1,562,0,2,564,0
59,0,166,25,255,64,0,0,0,0,0,0,1,2,1,0,514,0,4,518,0
60,0,113,14,219,23,0,1,0,0,0,0,0,0,1,1,372,0,1,373,0
61,0,130,9,248,45,0,1,0,0,0,0,0,0,0,1,434,0,4,438,0
62,0,102,14,184,45,1,1,1,0,0,2,1,0,0,1,352,0,1,353,0
63,0,106,9,165,27,0,1,0,0,0,0,0,1,0,0,309,0,1,310,0
64,1,253,10,375,58,0,0,1,0,1,0,0,0,0,0,699,0,8,707,0
65,0,118,7,205,45,0,0,0,1,0,0,0,0,0,0,376,0,3,379,0
