Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,23,148,258,0,0,0,188,0,0,0,0,0,0,630,0,4,634,0
2,35,133,338,2,0,2,242,0,1,0,0,2,1,759,0,0,759,0
3,21,94,307,3,1,2,138,0,0,0,0,0,1,573,0,0,573,0
4,28,134,407,4,1,1,158,0,1,0,0,0,0,748,0,2,750,0
5,30,114,470,0,0,0,216,0,0,0,1,0,2,845,0,2,847,0
6,39,252,469,10,2,0,214,0,0,0,1,0,0,995,0,1,996,0
7,34,145,569,3,1,6,277,0,0,0,0,0,2,1071,0,2,1073,0
8,25,90,365,6,0,0,178,0,0,0,0,0,0,681,0,1,682,0
9,50,134,508,5,0,0,243,0,0,1,0,0,1,958,0,4,962,0
10,33,215,393,3,1,0,282,0,0,0,0,0,0,937,0,1,938,0
11,24,65,449,1,0,0,187,0,0,0,0,0,2,734,0,2,736,0
12,22,115,266,4,0,0,131,0,0,0,0,0,4,546,0,2,548,0
13,67,163,505,2,0,0,243,0,1,0,0,1,2,993,0,2,995,0
14,36,104,335,2,0,0,162,0,0,0,0,0,3,646,0,2,648,0
15,29,81,351,1,0,2,138,0,0,0,1,0,0,611,0,1,612,0
16,56,88,405,2,0,0,198,0,0,1,1,0,1,763,0,0,763,0
17,45,116,377,1,1,0,116,0,1,0,0,0,0,660,0,2,662,0
18,28,230,357,5,0,0,170,0,0,0,0,0,0,792,0,4,796,0
19,9,66,187,0,0,0,69,0,0,0,1,1,2,347,0,1,348,0
20,25,96,381,2,0,0,101,0,0,0,0,0,2,617,0,0,617,0
21,45,128,406,1,0,1,265,1,2,0,0,0,0,857,0,3,860,0
22,41,179,355,3,2,2,349,1,1,0,1,0,1,944,0,3,947,0
23,24,129,320,0,0,0,271,0,0,0,0,0,0,745,0,4,749,0
24,27,92,186,4,0,0,177,0,0,0,0,0,1,490,0,1,491,0
25,44,158,251,3,1,0,305,0,0,0,0,1,0,769,0,4,773,0
26,32,163,230,0,1,0,261,2,0,0,0,0,0,694,0,4,698,0
27,24,118,199,0,0,0,256,2,1,0,0,0,0,603,0,0,603,0
28,32,96,174,0,0,0,253,0,1,0,0,0,2,567,0,2,569,0
29,21,138,202,1,0,1,217,0,1,0,0,0,2,587,0,2,589,0
30,36,154,313,1,0,2,292,1,1,0,0,0,0,802,0,0,802,0
31,31,216,442,3,0,0,254,2,0,0,0,0,1,959,0,1,960,0
32,24,140,308,1,0,1,161,0,0,0,0,1,1,644,0,1,645,0
33,46,97,397,5,2,0,108,1,2,0,0,0,1,670,0,1,671,0
34,14,105,339,2,1,1,194,0,0,1,0,0,0,662,0,1,663,0
35,14,99,262,2,1,0,131,0,0,0,0,0,1,513,0,1,514,0
36,21,131,392,2,0,1,238,0,0,1,1,0,1,798,0,0,798,0
37,34,208,452,4,3,1,214,1,0,0,1,0,0,935,0,7,942,0
38,20,140,396,4,0,1,145,1,0,0,1,0,1,717,0,1,718,0
39,16,183,290,1,0,0,116,0,0,0,1,0,0,611,0,2,613,0
40,65,150,459,0,1,0,222,0,0,0,0,0,1,902,0,1,903,0
41,40,105,443,6,2,0,210,0,0,0,0,0,1,811,0,2,813,0
42,67,65,444,2,0,1,191,1,0,1,0,0,0,782,0,0,782,0
43,36,143,496,8,2,1,193,0,0,0,1,0,0,893,0,1,894,0
44,31,107,409,3,0,0,187,0,0,0,0,1,0,746,0,1,747,0
45,26,96,420,3,1,1,108,1,0,0,0,0,0,666,0,0,666,0
46,42,84,389,1,1,3,164,0,0,3,0,0,0,697,0,0,697,0
47,16,74,211,1,0,1,100,0,0,0,0,0,2,413,0,0,413,0
48,36,90,279,3,1,0,89,0,0,0,0,1,0,504,0,0,504,0
49,18,83,318,2,2,0,103,0,0,0,0,0,0,532,0,0,532,0
50,61,126,481,7,0,0,189,1,1,0,0,0,1,883,0,1,884,0
51,65,115,432,4,1,0,200,0,1,1,1,0,0,828,0,1,829,0
52,57,153,547,1,2,0,165,0,0,0,1,0,1,932,0,1,933,0
53,73,127,334,3,1,1,131,0,0,0,0,0,0,673,0,0,673,0
54,63,139,316,2,0,1,133,0,0,1,0,0,1,668,0,1,669,0
