Polling Station No,CHANDRA PRABHA JEYAPAL,S.PANDI,R.S.RAJAKANNAPPAN,M. IRULANDI,A. SARAVANAKUMAR,K.SENTHIL MALLAR,G. SELVARAJ,MALARVIZHI. B,C.MALAISELVAM,DR.R.RAMKUMAR,K.GANGAI AMARAN,M.KARUPPA SAMY,C.KENGUSAMY,SATHIYAM C.SARAVANAN,V.PANDI,M.BOOMINATHAN (A) M.K.VAIYAVAN,K.MURUGAN,R.MOOVENDRAN,RAVI GOVINTHAN,K.RAJAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,24,197,340,3,0,3,0,185,1,95,1,0,0,2,0,1,0,0,2,0,854,0,1,855,0
2,23,183,256,6,0,1,1,176,2,60,0,0,1,4,0,2,1,5,6,0,727,0,3,730,0
3,71,57,327,4,0,2,1,163,1,93,1,1,0,0,0,0,1,4,11,3,740,0,0,740,0
4,32,193,188,0,0,0,1,159,5,108,0,0,0,1,1,0,0,2,3,1,694,0,3,697,0
5,6,142,152,2,0,0,0,86,1,10,0,0,1,3,1,0,0,1,0,0,405,0,1,406,0
6,20,176,160,1,0,2,1,117,2,181,1,0,0,3,0,1,0,1,1,1,668,0,2,670,0
7,21,315,214,4,0,1,1,212,0,10,0,2,1,2,7,1,0,1,1,2,795,0,4,799,0
8,4,63,82,4,0,0,0,66,0,2,0,0,0,0,0,0,0,1,0,0,222,0,1,223,0
9,60,79,130,0,0,14,1,171,3,20,0,0,0,0,0,1,2,1,0,0,482,0,0,482,0
10,10,180,161,3,1,4,1,153,0,49,1,0,1,5,1,0,0,4,0,0,574,0,2,576,0
11,5,43,280,4,0,1,2,110,0,39,1,0,1,1,2,1,0,0,1,1,492,0,1,493,0
12,25,198,153,5,0,1,1,214,2,82,3,2,3,2,4,1,0,1,3,2,702,0,2,704,0
13,47,81,88,2,0,2,0,129,1,198,0,0,0,0,1,0,2,1,0,0,552,0,4,556,0
14,50,105,132,0,0,2,2,130,3,240,2,0,2,1,4,2,3,2,0,2,682,0,1,683,0
15,60,184,174,2,1,7,1,204,25,111,0,1,0,1,0,1,0,3,2,1,778,0,2,780,0
16,45,73,108,1,1,0,1,105,5,290,3,1,0,0,0,0,0,0,0,0,633,0,0,633,0
17,21,189,202,1,0,2,0,160,2,29,0,0,0,0,0,0,0,1,1,0,608,0,0,608,0
18,5,60,42,2,0,1,1,35,1,84,0,0,0,0,1,0,0,0,1,0,233,0,1,234,0
19,13,165,77,4,0,2,0,108,1,146,0,0,0,0,0,1,0,2,0,0,519,0,0,519,0
