Polling Station No,CHANDRA PRABHA JEYAPAL,S.PANDI,R.S.RAJAKANNAPPAN,M. IRULANDI,A. SARAVANAKUMAR,K.SENTHIL MALLAR,G. SELVARAJ,MALARVIZHI. B,C.MALAISELVAM,DR.R.RAMKUMAR,K.GANGAI AMARAN,M.KARUPPA SAMY,C.KENGUSAMY,SATHIYAM C.SARAVANAN,V.PANDI,M.BOOMINATHAN (A) M.K.VAIYAVAN,K.MURUGAN,R.MOOVENDRAN,RAVI GOVINTHAN,K.RAJAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
20,26,63,137,8,1,10,0,170,0,10,0,0,0,1,2,3,1,0,2,0,434,0,1,435,0
21,37,81,265,5,0,0,6,56,3,265,1,0,0,14,0,1,1,1,1,1,738,0,2,740,0
22,10,199,274,2,2,0,1,160,0,107,1,1,1,2,3,1,1,6,7,0,778,0,3,781,0
23,24,129,150,4,0,15,0,102,2,5,0,0,2,0,0,1,0,3,4,0,441,0,0,441,0
24,45,109,219,1,1,2,0,123,2,55,0,1,0,3,1,1,0,1,0,0,564,0,2,566,0
25,36,111,83,5,0,0,0,103,0,262,1,0,0,1,2,0,1,2,1,0,608,0,1,609,0
26,37,72,169,10,0,28,0,204,7,349,1,1,0,1,3,0,1,2,1,0,886,0,1,887,0
27,20,29,322,1,0,0,1,100,0,9,0,1,0,1,0,0,0,0,0,0,484,0,3,487,0
28,33,61,382,4,0,1,0,127,1,39,0,0,0,3,1,0,0,0,0,0,652,0,6,658,0
29,74,105,143,6,0,0,2,205,0,2,0,0,0,0,0,0,0,0,0,0,537,0,6,543,0
30,37,98,387,8,0,2,3,371,3,67,1,0,1,2,1,1,0,1,0,0,983,0,1,984,0
31,41,68,163,3,1,1,1,209,2,7,0,0,0,0,0,1,0,0,1,0,498,0,7,505,0
32,38,74,172,2,0,0,0,224,0,5,0,0,0,0,0,0,0,0,0,1,516,0,3,519,0
33,19,81,104,2,0,0,0,137,0,80,0,1,0,0,0,0,0,1,0,0,425,0,1,426,0
34,36,100,106,1,1,0,0,182,1,113,0,0,0,0,1,1,0,1,0,0,543,0,5,548,0
35,65,165,165,1,0,0,0,279,1,127,0,0,0,0,3,1,1,0,1,1,810,0,7,817,0
36,44,102,109,3,1,1,2,261,2,184,0,0,1,0,2,0,0,0,1,0,713,0,2,715,0
37,24,228,185,2,0,1,1,151,0,38,0,1,1,1,1,2,0,3,1,1,641,0,2,643,0
38,10,346,301,15,1,0,2,344,0,21,0,3,3,2,2,2,0,5,0,1,1058,0,5,1063,0
39,30,81,67,5,0,4,1,190,1,48,0,1,0,0,1,0,0,2,0,0,431,0,3,434,0
40,49,176,125,1,0,0,1,179,1,8,0,0,0,0,1,0,1,1,0,0,543,0,0,543,0
41,45,196,162,2,0,1,0,192,2,11,0,0,0,0,3,0,1,0,1,0,616,0,1,617,0
42,21,183,85,2,1,0,0,118,1,143,0,0,2,0,1,0,0,2,2,0,561,0,0,561,0
43,39,203,109,1,0,0,0,218,0,5,0,0,0,0,1,3,0,1,1,0,581,0,1,582,0
44,94,127,223,5,3,4,3,222,2,190,1,0,2,2,5,1,0,1,2,1,888,0,4,892,0
45,69,157,194,6,1,5,0,148,22,7,1,0,0,1,1,3,1,1,5,0,622,0,3,625,0
46,39,212,184,2,0,1,1,125,2,1,1,0,0,3,0,3,1,0,1,0,576,0,1,577,0
47,50,157,200,1,0,2,0,208,5,21,1,0,1,3,1,0,0,1,3,2,656,0,2,658,0
48,16,64,133,2,0,0,0,66,0,39,0,1,0,1,0,0,1,1,1,0,325,0,1,326,0
49,31,213,214,2,0,3,0,212,1,247,0,0,3,0,2,1,1,0,3,0,933,0,1,934,0
50,64,134,161,7,1,5,0,206,1,131,2,0,0,1,3,4,1,2,1,2,726,0,2,728,0
51,28,134,200,5,2,2,0,172,2,21,0,0,0,3,1,2,0,1,2,1,576,0,1,577,0
52,48,75,138,5,1,5,1,166,4,67,1,0,0,1,2,0,0,0,1,0,515,0,2,517,0
53,72,96,196,4,1,10,0,127,3,6,1,1,1,1,0,0,0,1,0,0,520,0,2,522,0
54,47,82,253,4,0,5,1,151,3,13,0,0,0,0,0,2,0,1,1,0,563,0,1,564,0
55,60,94,227,1,0,14,1,137,0,13,0,0,0,1,1,0,0,1,1,0,551,0,1,552,0
56,77,103,146,3,0,3,0,170,0,2,0,0,0,0,0,0,0,0,0,0,504,0,0,504,0
57,46,200,260,3,0,4,3,241,2,30,1,0,2,3,2,2,0,0,2,1,802,0,1,803,0
58,38,157,235,2,0,2,0,171,2,26,2,0,0,1,1,0,0,1,2,0,640,0,1,641,0
59,57,122,96,2,1,0,2,118,2,382,1,1,0,3,1,2,0,0,1,0,791,0,1,792,0
60,19,142,220,2,1,1,0,148,1,28,0,0,0,2,2,1,3,4,1,0,575,0,0,575,0
61,17,31,100,2,1,0,0,30,0,182,0,0,0,0,3,0,0,1,0,0,367,0,0,367,0
62,13,84,43,0,0,0,1,55,0,50,0,0,2,0,2,0,0,1,0,0,251,0,1,252,0
63,45,75,91,0,0,0,0,102,1,202,2,0,0,1,3,1,0,0,1,0,524,0,1,525,0
64,22,59,162,2,0,0,0,24,0,391,0,0,0,1,2,0,0,0,0,0,663,0,0,663,0
65,ge 81,37,156,4,0,0,1,12,1,173,0,0,0,0,2,0,0,1,0,0,395,0,1,396,0
66,11,46,156,2,0,0,1,39,1,186,0,0,0,0,4,0,2,0,1,0,449,0,0,449,0
67,15,32,146,2,0,0,1,45,2,161,1,0,0,2,1,0,0,3,1,1,413,0,0,413,0
68,103,289,281,1,0,11,1,192,1,4,0,0,0,1,0,0,0,0,3,0,887,0,1,888,0
69,11,72,113,2,1,1,1,59,2,102,0,0,1,6,2,0,0,3,2,0,378,0,1,379,0
70,7,89,139,3,1,0,1,75,1,127,2,0,1,1,1,1,0,2,2,0,453,0,0,453,0
71,63,140,324,6,1,7,2,167,4,6,0,0,0,2,0,0,0,0,0,0,722,0,0,722,0
72,33,155,167,5,1,2,2,110,2,196,0,0,1,5,0,2,0,0,1,0,682,0,0,682,0
73,22,175,196,2,3,0,2,195,2,220,0,1,1,0,3,2,1,2,1,3,831,0,2,833,0
74,3,82,70,4,0,0,1,81,1,159,1,0,1,0,1,0,0,3,1,0,408,0,0,408,0
75,19,190,187,6,1,0,1,81,1,245,1,0,0,1,1,0,2,0,0,0,736,0,3,739,0
76,14,147,164,5,0,0,5,133,2,117,0,1,2,2,4,2,0,0,1,0,599,0,1,600,0
77,14,328,210,3,2,0,0,157,1,23,1,0,4,1,3,1,0,3,4,0,755,0,0,755,0
78,9,309,170,13,1,1,2,201,2,94,1,1,0,7,7,1,0,1,4,0,824,0,0,824,0
79,14,331,103,3,0,2,0,79,0,31,0,0,0,0,3,0,1,5,1,1,574,0,2,576,0
80,24,142,92,0,0,1,0,39,0,1,1,0,1,0,0,0,0,0,1,0,302,0,0,302,0
81,17,395,137,3,1,0,0,95,0,20,0,0,1,1,3,0,0,0,0,0,673,0,1,674,0
82,14,110,53,1,0,1,0,56,0,7,0,1,0,0,0,1,0,2,1,0,247,0,1,248,0
83,9,55,215,0,0,0,0,63,34,0,0,0,0,1,0,1,0,2,0,0,380,0,0,380,0
84,10,36,272,0,0,0,0,112,0,25,0,2,0,1,1,0,0,0,0,0,459,0,1,460,0
85,12,67,130,0,0,0,0,80,1,103,0,0,0,3,0,0,0,1,1,0,398,0,1,399,0
86,65,147,216,2,1,4,0,166,0,76,1,1,1,0,1,1,1,2,3,0,688,0,0,688,0
87,26,203,90,4,1,1,0,108,0,106,0,0,0,1,1,0,4,3,0,0,548,0,2,550,0
88,10,28,85,4,0,3,0,32,2,241,0,0,0,0,1,2,0,0,0,0,408,0,2,410,0
89,2,13,65,5,0,1,1,14,0,57,0,0,0,2,1,0,0,0,0,0,161,0,0,161,0
90,13,28,28,0,0,1,1,15,0,282,0,0,0,0,1,0,1,0,0,0,370,0,0,370,0
91,10,96,120,1,1,1,2,79,2,193,0,0,1,4,2,1,0,0,0,0,513,0,0,513,0
92,10,57,159,3,1,5,1,83,2,97,0,0,0,0,0,2,0,0,1,1,422,0,1,423,0
93,21,67,61,2,0,0,2,40,0,260,0,0,0,0,0,0,0,1,0,0,454,0,1,455,0
94,12,102,62,2,0,1,2,64,2,231,1,0,0,9,1,2,1,2,1,1,496,0,2,498,0
95,11,52,44,1,0,3,1,38,1,352,0,0,0,0,1,0,0,1,0,1,506,0,0,506,0
96,6,27,26,7,0,1,2,26,1,207,0,0,0,0,5,2,0,0,0,0,310,0,0,310,0
97,10,53,41,2,0,0,1,24,2,218,0,0,0,0,1,0,0,1,0,0,353,0,0,353,0
98,2,37,81,2,2,1,2,18,0,103,0,0,0,0,2,0,0,0,1,0,251,0,1,252,0
99,20,198,98,5,1,0,1,92,1,195,2,0,0,0,1,2,0,1,0,0,617,0,0,617,0
100,32,129,139,3,0,4,0,163,3,3,0,0,0,4,0,1,0,4,0,0,485,0,0,485,0
101,82,192,207,5,1,8,2,178,12,0,1,1,0,3,0,1,0,0,0,0,693,0,3,696,0
102,60,103,171,2,0,4,1,206,10,10,0,0,1,2,0,2,0,0,3,0,575,0,2,577,0
103,22,81,91,3,0,7,2,158,3,0,0,0,1,2,0,1,2,2,0,0,375,0,0,375,0
104,48,142,148,6,1,5,4,217,1,95,0,2,0,25,1,3,0,2,2,0,702,0,3,705,0
105,279,107,97,2,0,0,1,62,1,8,1,0,0,1,2,2,1,0,0,0,564,0,0,564,0
106,28,106,68,1,1,0,1,89,0,153,0,0,0,0,2,0,0,0,2,0,451,0,1,452,0
107,44,182,65,7,0,1,1,83,0,51,1,0,0,24,5,2,3,2,5,0,476,0,0,476,0
108,45,153,159,7,0,5,0,95,8,8,0,0,3,13,1,0,0,1,0,0,498,0,1,499,0
109,9,81,93,0,0,1,1,50,2,142,0,0,0,4,3,0,0,0,1,0,387,0,2,389,0
110,29,131,97,4,0,4,0,48,1,156,0,0,0,0,3,0,0,0,1,0,474,0,1,475,0
111,29,189,218,2,0,0,1,193,1,0,0,0,0,2,1,0,1,2,1,0,640,0,0,640,0
112,35,225,189,0,0,0,2,151,0,2,1,0,1,0,1,1,0,0,2,0,610,0,1,611,0
113,25,265,177,5,0,0,0,227,0,82,0,0,2,6,3,0,0,3,2,0,797,0,1,798,0
114,62,101,198,3,0,1,0,129,0,4,0,1,0,0,0,1,0,1,1,0,502,0,0,502,0
115,73,116,178,8,0,7,0,94,0,6,0,0,0,2,0,0,0,4,2,0,490,0,1,491,0
116,31,98,148,3,1,1,1,109,0,8,0,1,0,1,0,1,0,1,2,1,407,0,1,408,0
117,44,133,97,0,0,1,0,150,0,5,0,0,0,1,0,2,0,0,0,0,433,0,0,433,0
118,65,128,134,2,0,6,2,125,0,24,0,0,0,5,2,0,1,1,1,0,496,0,1,497,0
119,91,115,141,1,0,9,1,120,0,14,1,1,0,0,0,1,0,1,0,0,496,0,0,496,0
120,23,178,273,5,0,0,0,162,0,37,0,0,0,2,1,1,0,2,2,0,686,0,4,690,0
121,89,168,171,6,0,2,0,197,0,1,0,1,0,2,0,3,0,4,3,0,647,0,1,648,0
122,25,52,63,5,0,0,0,67,0,0,0,0,0,0,0,0,0,1,3,0,216,0,1,217,0
123,35,83,225,7,0,2,1,166,0,49,1,1,0,3,0,1,1,0,2,3,580,0,1,581,0
124,37,106,270,5,0,0,0,167,0,27,0,0,1,1,0,0,1,0,2,0,617,0,2,619,0
125,69,124,312,4,1,5,1,131,0,2,0,0,1,2,0,0,0,0,1,2,655,0,2,657,0
126,118,117,164,2,0,1,0,144,0,2,1,0,1,30,0,1,0,1,3,1,586,0,0,586,0
127,82,240,172,5,1,5,0,135,4,31,0,0,1,33,1,1,1,2,2,1,717,0,0,717,0
128,12,131,98,1,0,0,0,57,0,1,0,0,0,10,1,0,0,0,1,0,312,0,0,312,0
129,35,88,288,5,0,1,1,137,0,0,0,0,0,1,0,0,1,1,2,0,560,0,4,564,0
130,ge2 62,107,205,0,0,0,2,93,1,2,0,0,0,0,0,0,0,1,2,0,439,0,2,441,0
131,32,69,179,6,1,0,1,73,0,293,1,0,0,0,0,0,1,2,0,0,658,0,1,659,0
132,18,100,105,6,0,0,1,79,0,196,2,1,1,2,0,0,1,0,0,0,512,0,1,513,0
133,48,191,93,0,1,0,1,99,0,240,0,1,2,35,1,0,1,3,0,1,717,0,0,717,0
134,43,102,195,4,1,7,1,118,0,7,0,1,0,7,0,1,1,0,1,0,489,0,0,489,0
135,99,85,186,4,0,16,2,75,3,6,0,1,1,1,0,3,1,3,2,1,489,0,2,491,0
136,12,98,75,6,1,0,1,60,0,94,0,0,0,0,0,2,0,2,3,0,354,0,0,354,0
137,9,63,63,1,0,1,0,41,2,222,3,0,1,3,3,1,1,1,2,0,417,0,2,419,0
138,22,128,107,2,0,0,0,34,0,0,1,0,0,0,0,3,0,0,1,0,298,0,1,299,0
139,16,27,192,13,2,0,3,31,1,270,0,2,1,0,3,0,1,0,1,1,564,0,1,565,0
140,35,122,154,2,1,3,1,214,0,136,0,2,3,5,2,1,0,5,4,1,691,0,0,691,0
141,6,37,44,1,0,1,0,39,0,211,0,0,0,0,2,1,0,0,1,0,343,0,0,343,0
142,27,44,119,1,0,1,1,134,0,95,0,2,1,1,2,0,2,0,0,0,430,0,0,430,0
143,7,96,165,2,1,2,1,67,0,125,0,0,0,0,1,0,0,3,3,0,473,0,0,473,0
144,96,95,161,1,2,2,1,244,2,0,1,1,1,1,0,2,0,1,2,0,613,0,1,614,0
145,4,23,81,1,0,0,2,35,1,465,2,0,0,1,2,1,0,0,0,1,619,0,0,619,0
146,23,147,129,2,0,0,0,63,0,37,0,0,1,0,0,0,0,1,2,0,405,0,0,405,0
147,29,281,176,2,1,3,0,91,1,11,0,0,0,1,2,0,1,2,4,1,606,0,0,606,0
148,60,192,211,1,0,28,2,111,7,1,0,0,1,1,0,1,1,1,1,0,619,0,0,619,0
149,46,141,174,4,0,4,0,121,8,42,1,0,0,2,2,0,0,5,1,0,551,0,0,551,0
150,48,140,103,7,0,7,0,90,6,99,0,0,0,4,1,0,0,0,2,0,507,0,1,508,0
151,45,104,106,3,1,2,2,100,1,475,0,0,0,0,3,1,0,4,0,0,847,0,0,847,0
152,23,97,183,3,1,1,1,110,4,37,0,0,0,5,3,1,0,2,1,1,473,0,0,473,0
153,30,63,171,4,0,2,1,159,0,66,1,1,1,1,0,0,0,1,1,0,502,0,0,502,0
154,25,173,147,1,0,0,1,170,2,23,0,0,0,0,2,0,0,0,0,0,544,0,0,544,0
155,11,104,174,2,0,1,0,115,0,5,1,0,0,5,2,0,0,0,3,0,423,0,0,423,0
156,41,160,146,5,0,0,0,106,2,16,1,0,0,1,1,0,1,5,0,0,485,0,1,486,0
157,18,297,167,4,1,0,1,114,0,4,0,1,0,6,0,1,2,2,0,2,620,0,0,620,0
158,15,114,159,3,1,1,0,164,0,3,0,0,0,0,0,0,1,0,0,1,462,0,0,462,0
159,21,84,132,2,1,0,0,122,0,0,0,0,0,0,0,1,1,2,0,0,366,0,0,366,0
160,31,151,184,2,0,1,0,79,1,2,0,0,0,2,0,0,0,1,2,1,457,0,0,457,0
161,7,20,45,0,0,0,0,51,1,335,2,0,0,1,1,0,0,0,0,0,463,0,0,463,0
162,54,38,170,3,0,4,0,71,21,97,1,0,0,1,0,2,0,0,1,0,463,0,1,464,0
163,11,84,132,3,0,1,2,65,4,297,2,0,0,20,4,0,3,0,1,0,629,0,2,631,0
164,49,164,257,4,0,11,3,206,9,75,1,2,1,12,0,3,1,1,1,0,800,0,2,802,0
165,50,211,119,1,0,0,0,123,1,68,0,1,0,0,0,2,0,2,0,0,578,0,0,578,0
166,11,118,322,1,1,1,0,123,1,6,0,2,1,13,0,0,0,1,2,0,603,0,0,603,0
167,33,188,210,3,0,2,1,80,0,30,1,0,0,10,1,0,1,3,1,2,566,0,1,567,0
168,38,391,184,3,1,1,1,176,0,1,1,0,2,17,2,1,0,3,1,0,823,0,1,824,0
169,19,164,123,1,0,0,0,104,0,0,0,0,0,12,2,1,0,1,1,0,428,0,1,429,0
170,31,198,137,2,0,0,0,159,2,3,1,0,2,38,2,0,1,0,0,1,577,0,0,577,0
171,9,102,214,2,0,0,0,108,0,148,1,0,0,1,0,0,0,2,2,0,589,0,1,590,0
172,22,159,117,2,0,2,0,66,1,174,0,1,0,3,1,0,0,11,1,1,561,0,0,561,0
173,12,41,45,0,0,0,1,32,1,261,1,0,0,0,1,0,1,0,0,0,396,0,0,396,0
174,16,51,120,2,0,0,2,50,1,133,0,0,0,1,1,1,1,5,0,0,384,0,0,384,0
175,15,19,46,0,0,2,1,59,0,429,2,0,0,0,0,1,2,0,1,1,578,0,0,578,0
176,45,198,265,6,0,1,1,132,1,0,0,0,2,44,1,2,0,1,0,0,699,0,0,699,0
177,61,93,216,0,0,35,0,79,5,2,0,0,0,0,0,3,0,3,1,0,498,0,3,501,0
178,16,11,9,3,0,0,0,17,5,261,1,0,0,0,1,0,0,0,0,0,324,0,0,324,0
179,58,87,102,1,0,3,1,40,5,16,0,0,0,0,0,0,1,1,0,0,315,0,1,316,0
180,35,147,55,1,0,5,1,37,1,174,0,0,0,1,2,0,0,0,1,0,460,0,1,461,0
181,23,40,50,3,0,0,0,90,2,247,1,1,0,0,0,2,1,0,0,0,460,0,1,461,0
182,5,8,19,0,0,0,0,8,0,125,1,0,0,0,0,0,0,0,0,1,167,0,0,167,0
183,30,88,101,0,0,0,0,138,1,227,1,0,0,0,0,0,0,0,0,0,586,0,2,588,0
184,33,75,354,5,0,2,1,154,1,128,0,0,0,0,2,1,0,1,1,0,758,0,1,759,0
185,39,66,322,5,0,2,0,295,7,61,0,0,0,0,0,0,0,1,0,0,798,0,4,802,0
186,83,77,305,1,0,13,1,164,2,17,0,0,0,0,0,2,0,1,1,0,667,0,1,668,0
187,43,45,143,1,0,10,1,178,2,47,0,1,0,0,1,0,2,0,0,0,474,0,0,474,0
188,52,59,143,1,1,10,0,147,15,3,0,0,1,1,0,0,1,0,0,0,434,0,1,435,0
189,23,16,490,5,0,1,0,161,0,23,0,0,0,1,0,2,0,3,3,1,729,0,7,736,0
190,57,81,214,6,0,0,0,141,0,70,0,0,0,1,2,1,0,0,4,0,577,0,3,580,0
191,39,151,172,1,0,0,0,196,1,79,0,0,0,1,0,0,0,1,1,0,642,0,4,646,0
192,25,123,106,4,0,0,0,190,0,223,0,0,0,2,1,0,1,2,0,0,677,0,4,681,0
193,38,163,153,5,0,7,2,153,5,45,1,1,0,2,3,1,1,0,1,0,581,0,0,581,0
194,54,159,197,0,0,2,0,203,1,88,2,1,1,1,2,0,0,1,0,0,712,0,0,712,0
195,ge4 63,94,178,1,1,41,0,146,2,254,2,1,0,1,0,0,0,0,0,0,767,0,1,768,0
196,34,89,232,4,0,0,0,121,0,17,0,1,0,12,0,0,1,2,4,0,517,0,0,517,0
197,45,106,154,3,0,9,0,77,8,16,0,0,0,0,1,1,0,1,2,0,423,0,0,423,0
198,29,119,175,2,0,3,0,140,2,82,1,0,1,2,1,1,1,2,2,2,565,0,0,565,0
199,42,93,174,2,1,0,2,116,1,51,1,0,0,12,0,0,0,0,1,0,496,0,3,499,0
200,54,65,134,3,1,2,1,48,106,41,1,0,0,1,1,3,2,0,0,0,463,0,0,463,0
201,100,130,153,4,0,8,1,96,7,45,0,0,0,1,4,1,0,4,0,0,554,0,1,555,0
202,53,110,81,3,0,0,0,87,0,6,0,0,0,2,1,0,1,0,0,0,344,0,0,344,0
203,28,175,144,2,0,1,0,186,1,33,1,0,0,15,2,1,0,1,0,0,590,0,1,591,0
204,57,136,166,6,1,3,3,110,4,11,0,0,1,3,0,1,1,1,1,0,505,0,3,508,0
205,14,19,425,4,0,0,0,76,0,1,0,0,0,0,0,0,0,0,1,0,540,0,2,542,0
206,61,235,233,6,1,3,2,200,1,4,0,1,1,4,0,1,0,0,0,1,754,0,2,756,0
207,66,188,163,2,0,4,1,182,22,17,0,1,0,0,0,0,0,2,2,0,650,0,0,650,0
208,49,159,203,4,1,1,0,178,7,0,1,0,0,1,1,1,2,8,0,0,616,0,2,618,0
209,34,93,142,6,0,0,0,108,2,23,0,0,0,1,1,0,0,1,0,0,411,0,3,414,0
210,42,132,168,3,1,2,0,95,0,5,0,1,0,4,0,0,1,0,2,1,457,0,0,457,0
211,36,251,235,7,0,2,1,180,1,2,0,0,3,14,1,4,0,0,1,0,738,0,0,738,0
212,46,215,122,7,1,3,2,146,3,6,2,0,0,15,3,3,1,3,0,1,579,0,2,581,0
213,21,134,70,0,0,2,1,91,0,28,0,0,0,0,1,1,0,0,0,0,349,0,1,350,0
214,31,164,149,3,2,2,2,133,2,1,1,1,1,0,0,0,2,5,2,1,502,0,1,503,0
215,81,178,204,6,1,23,2,234,6,26,0,0,1,0,4,6,1,1,0,0,774,0,4,778,0
216,0,75,10,0,0,3,1,14,0,40,1,0,0,0,0,0,0,1,0,0,145,0,0,145,0
217,83,215,186,3,1,11,0,127,7,1,0,1,0,3,0,1,1,0,0,0,640,0,1,641,0
218,43,149,116,1,1,2,1,53,15,17,0,0,0,2,0,0,2,2,0,0,404,0,0,404,0
219,29,77,168,1,0,10,1,72,14,23,0,0,0,0,1,0,0,0,1,0,397,0,0,397,0
220,24,65,149,4,1,2,0,62,0,126,1,1,0,0,0,1,0,0,0,0,436,0,1,437,0
221,34,63,145,3,1,5,1,92,2,71,0,0,0,0,1,0,0,1,0,0,419,0,0,419,0
222,15,46,78,5,0,0,2,58,0,222,0,0,0,2,2,0,0,0,0,0,430,0,0,430,0
223,64,94,286,3,1,2,0,112,5,114,0,3,0,25,0,2,3,5,5,0,724,0,3,727,0
224,14,109,41,2,0,0,0,28,0,261,1,0,0,0,2,0,0,0,0,0,458,0,1,459,0
225,11,114,64,3,0,0,1,29,2,305,0,0,0,0,0,1,0,3,2,0,535,0,1,536,0
226,13,32,45,1,0,0,3,56,0,483,0,0,0,0,0,1,0,0,0,0,634,0,0,634,0
227,10,22,23,0,0,1,0,24,0,103,0,0,0,0,4,0,0,0,0,0,187,0,0,187,0
228,51,20,90,1,0,3,0,27,1,21,0,0,0,0,0,0,0,1,0,0,215,0,1,216,0
229,16,38,87,2,1,1,2,42,0,385,1,0,0,0,1,0,0,0,2,1,579,0,4,583,0
230,18,52,114,0,0,24,0,96,3,102,2,0,1,1,0,0,1,0,1,0,415,0,0,415,0
231,15,52,123,1,0,0,1,85,0,269,1,0,0,4,1,0,0,1,0,0,553,0,1,554,0
232,20,73,90,2,0,19,1,40,12,216,1,1,0,1,0,1,0,4,0,1,482,0,0,482,0
233,13,19,47,1,1,1,1,26,0,455,0,0,0,0,0,0,0,0,0,0,564,0,0,564,0
234,4,9,47,0,0,0,1,13,2,293,0,0,0,2,0,0,0,0,0,0,371,0,4,375,0
235,78,95,313,8,0,10,2,169,11,17,0,0,0,1,1,0,1,0,1,1,708,0,0,708,0
236,27,83,132,2,0,5,1,114,1,110,0,0,1,12,0,1,0,2,1,0,492,0,0,492,0
237,47,124,147,1,0,13,1,143,2,147,0,0,0,12,0,0,1,0,2,0,640,0,1,641,0
238,21,152,235,2,0,0,0,60,0,0,0,0,0,4,0,0,0,1,3,0,478,0,0,478,0
239,43,102,140,2,0,3,0,91,23,13,1,0,0,0,1,0,1,2,0,0,422,0,1,423,0
240,21,114,137,7,0,6,0,84,2,0,1,1,0,1,1,0,0,1,0,0,376,0,1,377,0
241,18,70,245,0,0,3,1,96,0,30,0,0,1,1,0,0,0,2,0,0,467,0,0,467,0
242,33,162,77,1,0,5,0,125,1,59,1,0,0,1,1,1,0,1,0,0,468,0,1,469,0
243,20,125,217,5,1,3,0,186,16,91,3,1,0,1,1,1,0,0,2,0,673,0,0,673,0
244,28,160,235,0,0,1,2,186,2,60,0,0,0,8,1,1,0,2,3,2,691,0,1,692,0
245,87,156,142,1,0,30,0,171,5,85,0,0,0,1,1,3,2,0,1,1,686,0,2,688,0
246,29,106,97,0,0,2,1,53,1,233,0,0,0,4,1,4,0,1,1,0,533,0,0,533,0
247,25,39,79,2,0,18,2,69,3,157,0,0,0,1,4,2,0,0,0,0,401,0,1,402,0
248,26,96,111,3,2,13,1,110,1,10,1,0,0,1,2,3,2,1,0,1,384,0,0,384,0
249,64,218,268,16,1,7,0,204,7,56,1,0,2,4,0,1,1,6,6,1,863,0,1,864,0
250,42,28,323,5,0,1,2,121,1,159,0,0,0,1,1,2,0,2,0,1,689,0,2,691,0
251,35,162,158,10,0,1,1,133,8,3,2,0,2,5,3,2,4,3,1,0,533,0,1,534,0
252,29,170,181,2,2,0,0,210,0,44,0,1,0,9,2,3,0,4,2,0,659,0,1,660,0
253,63,87,220,2,1,5,2,120,1,1,0,1,3,9,1,0,0,1,2,0,519,0,1,520,0
254,30,151,344,0,1,3,1,182,1,47,1,0,0,1,1,0,0,2,1,1,767,0,6,773,0
255,76,107,188,5,0,9,1,266,10,18,2,0,1,4,1,3,0,0,0,2,693,0,1,694,0
256,34,124,291,5,0,3,0,194,5,40,0,0,1,2,2,2,0,1,2,0,706,0,2,708,0
257,21,75,330,4,0,2,0,119,1,6,0,0,0,1,0,0,0,1,0,0,560,0,1,561,0
