Polling Station No,Candidate_1,NAMMISARAN ANAHCRA,NAPPARAWSE.L.J,RAMUKUS.M.S,RAMUKAHTNASAV.M,IHDNAG.V,MAGUMNAHS.P.S,NAMARAHTEES.V,NAHOM YAJIV.G,NASETAKNEV.P,IHTAMUHDNI.R,M.NAPPARAWSE,IHTNAHS.V,NADNAKINAM.K,YAJIV.A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
40,14,105,220,0,0,0,0,156,0,0,1,1,2,1,500,500,0,2,502,0
41,14,156,322,1,3,0,0,126,2,0,0,0,1,0,625,625,0,0,625,0
42,13,80,285,2,3,0,0,129,2,0,1,2,0,1,518,518,0,1,519,0
43,15,145,228,1,0,0,0,151,0,0,0,0,3,2,545,545,0,2,547,0
44,28,246,299,1,1,0,1,272,0,0,0,0,0,2,850,850,0,1,851,0
45,18,142,350,1,1,0,1,270,0,0,0,0,0,0,783,783,0,0,783,0
46,17,134,399,2,1,1,0,200,0,0,1,1,1,1,758,758,0,3,761,0
47,18,89,370,3,0,0,0,136,0,1,0,0,1,1,619,619,0,2,621,0
48,12,179,386,0,0,0,0,186,0,0,0,0,0,2,765,765,0,1,766,0
49,18,167,451,0,0,0,0,309,0,0,2,0,1,2,950,950,0,0,950,0
50,11,128,231,0,0,0,1,286,2,0,0,1,1,1,662,662,0,2,664,0
51,17,107,271,2,0,1,1,203,0,1,1,0,0,0,604,604,0,2,606,0
52,20,183,431,0,0,0,0,166,0,0,0,0,0,1,801,801,0,4,805,0
53,16,196,427,0,0,0,2,287,1,0,0,0,1,0,930,930,0,3,933,0
54,12,106,353,1,1,0,0,275,1,0,0,0,0,1,750,750,0,4,754,0
55,10,127,245,3,0,0,0,201,1,0,0,0,1,0,588,588,0,2,590,0
56,7,77,160,0,0,0,0,155,0,0,0,0,0,1,400,400,0,1,401,0
57,23,198,358,2,0,0,0,230,1,1,1,1,0,1,816,816,0,1,817,0
58,16,213,333,0,0,0,0,247,0,0,0,0,0,1,810,810,0,2,812,0
59,25,125,489,0,1,0,2,219,0,0,0,0,2,3,866,866,0,5,871,0
60,18,156,511,1,2,0,0,210,0,0,0,0,1,2,901,901,0,4,905,0
61,42,258,267,2,1,0,0,310,1,1,0,1,1,5,889,889,0,1,890,0
62,9,73,369,1,0,0,0,77,0,0,0,0,0,0,529,529,0,0,529,0
63,8,97,373,2,0,0,0,75,0,0,0,0,2,0,557,557,0,0,557,0
64,15,327,363,2,1,0,0,266,0,0,0,1,1,2,978,978,0,2,980,0
65,17,79,418,6,1,0,0,164,0,0,0,0,0,1,686,686,0,0,686,0
66,9,57,445,2,0,0,0,148,0,0,0,0,1,0,662,662,0,0,662,0
67,26,199,459,3,0,2,2,251,1,2,0,0,4,1,950,950,0,2,952,0
68,26,53,707,4,0,0,0,166,0,0,0,1,0,1,958,958,0,1,959,0
69,24,104,378,2,1,0,1,149,2,0,1,0,1,1,664,664,0,2,666,0
70,15,92,335,1,2,0,0,124,0,0,0,0,0,1,570,570,0,1,571,0
71,21,59,515,2,1,0,1,96,0,0,0,0,0,0,695,695,0,2,697,0
72,14,144,390,2,1,0,0,128,0,1,1,0,4,2,687,687,0,2,689,0
73,20,92,310,4,0,1,0,155,0,0,1,1,2,0,586,586,0,2,588,0
74,16,149,439,1,2,0,0,162,0,0,0,1,2,2,774,774,0,2,776,0
75,9,125,519,1,1,0,1,142,1,0,0,0,4,0,803,803,0,0,803,0
76,13,265,252,3,0,0,3,342,1,0,0,0,1,1,881,881,0,1,882,0
77,24,138,521,2,0,0,0,180,1,1,1,1,3,0,872,872,0,2,874,0
78,20,131,392,3,1,0,0,221,1,0,0,0,1,1,771,771,0,4,775,0
79,19,236,307,4,0,0,1,249,1,2,1,0,2,0,822,822,0,1,823,0
80,8,49,211,1,0,0,0,79,0,0,0,0,0,1,349,349,0,0,349,0
81,15,97,393,0,1,0,0,163,0,0,1,0,1,0,671,671,0,4,675,0
82,15,116,290,1,0,0,2,201,2,0,0,0,0,1,628,628,0,0,628,0
83,13,94,186,0,1,0,0,107,0,0,0,0,0,2,403,403,0,1,404,0
84,22,79,344,2,0,1,2,252,0,0,0,1,2,2,707,707,0,2,709,0
85,18,150,245,1,2,0,0,171,0,0,0,1,1,0,589,589,0,0,589,0
86,13,104,363,0,0,0,0,148,0,0,0,0,0,0,628,628,0,2,630,0
87,6,51,315,0,0,0,1,74,0,0,0,0,0,2,449,449,0,0,449,0
88,18,211,484,6,1,0,1,162,0,0,0,0,3,2,888,888,0,3,891,0
89,18,115,308,0,0,0,0,156,0,0,1,1,1,2,602,602,0,2,604,0
90,13,163,433,2,0,1,0,285,0,0,0,0,0,0,897,897,0,3,900,0
91,24,183,440,4,2,0,2,294,0,0,0,0,0,0,949,949,0,4,953,0
92,22,79,517,2,0,1,0,276,7,0,0,0,4,2,910,910,0,1,911,0
93,13,202,369,1,0,0,1,269,1,0,0,0,1,1,858,858,0,1,859,0
94,36,111,395,1,1,0,0,181,0,0,0,2,4,5,736,736,0,3,739,0
95,12,203,286,2,0,1,0,213,0,0,0,1,4,3,725,725,0,4,729,0
96,20,244,368,0,2,1,0,219,0,0,1,0,2,1,858,858,0,2,860,0
97,9,203,167,0,0,0,0,155,0,0,0,0,0,2,536,536,0,1,537,0
98,13,202,155,0,1,0,1,177,1,1,0,0,0,3,554,554,0,0,554,0
99,13,253,345,0,0,1,0,209,0,0,0,0,0,0,821,821,0,3,824,0
100,28,234,365,0,1,0,1,221,0,0,0,0,1,1,852,852,0,2,854,0
101,9,183,247,4,0,0,0,289,1,0,0,1,1,3,738,738,0,0,738,0
102,19,139,333,1,1,0,1,207,1,1,1,1,2,1,708,708,0,5,713,0
103,17,145,531,3,4,0,1,136,0,0,0,0,2,1,840,840,0,1,841,0
104,9,104,473,0,0,0,0,129,0,0,0,1,1,1,718,718,0,2,720,0
105,16,106,288,0,0,0,0,170,0,0,0,0,0,0,580,580,0,1,581,0
106,10,141,336,2,0,2,0,132,0,0,1,0,0,0,624,624,0,4,628,0
107,21,159,506,1,0,0,0,249,0,1,0,2,1,0,940,940,0,3,943,0
108,12,92,155,0,1,0,1,141,0,0,0,0,1,1,404,404,0,0,404,0
109,17,206,217,2,0,2,0,228,0,1,1,0,3,0,677,677,0,5,682,0
110,23,74,173,1,0,0,0,153,0,0,0,0,0,0,424,424,0,3,427,0
111,31,175,430,3,0,1,2,338,1,0,0,0,2,1,984,984,0,6,990,0
112,27,125,448,2,1,1,2,304,0,0,0,0,4,1,915,915,0,2,917,0
113,12,79,177,0,0,1,0,157,0,0,1,0,0,0,427,427,0,1,428,0
114,9,133,164,1,0,0,0,262,2,0,1,0,1,1,574,574,0,0,574,0
115,11,407,104,0,1,0,1,163,2,0,0,1,0,0,690,690,0,1,691,0
116,6,202,64,1,1,0,0,118,1,0,0,0,0,1,394,394,0,0,394,0
117,7,201,210,0,0,0,0,179,1,0,0,0,1,0,599,599,0,3,602,0
118,15,77,301,0,0,0,0,181,0,0,0,0,0,0,574,574,0,3,577,0
119,14,60,215,2,0,1,0,129,0,0,1,1,0,2,425,425,0,0,425,0
120,8,109,186,0,0,0,0,129,0,0,0,1,0,0,433,433,0,2,435,0
121,16,120,173,0,1,0,0,170,1,0,0,0,0,1,482,482,0,2,484,0
122,20,190,175,1,0,2,0,229,0,0,0,0,0,0,617,617,0,1,618,0
123,16,186,218,2,0,0,1,257,0,1,0,0,0,1,682,682,0,1,683,0
124,19,182,347,0,0,0,0,257,3,1,0,0,1,1,811,811,0,2,813,0
125,17,119,324,1,1,0,0,293,0,1,0,0,0,3,759,759,0,3,762,0
126,22,170,289,0,1,0,0,292,0,0,0,0,0,2,776,776,0,1,777,0
127,16,165,208,0,0,0,1,253,0,0,0,0,0,0,643,643,0,1,644,0
