Polling Station No,SMT.KAVITHA KALYANASUNDARAM,S.GOPALAKRISHNAN,O.K.CHINNARAJ,S.ABDUL RAHIMAN,R.SANGEETHA,"SIVARAJ,R.",SUNILANAND,"DHAMOTHARAN,V.",C.NAGARAJ,T.AMIRTHALINGAM,V.ANANDKUMAR,S.KAVITHA,T.R.SHANMUGASUNDARAM,A.SATHIYALEELA,N.SARAVANA KUMAR,R.CHINNARAJ,V.SENTHIL KUMAR,M.PALANICHAMI,C.MAHENDRAN,MANOHARAN,"RANGASAMY,P.",P.RAVICHANDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
235,153,17,202,0,0,0,83,0,1,0,4,0,127,0,0,3,5,2,3,0,0,1,601,0,2,603,0
236,123,18,275,3,1,1,158,3,1,0,0,3,72,0,2,2,4,0,3,0,2,0,671,0,2,673,0
237,182,37,149,2,1,6,195,2,3,1,14,4,267,5,3,4,2,0,3,1,0,1,882,0,2,884,0
238,78,9,158,5,0,4,131,0,0,0,6,0,160,2,0,0,0,0,3,1,1,0,558,0,0,558,0
239,138,4,83,2,1,0,150,1,1,0,2,2,28,1,0,0,0,0,1,0,1,0,415,0,3,418,0
240,223,17,71,1,0,5,175,0,0,0,1,2,11,1,2,7,2,0,0,0,0,0,518,0,1,519,0
241,149,15,301,6,0,0,179,1,1,1,11,1,216,1,6,1,2,0,0,0,2,1,894,0,4,898,0
242,193,12,278,5,2,1,174,2,0,0,4,1,128,3,3,13,4,0,3,0,1,0,827,0,0,827,0
243,ge 3 188,26,237,6,2,1,236,2,0,1,12,2,278,4,3,1,5,0,1,1,1,0,1007,0,5,1012,0
244,137,29,288,2,0,2,215,3,1,2,5,0,268,2,4,4,3,0,2,1,2,0,970,0,3,973,0
245,121,23,212,3,0,2,177,3,2,0,3,0,148,1,1,3,0,0,1,0,0,1,701,0,4,705,0
246,139,12,121,3,7,0,115,1,0,0,2,0,22,1,0,4,2,1,0,0,0,0,430,0,0,430,0
247,243,33,252,1,6,2,262,3,0,1,4,3,167,2,1,4,5,1,1,0,0,0,991,0,0,991,0
248,178,25,283,3,2,3,163,1,2,0,0,1,130,1,0,0,2,0,0,0,0,1,795,0,0,795,0
249,92,15,135,0,1,1,112,1,1,0,1,1,48,1,1,0,2,1,0,1,0,0,414,0,1,415,0
250,148,27,388,5,1,0,141,1,0,0,5,0,95,2,0,1,1,0,2,1,1,0,819,0,1,820,0
251,83,12,218,5,0,3,109,1,0,0,4,2,118,1,1,4,3,0,1,0,0,0,565,0,2,567,0
252,334,28,329,4,3,1,160,1,2,2,5,2,164,2,11,4,9,1,4,1,0,1,1068,0,1,1069,0
253,48,6,65,2,2,2,82,0,1,1,1,0,23,1,1,4,1,1,0,1,0,0,242,0,0,242,0
254,56,4,53,0,0,1,112,0,0,1,1,1,17,2,2,3,1,0,1,0,0,1,256,0,0,256,0
255,167,14,198,1,0,0,131,2,0,0,4,2,142,0,1,8,1,0,1,1,0,0,673,0,2,675,0
256,80,3,159,1,2,1,93,1,1,1,7,2,169,1,0,1,2,0,1,2,1,1,529,0,1,530,0
257,161,10,367,1,2,1,147,1,1,3,10,1,258,2,0,2,2,0,1,0,0,0,970,0,0,970,0
258,159,30,349,5,4,4,149,4,1,0,8,4,125,6,5,6,2,0,1,1,0,0,863,0,3,866,0
259,211,31,189,5,1,2,142,2,2,0,4,5,83,1,1,6,3,5,1,4,0,2,700,0,2,702,0
260,134,30,252,5,1,3,171,2,1,0,6,2,34,3,1,3,0,1,3,2,1,1,656,0,4,660,0
261,83,30,186,2,1,1,251,2,0,1,3,4,112,1,1,2,2,0,0,1,0,0,683,0,2,685,0
262,91,11,117,1,0,1,149,1,0,0,2,2,193,1,1,1,0,0,1,1,1,1,575,0,3,578,0
263,41,11,193,1,1,3,146,2,2,0,11,3,246,6,1,2,1,0,2,1,0,0,673,0,2,675,0
264,144,10,196,2,1,2,106,2,3,0,5,0,131,2,0,2,3,1,0,0,1,1,612,0,2,614,0
265,102,8,173,1,0,1,89,2,0,0,2,0,146,0,1,3,2,0,0,0,0,0,530,0,1,531,0
266,68,10,252,2,1,2,110,0,0,1,1,1,110,0,0,0,0,0,0,0,0,1,559,0,3,562,0
267,115,12,234,5,2,1,150,0,0,0,8,0,105,0,0,1,3,0,1,0,0,0,637,0,2,639,0
268,102,15,192,1,0,4,160,0,0,0,4,1,203,1,2,0,0,0,0,1,0,0,686,0,1,687,0
269,56,13,142,1,1,1,118,1,1,1,8,2,116,1,1,3,2,0,0,1,0,0,469,0,2,471,0
270,190,19,170,4,3,1,256,6,3,0,5,1,143,3,1,11,4,0,0,0,0,0,820,0,3,823,0
271,102,6,145,1,2,3,105,0,1,0,5,1,74,3,1,2,2,1,1,0,0,0,455,0,3,458,0
272,218,27,258,5,2,3,257,2,1,0,11,1,206,1,3,7,3,2,2,2,1,0,1012,0,4,1016,0
273,101,15,144,2,1,1,124,1,1,0,8,2,153,1,2,2,6,0,1,1,0,1,567,0,5,572,0
274,104,21,131,3,0,3,252,1,0,1,6,1,276,2,1,3,2,1,1,0,2,0,811,0,4,815,0
275,125,16,95,3,1,2,224,2,1,1,5,6,231,0,2,3,1,1,0,1,1,0,721,0,2,723,0
276,111,21,91,0,0,1,188,2,1,0,3,1,238,0,2,1,1,0,0,0,0,0,661,0,4,665,0
277,114,15,160,3,1,0,275,2,1,0,3,1,306,1,0,0,2,0,0,0,0,0,884,0,1,885,0
278,205,26,201,2,1,1,284,0,0,0,2,0,14,1,1,2,3,0,0,0,0,1,744,0,2,746,0
279,240,27,206,0,1,0,238,1,0,0,1,0,5,0,0,2,1,0,0,1,0,0,723,0,2,725,0
280,275,32,228,0,1,2,265,0,0,0,0,0,9,0,0,1,1,0,1,0,0,2,817,0,2,819,0
281,198,18,193,0,1,2,252,0,0,1,0,0,10,1,0,0,1,0,1,0,0,0,678,0,4,682,0
282,166,23,240,2,4,1,382,4,1,0,5,0,42,3,3,4,1,1,1,3,0,1,887,0,5,892,0
283,196,35,97,2,1,0,258,1,2,2,1,1,23,1,0,3,1,1,0,1,1,2,629,0,1,630,0
284,216,23,124,2,0,1,301,0,0,1,0,0,11,1,1,2,3,0,0,0,0,0,686,0,2,688,0
285,174,9,191,2,1,2,213,1,0,0,0,0,28,0,2,1,2,0,1,0,0,0,627,0,4,631,0
286,132,22,90,0,0,0,211,1,0,0,1,0,13,0,0,1,1,0,1,0,0,0,473,0,1,474,0
287,128,12,48,3,0,1,217,0,0,0,0,1,12,0,0,1,1,0,0,0,0,0,424,0,1,425,0
288,234,27,187,1,0,2,294,0,1,0,4,0,51,0,0,1,3,0,1,0,0,0,806,0,4,810,0
289,237,22,218,0,3,0,343,0,0,0,1,0,30,0,0,0,2,0,0,1,0,0,857,0,7,864,0
290,212,27,137,1,1,0,272,1,0,1,1,0,19,0,0,1,2,0,0,0,0,0,675,0,4,679,0
291,121,11,109,0,0,0,182,0,0,0,0,0,7,0,0,1,1,0,0,1,0,0,433,0,0,433,0
292,69,7,53,0,1,0,94,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,228,0,2,230,0
293,265,45,179,0,2,1,288,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,787,0,3,790,0
294,176,19,126,1,0,0,203,0,1,0,0,0,5,0,1,3,5,1,0,0,1,0,542,0,1,543,0
295,141,23,172,1,0,1,176,0,0,0,1,0,8,0,1,3,3,1,1,0,1,0,533,0,1,534,0
296,186,31,167,0,0,1,420,1,0,1,1,0,19,0,1,1,0,0,0,0,0,1,830,0,7,837,0
297,213,26,188,1,0,0,238,1,0,0,1,0,16,0,0,0,0,2,0,0,0,0,686,0,8,694,0
298,133,40,136,1,0,1,322,0,0,0,0,0,14,0,1,2,1,1,0,0,0,0,652,0,1,653,0
299,194,25,163,0,0,0,243,0,1,0,0,0,16,1,0,1,1,1,0,0,1,0,647,0,1,648,0
300,127,15,187,4,0,1,161,1,0,0,0,2,7,1,0,1,4,1,1,0,0,2,515,0,0,515,0
301,133,20,145,0,1,0,155,0,0,1,1,0,7,1,2,1,2,0,1,0,1,0,471,0,3,474,0
302,197,18,104,1,0,0,315,5,0,0,1,0,11,0,0,3,2,0,1,0,1,0,659,0,2,661,0
303,153,22,130,2,0,0,281,0,0,2,0,0,13,0,1,1,0,1,0,0,0,0,606,0,7,613,0
304,230,30,123,0,1,2,233,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,625,0,7,632,0
305,215,27,168,0,1,0,238,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,654,0,4,658,1
306,153,17,83,0,0,0,206,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,470,0,3,473,0
307,145,26,72,1,2,1,169,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,424,0,0,424,0
308,217,26,265,1,1,2,286,0,0,0,0,1,6,1,1,1,2,1,0,0,0,1,812,0,9,821,0
309,243,49,160,1,2,0,319,1,0,0,1,0,8,0,0,0,1,1,2,0,0,0,788,0,4,792,0
310,170,13,119,0,0,0,142,1,0,0,0,1,5,0,0,1,1,0,0,0,0,0,453,0,1,454,0
311,226,35,227,2,1,5,394,0,0,0,1,0,16,2,0,1,2,1,0,0,0,1,914,0,1,915,0
312,207,27,134,0,0,0,187,0,0,0,1,1,7,0,0,1,3,0,0,0,0,0,568,0,1,569,0
313,129,15,114,0,0,1,190,1,1,0,0,1,11,0,1,2,0,0,0,0,0,0,466,0,5,471,0
314,274,31,188,0,1,0,247,1,0,0,0,1,4,0,0,2,1,1,0,0,0,0,751,0,4,755,1
315,140,15,125,3,3,3,197,1,0,0,1,0,20,0,1,1,4,0,0,0,0,0,514,0,2,516,0
316,155,9,108,0,0,0,183,0,0,0,0,0,8,0,0,2,1,0,0,1,0,0,467,0,1,468,0
317,269,60,232,0,2,2,352,2,0,0,1,0,10,1,1,0,2,0,1,0,1,0,936,0,1,937,0
318,243,24,169,3,2,0,277,1,1,0,1,0,44,3,1,0,1,1,1,0,0,1,773,0,6,779,0
319,199,35,146,0,1,0,245,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,629,0,3,632,0
320,183,23,159,0,0,1,256,0,0,0,0,0,8,0,1,0,2,1,0,1,0,0,635,0,1,636,0
321,190,19,217,1,0,1,196,1,0,0,2,0,15,0,1,0,0,0,1,0,0,0,644,0,3,647,0
322,199,21,261,2,0,0,269,3,0,0,0,0,6,0,1,3,2,1,0,0,0,0,768,0,2,770,0
323,224,22,203,1,0,0,208,0,1,0,0,1,3,0,1,0,3,0,0,0,0,0,667,0,5,672,0
324,ge 4 264,35,196,1,0,0,252,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,755,0,6,761,0
325,149,24,138,0,0,0,226,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,541,0,3,544,0
326,203,24,291,2,0,1,292,1,0,1,1,1,19,2,0,3,4,0,0,0,0,1,846,0,5,851,0
327,213,22,287,2,0,0,207,0,0,0,0,0,15,1,0,2,8,1,3,1,1,0,763,0,1,764,0
328,172,20,265,0,3,0,250,1,0,1,2,0,8,0,0,0,1,0,0,0,0,0,723,0,4,727,0
329,163,25,209,1,2,1,223,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,631,0,2,633,0
330,158,24,153,0,0,1,244,0,0,0,1,1,5,0,0,1,0,1,0,0,0,0,589,0,2,591,0
331,135,21,189,5,0,1,189,0,0,0,0,0,12,0,0,0,2,0,0,0,0,1,555,0,2,557,0
332,210,18,129,0,0,1,219,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,584,0,2,586,0
333,176,33,129,1,0,1,199,1,0,0,0,1,9,0,0,1,4,1,0,0,0,0,556,0,2,558,0
334,133,15,155,3,0,0,143,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,460,0,4,464,0
335,229,20,285,1,2,0,347,1,1,0,3,0,24,1,0,4,1,1,1,0,0,0,921,0,3,924,0
336,190,30,263,1,0,1,337,1,0,0,1,1,17,0,1,0,0,0,0,1,0,0,844,0,2,846,0
337,144,10,109,0,0,2,195,0,0,0,1,0,4,1,0,3,8,0,3,1,1,1,483,0,3,486,0
338,135,4,144,0,1,1,194,0,0,0,1,0,4,0,1,2,2,0,1,0,0,0,490,0,0,490,0
339,234,16,268,5,1,0,338,2,1,1,0,1,20,3,0,2,2,0,1,0,0,0,895,0,2,897,0
340,205,26,253,1,0,0,270,0,0,0,0,0,15,1,1,3,6,0,0,0,1,0,782,0,0,782,0
341,173,26,124,0,2,0,218,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,561,0,0,561,0
342,248,36,166,0,3,0,312,0,1,1,1,0,8,0,0,2,2,0,0,0,0,0,780,0,7,787,0
343,219,18,110,0,1,0,219,1,1,0,1,0,11,1,0,1,0,0,0,0,1,0,584,0,5,589,0
344,199,21,105,0,0,2,188,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,523,0,5,528,0
345,197,34,150,1,0,1,292,1,0,0,0,1,21,0,1,1,1,0,1,0,0,0,702,0,1,703,0
346,207,31,155,1,1,0,219,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,629,0,1,630,0
347,156,15,142,2,0,3,192,0,0,0,0,0,14,1,0,0,2,0,0,1,0,0,528,0,2,530,0
348,185,15,97,0,1,0,191,1,0,0,1,0,14,1,0,0,2,0,1,0,0,0,509,0,2,511,0
349,194,13,298,0,1,0,211,0,0,0,2,2,136,1,1,1,2,1,0,0,1,2,866,0,2,868,0
350,132,12,197,0,1,1,213,1,0,1,1,0,78,2,3,2,0,0,0,0,0,0,644,0,0,644,0
351,182,20,199,2,1,1,222,3,0,0,2,1,78,1,0,3,1,0,0,1,0,0,717,0,0,717,0
352,185,19,176,1,2,3,225,1,0,0,0,0,73,1,1,2,4,1,1,0,1,0,696,0,3,699,0
353,174,28,231,2,1,2,241,2,1,0,2,0,64,0,1,1,2,0,0,1,0,0,753,0,2,755,0
354,209,19,199,3,2,4,298,2,0,0,1,0,73,1,1,1,1,0,0,1,2,0,817,0,0,817,0
355,165,31,201,2,0,0,312,1,0,0,2,1,79,0,0,0,2,1,2,1,0,0,800,0,5,805,0
356,172,12,139,1,0,0,208,0,2,0,1,0,70,1,1,2,1,1,0,0,0,0,611,0,2,613,0
357,187,23,161,2,1,2,303,1,0,0,7,1,200,2,2,1,3,0,0,0,3,0,899,0,2,901,0
358,121,8,71,0,0,1,170,0,0,0,0,1,75,0,0,1,1,0,0,0,0,0,449,0,3,452,0
359,122,24,136,1,1,0,166,2,0,1,1,0,130,1,0,1,0,1,0,0,1,1,589,0,1,590,0
360,136,16,133,0,1,0,203,2,0,0,1,0,66,0,0,3,0,0,0,0,0,0,561,0,0,561,0
