Polling Station No,SMT.KAVITHA KALYANASUNDARAM,S.GOPALAKRISHNAN,O.K.CHINNARAJ,S.ABDUL RAHIMAN,R.SANGEETHA,"SIVARAJ,R.",SUNILANAND,"DHAMOTHARAN,V.",C.NAGARAJ,T.AMIRTHALINGAM,V.ANANDKUMAR,S.KAVITHA,T.R.SHANMUGASUNDARAM,A.SATHIYALEELA,N.SARAVANA KUMAR,R.CHINNARAJ,V.SENTHIL KUMAR,M.PALANICHAMI,C.MAHENDRAN,MANOHARAN,"RANGASAMY,P.",P.RAVICHANDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
166,189,17,171,3,3,1,184,1,1,1,1,0,89,1,0,3,2,2,0,0,0,0,669,0,0,669,1
167,149,17,115,2,1,0,187,0,1,0,2,1,80,0,2,1,1,0,0,1,0,0,560,0,1,561,1
168,195,16,217,1,0,1,212,0,0,0,1,1,78,1,0,3,2,2,1,0,0,0,731,0,1,732,0
169,230,13,256,2,1,0,200,1,0,2,3,0,140,2,3,1,4,0,0,0,0,0,858,0,3,861,0
170,219,39,126,1,0,0,297,0,0,0,0,0,49,0,0,0,1,1,0,1,1,1,736,0,5,741,0
171,212,24,261,0,1,1,266,2,1,0,1,1,78,3,1,2,2,0,0,0,0,0,856,0,2,858,0
172,141,15,136,0,1,1,163,0,0,0,0,0,58,0,1,0,1,1,0,0,0,0,518,0,2,520,0
173,178,8,148,3,1,1,215,0,0,1,2,1,105,1,1,2,0,0,0,2,0,0,669,0,5,674,0
174,191,15,202,2,3,1,229,1,0,0,1,0,102,3,0,3,0,0,4,0,0,0,757,0,6,763,0
175,98,6,265,2,0,0,147,2,0,0,0,0,107,1,0,0,0,1,0,0,0,0,629,0,3,632,0
176,124,8,143,0,0,1,133,0,0,0,1,0,109,0,0,0,1,0,0,0,1,0,521,0,1,522,0
177,184,15,172,2,0,1,222,1,0,0,1,2,98,1,0,0,3,0,2,0,0,0,704,0,1,705,0
178,143,23,146,1,1,2,268,2,0,0,8,0,152,1,1,0,1,2,2,1,0,0,754,0,2,756,0
179,109,15,104,2,1,0,184,0,1,1,1,2,133,1,0,2,4,1,2,0,0,0,563,0,1,564,0
180,99,18,109,2,0,2,212,0,0,0,2,1,61,1,0,2,0,0,0,0,0,0,509,0,2,511,0
181,138,22,175,1,2,0,194,1,0,0,0,2,125,0,0,2,0,0,1,0,2,0,665,0,0,665,0
182,176,25,156,1,1,1,257,0,1,0,0,0,76,0,1,1,2,0,0,0,0,0,698,0,2,700,0
183,191,31,204,2,1,1,271,0,0,0,3,1,158,0,2,3,0,0,2,1,1,0,872,0,1,873,0
184,93,6,130,0,0,1,124,0,0,0,1,2,61,0,0,2,1,0,0,0,0,1,422,0,1,423,0
185,219,27,207,1,2,0,277,0,0,2,6,2,157,4,1,3,4,1,0,0,0,0,913,0,6,919,0
186,202,35,199,2,1,1,293,0,0,0,2,2,181,2,0,1,0,0,0,1,0,0,922,0,3,925,0
187,152,19,227,1,2,0,186,0,0,0,2,1,54,1,1,1,0,1,1,0,0,0,649,0,1,650,0
188,160,15,223,2,0,2,169,0,1,0,0,0,103,1,1,4,4,0,0,0,0,0,685,0,0,685,0
189,275,29,226,0,0,1,248,0,0,1,0,2,62,0,0,0,1,0,0,0,0,0,845,0,3,848,0
190,193,35,157,3,0,0,297,1,1,0,0,0,163,1,0,1,2,0,0,0,0,0,854,0,3,857,1
191,171,8,190,0,1,2,175,1,1,1,1,0,109,1,0,0,0,0,1,0,1,0,663,0,4,667,0
192,174,25,161,1,0,0,242,0,1,0,1,0,117,1,1,0,2,0,2,0,0,1,729,0,4,733,0
193,177,18,226,2,5,2,341,0,1,4,2,4,191,1,1,2,0,0,0,0,0,1,978,0,5,983,0
194,245,19,255,0,1,1,301,0,0,0,3,1,87,0,0,1,3,1,1,1,0,0,920,0,4,924,0
195,246,21,168,3,1,1,293,1,0,0,0,0,104,0,1,0,2,0,0,0,1,0,842,0,2,844,0
196,192,13,153,1,0,1,216,2,0,0,1,1,88,0,0,0,0,1,0,0,0,0,669,0,2,671,0
197,124,9,100,0,1,0,135,0,0,0,0,3,87,1,0,0,1,0,0,0,0,1,462,0,1,463,0
198,113,10,80,1,0,0,122,0,0,1,2,2,122,1,0,0,1,0,0,0,0,0,455,0,1,456,0
199,223,29,149,1,1,1,220,0,0,0,0,0,64,1,0,0,0,1,0,0,0,0,690,0,5,695,0
200,183,36,191,0,1,0,286,1,1,1,3,0,58,0,1,1,1,1,0,1,0,0,766,0,1,767,0
201,183,7,104,0,0,0,170,0,0,0,0,1,29,0,0,0,0,0,0,0,0,2,496,0,0,496,0
202,155,12,92,0,0,1,136,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,428,0,0,428,0
203,169,8,220,0,0,0,180,1,0,1,0,0,81,2,1,4,2,0,0,0,1,0,670,0,4,674,0
204,151,9,77,0,0,1,199,0,1,0,1,1,80,0,0,0,1,1,0,0,0,0,522,0,3,525,0
205,174,2,110,2,0,1,183,1,1,0,1,0,101,4,2,3,1,0,0,0,1,0,587,0,2,589,0
206,209,19,129,1,1,4,293,1,0,0,3,0,100,0,1,2,1,0,0,0,0,0,764,0,2,766,0
207,314,13,172,0,1,4,308,1,0,1,2,0,103,1,1,5,3,0,0,1,2,0,932,0,2,934,0
208,218,20,141,3,2,5,362,0,1,0,4,0,98,1,0,1,3,0,0,0,1,0,860,0,6,866,0
209,153,12,121,2,1,1,219,2,1,2,1,1,65,1,0,5,1,2,0,0,1,0,591,0,4,595,0
210,185,22,213,3,1,4,326,2,0,0,4,2,164,0,1,1,0,1,0,0,0,1,930,0,4,934,0
211,179,28,173,0,0,1,211,0,0,0,0,0,110,1,0,2,0,0,0,0,0,0,705,0,4,709,0
212,184,17,264,0,1,1,208,2,0,0,1,0,125,6,0,1,1,0,0,0,1,0,812,0,7,819,0
213,186,14,160,2,3,1,240,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,682,0,3,685,0
214,165,17,146,0,1,0,236,2,0,2,2,0,131,2,1,1,0,0,0,1,0,0,707,0,4,711,0
215,205,31,149,0,1,1,215,1,0,1,0,2,120,0,0,0,6,0,0,0,1,0,733,0,4,737,0
216,187,23,171,2,2,2,226,1,0,1,0,0,65,0,0,2,2,0,1,0,0,0,685,0,1,686,0
217,198,22,167,0,0,3,222,0,0,0,2,0,131,0,2,0,2,0,1,1,0,0,751,0,5,756,0
218,124,21,172,0,1,2,237,0,0,0,1,0,160,1,1,1,5,0,2,1,1,0,730,0,4,734,0
219,207,24,216,1,0,2,285,1,1,0,1,1,147,0,1,0,1,1,0,0,0,0,889,0,3,892,0
220,117,28,208,0,2,0,163,0,1,1,1,1,172,0,1,1,1,0,1,0,0,1,699,0,5,704,0
221,165,21,190,1,1,2,246,0,1,0,2,3,197,2,1,4,2,0,2,0,0,2,842,0,2,844,0
222,140,27,148,2,2,1,218,0,0,0,2,1,183,0,1,3,2,0,1,0,1,1,733,0,5,738,0
223,147,17,224,2,1,1,368,2,0,0,0,4,186,1,2,2,1,0,1,0,3,0,962,0,4,966,0
224,129,15,105,0,0,1,218,2,0,0,3,0,89,0,1,2,1,1,2,0,1,0,570,0,3,573,0
225,152,22,185,1,0,6,337,1,0,1,0,0,47,0,0,4,2,2,0,0,0,0,760,0,2,762,0
226,163,19,140,2,0,1,218,3,0,0,1,3,54,1,0,1,0,0,0,0,1,0,607,0,1,608,0
227,176,29,191,3,1,2,254,3,2,0,0,0,91,0,1,0,1,1,0,0,1,0,756,0,3,759,1
228,221,21,310,4,3,2,282,0,1,0,2,2,60,0,2,0,2,0,2,0,0,1,915,0,0,915,0
229,58,3,57,0,1,1,78,1,0,0,0,0,27,1,0,0,0,0,0,0,0,0,227,0,2,229,0
230,132,16,235,3,0,1,213,1,2,3,8,0,293,2,1,1,2,1,0,0,1,1,916,0,2,918,0
231,175,24,114,0,1,0,213,0,2,1,1,3,138,1,0,4,1,0,0,0,0,0,678,0,2,680,0
232,74,14,282,1,0,0,227,2,2,2,5,0,185,2,0,3,1,0,0,1,2,0,803,0,2,805,0
233,115,19,213,4,1,1,156,1,1,0,6,0,184,0,0,5,3,1,0,0,0,1,711,0,2,713,0
234,128,11,167,4,1,1,137,0,0,2,6,0,66,0,0,3,0,1,1,0,0,0,528,0,2,530,0
