Polling Station No,APPAVU.M,ESSAKKIAMMAL.E,GIRIJA THAMARAIPANDIAN.D,BALAKRISHNAN.S.P,DR.SATHISH CHRISTOPHER,JESURAJENDRAN.J,MAHALAKSHMI,MURUGAN.P,ARUNRAJ,OLIVER ANTON NAVAMONI. S,ANANTHI.R,ANAND PRASAD,KARTHICK.V,KINGSLY ISACC JEBARAJ.S,SUNDARAJAN.S,SELVAN.T,DANIEL.A,PON SANTHANA KUMARAN.R,MANIKANDAN.A.I,MANIKANDAN.S,MANIKANDAN.L,RAJAN.P,JEYARAJ.P V S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,199,0,32,216,245,1,0,0,0,0,0,0,1,0,2,3,8,2,0,2,0,0,0,711,0,3,714,0
2,199,0,46,163,274,0,1,0,1,2,0,0,1,1,1,2,1,0,0,1,0,0,0,693,0,4,697,0
3,260,1,38,169,285,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,762,0,5,767,0
4,183,1,51,193,251,0,1,1,0,0,0,0,0,1,0,0,3,1,1,2,2,0,0,691,0,3,694,0
5,139,3,47,102,238,1,1,2,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,540,0,3,543,0
6,157,1,35,194,296,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,689,0,4,693,0
7,161,0,30,155,229,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,581,0,3,584,0
8,114,0,28,131,181,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,461,0,2,463,0
9,156,1,14,131,119,1,0,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,429,0,0,429,0
10,112,0,15,101,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,1,320,0
11,185,1,34,100,207,0,1,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,1,536,0,3,539,0
12,218,0,26,92,193,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,533,0,3,536,0
13,160,0,39,164,266,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,634,0,1,635,0
14,240,1,46,117,194,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,605,0,2,607,0
15,95,1,12,76,108,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,294,0,0,294,0
16,154,2,37,168,189,0,0,0,0,0,1,1,0,0,0,1,5,1,1,0,0,0,0,560,0,3,563,0
17,207,10,22,82,221,0,0,1,0,0,0,0,0,0,1,0,5,2,1,1,0,0,0,553,0,0,553,0
18,280,7,56,211,279,0,1,0,0,1,0,0,0,0,0,1,3,4,0,2,1,0,0,846,0,2,848,0
19,305,1,36,193,235,1,0,0,0,0,0,1,0,0,1,0,6,6,0,2,1,1,0,789,0,2,791,0
20,147,0,56,316,192,0,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,718,0,0,718,0
21,243,2,41,233,179,1,1,1,0,0,1,0,1,1,0,0,2,6,0,0,0,0,1,713,0,1,714,0
22,187,1,48,122,235,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,598,0,2,600,0
23,274,0,61,154,279,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,774,0,2,776,0
24,307,9,38,73,258,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,690,0,3,693,0
