Polling Station No,ANANTHAN AYYASAMY,ESAI MATHIVANAN,R. RAMESHKUMAR,E. RAJA,R. AMUTHARANI,K. PAULRAJ,A. PONNUTHAI,K. RAJENDRAN,B. VEERALAKSHMI,M. ARUMUGASAMY,P. KARPAGAVALLI,I. SARAVANAN,SENTHILKUMAR,SELVARAJ .C,K. NAGARAJAN,A. PALANIKUMAR,PRABAKARAN .R,K. RAMACHANDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,173,21,0,99,117,2,4,0,1,0,2,0,2,1,0,5,2,0,429,0,3,432,0
2,175,47,1,167,123,1,0,0,0,0,2,1,0,1,0,4,2,0,524,0,4,528,0
3,273,42,2,132,112,6,1,2,1,0,2,1,2,1,0,1,2,0,580,0,1,581,0
4,172,28,0,152,78,1,0,0,0,0,0,2,2,0,0,2,2,0,439,0,1,440,0
5,245,41,1,124,136,0,5,0,0,0,1,3,2,0,0,8,1,0,567,0,1,568,0
6,139,87,0,166,157,2,4,0,0,0,0,0,1,0,0,2,1,1,560,0,7,567,0
7,199,76,4,240,226,1,28,0,0,3,4,2,2,0,3,4,4,4,800,0,2,802,0
8,112,60,1,241,116,58,6,2,0,0,2,0,1,0,0,2,1,1,603,0,2,605,0
9,61,53,0,295,148,96,1,0,0,1,1,0,0,0,2,0,2,0,660,0,3,663,0
10,187,126,0,143,180,4,1,1,0,0,0,0,4,0,0,1,4,2,653,0,1,654,0
11,46,46,1,155,132,100,0,0,1,0,3,2,3,0,2,0,1,1,493,0,6,499,0
12,33,55,0,208,78,21,0,0,0,0,0,1,2,2,1,4,2,0,407,0,3,410,0
13,30,39,0,285,177,8,1,0,0,0,2,2,7,1,1,0,0,1,554,0,1,555,0
14,183,88,0,204,145,2,0,0,1,1,0,3,4,0,0,3,8,2,644,0,4,648,0
15,202,66,4,202,111,8,0,0,0,0,3,0,1,1,1,1,5,1,606,0,3,609,0
16,163,43,1,117,116,11,6,0,0,0,4,3,2,0,3,2,0,0,471,0,1,472,0
17,147,26,1,193,92,15,27,0,1,0,2,2,4,3,2,3,2,2,522,0,1,523,0
18,311,43,0,154,189,3,7,1,0,0,2,0,5,2,0,9,5,1,732,0,1,733,0
19,313,53,1,132,130,4,15,0,1,0,3,2,2,1,0,7,1,0,665,0,1,666,0
20,109,38,1,226,108,1,2,1,0,0,2,5,6,0,2,4,5,0,510,0,2,512,0
21,99,30,0,170,102,3,31,0,0,0,2,1,1,0,0,0,0,1,440,0,1,441,0
22,190,39,2,198,129,1,42,1,0,0,2,1,2,2,0,5,2,0,616,0,4,620,0
23,142,34,1,495,218,2,13,0,0,0,6,5,5,1,1,5,0,1,929,0,2,931,0
