Polling Station No,Candidate_1,JARAVLES.K,NAYINILIMAHT.V.K,MAVISAMARAP.P.K,YMASANIHTAR.K,LEVIHTKAS.K,JARAMRAHD.S,RAMUKMAR.K,IARUDANNA.A,R.IARUDANNA,MAGUMURA.S,NANAVARAS.A,JARAVLES.G,JARAVLES .M,JARNAHOM.V,HSEMAR .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,126,8,96,0,0,1,188,1,0,1,0,0,1,1,1,424,0,3,427,0
2,2,147,28,181,0,1,1,240,0,0,0,0,0,1,0,1,600,0,7,607,0
3,3,124,28,143,3,0,1,297,0,0,0,0,0,0,0,0,596,0,5,601,1
4,4,123,13,224,0,0,2,181,0,0,1,0,0,1,1,1,547,0,2,549,0
5,5,82,13,180,0,0,1,215,0,0,0,0,0,0,2,0,493,0,2,495,0
6,6,93,5,228,0,0,1,97,1,0,0,0,1,0,3,0,429,0,5,434,0
7,7,76,11,135,0,0,1,123,0,0,0,1,0,0,2,0,349,0,1,350,0
8,8,250,24,240,7,1,0,370,1,6,2,0,4,1,4,1,911,0,7,918,0
9,9,112,18,205,0,0,0,159,0,0,2,0,0,0,0,0,496,0,2,498,0
10,10,99,19,141,2,0,0,124,0,0,0,0,0,0,0,0,385,0,0,385,0
11,11,120,36,231,2,0,1,234,0,0,0,0,0,0,0,2,626,0,2,628,0
12,12,103,14,351,1,0,1,121,0,1,0,0,2,0,3,0,597,0,3,600,0
13,13,56,5,177,3,1,0,110,0,0,0,0,1,0,2,0,355,0,0,355,0
14,14,215,35,220,1,0,4,344,0,1,1,1,1,1,4,1,829,0,6,835,0
15,15,167,41,254,0,0,0,325,0,1,0,0,1,0,1,0,790,0,2,792,0
16,16,160,23,180,2,0,1,199,0,1,1,0,0,0,3,0,570,0,6,576,0
17,17,124,18,90,1,0,2,260,0,1,2,0,0,1,0,0,499,0,0,499,0
18,18,164,20,251,0,1,1,299,2,0,1,0,1,0,0,0,740,0,2,742,0
19,19,167,21,184,3,0,1,233,0,1,0,0,0,0,0,0,610,0,3,613,0
20,20,144,20,159,2,0,0,170,0,0,0,0,0,0,0,0,495,0,2,497,0
21,21,163,40,263,2,1,1,234,1,0,0,1,0,1,0,3,710,0,2,712,0
22,22,126,35,244,2,0,0,204,1,0,1,0,1,0,0,0,614,0,4,618,0
23,23,233,46,272,4,0,0,347,1,1,1,0,1,0,3,0,909,0,3,912,0
24,24,276,51,197,3,0,0,338,3,0,1,2,0,0,2,1,874,0,3,877,0
25,25,116,16,215,1,1,0,210,2,0,0,0,1,0,1,0,563,0,3,566,0
26,26,138,45,269,3,0,1,270,2,0,1,0,0,1,2,1,733,0,1,734,0
27,27,173,48,387,4,1,0,233,2,1,1,0,1,0,4,0,855,0,3,858,0
28,28,186,12,201,1,0,1,192,0,0,1,0,1,0,1,1,597,0,4,601,0
29,29,204,28,284,1,0,0,295,1,0,1,0,1,0,3,2,820,0,7,827,0
30,30,220,27,226,1,0,0,214,0,0,0,0,0,0,0,2,690,0,5,695,0
31,31,265,25,236,1,0,2,237,1,0,0,0,0,0,0,0,767,0,7,774,1
32,32,176,7,241,1,0,1,160,0,0,0,0,1,0,1,0,588,0,11,599,0
33,33,108,32,318,0,0,0,249,0,2,0,1,0,0,0,0,710,0,2,712,0
34,34,146,26,186,0,1,0,267,0,10,0,1,0,0,0,1,638,0,3,641,0
35,35,179,36,204,1,2,1,275,2,2,0,0,1,0,1,1,705,0,3,708,1
36,36,175,38,135,1,0,1,318,0,0,0,0,0,0,1,0,669,0,2,671,0
37,37,148,29,93,1,0,0,215,2,0,0,0,1,0,0,0,489,0,6,495,0
38,38,109,21,224,1,2,1,181,2,0,0,0,0,1,2,2,546,0,4,550,0
39,39,92,22,157,1,0,2,243,0,1,0,0,0,0,0,2,520,0,0,520,0
40,40,181,31,244,0,0,0,372,1,1,0,0,0,0,1,0,831,0,3,834,0
41,41,182,23,248,0,0,0,252,2,1,1,1,0,0,0,0,710,0,2,712,0
42,42,167,18,342,3,2,3,413,0,8,1,1,0,0,3,2,963,0,2,965,0
43,43,101,52,126,0,0,0,316,0,1,0,0,0,0,0,0,596,0,1,597,0
44,44,89,38,125,2,0,1,236,0,0,1,0,0,0,1,1,494,0,4,498,0
45,45,155,40,221,2,0,1,288,1,0,0,0,3,0,1,0,712,0,3,715,0
46,46,195,25,79,4,0,1,241,1,1,0,0,0,0,3,1,551,0,5,556,0
47,47,222,18,53,3,0,2,258,1,0,0,0,0,0,0,1,558,0,4,562,0
48,48,225,34,74,1,1,1,397,1,1,0,0,0,0,1,0,736,0,6,742,0
49,49,264,16,52,2,0,4,175,0,0,1,0,0,0,2,0,516,0,0,516,0
50,50,200,23,68,1,0,1,306,1,4,4,1,2,0,2,2,615,0,4,619,0
51,51,232,18,76,2,0,1,213,0,0,0,0,0,1,0,3,546,0,1,547,0
52,52,122,27,221,1,0,0,222,0,0,1,0,0,0,0,0,594,0,2,596,0
53,53,125,16,142,2,1,2,219,0,0,2,0,1,1,2,1,514,0,3,517,0
54,54,230,34,137,2,0,0,336,1,0,0,0,0,0,0,0,740,0,2,742,0
55,55,197,52,151,1,1,1,327,0,0,0,0,0,0,1,0,731,0,2,733,0
56,56,172,19,135,0,0,0,306,1,0,2,1,0,0,0,0,636,0,5,641,0
57,57,227,29,119,1,0,0,360,1,1,1,0,0,0,0,0,739,0,2,741,0
