Polling Station No,Candidate_1,AARIANURAK.S.N AJ,IMHSKALAYIKAB .G,NAHTANAGOY.N,NAYIANNIHC.M,AYVIHD.K,YMASINALAP.C,.NANNAMRALAM M,HSENGIV.M,AWHSETAKNEV.S NAR,RAMUKLIHTNES,NAHTANAGOL.P .LIHP.M.CS.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,110,29,267,4,1,0,1,163,0,1,1,577,0,2,579,0
2,2,66,26,317,5,1,2,2,267,3,2,4,695,0,3,698,0
3,3,114,19,285,3,1,1,0,160,0,1,1,585,0,2,587,0
4,4,126,14,173,5,1,0,0,159,2,0,3,483,0,7,490,0
5,5,220,37,273,2,0,0,1,319,2,0,2,856,0,10,866,0
6,6,266,20,157,5,0,0,0,224,1,0,1,674,0,2,676,0
7,7,123,23,72,0,2,0,0,94,0,1,0,315,0,2,317,0
8,8,172,17,201,4,2,1,1,369,1,2,0,770,0,4,774,0
9,9,122,26,130,0,0,5,1,269,2,1,3,559,0,8,567,0
10,10,132,26,205,2,3,3,1,358,1,3,2,736,0,8,744,0
11,11,138,22,99,1,0,0,0,131,0,0,1,392,0,1,393,0
12,12,226,33,167,2,1,3,4,296,2,1,2,737,0,4,741,0
13,13,170,33,191,1,2,1,1,331,1,1,1,733,0,1,734,0
14,14,178,21,204,1,1,1,1,273,1,0,2,683,0,2,685,0
15,15,228,24,108,3,0,2,1,264,0,1,1,632,0,5,637,0
16,16,97,9,108,0,1,1,0,101,0,0,3,320,0,3,323,0
17,17,166,20,156,1,0,2,1,268,0,0,0,614,0,2,616,0
18,18,170,27,156,2,2,1,2,256,1,1,0,618,0,3,621,0
19,19,132,17,133,3,0,0,0,208,3,1,0,497,0,1,498,0
20,20,234,33,175,2,1,4,1,338,1,0,1,790,0,3,793,0
21,21,159,34,354,4,1,1,0,358,2,3,4,920,0,4,924,0
22,22,231,38,187,3,3,0,1,235,0,0,0,698,0,4,702,0
23,23,85,30,121,2,4,0,2,136,0,0,0,380,0,1,381,0
24,24,144,34,151,2,2,0,2,297,2,1,3,638,0,6,644,0
25,25,159,58,128,5,0,1,1,269,1,4,1,627,0,6,633,0
26,26,160,24,250,5,4,0,1,263,2,4,4,717,0,7,724,0
27,27,206,48,281,3,1,1,3,260,0,3,4,810,0,8,818,0
28,28,137,38,162,4,1,2,0,232,0,6,3,585,0,2,587,0
29,29,270,31,179,8,4,0,1,281,0,0,3,777,0,7,784,0
30,30,280,30,88,1,1,0,0,178,0,0,1,579,0,1,580,0
31,31,188,15,99,0,3,0,0,139,0,0,0,444,0,5,449,0
32,32,215,8,74,1,0,1,0,90,0,0,0,389,0,2,391,0
33,33,307,75,308,5,1,1,3,257,1,0,2,960,0,4,964,0
34,34,193,36,175,6,0,2,1,292,2,0,2,709,0,0,709,0
35,35,204,14,141,1,4,1,1,164,0,1,0,531,0,7,538,0
36,36,122,21,280,4,0,3,2,274,0,2,2,710,0,5,715,0
37,37,213,33,162,4,0,0,1,213,0,1,0,627,0,7,634,0
38,38,153,24,169,1,0,0,2,299,2,0,0,650,0,1,651,0
39,39,134,22,115,1,0,0,2,163,0,0,1,438,0,2,440,0
40,40,95,19,93,2,0,0,0,365,1,3,2,580,0,1,581,0
41,41,67,19,83,1,1,1,4,410,0,0,1,587,0,4,591,0
42,42,162,30,169,2,1,2,3,542,3,7,4,925,0,1,926,0
