Polling Station No,AASSAN MAULAANA J.M.H,ASHOK. M.K,KEERTHANA. M,MOHANRAJ. K,KANCHANA. R,KUMAR. R,POYYAMOZHI. M,MANI. M,MOHAMED YASEEN. I,ROKESH KUMAR. V,ASHOK. M,AZARUTHEEN. M,AHAMMED NAZEER KHAN,KANNAN. K,KALA PETHACHI,SARABESHWAR SISU. P,SURESH K,DIWAKAR. R,DEEPAK RAVI,BHASKAR. G,MOHAN. R,RADHAKRISHNAN. D.R,RAJASEKAR. S,RITISH,VIGNESH. M,VIGNESH. R,JANAGARAJ RAVI GUNASEELAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,237,139,15,3,0,335,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,736,0,5,741,2
2,186,157,15,2,1,287,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,654,0,4,658,0
3,275,282,49,0,0,346,0,0,0,0,2,0,1,0,2,0,2,2,0,0,0,1,0,0,0,0,0,962,0,5,967,0
4,175,238,25,1,0,358,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,803,0,1,804,0
5,80,144,22,1,1,159,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,413,0,2,415,0
6,136,104,23,1,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,481,0,4,485,0
7,220,177,35,2,1,301,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,738,0,4,742,0
8,75,89,19,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,311,0,2,313,0
9,174,184,25,0,1,253,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,1,644,0,4,648,0
10,142,166,36,0,1,303,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,650,0,6,656,0
11,197,136,30,1,2,379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,747,0,2,749,0
12,148,58,16,0,1,237,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,464,0,2,466,0
13,209,81,19,1,0,288,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,602,0,0,602,0
14,204,50,24,0,1,270,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,554,0,2,556,0
15,144,105,34,0,0,349,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,2,0,0,641,0,0,641,0
16,168,104,10,1,4,301,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,591,0,2,593,0
17,183,97,24,1,1,383,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,695,0,0,695,0
18,188,114,14,0,2,501,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,824,0,1,825,0
19,164,120,16,1,2,549,0,2,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,861,0,4,865,0
20,105,79,15,0,0,207,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,413,0,1,414,0
21,113,102,23,2,0,268,0,1,0,1,1,1,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,518,0,1,519,0
22,155,106,24,1,0,179,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,472,0,6,478,0
23,253,97,14,0,1,261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,629,0,2,631,0
24,158,226,28,0,0,353,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,770,0,5,775,0
25,123,158,19,0,0,311,0,1,0,0,3,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,622,0,1,623,0
26,177,170,30,1,0,442,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,828,0,2,830,0
27,133,161,18,0,2,283,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,602,0,2,604,0
28,112,204,27,0,1,290,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,638,0,1,639,0
29,91,104,17,0,0,249,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,470,0,2,472,0
30,121,120,28,0,0,289,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,562,0,1,563,0
31,110,192,22,1,1,379,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,714,0,3,717,0
32,155,148,21,0,0,555,2,1,1,0,1,0,0,1,1,0,4,1,0,0,0,4,0,0,2,0,0,897,0,2,899,0
33,107,169,25,3,0,221,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,533,0,7,540,0
34,128,93,18,2,0,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,407,0,7,414,0
35,110,141,26,1,0,299,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,584,0,1,585,0
36,144,210,20,2,0,260,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,640,0,6,646,0
37,144,190,30,4,1,299,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,678,0,5,683,0
38,142,252,23,2,0,213,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,1,635,0
39,76,181,24,1,0,150,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,438,0,9,447,0
40,59,183,11,0,0,152,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,408,0,4,412,0
41,152,208,26,3,2,241,0,4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,641,0,4,645,0
42,168,255,28,1,0,227,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,685,0,4,689,0
43,150,234,29,0,0,252,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,669,0,6,675,0
44,112,126,27,0,0,222,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,5,494,0
45,102,93,23,1,0,176,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,398,0,1,399,0
46,173,171,32,0,0,274,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,653,0,4,657,0
47,168,131,36,1,1,217,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,555,0,1,556,0
48,109,119,25,1,0,206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,8,470,0
49,137,122,42,0,2,208,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,517,0,3,520,0
50,213,162,57,1,4,415,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,856,0,5,861,0
51,134,118,25,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,551,0,3,554,0
52,114,99,31,1,0,222,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,471,0,1,472,0
53,220,158,52,1,0,335,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,774,0,6,780,0
54,161,114,22,0,1,289,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,592,0,5,597,0
55,136,105,6,0,1,232,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,482,0,2,484,0
56,224,171,27,0,2,280,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,1,1,1,714,0,12,726,0
57,103,89,21,1,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,404,0,3,407,0
58,133,135,25,0,0,243,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,542,0,0,542,0
59,192,48,16,2,1,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,453,0,0,453,0
60,223,81,14,2,0,273,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,596,0,4,600,0
61,110,164,23,0,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,582,0,5,587,0
62,95,86,28,0,0,232,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,447,0,5,452,0
63,159,119,11,1,0,331,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,626,0,5,631,0
64,127,161,22,0,1,305,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,618,0,3,621,0
65,151,134,31,1,0,381,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,703,0,7,710,0
