Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,132,0,9,0,4,221,1,0,1,220,2,2,1,1,0,0,1,0,0,1,596,596,0,596,0,1 :oN dnuoR
2,103,0,4,0,0,56,0,0,2,301,0,1,0,0,0,0,0,1,0,1,469,469,0,469,0,
3,575,2,22,0,4,192,1,0,3,184,1,0,0,1,1,8,2,0,0,4,1000,1000,0,1000,0,
4,173,1,11,0,3,132,5,0,1,433,2,2,0,0,0,5,1,0,0,1,770,770,0,770,0,
5,337,0,11,0,0,139,2,0,0,76,0,0,0,0,0,1,0,0,0,1,567,567,0,567,0,
6,301,4,22,0,2,183,0,0,0,332,2,1,0,0,0,5,2,0,0,2,856,856,0,856,0,
7,387,6,21,0,2,133,1,0,2,224,2,0,0,0,0,5,1,0,0,1,785,785,0,785,0,
8,88,1,17,0,0,86,0,0,2,531,1,1,0,0,0,1,1,0,0,0,729,729,0,729,0,
9,207,3,9,0,3,146,1,2,1,212,2,1,0,0,1,11,2,0,0,1,602,602,0,602,0,
10,106,0,10,0,0,72,1,2,6,322,3,1,2,1,0,2,2,0,0,1,531,531,0,531,0,
11,91,1,4,0,0,58,0,0,12,189,1,0,0,0,1,0,0,0,0,0,357,357,0,357,0,
12,274,3,28,2,7,204,2,0,0,390,3,2,0,0,2,1,0,1,1,3,923,923,0,923,0,
13,321,1,12,0,2,244,2,0,0,287,0,1,0,0,0,3,2,0,0,0,875,875,0,875,0,
14,136,1,22,2,1,108,0,0,1,286,0,0,1,0,2,2,1,0,0,0,563,563,0,563,0,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 :oN dnuoR
16,291,2,17,0,1,285,5,0,4,351,0,1,3,1,2,7,0,0,0,0,970,970,0,970,0,
17,212,2,21,1,1,130,4,0,1,409,1,2,0,3,0,9,2,0,0,1,799,799,0,799,0,
18,282,1,15,0,4,226,1,2,3,228,2,2,0,0,0,6,1,0,0,1,774,774,0,774,0,
19,65,0,4,0,0,63,0,1,1,163,2,0,0,0,0,0,0,0,0,1,300,300,0,300,0,
20,142,4,34,1,4,183,2,0,3,476,5,1,0,1,1,0,1,0,0,0,858,858,0,858,0,
21,137,1,7,0,2,162,4,1,2,234,0,1,0,0,0,3,1,0,0,0,555,555,0,555,0,
22,148,2,11,1,2,158,1,0,3,380,2,7,1,1,1,0,2,0,0,1,721,721,0,721,0,
23,108,2,15,0,2,79,1,0,0,216,0,0,1,0,0,1,2,0,0,0,427,427,0,427,0,
24,338,2,29,2,6,230,1,0,2,264,5,3,0,1,1,4,0,0,0,0,888,888,0,888,0,
25,313,2,22,0,3,283,1,0,0,378,0,0,1,0,0,3,5,0,0,0,1011,1011,0,1011,0,
26,127,1,25,0,2,151,5,3,25,494,0,2,1,0,0,1,2,0,0,5,844,844,0,844,0,
27,229,3,21,2,4,183,4,0,8,289,1,4,0,1,0,5,2,0,1,3,760,760,0,760,0,
28,91,0,7,0,3,88,2,2,5,227,2,3,0,0,0,4,0,0,0,1,435,435,0,435,0,
29,157,1,15,0,0,161,2,0,38,415,1,4,0,0,0,1,0,0,0,0,795,795,0,795,0,3 :oN dnuoR
30,202,5,35,0,1,187,2,0,4,526,5,4,0,1,2,6,2,0,0,2,984,984,0,984,0,
31,91,0,13,0,2,118,2,0,4,256,1,2,1,2,0,5,4,1,0,0,502,502,0,502,0,
32,198,0,15,0,1,108,4,0,2,206,2,2,0,0,0,1,3,0,0,0,542,542,0,542,0,
33,177,1,29,1,1,158,4,3,4,405,1,2,0,0,1,3,1,0,0,0,791,791,0,791,0,
34,152,1,20,0,4,252,0,0,4,198,1,3,0,0,0,1,2,0,0,3,641,641,0,641,0,
35,144,1,25,2,1,319,0,1,0,285,0,0,0,0,0,2,1,0,0,1,782,782,0,782,0,
36,279,4,24,3,3,373,1,2,3,251,0,4,1,2,0,2,1,0,0,1,954,954,0,954,0,
37,232,4,28,0,5,353,4,1,3,321,3,1,1,0,3,7,4,0,0,1,971,971,0,971,0,
38,124,0,22,0,6,201,2,1,8,265,0,4,1,2,2,5,1,0,0,1,645,645,0,645,0,
39,136,1,33,0,2,207,7,0,1,196,2,1,0,0,0,1,1,0,0,0,588,588,0,588,0,
40,100,1,13,0,3,210,1,0,0,50,1,0,0,0,0,3,0,0,0,2,384,384,0,384,0,
41,269,1,44,1,3,309,0,0,0,145,3,2,0,0,0,3,4,0,0,2,786,786,0,786,0,
42,210,1,22,0,0,232,0,0,0,134,0,1,0,0,1,0,0,0,0,2,603,603,0,603,0,
43,222,1,37,3,1,225,1,1,2,184,2,1,0,3,1,6,3,1,1,2,697,697,0,697,0,4 :oN dnuoR
44,317,1,50,2,1,340,2,0,1,159,2,1,0,0,2,3,0,0,0,1,882,882,0,882,0,
45,228,0,24,1,0,220,1,0,0,60,0,1,0,1,1,5,2,0,0,1,545,545,0,545,0,
46,181,0,16,0,1,167,0,0,1,45,2,2,0,0,0,1,2,0,0,0,418,418,0,418,0,
47,329,3,47,1,2,405,3,1,1,88,3,3,0,1,2,4,2,0,0,3,898,898,0,898,0,
48,245,1,13,0,1,273,2,0,0,43,0,1,0,0,0,0,4,0,0,2,585,585,0,585,0,
49,175,0,12,0,5,155,0,0,1,84,1,0,0,1,0,4,2,0,0,1,441,441,0,441,0,
50,203,1,24,0,0,168,1,0,2,73,0,1,0,1,1,2,3,0,1,0,481,481,0,481,0,
51,146,0,22,0,1,156,1,0,3,199,0,0,0,0,2,0,0,0,1,1,532,532,0,532,0,
52,177,1,21,0,8,182,1,1,1,355,0,0,1,0,0,3,3,0,0,0,754,754,0,754,0,
53,380,6,41,0,2,221,1,1,0,180,1,1,1,0,1,6,5,0,0,1,848,848,0,848,0,
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,101,2,11,0,0,104,1,0,2,606,0,1,0,1,0,0,1,0,1,1,832,832,0,832,0,
56,297,2,22,0,4,281,6,3,1,365,2,3,0,3,1,5,8,0,0,0,1003,1003,0,1003,0,
57,72,0,4,0,3,50,2,0,17,210,1,0,1,0,0,1,1,0,0,0,362,362,0,362,0,5 :oN dnuoR
58,339,2,34,0,2,194,0,2,4,354,1,0,0,1,2,11,2,1,0,0,949,949,0,949,0,
59,162,1,16,0,1,128,2,1,11,483,0,1,0,0,0,2,1,0,0,1,810,810,0,810,0,
60,335,2,19,0,5,188,1,0,5,165,1,1,0,1,0,10,3,1,0,1,738,738,0,738,0,
61,295,3,43,0,1,264,1,7,4,164,0,2,0,1,0,3,6,0,1,1,796,796,0,796,0,
62,177,0,10,0,1,115,1,0,2,185,0,1,0,0,0,2,4,0,0,0,498,498,0,498,0,
63,291,1,42,1,9,202,1,0,3,223,3,3,0,0,0,4,1,0,0,2,786,786,0,786,0,
64,493,3,22,1,5,261,2,0,2,193,1,1,0,1,2,15,16,1,0,2,1021,1021,0,1021,0,
65,437,2,19,0,2,205,2,1,3,153,1,0,0,0,0,5,6,0,0,0,836,836,0,836,0,
