Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
25,2,216,24,186,0,199,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,634,0,6,640,0
26,1,183,21,227,0,209,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,647,0,5,652,0
27,0,209,36,198,2,181,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,634,0,5,639,0
28,2,283,27,274,0,255,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,2,3,0,0,0,0,0,853,0,4,857,0
29,2,310,31,166,0,285,0,0,2,1,0,0,1,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,805,0,5,810,0
30,2,181,24,186,0,197,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,593,0,6,599,0
31,2,264,49,184,3,294,0,0,0,1,0,0,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,804,0,3,807,0
32,1,275,46,194,2,268,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,792,0,4,796,0
33,0,243,22,198,1,234,0,0,1,0,0,0,0,0,0,1,0,5,0,1,1,1,0,0,0,1,0,1,710,0,3,713,0
34,2,195,23,176,0,206,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,606,0,6,612,0
35,0,170,23,179,0,286,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,665,0,2,667,0
36,0,152,39,252,0,299,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,2,0,1,1,0,753,0,6,759,0
37,3,286,36,142,1,306,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,3,0,0,0,1,0,0,786,0,1,787,0
38,0,178,33,178,0,220,1,0,0,0,0,2,0,0,2,6,1,1,0,2,0,0,0,0,0,0,0,0,624,0,4,628,0
39,1,249,30,224,2,256,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,1,0,1,0,1,0,773,0,4,777,0
40,0,176,37,290,2,288,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,796,0,10,806,0
41,3,248,27,206,1,271,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,761,0,6,767,0
42,2,251,40,209,0,289,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,797,0,4,801,0
43,1,211,20,176,1,191,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1,608,0,5,613,0
44,0,185,16,169,1,166,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,547,0,1,548,0
45,0,290,43,188,1,320,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,849,0,3,852,0
46,1,292,22,171,0,282,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,774,0,2,776,0
47,1,246,37,198,0,280,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,767,0,2,769,0
48,0,203,50,192,1,246,0,1,1,0,0,0,1,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,702,0,6,708,0
49,0,217,24,192,0,281,0,0,0,0,0,0,0,0,1,1,2,2,0,3,0,0,0,0,0,1,0,1,725,0,3,728,0
50,0,195,42,158,0,290,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,692,0,5,697,0
51,2,234,26,212,2,258,0,0,0,0,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,742,0,5,747,0
52,0,307,46,136,2,464,0,0,0,1,0,2,0,1,2,0,2,0,0,0,0,1,0,0,0,1,0,0,965,0,3,968,0
53,0,228,34,215,4,323,0,1,0,1,1,1,0,0,0,0,1,1,1,2,0,2,1,0,0,0,0,2,818,0,4,822,1
54,1,262,53,230,3,419,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,975,0,12,987,0
55,1,250,46,219,2,460,0,0,1,0,1,0,0,1,1,0,0,3,0,0,0,1,2,0,0,0,0,0,988,0,6,994,0
56,3,187,30,141,0,321,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,1,0,690,0,5,695,0
57,0,160,25,117,3,332,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,644,0,1,645,0
58,1,138,25,99,0,247,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,521,0,2,523,0
59,1,181,30,147,0,306,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,668,0,1,669,0
60,0,229,42,220,0,455,0,0,1,1,1,1,0,1,2,2,4,9,0,2,0,7,0,1,0,0,1,1,980,0,2,982,0
61,0,231,37,188,0,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,696,0,5,701,0
62,0,164,25,160,1,176,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,531,0,1,532,0
63,1,148,23,217,0,177,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,570,0,6,576,0
64,0,203,30,362,2,236,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,839,0,4,843,0
65,1,134,20,115,1,200,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,475,0,0,475,0
