Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
171,1,245,28,112,1,340,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,733,0,2,735,0
172,2,329,34,83,3,329,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,1,0,1,1,0,0,790,0,1,791,0
173,1,285,26,161,1,322,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,802,0,3,805,0
174,4,213,18,109,0,321,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,671,0,2,673,0
175,6,213,35,104,1,295,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,662,0,3,665,0
176,3,243,24,122,2,325,2,1,0,1,0,0,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,732,0,2,734,0
177,2,239,19,80,2,285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,630,0,3,633,0
178,1,232,20,92,0,286,0,0,0,0,2,0,0,0,0,1,1,4,0,0,1,0,1,0,0,0,0,0,641,0,2,643,0
179,0,222,26,99,2,260,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,616,0,1,617,0
180,3,244,19,93,0,235,0,0,1,1,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,604,0,3,607,0
181,0,205,27,123,0,313,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,675,0,2,677,0
182,0,257,30,118,0,378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,785,0,0,785,0
183,0,234,21,151,3,338,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,754,0,3,757,0
184,0,296,19,87,1,320,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,728,0,1,729,0
185,1,307,16,107,1,312,0,1,0,0,1,0,0,2,2,2,1,1,0,0,0,0,1,1,0,1,0,0,757,0,0,757,0
186,0,269,19,114,1,291,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,1,1,0,703,0,0,703,0
187,1,229,19,124,1,339,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,720,0,3,723,0
188,1,267,17,89,1,237,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,620,0,3,623,0
189,1,156,17,92,1,271,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,4,0,1,0,2,0,0,551,0,0,551,0
190,1,213,15,78,0,276,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,587,0,0,587,0
191,3,264,26,76,0,277,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,652,0,2,654,0
192,2,268,20,100,0,347,1,1,0,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,746,0,4,750,0
193,1,209,14,78,1,277,0,0,0,1,1,2,0,0,0,0,2,1,0,0,0,2,0,0,1,1,0,0,591,0,4,595,0
194,1,319,26,62,0,326,0,0,1,1,0,0,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,743,0,0,743,0
195,0,224,29,72,1,265,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,596,0,1,597,0
196,2,247,30,64,2,291,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,643,0,0,643,0
197,2,258,17,92,2,243,1,1,2,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,2,0,0,626,0,2,628,0
198,1,190,26,82,2,312,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,2,1,1,0,0,0,1,624,0,3,627,0
199,1,227,21,87,1,305,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,646,0,1,647,0
200,4,254,17,73,2,271,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,1,632,0,2,634,0
201,0,193,24,112,1,288,1,0,0,0,1,1,0,1,0,2,0,1,0,0,0,2,1,0,0,0,0,0,628,0,0,628,0
202,2,261,31,99,2,248,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,648,0,1,649,0
203,1,243,17,83,2,329,1,2,0,1,0,0,0,1,0,1,1,1,0,0,2,1,1,0,0,0,0,0,687,0,2,689,0
204,3,313,30,95,1,298,1,0,0,0,0,0,0,0,1,3,2,6,0,1,1,5,1,1,0,1,1,0,764,0,4,768,0
205,1,219,13,91,0,211,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,539,0,3,542,0
206,0,233,17,111,1,248,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,614,0,2,616,0
207,0,251,19,201,4,486,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,972,0,1,973,0
208,0,146,10,156,0,137,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,452,0,5,457,0
209,0,157,26,121,2,199,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,510,0,3,513,0
210,0,141,21,155,1,204,2,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,529,0,5,534,0
211,1,201,7,106,2,189,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,508,0,2,510,0
212,0,149,18,118,0,178,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,467,0,0,467,0
213,2,279,31,99,0,373,3,1,1,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,797,0,0,797,0
214,2,217,23,90,4,335,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2,4,1,0,0,1,0,0,683,0,1,684,0
215,3,324,21,109,1,267,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,2,1,0,0,0,0,0,734,0,1,735,0
216,0,318,24,70,2,319,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,744,0,1,745,0
217,1,258,17,122,0,215,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,618,0,1,619,0
218,1,164,12,184,0,128,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,491,0,4,495,0
219,1,233,18,128,0,270,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,652,0,1,653,0
220,0,165,17,162,0,191,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,538,0,6,544,0
221,3,192,24,126,1,228,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,1,0,0,581,0,2,583,0
222,0,152,25,123,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,447,0,0,447,0
223,2,213,17,100,1,267,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,2,606,0
224,0,156,13,104,0,84,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,361,0,3,364,0
225,1,152,10,142,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,1,490,0
226,1,143,7,241,0,108,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,503,0,2,505,0
227,0,138,19,152,0,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,461,0,5,466,0
228,1,150,15,154,0,133,0,0,1,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,460,0,3,463,0
229,2,181,11,148,0,190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,1,534,0
230,0,192,17,181,0,175,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,572,0,5,577,0
231,1,152,28,120,1,232,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,539,0,2,541,0
232,0,213,20,130,2,209,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,582,0,2,584,0
233,0,118,10,137,0,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,399,0,0,399,0
234,2,172,18,154,0,218,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,569,0,0,569,0
235,2,133,26,222,0,146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,1,531,0
236,0,155,17,180,0,180,0,0,1,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,1,542,0,4,546,0
237,1,180,24,157,2,178,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,548,0,2,550,0
238,0,214,15,178,0,292,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,1,0,0,0,0,0,0,708,0,3,711,0
239,2,153,14,150,1,177,1,0,0,0,0,0,0,1,0,4,0,2,1,0,0,1,0,1,0,0,0,0,508,0,6,514,0
240,3,216,27,216,1,250,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,2,723,0,4,727,0
241,0,161,17,150,1,180,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,514,0,4,518,0
242,0,184,15,140,0,342,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,0,1,0,1,0,2,692,0,0,692,0
243,0,221,30,184,2,278,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,721,0,2,723,0
244,2,152,25,173,0,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,548,0,3,551,0
245,0,180,33,175,0,291,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,684,0,3,687,0
246,ge 3 0,222,32,218,0,256,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,733,0,5,738,0
247,1,142,20,179,1,237,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,586,0,4,590,0
248,2,158,26,194,0,236,0,0,0,0,0,1,0,1,0,5,0,1,1,0,2,1,0,0,0,0,0,0,628,0,1,629,0
249,0,143,20,160,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470,0,2,472,0
250,0,202,51,125,2,348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,729,0,1,730,0
251,0,155,21,146,3,280,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,612,0,4,616,0
252,3,165,28,146,0,250,1,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,599,0,7,606,0
253,0,145,23,129,0,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,464,0,0,464,0
254,0,140,32,183,1,277,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,1,0,1,0,0,0,642,0,1,643,0
255,5,239,31,154,2,443,0,0,0,0,1,0,0,0,2,3,0,1,1,0,0,2,0,0,0,0,0,1,885,0,2,887,1
256,2,148,32,168,3,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,4,596,0
257,3,216,38,226,3,311,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,2,1,0,0,0,1,0,809,0,6,815,0
258,2,259,37,192,2,328,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,827,0,1,828,0
259,1,202,44,224,0,276,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,753,0,6,759,0
260,2,203,33,234,1,244,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,722,0,4,726,0
261,2,198,24,180,0,276,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,687,0,6,693,0
262,1,211,28,232,3,290,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,2,769,0
263,0,237,20,180,0,267,0,0,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,2,0,0,0,713,0,2,715,0
264,0,286,31,118,1,276,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,718,0,2,720,0
265,2,278,14,116,1,250,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,665,0,5,670,0
266,0,267,38,121,0,227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,655,0,2,657,0
267,1,255,28,132,0,222,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,645,0,2,647,0
268,2,250,20,77,0,245,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,601,0,3,604,0
269,2,279,30,119,1,215,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,652,0,3,655,0
270,0,272,25,159,0,290,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,751,0,5,756,0
271,2,227,39,98,0,315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,686,0,5,691,0
272,0,230,24,134,2,196,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,3,0,0,597,0,1,598,0
273,0,188,29,103,2,267,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,595,0,3,598,0
274,1,165,31,82,1,336,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,623,0,3,626,0
275,1,219,37,99,2,283,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,650,0,7,657,0
276,0,155,38,94,0,325,3,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,622,0,3,625,0
277,0,212,35,94,0,332,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,678,0,2,680,0
278,1,210,29,115,0,287,1,0,1,0,1,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,653,0,1,654,0
279,1,226,41,113,0,333,0,0,0,0,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,0,0,722,0,0,722,0
280,2,187,56,85,1,427,0,0,0,1,0,1,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,767,0,6,773,0
281,0,201,36,100,1,367,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,709,0,2,711,0
282,0,231,44,116,3,376,0,1,0,2,0,1,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,780,0,2,782,0
283,0,218,35,144,0,283,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,687,0,3,690,0
284,0,225,25,121,0,245,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,0,0,1,625,0,4,629,0
285,2,217,28,104,2,346,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,2,0,0,0,2,0,0,709,0,5,714,0
286,0,210,38,123,0,224,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,600,0,3,603,0
287,1,198,43,168,0,300,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,718,0,3,721,1
288,1,181,27,174,0,246,0,1,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,638,0,3,641,0
289,0,220,27,132,0,244,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,626,0,4,630,0
290,1,157,32,157,1,265,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,1,1,0,0,0,1,0,622,0,1,623,0
291,0,158,25,165,0,212,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,563,0,3,566,0
292,2,187,19,135,0,205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,549,0,3,552,0
293,0,156,30,163,2,247,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,605,0,5,610,0
294,0,154,28,158,0,252,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,596,0,0,596,0
295,2,219,35,164,1,275,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,700,0,2,702,0
296,3,223,38,154,0,284,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,706,0,1,707,0
297,1,193,10,136,0,220,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,565,0,1,566,0
298,2,213,29,128,1,263,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,642,0,1,643,0
299,1,243,28,93,1,312,0,0,0,1,1,1,0,1,0,3,0,3,0,0,2,2,4,1,0,0,0,0,697,0,4,701,0
300,0,268,15,125,2,280,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,696,0,2,698,0
301,0,170,20,81,0,207,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,482,0,3,485,0
302,0,155,27,126,2,231,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,545,0,1,546,0
303,0,192,30,160,1,222,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,612,0,3,615,0
304,2,174,28,173,0,249,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,629,0,3,632,0
305,0,157,14,141,3,244,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,566,0,2,568,0
306,2,190,30,121,0,254,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,604,0,4,608,0
307,1,173,25,105,0,285,0,1,2,0,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,599,0,0,599,0
308,3,202,31,121,0,345,1,2,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,714,0,8,722,0
309,1,272,24,140,1,331,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,776,0,7,783,0
310,1,172,37,177,0,279,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,671,0,3,674,0
311,0,170,28,155,0,214,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,571,0,3,574,0
312,0,233,24,85,1,324,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,671,0,2,673,0
313,2,193,37,117,0,266,1,0,1,0,1,0,1,2,0,2,0,0,0,0,2,3,0,0,0,0,0,0,628,0,3,631,0
314,2,199,45,127,2,345,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,727,0,1,728,0
315,0,207,28,124,1,315,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,679,0,2,681,0
316,1,171,17,149,0,271,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,616,0,0,616,0
317,4,232,51,127,0,411,0,0,0,1,3,0,0,0,0,4,0,1,0,0,2,0,2,0,0,0,0,0,838,0,2,840,0
318,1,162,37,108,1,287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,600,0,1,601,0
319,1,213,25,125,0,266,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,635,0,1,636,0
320,1,202,22,138,0,292,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,1,0,663,0,3,666,0
321,4,226,39,121,4,329,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,730,0,4,734,0
322,0,145,24,142,0,245,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,562,0,3,565,0
323,0,195,34,115,1,359,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,711,0,1,712,0
324,2,187,18,138,1,209,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,561,0,2,563,0
325,1,198,39,99,0,292,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,636,0,3,639,0
326,2,150,27,115,3,292,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,593,0,3,596,0
327,2,154,29,103,4,296,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,596,0,3,599,0
328,ge 4 2,161,27,114,2,303,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,616,0,4,620,0
329,0,224,14,58,2,333,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,636,0,3,639,0
330,0,188,35,132,1,284,1,0,0,0,0,0,0,0,0,1,2,2,0,2,0,2,0,0,0,0,0,1,651,0,3,654,0
331,0,179,27,115,1,351,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,681,0,4,685,0
332,5,108,23,121,0,179,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,439,0,4,443,0
333,0,157,13,126,1,240,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,542,0,3,545,0
334,1,194,19,95,0,382,1,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,699,0,1,700,0
335,2,177,35,142,1,428,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,788,0,2,790,0
336,4,115,16,49,1,245,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,1,1,441,0,1,442,0
337,2,149,19,98,0,280,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,555,0,0,555,0
