Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,56,400,263,0,3,263,1,1,0,0,1,0,1,3,1,4,997,997,0,997,0,1 :oN dnuoR
2,16,254,355,4,2,251,0,0,0,1,0,1,0,5,4,3,896,896,0,896,0,
3,11,289,176,0,1,128,1,0,0,0,0,0,2,1,4,0,613,613,0,613,0,
4,18,284,138,0,0,132,1,0,1,1,0,0,0,1,3,3,582,582,0,582,0,
5,18,307,251,0,5,289,0,0,1,1,2,0,2,0,4,1,881,881,0,881,0,
6,48,272,340,0,3,352,0,0,0,0,2,1,0,4,3,5,1030,1030,0,1030,0,
7,55,480,281,1,3,197,1,0,1,0,0,0,2,1,1,1,1024,1024,0,1024,0,
8,10,311,159,4,1,118,0,0,0,0,0,0,0,2,3,2,610,610,0,610,0,
9,16,288,79,1,0,59,0,0,0,0,0,0,0,0,0,1,444,444,0,444,0,
10,30,373,308,2,1,209,0,0,1,0,0,2,0,3,4,2,935,935,0,935,0,
11,15,313,240,2,4,182,0,0,1,0,0,0,3,4,2,0,766,766,0,766,0,
12,24,296,281,1,2,192,0,0,0,0,0,0,3,1,6,1,807,807,0,807,0,
13,9,285,204,1,1,117,0,0,1,0,0,0,0,1,1,0,620,620,0,620,0,
14,9,354,142,0,2,76,0,0,0,0,0,0,1,0,1,0,585,585,0,585,0,
15,22,326,146,2,1,151,0,0,0,1,0,0,1,1,0,1,652,652,0,652,0,2 :oN dnuoR
16,13,219,122,0,1,124,0,0,0,0,0,0,0,0,2,1,482,482,0,482,0,
17,31,167,251,1,1,221,0,1,0,1,1,0,1,0,2,2,680,680,0,680,0,
18,23,383,101,0,1,146,0,0,0,1,0,0,0,1,2,2,660,660,0,660,0,
19,17,141,184,1,0,123,0,1,0,0,0,0,0,4,0,1,472,472,0,472,0,
20,23,313,135,0,1,91,0,0,0,0,0,0,0,1,2,2,568,568,0,568,0,
21,31,188,300,2,0,217,0,0,0,0,0,0,0,2,2,0,742,742,0,742,0,
22,44,344,245,0,2,309,0,1,0,1,0,2,0,1,5,3,957,957,0,957,0,
23,12,183,86,1,5,157,0,1,0,0,0,0,1,0,1,1,448,448,0,448,0,
24,29,364,195,2,1,310,2,0,1,1,2,1,1,4,5,1,919,919,0,919,0,
25,28,166,171,1,1,272,0,1,1,0,1,0,0,0,0,3,645,645,0,645,0,
26,14,264,92,0,4,169,1,0,0,0,1,1,0,0,1,0,547,547,0,547,0,
27,20,184,96,0,2,289,3,1,1,0,1,1,2,2,4,2,608,608,0,608,0,
28,42,191,166,2,1,366,1,1,1,0,1,1,0,0,0,3,776,776,0,776,0,
29,35,596,245,1,2,182,1,0,1,0,1,0,2,1,6,3,1076,1076,0,1076,0,3 :oN dnuoR
