Polling Station No,SANGAI. GANESAN,M. KAVITHA,DR. DHILIPAN JAISHANKAR,S. MARIAPPAN,N.SELVAM,K. THANGAVEL,J. PANDI,PRABAKARAN,C. RAVI,C. RAMARAJAN,VASANTHI MURUGESAN,VELRAJ .S,S.ARULRAJ,ANAND,K. SUBBURAJ,K.SURESH,V. PAULPANDIAN,S. MUTHUSELVAN,K. RAVIKUMAR,M. RAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,171,53,273,0,0,0,1,0,1,385,1,0,0,2,0,1,1,2,0,0,891,0,3,894,0
39,101,31,239,1,0,1,0,0,1,276,1,0,1,1,0,2,1,1,1,0,658,0,4,662,0
40,44,8,170,0,1,0,0,0,1,178,0,0,0,1,0,0,0,0,1,1,405,0,2,407,0
41,168,27,234,3,0,0,0,2,3,312,8,0,1,1,0,1,1,0,3,0,764,0,5,769,0
42,258,42,271,1,1,0,2,2,0,306,3,0,0,3,1,3,2,1,1,0,897,0,4,901,0
43,154,40,326,1,0,0,0,1,1,304,1,0,0,0,0,0,2,0,0,1,831,0,5,836,0
44,131,55,256,1,1,1,2,1,2,276,2,0,1,0,0,1,1,1,1,0,733,0,4,737,0
45,463,9,18,0,0,0,0,0,0,98,0,0,0,0,0,0,2,0,0,0,590,0,0,590,0
46,442,14,16,0,0,1,0,1,1,76,2,0,0,1,0,2,1,0,0,1,558,0,1,559,0
47,676,18,29,2,1,0,0,6,0,143,5,0,2,0,0,0,1,1,1,0,885,0,1,886,0
48,304,37,160,1,0,0,1,4,2,377,0,0,1,1,0,0,2,0,0,0,890,0,3,893,0
49,200,66,220,4,0,0,0,44,3,266,2,2,2,2,1,2,4,1,4,0,823,0,5,828,0
50,329,9,6,0,0,0,0,0,1,70,1,0,0,0,0,0,3,2,0,0,421,0,1,422,0
51,385,19,76,2,0,0,0,10,0,154,0,0,1,1,0,2,2,0,0,0,652,0,0,652,0
52,e 1222,27,244,1,0,1,1,0,1,345,1,2,1,0,0,1,1,1,0,0,849,0,1,850,0
53,114,21,96,0,0,0,0,0,1,151,3,0,0,1,0,1,1,1,0,0,390,0,3,393,0
54,239,34,251,1,0,0,0,1,3,344,0,1,2,2,1,2,3,0,1,0,885,0,9,894,0
55,269,23,197,1,1,0,3,0,5,325,0,0,1,3,2,3,3,1,0,0,837,0,3,840,0
56,225,26,121,2,0,0,1,1,2,296,0,0,0,2,1,0,7,2,0,0,686,0,3,689,0
57,81,23,267,1,0,0,0,0,0,192,1,1,1,0,0,1,0,0,2,0,570,0,3,573,0
58,133,25,191,0,0,0,0,0,0,213,2,0,0,0,1,1,0,0,2,0,568,0,1,569,0
59,133,49,432,1,0,2,0,75,1,244,1,0,2,4,0,3,2,1,4,0,954,0,7,961,0
60,159,45,251,2,0,0,1,30,0,155,1,5,0,3,1,2,0,0,0,0,655,0,2,657,0
61,156,52,249,3,0,2,0,26,0,140,0,3,3,5,0,4,4,0,1,1,649,0,2,651,0
62,241,45,179,0,2,0,1,64,1,204,3,0,0,6,3,3,0,0,1,1,754,0,1,755,0
63,163,55,315,2,0,1,1,21,0,228,0,1,2,2,0,3,2,1,5,1,803,0,4,807,0
64,111,14,129,2,0,0,0,1,2,189,1,1,0,1,0,1,1,0,0,1,454,0,1,455,0
65,149,52,335,2,0,2,0,43,1,175,1,1,4,5,1,3,2,0,1,0,777,0,1,778,0
66,43,35,359,1,1,1,0,10,1,139,1,0,1,6,1,1,2,1,0,1,604,0,2,606,0
67,31,22,214,3,0,0,0,0,0,104,0,0,0,4,0,0,1,1,8,1,389,0,2,391,0
68,76,69,405,4,0,0,0,4,1,167,2,1,0,7,1,3,1,0,4,0,745,0,0,745,0
69,131,37,533,3,1,2,1,5,1,118,1,0,4,5,0,4,3,1,1,0,851,0,2,853,0
70,104,31,378,2,2,0,1,2,0,245,40,0,2,7,0,1,0,2,2,0,819,0,5,824,0
71,194,60,396,4,0,1,1,2,0,238,2,0,2,3,2,1,0,0,0,1,907,0,1,908,0
72,102,33,282,2,0,0,0,20,0,85,0,0,3,3,0,3,1,1,2,0,537,0,1,538,0
73,163,61,203,1,1,1,0,1,1,218,82,2,2,0,0,1,0,0,2,1,740,0,3,743,0
74,74,29,118,2,0,2,0,0,0,103,39,2,0,3,0,2,1,0,0,0,375,0,0,375,0
75,57,23,93,2,1,1,0,33,2,130,22,0,0,1,1,2,2,0,0,0,370,0,1,371,0
76,89,21,198,1,0,0,0,16,1,64,95,2,0,3,1,0,1,0,2,0,494,0,0,494,0
77,171,169,368,2,0,0,0,0,0,186,2,0,0,3,0,3,1,1,0,1,907,0,1,908,0
78,236,205,263,2,0,0,0,0,0,204,2,0,1,0,2,4,2,1,2,0,924,0,0,924,0
79,202,135,255,1,1,0,0,0,1,181,0,1,1,1,0,2,1,1,1,0,784,0,2,786,0
80,195,136,373,3,0,0,2,0,1,246,1,0,1,3,0,5,4,2,3,1,976,0,0,976,0
81,161,113,204,0,1,1,0,0,1,164,2,0,0,0,5,3,2,0,0,1,658,0,1,659,0
82,116,59,251,0,0,1,0,0,1,125,47,1,3,6,0,0,0,0,0,0,610,0,2,612,0
83,76,63,299,2,0,0,0,0,2,118,26,0,2,6,3,2,2,0,4,2,607,0,2,609,0
84,118,68,97,2,0,0,0,7,1,164,2,0,0,0,2,1,1,0,0,0,463,0,0,463,0
85,192,55,160,0,0,0,0,7,0,99,3,1,0,3,1,3,1,0,0,0,525,0,1,526,0
86,146,89,241,0,1,0,1,0,1,144,0,1,2,1,0,0,3,2,1,0,633,0,4,637,0
87,232,73,174,2,1,1,0,23,1,265,0,0,1,2,3,5,2,1,1,0,787,0,4,791,0
88,183,62,181,0,0,0,0,0,0,239,1,0,0,1,0,0,2,1,1,0,671,0,4,675,0
89,133,42,110,0,0,0,0,0,1,99,3,0,0,1,1,0,0,0,0,0,390,0,0,390,0
