Polling Station No,SANGAI. GANESAN,M. KAVITHA,DR. DHILIPAN JAISHANKAR,S. MARIAPPAN,N.SELVAM,K. THANGAVEL,J. PANDI,PRABAKARAN,C. RAVI,C. RAMARAJAN,VASANTHI MURUGESAN,VELRAJ .S,S.ARULRAJ,ANAND,K. SUBBURAJ,K.SURESH,V. PAULPANDIAN,S. MUTHUSELVAN,K. RAVIKUMAR,M. RAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
252,245,26,183,0,0,0,0,14,1,140,0,0,1,1,1,1,1,1,0,0,615,0,1,616,0
253,71,2,240,1,0,1,0,2,0,104,0,0,0,0,1,1,1,0,2,0,426,0,3,429,0
254,97,23,197,2,0,0,0,3,0,140,1,0,0,2,0,3,0,0,0,0,468,0,1,469,0
255,58,34,221,0,0,2,1,1,0,190,4,0,0,2,0,1,1,0,1,0,516,0,4,520,0
256,127,25,244,3,0,0,0,1,1,155,0,1,1,3,5,6,1,1,0,0,574,0,0,574,0
257,36,17,279,1,0,0,1,1,1,144,9,0,0,1,0,1,2,1,6,0,500,0,1,501,0
258,89,31,248,0,1,0,0,12,8,187,5,0,0,2,0,3,0,0,3,0,589,0,1,590,0
259,105,15,220,2,1,1,1,0,1,146,2,0,1,3,0,1,2,0,3,0,504,0,0,504,0
260,e 558,10,272,2,0,0,1,0,1,161,9,0,2,0,0,5,1,2,1,1,526,0,3,529,0
261,245,16,147,1,0,1,1,0,2,202,0,0,0,3,0,4,0,0,2,0,624,0,2,626,0
262,100,35,138,1,0,0,0,1,1,144,2,0,1,4,1,4,1,1,1,0,435,0,0,435,0
263,75,46,192,1,0,1,0,1,4,190,84,1,0,3,0,1,2,1,1,0,603,0,3,606,0
264,95,32,132,2,2,0,3,2,1,145,46,0,0,3,2,0,0,0,1,0,466,0,0,466,0
265,149,18,337,1,0,0,0,3,0,186,3,0,0,3,1,0,0,1,1,0,703,0,1,704,0
266,129,10,234,4,0,0,0,0,2,155,33,1,0,1,0,2,2,0,2,0,575,0,2,577,0
267,91,27,211,2,0,0,0,1,1,96,6,0,0,4,2,1,1,0,2,0,445,0,2,447,0
268,40,5,338,2,0,0,0,0,0,92,1,0,0,0,0,0,0,0,3,0,481,0,1,482,0
269,136,26,103,1,0,1,0,1,1,197,0,0,3,0,0,31,2,1,0,1,504,0,2,506,0
270,76,14,276,0,0,0,1,0,0,200,44,0,0,0,1,3,0,0,1,0,616,0,5,621,0
271,126,47,247,1,0,1,0,0,2,288,27,1,0,2,0,3,1,0,0,0,746,0,0,746,0
272,75,23,182,1,0,0,0,1,1,128,23,1,0,4,0,3,2,0,1,0,445,0,1,446,0
273,124,31,127,1,0,0,1,0,0,121,2,0,0,1,0,0,1,1,1,1,412,0,1,413,0
274,227,30,210,0,1,0,1,1,0,263,0,0,0,2,1,6,2,1,0,0,745,0,1,746,0
275,241,14,147,2,0,0,0,0,1,199,1,0,1,2,2,3,0,2,1,0,616,0,0,616,0
276,91,26,121,0,0,0,1,2,1,147,14,2,1,1,0,1,1,0,3,0,412,0,1,413,0
277,114,24,242,3,0,0,0,6,1,151,20,1,0,2,0,4,4,0,3,1,576,0,3,579,0
278,104,89,65,0,0,2,1,9,0,126,1,0,2,1,1,4,3,1,0,0,409,0,0,409,0
279,177,33,218,1,0,0,0,6,0,185,2,0,2,5,0,1,3,0,2,1,636,0,2,638,0
280,88,26,280,1,1,0,0,41,1,138,2,0,0,4,0,1,0,0,1,1,585,0,0,585,0
281,87,45,195,0,1,1,0,18,0,132,0,0,0,0,0,1,1,1,0,0,482,0,1,483,0
282,175,95,178,1,0,5,1,45,0,137,0,0,0,2,1,4,2,0,2,0,648,0,1,649,0
283,312,96,182,4,0,0,6,48,6,266,1,0,0,0,1,3,4,0,4,0,933,0,3,936,0
284,128,60,117,1,0,2,1,8,2,172,0,0,0,1,0,2,1,0,1,0,496,0,1,497,0
285,103,43,242,0,0,0,1,37,2,177,1,0,1,1,1,0,1,0,2,0,612,0,0,612,0
286,100,52,111,0,0,1,1,8,1,120,0,0,0,1,0,2,0,0,1,0,398,0,0,398,0
287,116,46,220,0,1,0,0,8,1,229,8,0,0,3,0,3,2,2,5,0,644,0,2,646,0
288,133,37,191,0,1,0,1,41,2,189,9,0,1,7,2,3,2,1,4,0,624,0,4,628,0
289,128,49,146,3,0,0,0,53,2,163,8,0,2,1,0,1,1,0,1,0,558,0,3,561,0
290,91,19,255,1,0,0,0,17,0,105,5,0,0,1,0,0,8,1,2,1,506,0,3,509,0
291,101,36,207,0,0,2,1,123,0,112,2,0,0,1,4,1,1,0,1,1,593,0,1,594,0
292,57,37,135,1,0,0,1,186,1,87,2,0,1,2,0,0,1,0,1,0,512,0,0,512,0
293,169,122,169,2,2,1,2,148,2,287,3,4,0,1,1,2,4,2,2,0,923,0,2,925,0
294,108,82,115,2,1,4,0,112,0,225,3,0,0,2,0,2,0,0,1,0,657,0,0,657,0
295,87,82,156,3,2,0,0,114,0,153,0,0,1,0,1,1,0,1,2,0,603,0,2,605,0
296,300,82,175,0,0,1,1,31,2,234,0,2,0,1,2,1,6,0,0,0,838,0,2,840,0
297,125,52,310,0,2,1,1,42,1,231,0,1,1,3,0,2,1,0,0,1,774,0,3,777,0
298,98,42,192,1,0,0,1,21,2,103,3,0,1,1,0,0,0,0,1,0,466,0,5,471,0
299,109,25,135,0,0,0,1,34,0,88,1,0,0,0,1,0,0,0,2,0,396,0,0,396,0
300,142,49,111,2,0,0,0,8,5,197,0,1,2,2,1,2,4,0,3,0,529,0,0,529,0
301,121,26,196,3,0,0,0,23,0,100,32,0,2,1,2,6,4,2,2,0,520,0,4,524,0
302,193,93,297,5,0,2,2,9,3,105,101,2,3,3,4,14,4,1,1,0,842,0,3,845,0
303,118,41,240,2,0,1,0,16,0,90,2,1,1,4,0,3,0,3,2,1,525,0,0,525,0
304,67,36,97,1,0,1,1,2,2,105,229,1,1,0,0,5,0,2,1,0,551,0,0,551,0
305,154,43,161,0,2,0,1,21,4,138,125,1,2,0,0,5,1,0,3,0,661,0,0,661,0
306,84,39,272,0,0,0,1,15,0,69,52,1,0,5,2,2,1,0,0,0,543,0,0,543,0
307,159,31,92,1,0,0,0,1,0,41,103,1,2,3,0,2,3,1,1,0,441,0,2,443,0
308,111,54,139,2,0,0,0,0,3,160,144,2,1,2,3,6,2,1,2,0,632,0,0,632,0
309,115,46,84,4,1,2,1,0,1,142,63,1,2,1,0,8,2,1,0,0,474,0,4,478,0
310,200,24,237,2,1,1,1,1,2,205,142,2,0,2,2,6,1,0,3,0,832,0,3,835,0
311,211,46,165,3,0,1,1,1,3,193,195,2,0,5,1,4,6,0,1,0,838,0,1,839,0
312,e 668,15,210,6,0,1,0,2,2,85,138,1,0,5,2,2,3,4,0,0,544,0,1,545,0
313,26,2,30,0,0,0,1,0,1,44,85,1,2,0,0,1,0,0,0,0,193,0,0,193,0
314,134,71,334,2,4,1,0,32,4,193,20,2,1,4,1,5,0,2,2,1,813,0,2,815,0
315,47,13,258,5,0,0,0,4,0,90,19,0,1,1,0,0,2,0,2,0,442,0,0,442,0
