Polling Station No,OORVASI AMIRTHARAJ. S,SHUNMUGASUNDARAM. S,SHANMUGANATHAN. S. P,SARAVANAN. G,SUDALAIMANI. A,SUBRAMANIAN. M,BHARATH. M,MUNDASAMY. K,MUTHURAMALINGAM. S,RAJASUTHAN. N,VIYANARASU. A,ARUNACHALAM. C,BISHOP DR GODFREY NOBLE,MURUGAN. S,VASANTH FERNANDO. T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,53,25,175,134,0,1,0,0,8,1,0,0,2,1,0,400,0,1,401,0
2,414,19,112,126,2,0,0,0,0,0,0,1,1,0,0,675,0,1,676,0
3,137,74,181,266,2,1,0,1,46,2,0,1,0,1,0,712,0,0,712,0
4,429,33,220,213,0,0,0,0,21,1,0,1,0,0,0,918,0,3,921,0
5,152,61,144,454,2,1,1,0,9,11,0,0,1,0,1,837,0,5,842,0
6,99,38,134,204,0,1,0,0,14,17,4,1,1,0,1,514,0,2,516,0
7,57,79,424,266,3,2,0,0,9,1,0,1,5,3,1,851,0,2,853,0
8,86,71,345,229,2,4,0,0,27,0,0,0,2,0,0,766,0,3,769,0
9,86,14,125,149,0,0,0,0,42,0,0,1,0,0,0,417,0,3,420,0
10,65,53,226,145,0,1,0,0,44,1,1,0,1,1,0,538,0,1,539,0
11,215,100,204,320,1,0,0,0,3,31,0,2,1,0,0,877,0,7,884,0
12,142,59,154,379,5,1,1,0,2,74,2,0,1,2,1,823,0,3,826,0
13,150,71,181,171,1,0,1,0,26,0,0,0,0,1,1,603,0,1,604,0
14,28,26,355,109,0,0,0,0,21,0,0,0,1,0,0,540,0,1,541,0
15,99,99,267,135,0,2,1,0,1,1,0,0,1,1,0,607,0,1,608,0
16,140,60,182,175,1,0,0,0,34,0,1,1,0,0,1,595,0,2,597,0
17,77,87,202,210,1,6,0,0,36,0,0,4,2,0,2,627,0,3,630,0
18,99,150,259,260,1,0,0,0,2,1,1,2,7,1,7,790,0,2,792,0
19,57,42,208,78,1,0,0,0,3,1,0,0,4,0,0,394,0,5,399,0
20,71,57,226,101,0,0,1,0,6,0,0,1,0,0,0,463,0,2,465,0
21,53,20,118,82,1,1,0,0,16,0,1,2,0,0,0,294,0,0,294,0
22,193,107,312,228,2,0,1,0,0,13,2,0,2,2,2,864,0,4,868,0
23,143,124,277,207,2,1,1,1,10,5,1,1,1,1,3,778,0,2,780,0
24,62,21,202,152,1,2,1,0,168,1,0,1,2,1,2,616,0,3,619,0
25,103,38,120,77,0,0,0,0,13,0,0,0,1,0,0,352,0,2,354,0
26,55,17,151,196,1,0,2,2,147,3,1,0,1,0,3,579,0,3,582,0
27,49,35,167,137,1,1,0,1,109,0,0,0,0,0,2,502,0,1,503,0
28,61,35,177,147,2,0,0,0,20,4,0,0,0,0,0,446,0,1,447,0
29,104,32,129,159,3,1,0,0,31,10,1,0,0,1,2,473,0,0,473,0
30,334,58,115,129,0,0,0,0,2,1,0,0,0,0,0,639,0,2,641,0
31,458,8,16,55,0,0,0,0,0,0,2,0,0,0,0,539,0,3,542,0
32,104,32,203,146,1,1,0,0,6,11,0,0,1,0,1,506,0,1,507,0
33,114,64,163,134,2,0,0,1,10,0,0,0,0,1,0,489,0,4,493,0
34,429,32,69,50,0,0,1,0,2,0,0,0,2,0,0,585,0,5,590,0
35,394,68,169,130,0,0,0,0,1,3,0,0,0,1,1,767,0,3,770,0
36,420,23,39,62,0,1,1,0,1,0,0,1,1,0,1,550,0,0,550,0
37,120,40,229,145,0,1,0,0,41,10,0,1,3,2,0,592,0,4,596,0
38,90,50,284,130,1,0,0,0,2,18,0,0,0,1,0,576,0,4,580,0
