Polling Station No,G.HARI,D.KRISHNAMURTHY,CHANDRAN .S.S,MUTHURAJ.G,M.SATHYA KUMAR,BALAJI.A,PAVENDHAN.Y.R,KRISHNAMOORTHY.K,KRISHNAMOORTHY.D,KRISHNAMOORTHY.M,SHETTU.S,DR.A.V.NARENDRAN,JAMBU.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
273,154,92,9,0,178,1,0,0,2,2,0,0,4,442,0,2,444,0
274,125,153,22,1,358,5,0,0,4,11,2,1,3,685,0,8,693,0
275,129,131,24,5,260,2,1,0,1,10,1,1,2,567,0,2,569,0
276,396,221,19,1,240,1,1,1,4,8,3,3,9,907,0,9,916,0
277,113,136,39,0,211,2,0,0,2,1,1,1,3,509,0,3,512,0
278,84,88,39,1,295,1,0,0,2,1,0,1,3,515,0,0,515,0
279,333,142,9,1,169,0,0,0,0,0,0,0,4,658,0,1,659,0
280,258,88,6,0,122,0,0,0,2,3,1,0,0,480,0,2,482,0
281,319,100,12,0,189,0,1,0,1,4,1,0,3,630,0,2,632,0
282,299,98,27,2,339,1,0,0,0,4,0,0,0,770,0,2,772,0
283,393,91,15,1,252,0,0,1,3,1,0,0,0,757,0,3,760,0
284,260,109,15,0,135,2,0,0,2,2,0,0,1,526,0,4,530,0
285,411,63,13,1,153,0,1,0,0,0,0,0,3,645,0,5,650,0
286,183,240,2,2,341,2,1,0,4,9,1,1,5,791,0,3,794,0
287,280,59,11,1,119,0,0,0,0,2,0,1,1,474,0,0,474,0
288,e 7608,72,15,0,223,0,0,0,0,1,0,0,2,1021,0,6,1027,0
289,338,65,18,1,177,5,0,1,0,4,0,1,1,611,0,1,612,0
290,321,121,23,1,272,0,0,0,2,6,0,0,0,746,0,11,757,0
291,116,101,14,1,250,0,0,0,1,1,0,0,1,485,0,3,488,0
292,296,80,25,3,182,1,2,1,0,3,0,0,1,594,0,3,597,0
293,334,100,12,0,125,0,0,0,1,2,0,0,0,574,0,6,580,0
294,364,128,20,0,296,1,0,1,0,2,1,0,1,814,0,6,820,0
295,254,107,23,2,264,0,1,2,1,1,1,0,0,656,0,5,661,0
296,222,157,19,4,358,0,1,0,1,1,0,1,0,764,0,2,766,0
297,352,56,6,1,221,0,3,0,3,1,1,2,3,649,0,0,649,0
298,278,106,21,0,351,2,0,0,0,1,0,0,0,759,0,3,762,0
299,213,108,7,1,229,1,0,1,0,1,0,0,0,561,0,2,563,0
300,300,237,21,0,308,0,0,5,0,3,0,0,0,874,0,7,881,0
301,292,151,35,2,352,2,2,1,1,6,0,2,0,846,0,4,850,0
302,320,211,18,0,278,0,1,1,1,0,0,1,0,831,0,6,837,0
303,190,77,21,1,324,0,1,0,2,1,1,0,0,618,0,4,622,0
304,164,80,16,2,246,0,0,0,1,1,1,1,2,514,0,5,519,0
305,135,122,13,1,236,0,1,0,0,0,0,1,1,510,0,2,512,0
306,142,67,11,0,131,1,1,1,1,0,1,0,0,356,0,1,357,0
307,130,146,8,2,236,0,1,0,0,2,0,0,1,526,0,3,529,0
308,165,158,15,3,258,0,1,0,2,2,3,1,0,608,0,0,608,0
309,150,164,16,1,313,0,0,4,1,2,1,0,1,653,0,2,655,0
310,209,75,11,2,123,0,0,0,3,2,0,0,0,425,0,1,426,0
311,363,165,31,1,376,1,1,0,1,1,0,0,2,942,0,5,947,0
312,265,218,6,0,335,1,0,2,1,1,1,1,2,833,0,4,837,0
313,321,203,24,3,326,0,1,0,0,8,0,0,1,887,0,2,889,0
314,196,134,12,0,293,0,0,1,2,1,0,0,1,640,0,0,640,0
315,266,193,32,2,433,3,3,2,2,5,1,0,0,942,0,0,942,0
316,183,88,14,2,195,0,1,0,1,0,0,0,1,485,0,5,490,0
317,227,155,18,3,454,0,2,1,0,4,1,3,1,869,0,2,871,0
318,259,187,36,0,318,1,0,0,1,0,0,5,0,807,0,9,816,0
319,190,215,15,0,336,0,0,1,2,3,1,0,4,767,0,2,769,0
320,184,244,19,1,353,1,1,0,0,3,1,1,1,809,0,3,812,0
321,127,159,21,4,375,1,4,0,3,2,0,0,1,697,0,3,700,0
322,187,79,31,0,220,0,0,1,1,2,0,0,0,521,0,2,523,0
323,179,110,10,1,200,0,0,0,0,1,0,0,0,501,0,1,502,0
324,230,144,17,3,306,0,0,0,0,2,0,0,1,703,0,1,704,0
325,287,139,27,0,305,0,0,2,0,4,0,1,0,765,0,5,770,0
326,230,160,21,1,253,1,0,3,1,5,0,0,0,675,0,4,679,0
327,278,182,21,3,319,0,0,3,3,2,1,1,0,813,0,3,816,0
328,154,111,13,0,310,0,0,0,0,2,5,0,0,595,0,3,598,0
329,190,80,22,0,193,0,0,0,0,2,0,0,4,491,0,4,495,0
330,293,120,37,1,266,2,0,2,3,3,0,0,1,728,0,8,736,0
331,264,123,42,2,337,0,0,0,4,2,2,2,4,782,0,5,787,0
332,240,78,6,0,377,1,2,0,0,5,1,2,0,712,0,3,715,0
333,296,131,16,1,277,3,0,2,1,3,0,2,1,733,0,6,739,0
334,224,128,26,2,329,3,0,1,1,2,1,0,1,718,0,2,720,0
335,271,143,31,1,341,2,0,1,1,1,0,1,0,793,0,9,802,0
336,e 1760,137,12,2,198,2,1,0,0,2,1,1,4,520,0,2,522,0
337,105,81,14,1,131,0,0,1,3,0,1,1,4,342,0,3,345,0
