Polling Station No,C.K .NARAMURIHT,RK .NAPPURAKAIREP,NAHOM AYMAR,S .IVEDAMU,R ASAVINEES .YHTAPUHTES,M .MAGUMNAHS,P .UHTES,M .MANRAVAHCNAP,M .IMHSKALAYIKAB,P .NAMARIP,A .AKILLAM,S .UHTUMIRAM,M.P.K .AJAR,AGAYANIV.RD T .USARAYYEM,S .NAHTANAWHSIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
319,78,191,38,1,275,0,1,2,0,0,0,0,1,2,3,592,0,2,594,
320,48,243,47,2,227,1,0,1,0,1,0,1,1,0,0,572,0,1,573,
321,96,313,49,4,300,0,1,1,1,0,0,1,2,2,0,770,0,0,770,
322,96,313,61,3,315,2,1,1,0,1,1,1,0,0,1,796,0,2,798,
323,90,193,33,2,208,2,0,1,0,0,0,0,4,0,3,536,0,3,539,
324,69,302,50,0,254,0,1,1,0,2,2,1,2,2,2,688,0,2,690,
325,62,312,32,1,339,1,1,1,2,2,1,4,3,0,5,766,0,2,768,
326,47,248,45,1,270,4,3,0,4,1,0,0,5,1,3,632,0,4,636,
327,58,194,48,2,323,4,0,3,2,4,1,2,2,0,5,648,0,2,650,
328,51,323,54,1,344,4,0,3,2,0,3,3,3,1,4,796,0,2,798,
329,71,324,45,12,292,3,1,0,0,0,0,1,2,1,0,752,0,0,752,
330,51,206,48,3,220,0,0,0,1,0,1,2,0,0,0,532,0,1,533,
331,82,130,10,2,128,1,0,1,0,1,0,0,0,0,1,356,0,2,358,
332,92,285,35,1,288,2,0,1,0,0,1,2,0,0,3,710,0,5,715,
333,86,250,35,4,391,6,0,1,2,2,0,3,2,0,2,784,0,0,784,
334,79,249,71,5,433,1,0,0,0,0,0,1,1,0,0,840,0,2,842,
335,77,228,48,2,275,1,0,1,0,0,0,1,2,0,1,636,0,0,636,
336,83,260,58,2,273,4,0,0,2,1,0,3,5,3,2,696,0,2,698,
337,45,280,47,1,260,0,0,1,2,0,0,1,4,1,0,642,0,5,647,
338,105,207,47,1,188,0,1,0,0,0,1,0,0,0,0,550,0,1,551,
339,62,249,57,2,196,1,2,0,0,0,0,0,3,1,1,574,0,0,574,
340,78,190,40,3,284,1,1,0,3,1,0,0,3,1,1,606,0,0,606,
341,148,229,60,0,297,1,0,1,0,1,0,1,1,0,1,740,0,6,746,
342,90,274,69,3,339,2,2,0,2,0,0,1,0,0,1,783,0,3,786,
343,100,209,47,0,272,0,0,2,4,0,1,1,2,2,0,640,0,2,642,
344,80,225,39,2,262,0,0,0,2,0,0,0,0,1,0,611,0,4,615,
345,73,242,42,3,318,1,0,0,1,0,1,2,1,2,2,688,0,2,690,
346,102,220,56,0,285,0,0,0,0,0,0,0,1,0,0,664,0,2,666,
347,41,181,39,3,255,4,1,0,3,0,1,2,2,3,1,536,0,1,537,
348,98,247,62,2,275,0,0,1,3,1,1,1,2,1,3,697,0,3,700,
349,61,252,50,0,224,4,0,0,0,0,0,0,1,0,2,594,0,0,594,
350,49,119,31,2,220,0,2,0,1,0,0,2,2,0,2,430,0,2,432,
351,54,145,23,1,185,2,0,2,1,1,0,1,1,0,1,417,0,2,419,
352,43,253,48,3,295,1,1,0,0,1,1,2,7,1,3,659,0,4,663,
353,75,215,64,0,450,2,1,0,4,2,1,6,4,0,0,824,0,3,827,
354,65,243,74,2,355,3,1,1,1,2,0,1,3,1,1,753,0,3,756,
355,37,258,75,2,288,1,0,1,0,0,1,2,3,2,5,675,0,2,677,
356,56,256,83,3,422,0,0,1,2,2,4,5,2,2,3,841,0,9,850,
357,50,152,60,2,263,0,0,0,1,1,0,2,0,1,3,535,0,2,537,
358,34,164,42,1,170,1,0,1,1,2,0,0,0,0,0,416,0,1,417,
359,76,233,62,3,290,1,0,0,2,0,0,1,0,0,0,668,0,4,672,
360,72,158,37,2,276,1,0,1,0,1,0,0,2,0,0,550,0,6,556,
361,86,187,60,1,289,0,1,0,0,0,0,0,0,0,0,624,0,4,628,
362,59,206,63,4,312,2,1,0,1,0,0,0,1,0,1,650,0,4,654,
363,79,207,58,3,298,2,1,0,1,1,0,0,1,0,0,651,0,6,657,
364,82,201,62,0,299,0,0,0,0,1,1,0,0,1,0,647,0,2,649,
365,94,224,70,1,276,2,0,0,3,0,0,0,0,0,1,671,0,1,672,
366,48,184,66,2,378,2,2,1,1,1,0,2,1,2,0,690,0,3,693,
367,86,234,79,2,353,2,0,2,2,0,1,2,1,1,0,765,0,6,771,
368,86,215,54,1,262,0,0,0,2,0,0,1,2,1,0,624,0,5,629,
369,87,278,51,3,325,0,0,0,2,0,0,0,2,2,2,752,0,6,758,
