Polling Station No,C.K .NARAMURIHT,RK .NAPPURAKAIREP,NAHOM AYMAR,S .IVEDAMU,R ASAVINEES .YHTAPUHTES,M .MAGUMNAHS,P .UHTES,M .MANRAVAHCNAP,M .IMHSKALAYIKAB,P .NAMARIP,A .AKILLAM,S .UHTUMIRAM,M.P.K .AJAR,AGAYANIV.RD T .USARAYYEM,S .NAHTANAWHSIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
148,51,165,42,1,220,2,0,0,0,1,1,1,3,1,2,490,0,1,491,
149,99,273,43,0,216,3,0,1,1,1,0,4,6,2,5,654,0,3,657,
150,50,203,56,1,158,0,0,0,0,0,1,1,4,1,4,479,0,1,480,
151,43,94,43,3,235,2,0,1,0,0,1,3,2,0,1,428,0,1,429,
152,55,118,38,1,202,1,1,0,0,1,0,1,2,2,0,422,0,0,422,
153,68,191,47,2,273,4,1,0,3,0,3,2,6,3,2,605,0,2,607,
154,85,196,64,1,312,2,0,0,3,1,0,0,1,3,2,670,0,2,672,
155,26,139,29,1,188,0,0,0,2,0,0,0,0,0,0,385,0,2,387,
156,62,157,76,2,359,1,1,1,0,1,0,1,3,1,1,666,0,1,667,
157,70,204,52,3,379,0,0,0,1,1,0,1,1,1,1,714,0,3,717,
158,41,214,51,0,311,0,0,0,0,0,0,2,0,1,1,621,0,1,622,
159,63,201,69,2,301,3,1,0,0,3,1,2,2,4,0,652,0,2,654,
160,62,162,52,0,320,2,1,0,3,2,0,1,3,0,0,608,0,0,608,
161,82,185,54,1,284,4,0,0,0,0,0,0,1,1,1,613,0,1,614,
162,102,245,43,1,320,2,1,0,0,4,0,3,3,1,2,727,0,4,731,
163,15,118,21,0,59,0,0,0,0,0,1,0,1,0,1,216,0,0,216,
164,44,424,15,0,171,1,0,2,2,0,0,0,3,0,2,664,0,2,666,
165,92,316,28,2,190,2,1,1,0,2,1,2,3,2,4,646,0,4,650,
166,53,214,23,0,174,1,0,0,0,1,0,3,1,1,1,472,0,1,473,
167,38,244,25,1,187,1,0,1,2,1,0,3,0,0,2,505,0,2,507,
168,34,237,17,0,193,1,0,0,1,0,1,0,2,0,0,486,0,0,486,
169,76,212,22,2,235,1,0,0,0,3,0,2,4,1,7,565,0,0,565,
170,164,219,44,2,234,1,0,3,1,0,0,2,4,0,1,675,0,0,675,
171,103,308,23,2,164,0,1,0,0,1,0,1,2,1,2,608,0,2,610,
172,118,217,26,2,345,0,1,1,2,2,0,7,4,3,2,730,0,2,732,
173,112,259,20,1,188,1,0,0,0,0,1,1,1,0,3,587,0,0,587,
174,142,268,65,3,254,1,0,0,1,0,0,2,3,0,0,739,0,5,744,
175,124,177,40,2,124,0,0,0,0,0,0,0,4,2,1,474,0,5,479,
176,55,142,3,0,172,0,0,1,0,0,0,2,0,0,2,377,0,1,378,
177,95,266,45,1,256,2,0,0,0,0,0,0,3,1,1,670,0,4,674,
178,117,254,26,1,279,1,0,0,2,2,0,0,6,2,0,690,0,0,690,
179,122,171,17,1,120,2,0,0,2,0,0,0,1,0,0,436,0,1,437,
180,99,220,22,0,146,0,1,0,0,2,0,0,0,0,3,493,0,0,493,
181,127,185,17,1,243,0,0,0,1,0,0,0,3,0,3,580,0,3,583,
182,51,167,14,0,84,0,0,0,0,0,0,0,2,1,0,319,0,0,319,
183,90,242,58,1,281,0,1,1,0,0,0,1,4,2,3,684,0,3,687,
184,84,176,60,1,275,4,2,0,0,0,0,1,0,1,0,604,0,3,607,
