Polling Station No,ABISHEK. R,SARANYA IMRAN,TAMILAN PRASANNA,ARUN RAO. N.A,DR.N. GUNASEKAR,D. THIRUNAVUKKARASAR,T. MAGIZHANBAN,G.R. RAJENDRAN,RAJMOHAN,ARAVINDAN,R. KUMARAVEL,M. NAGARAJAN,S. PICHAMUTHU,RAJKUMAR,RAJMOHAN,S. VINOTH KUMAR,VENKATESH. K,SRIDHAR. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
65,75,13,324,1,0,1,0,1,355,0,0,0,0,1,0,0,0,0,771,0,3,774,0
66,61,13,304,1,0,0,2,0,270,0,1,0,0,0,1,1,0,0,654,0,0,654,0
67,38,9,390,0,0,3,0,2,262,0,0,0,1,0,0,1,1,0,707,0,0,707,0
68,37,7,257,0,0,1,0,0,135,0,0,0,1,0,0,2,1,0,441,0,2,443,0
69,72,4,139,1,0,0,0,0,130,0,0,0,1,0,0,2,0,0,349,0,4,353,0
70,24,8,289,2,0,0,0,0,171,0,0,0,0,0,0,1,0,0,495,0,1,496,0
71,60,17,399,2,0,0,1,1,433,1,0,0,0,0,0,0,0,0,914,0,4,918,0
72,53,11,200,0,1,0,0,1,242,0,0,0,0,0,0,1,1,0,510,0,1,511,0
73,44,11,128,0,0,0,7,1,276,0,0,0,0,1,0,1,1,0,470,0,3,473,0
74,53,10,152,0,0,1,1,1,358,0,0,1,0,0,1,2,0,0,580,0,0,580,0
75,65,17,271,2,1,2,0,2,381,1,1,2,0,0,2,3,0,0,750,0,2,752,0
76,55,4,309,4,2,0,0,1,368,0,0,1,0,1,0,0,0,0,745,0,4,749,0
77,28,19,230,0,0,0,0,1,323,2,0,0,0,0,0,0,0,0,603,0,1,604,1
78,31,10,179,1,2,6,0,1,246,1,0,0,0,0,0,2,0,1,480,0,2,482,0
79,38,19,298,1,1,0,0,0,287,0,0,0,0,0,0,0,0,0,644,0,0,644,0
80,27,4,197,0,1,0,0,0,134,2,0,0,0,0,2,1,1,0,369,0,2,371,0
81,92,14,255,1,3,0,0,1,323,1,2,0,1,1,1,1,0,0,696,0,3,699,0
82,32,1,219,0,2,0,1,0,287,0,0,0,0,0,0,0,0,0,542,0,0,542,0
83,39,5,146,23,2,0,0,1,306,0,0,0,0,0,0,0,0,0,522,0,0,522,0
84,97,12,162,1,0,0,0,0,261,0,0,0,0,0,1,0,0,0,534,0,2,536,0
85,92,15,131,0,0,0,0,1,295,0,0,0,0,0,1,3,0,0,538,0,4,542,0
86,82,9,259,0,2,1,0,2,476,0,0,1,0,2,5,0,0,0,839,0,7,846,0
87,97,19,159,0,3,0,1,0,376,0,1,0,0,0,1,0,0,0,657,0,2,659,0
88,137,7,113,0,0,0,0,2,239,0,1,2,0,0,1,1,0,0,503,0,2,505,0
89,4,12,72,1,0,0,1,2,250,0,0,0,1,0,0,1,0,0,344,0,1,345,0
90,129,5,80,0,2,0,0,2,199,0,0,0,0,1,1,1,0,0,420,0,9,429,0
91,42,7,104,0,1,0,0,2,181,0,0,0,1,0,1,0,0,0,339,0,3,342,0
92,121,12,154,0,0,1,0,0,391,0,0,0,0,0,1,0,2,0,682,0,2,684,0
93,113,22,160,0,2,0,0,0,451,0,0,1,0,0,1,1,0,1,752,0,6,758,0
94,83,15,266,0,0,1,0,1,346,0,0,0,0,0,0,1,0,0,713,0,2,715,0
95,191,12,181,2,1,2,1,1,354,0,0,1,0,0,0,2,0,1,749,0,13,762,0
96,169,10,173,0,4,0,0,0,234,0,1,0,0,0,0,0,0,0,591,0,5,596,1
97,160,9,129,2,0,1,0,2,182,1,0,0,0,0,1,1,0,0,488,0,7,495,0
98,116,7,111,0,0,0,0,1,170,0,0,0,1,0,0,1,0,0,407,0,0,407,0
99,377,8,233,0,0,2,0,0,192,2,0,0,1,0,1,3,0,0,819,0,2,821,0
100,221,8,145,0,0,0,0,0,201,1,0,0,1,0,0,4,0,0,581,0,9,590,0
101,341,5,68,0,0,2,0,1,95,1,0,0,0,1,0,4,2,1,521,0,14,535,0
102,7,6,98,0,4,0,0,2,137,0,0,0,1,0,0,2,0,0,257,0,1,258,0
103,24,7,232,1,0,1,0,0,125,0,0,0,0,0,1,1,0,0,392,0,2,394,0
104,13,4,242,0,0,1,0,1,104,0,0,0,0,0,0,2,0,0,367,0,1,368,0
