Polling Station No,P.SARAVANAN,G.THALAPATHI,V THIRUNAVUKKARASU,A.KALLANAI,R RAJKUMAR,M J VOLTAIRE,N.KUPPUSAMY,J.KESAVARAJAH,M.P.SANKARAPANDI,C.SATHISHKUMAR,D.MOHAMED ISMAIL,P MUTHUSAMY,A.RAJANGAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
176,28,313,8,131,0,0,0,0,0,0,0,0,0,480,0,2,482,0
177,60,219,22,184,3,1,0,1,0,0,0,0,0,490,0,0,490,0
178,40,364,6,203,0,0,0,0,0,0,0,0,0,613,0,4,617,0
179,78,149,15,205,2,1,0,0,0,0,0,0,0,450,0,2,452,0
180,102,358,21,270,1,0,0,0,0,0,0,0,0,752,0,3,755,0
181,42,550,27,222,0,0,0,0,0,0,0,0,1,842,0,3,845,0
182,70,302,26,264,0,0,0,0,0,0,1,0,0,663,0,3,666,0
183,82,258,35,270,0,1,0,0,0,0,0,1,1,648,0,1,649,0
184,53,297,35,260,0,0,0,0,0,0,0,0,1,646,0,5,651,0
185,123,298,38,365,0,0,0,0,0,2,0,2,0,828,0,7,835,0
186,112,274,27,380,0,1,1,0,1,0,3,2,3,804,0,3,807,0
187,91,308,30,415,0,0,0,0,0,1,1,0,1,847,0,2,849,0
188,63,196,9,250,0,0,0,0,0,0,0,0,0,518,0,0,518,0
189,57,265,13,257,1,0,0,0,0,0,0,0,2,595,0,1,596,0
190,38,319,7,255,0,0,0,0,0,0,1,0,2,622,0,3,625,0
191,30,278,10,267,0,0,0,0,0,1,0,1,0,587,0,1,588,0
192,127,272,39,367,2,2,0,0,0,1,0,0,0,810,0,7,817,0
193,106,190,22,206,0,0,1,1,0,1,0,1,0,528,0,2,530,0
194,55,230,24,233,2,0,0,0,0,1,0,0,1,546,0,7,553,0
195,167,222,57,198,0,2,0,1,0,0,0,0,1,648,0,5,653,0
196,125,236,36,224,0,0,0,0,1,0,1,0,0,623,0,10,633,0
197,117,263,33,204,0,0,0,0,1,0,0,0,0,618,0,5,623,0
198,125,189,38,243,1,0,0,1,0,0,2,0,0,599,0,2,601,0
199,104,243,24,224,0,1,0,0,0,0,0,0,0,596,0,7,603,0
200,82,213,24,172,0,2,1,0,0,0,0,0,0,494,0,0,494,0
201,116,186,29,205,0,0,0,0,0,1,0,0,1,538,0,4,542,0
202,144,272,25,332,1,0,0,2,0,1,0,0,2,779,0,1,780,0
203,111,222,38,231,0,2,0,0,0,0,0,0,0,604,0,7,611,0
204,187,243,29,243,1,1,0,0,1,0,2,1,0,708,0,4,712,0
205,88,228,33,224,0,1,0,0,0,0,1,0,1,576,0,3,579,0
206,121,130,23,193,0,0,0,0,1,0,0,0,0,468,0,2,470,0
207,130,129,15,183,0,0,0,0,0,0,1,0,0,458,0,4,462,0
208,79,131,23,139,1,0,0,0,0,0,0,2,0,375,0,5,380,0
209,131,201,28,372,0,1,0,0,1,0,0,1,3,738,0,3,741,0
210,124,164,41,222,0,0,0,0,0,0,0,0,0,551,0,1,552,0
211,62,172,25,236,0,0,0,0,0,0,0,0,2,497,0,5,502,0
212,49,117,18,201,3,0,0,0,0,0,1,0,0,389,0,1,390,0
213,131,182,29,232,3,0,1,0,0,5,1,0,0,584,0,4,588,0
214,78,150,29,277,1,1,0,0,0,0,0,0,0,536,0,5,541,0
215,98,183,27,307,0,0,0,0,0,0,1,0,0,616,0,2,618,0
216,102,154,33,402,1,0,0,0,0,2,1,0,2,697,0,0,697,0
217,91,183,22,407,0,1,0,2,1,0,1,0,1,709,0,3,712,0
218,35,295,10,288,0,1,0,0,1,0,0,0,1,631,0,2,633,0
219,8,122,6,130,0,0,1,1,0,0,0,0,0,268,0,0,268,0
220,51,362,24,398,2,1,0,0,2,0,2,1,0,843,0,7,850,0
221,80,81,13,132,0,1,0,0,0,0,1,0,0,308,0,1,309,0
222,84,106,16,127,0,0,0,0,0,0,0,0,0,333,0,3,336,0
223,95,174,20,191,0,2,2,0,0,0,1,0,0,485,0,2,487,0
224,162,164,32,208,0,0,0,1,0,2,1,0,1,571,0,3,574,0
225,113,402,39,370,0,1,0,1,4,1,1,0,3,935,0,1,936,0
226,71,216,39,285,2,0,0,1,0,0,0,0,2,616,0,4,620,0
227,55,218,21,169,0,0,0,0,0,0,1,0,0,464,0,3,467,0
228,95,280,41,184,1,0,0,2,1,0,0,1,0,605,0,2,607,0
229,80,233,36,196,0,0,0,0,0,0,0,0,0,545,0,2,547,0
230,136,192,33,210,0,0,0,0,0,1,0,0,1,573,0,6,579,0
231,70,202,29,133,3,1,0,0,1,0,0,0,0,439,0,3,442,0
232,136,231,38,243,0,0,0,0,0,1,0,0,0,649,0,1,650,0
233,85,156,19,148,1,0,0,0,0,0,0,0,1,410,0,3,413,0
234,93,222,28,199,0,0,0,0,0,0,0,1,0,543,0,2,545,0
235,40,136,45,341,2,0,0,0,0,1,1,1,0,567,0,4,571,0
236,59,203,48,281,3,0,0,0,0,0,3,0,0,597,0,0,597,0
237,88,267,55,535,1,1,0,0,1,0,2,2,0,952,0,5,957,0
238,96,249,32,231,0,1,0,0,1,1,0,0,0,611,0,2,613,0
239,62,185,27,166,0,0,0,1,0,0,0,0,0,441,0,0,441,0
240,65,194,20,176,0,0,0,0,0,0,0,0,0,455,0,1,456,0
241,109,279,39,318,1,0,0,0,1,0,1,1,1,750,0,4,754,0
242,106,210,20,258,0,1,0,0,0,0,1,0,0,596,0,3,599,0
243,30,75,11,57,0,0,0,0,0,0,0,0,0,173,0,0,173,0
244,56,212,28,271,2,1,0,1,0,0,1,0,0,572,0,2,574,0
245,92,226,33,256,1,0,0,0,0,1,1,0,0,610,0,1,611,0
246,104,338,24,314,1,0,0,0,0,0,0,0,0,781,0,4,785,0
247,109,277,42,279,1,2,0,2,0,0,0,1,0,713,0,3,716,0
248,69,243,19,238,0,0,0,1,0,0,0,0,0,570,0,2,572,0
249,110,257,42,272,1,0,1,0,1,1,1,0,1,687,0,3,690,0
250,58,181,24,143,0,0,0,0,0,0,0,0,0,406,0,4,410,0
251,78,186,16,238,0,0,0,0,0,0,0,0,0,518,0,3,521,0
252,46,138,27,186,0,0,0,0,0,0,1,0,0,398,0,1,399,0
253,80,190,32,190,0,1,0,0,0,0,0,1,0,494,0,5,499,0
254,100,163,26,145,0,1,0,0,1,0,1,0,0,437,0,4,441,0
255,72,171,29,178,0,1,0,1,0,1,0,0,1,454,0,4,458,0
256,61,134,35,173,0,0,0,0,0,1,2,0,0,406,0,5,411,0
257,59,128,17,167,1,0,0,0,0,1,1,1,0,375,0,2,377,0
258,108,207,21,328,0,0,0,0,0,1,2,0,0,667,0,1,668,0
259,93,222,26,272,0,0,0,0,0,0,1,1,2,617,0,2,619,0
260,66,153,17,317,2,0,0,1,0,0,1,1,1,559,0,1,560,0
261,103,184,32,346,4,1,0,0,1,1,0,1,0,673,0,4,677,0
262,90,233,27,368,1,0,0,0,0,1,1,0,0,721,0,1,722,0
263,90,259,49,400,0,0,0,2,0,1,3,0,0,804,0,4,808,0
264,107,175,22,329,1,1,0,0,0,0,0,0,1,636,0,2,638,0
265,158,168,29,351,0,1,0,0,0,0,0,1,0,708,0,0,708,0
266,81,173,41,337,1,1,0,2,0,1,1,0,0,638,0,3,641,0
