Polling Station No,M. ANUSIYA,P.M.RAMAJEYAM,C. ARUNA DEVI,DR.K. KRISHNASAMY,R SUNDARARAJ,SUBBULAKSHMI. S,C .SELVAKUMAR,P .MATHANRAJA,M. ANANTH,S .MUTHUSELVAM,G .MURUGAN,M .LAKSHMANAN,VEDAPRAKASH. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,25,103,0,7,161,1,4,142,1,1,1,1,1,448,0,4,452,0
2,32,190,3,78,34,0,3,174,0,1,0,1,1,517,0,0,517,0
3,25,55,0,3,140,0,1,117,1,2,1,1,0,346,0,2,348,0
4,15,121,1,208,135,0,4,177,4,2,3,1,1,672,0,2,674,0
5,51,83,2,35,225,0,5,139,2,6,2,1,5,556,0,5,561,0
6,76,78,5,113,123,2,7,302,5,4,2,2,1,720,0,5,725,0
7,67,52,1,32,148,2,0,167,2,4,0,4,9,488,0,4,492,0
8,44,74,1,120,70,2,2,85,0,1,0,0,3,402,0,4,406,0
9,26,41,1,225,202,4,2,153,1,5,0,2,0,662,0,3,665,0
10,90,106,2,401,54,0,3,149,2,3,2,2,0,814,0,3,817,0
11,28,122,1,122,32,0,1,99,0,2,0,0,0,407,0,1,408,0
12,6,122,0,171,39,1,0,77,1,0,0,1,4,422,0,1,423,0
13,44,56,1,543,42,2,4,135,0,2,0,0,0,829,0,6,835,0
14,50,122,1,362,51,0,2,143,0,0,1,1,1,734,0,3,737,0
15,42,205,3,148,85,1,1,222,1,2,1,0,1,712,0,4,716,0
16,50,161,3,135,62,1,5,189,2,0,1,0,1,610,0,7,617,0
17,23,90,4,124,43,1,1,80,0,0,0,0,2,368,0,2,370,0
18,23,113,3,234,55,1,2,114,0,0,0,0,1,546,0,4,550,0
19,32,72,0,109,92,0,0,137,0,1,0,0,2,445,0,0,445,0
20,42,98,2,317,198,0,0,185,2,4,1,1,0,850,0,4,854,0
21,58,93,1,111,100,1,2,215,1,1,2,0,1,586,0,4,590,0
22,43,135,2,269,41,0,1,223,0,0,0,0,0,714,0,2,716,0
23,9,99,3,210,130,0,0,48,2,0,3,0,1,505,0,0,505,0
24,70,137,6,228,77,1,5,250,2,0,2,1,2,781,0,8,789,0
25,21,101,1,9,200,1,0,202,1,0,1,0,2,539,0,1,540,0
26,43,102,3,109,178,0,4,201,1,4,1,3,1,650,0,2,652,0
27,14,49,3,90,31,0,0,88,0,0,0,1,1,277,0,0,277,0
28,12,34,0,7,45,1,0,56,0,0,0,0,0,155,0,1,156,0
29,15,21,3,76,93,1,3,151,2,0,0,0,0,365,0,0,365,0
30,37,68,5,187,166,3,5,269,2,2,0,2,1,747,0,3,750,0
31,27,104,4,103,142,2,2,165,4,2,0,0,1,556,0,1,557,0
32,30,66,2,54,74,0,2,200,2,1,0,1,0,432,0,4,436,0
33,40,85,3,244,85,1,2,192,0,0,2,2,1,657,0,5,662,0
34,43,120,2,227,81,3,1,154,0,0,3,2,1,637,0,5,642,0
35,32,105,3,232,43,1,1,98,0,0,1,0,0,516,0,0,516,0
36,19,54,6,4,158,0,1,108,2,3,0,0,0,355,0,3,358,0
37,41,205,2,238,53,2,1,209,1,0,0,0,0,752,0,1,753,0
38,63,245,2,2,53,1,2,88,0,0,1,0,2,459,0,0,459,0
39,44,220,1,181,144,0,2,188,1,1,1,0,0,783,0,2,785,0
40,29,192,8,136,143,4,4,177,2,1,2,0,2,700,0,5,705,0
41,72,224,4,70,113,0,3,263,1,0,0,0,1,751,0,5,756,0
42,42,190,1,61,232,0,0,280,1,1,0,0,1,809,0,5,814,0
43,30,100,0,37,82,0,2,164,0,0,1,0,2,418,0,1,419,0
44,151,181,2,63,111,3,0,200,0,1,1,1,3,617,0,1,618,0
45,69,232,4,23,303,1,3,287,1,0,0,0,1,924,0,3,927,0
46,79,283,5,14,114,1,5,412,5,0,1,4,2,925,0,3,928,0
47,68,166,8,329,70,3,5,176,2,1,2,4,4,838,0,3,841,0
48,51,104,1,27,78,0,1,197,3,3,1,0,0,466,0,1,467,0
49,34,142,0,33,84,1,4,136,0,0,0,0,1,435,0,3,438,0
50,76,159,2,90,51,1,0,141,1,0,0,1,0,522,0,5,527,0
51,71,181,0,152,36,2,0,163,1,1,0,1,1,609,0,2,611,0
52,69,294,4,63,143,0,0,355,1,2,1,1,1,934,0,8,942,0
53,78,156,1,174,73,0,1,132,2,1,1,2,3,624,0,1,625,0
54,64,178,3,109,111,3,4,351,0,1,0,0,2,826,0,7,833,0
55,73,200,4,148,102,1,2,194,2,0,1,1,1,729,0,1,730,0
56,59,170,0,9,101,0,0,177,1,0,1,0,2,520,0,2,522,0
57,49,148,2,1,90,0,0,152,0,0,0,1,1,444,0,4,448,0
58,53,251,4,3,109,0,1,296,1,0,1,0,1,720,0,2,722,0
59,86,200,4,8,145,1,3,294,0,1,0,1,0,743,0,3,746,0
60,71,269,0,7,100,1,0,353,0,0,0,0,0,801,0,0,801,0
61,67,307,2,23,116,0,2,277,1,1,0,0,0,796,0,4,800,0
62,56,215,1,10,118,1,1,261,1,0,0,0,0,664,0,3,667,0
63,52,131,3,161,109,1,4,218,0,1,0,0,3,683,0,5,688,0
64,107,167,3,47,102,0,3,235,0,1,0,1,3,669,0,3,672,0
65,64,240,3,13,94,1,0,188,0,0,0,1,2,606,0,4,610,0
66,67,138,6,187,82,1,2,188,2,0,1,0,1,675,0,3,678,0
67,77,83,3,188,39,1,1,141,0,1,0,0,0,534,0,1,535,0
68,13,140,2,28,67,1,0,176,0,0,0,0,0,427,0,2,429,0
69,31,131,1,14,167,0,4,231,3,2,0,0,0,584,0,1,585,0
70,35,120,5,2,101,1,1,293,2,2,0,1,0,563,0,1,564,0
71,35,143,1,14,145,2,1,194,0,3,0,1,1,540,0,1,541,0
72,5,55,1,0,73,2,0,111,1,1,0,0,0,249,0,3,252,0
73,24,72,3,3,84,0,1,250,2,0,0,0,1,440,0,1,441,0
74,51,121,8,63,87,1,2,260,1,0,3,2,1,600,0,1,601,0
