Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
245,245,21,91,206,1,0,183,0,1,0,0,1,1,0,0,0,0,0,0,0,505,0,1,506,0
246,246,24,169,90,0,1,192,0,0,0,0,0,0,0,1,1,1,0,2,0,481,0,2,483,0
247,247,14,309,65,0,0,218,1,0,0,1,0,0,0,0,2,1,0,2,1,614,0,0,614,0
248,248,31,222,156,1,0,226,0,0,0,0,0,0,0,0,0,1,0,1,0,638,0,1,639,0
249,249,20,335,61,4,1,395,2,2,1,1,2,1,0,0,2,3,0,1,1,832,0,2,834,0
250,250,26,244,39,0,0,231,0,0,0,1,0,0,0,0,1,1,0,1,0,544,0,2,546,0
251,251,25,251,27,0,0,261,0,1,0,0,0,0,4,0,1,2,0,1,0,573,0,5,578,0
252,252,31,246,86,2,1,269,0,1,0,0,0,0,0,0,0,0,0,0,0,636,0,2,638,0
253,253,25,188,86,0,0,186,1,2,0,0,0,0,0,0,0,2,0,0,1,491,0,1,492,0
254,254,47,211,128,1,0,214,0,2,1,1,0,0,1,0,1,0,0,0,0,607,0,0,607,0
255,255,11,243,126,1,3,222,0,0,1,0,1,0,1,2,1,0,0,1,0,613,0,0,613,0
256,256,45,359,76,2,1,282,1,1,1,1,2,1,1,1,3,1,0,1,0,779,0,2,781,0
257,257,24,171,72,1,3,306,0,0,0,0,0,0,1,1,0,1,0,1,0,581,0,0,581,0
258,258,29,196,54,0,2,323,1,0,0,0,0,0,1,1,0,0,0,4,0,611,0,1,612,0
259,259,15,351,56,3,1,182,0,0,0,0,1,0,0,0,0,0,0,2,1,612,0,3,615,0
260,260,26,180,49,0,1,251,0,1,0,0,0,0,0,1,0,1,0,1,0,511,0,1,512,0
261,261,17,290,127,2,1,300,0,2,0,0,0,0,0,3,0,0,0,1,0,743,0,1,744,0
262,262,20,333,48,1,1,224,0,0,0,0,0,0,0,1,1,0,0,2,0,631,0,2,633,0
263,263,17,413,42,1,0,326,2,3,1,1,0,1,0,1,2,0,0,5,2,817,0,3,820,0
264,264,9,223,7,0,0,114,0,0,0,0,0,0,0,0,1,0,0,0,0,354,0,0,354,0
265,265,16,248,56,5,1,181,0,1,0,0,0,0,0,0,1,1,0,3,0,513,0,2,515,0
266,266,28,206,161,4,1,224,1,0,0,0,1,0,0,1,0,3,1,3,0,634,0,2,636,0
267,267,30,276,220,1,1,292,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,4,824,0
268,268,27,179,77,1,2,261,1,0,1,1,0,0,0,2,1,0,0,1,3,557,0,2,559,0
269,269,13,336,30,0,0,140,0,0,0,0,1,0,0,1,0,0,1,0,0,522,0,0,522,0
270,270,15,552,36,0,2,193,0,0,0,1,0,0,0,1,1,0,0,2,0,803,0,3,806,0
271,271,19,316,67,0,1,292,2,1,1,1,0,0,0,1,0,0,1,4,0,706,0,0,706,0
272,272,9,582,31,1,1,167,0,0,1,0,0,0,0,1,0,0,0,0,0,793,0,0,793,0
273,273,6,385,4,0,0,87,0,0,0,0,0,0,1,0,0,0,0,1,0,484,0,0,484,0
274,274,9,500,2,0,0,108,0,0,0,0,0,0,1,1,0,0,0,1,1,623,0,0,623,0
275,275,9,321,39,0,4,195,0,0,1,0,1,0,0,1,1,0,0,1,0,573,0,0,573,0
276,276,7,250,27,2,2,285,0,0,0,0,1,0,0,0,0,1,0,0,0,575,0,1,576,0
277,277,9,249,15,0,0,138,0,0,0,0,0,1,1,0,0,0,0,0,1,414,0,0,414,0
278,278,7,415,23,0,0,273,2,0,1,0,0,0,0,0,0,0,2,1,0,724,0,2,726,0
279,279,54,197,100,2,1,466,1,1,1,0,0,0,1,2,0,0,1,1,1,829,0,1,830,0
280,280,41,158,31,1,1,338,0,0,0,0,1,0,1,0,0,1,1,1,0,575,0,1,576,0
281,281,20,158,70,2,2,226,0,0,0,0,0,0,1,2,0,0,0,0,1,482,0,1,483,0
282,282,34,177,93,1,3,362,1,0,0,0,0,0,0,0,0,0,0,0,1,672,0,2,674,0
283,283,37,126,39,0,1,276,1,0,0,0,0,0,0,0,1,0,0,0,0,481,0,0,481,0
284,284,19,125,48,1,1,210,0,0,0,0,2,0,1,1,0,0,0,0,0,408,0,1,409,0
285,285,22,352,67,0,1,312,0,3,3,0,0,1,0,0,2,1,1,0,0,765,0,3,768,0
286,286,11,192,78,1,0,297,0,0,0,0,1,0,1,1,0,0,0,2,1,585,0,1,586,0
287,287,25,121,48,1,1,282,0,0,0,0,2,0,0,0,0,1,0,0,0,481,0,1,482,0
288,288,18,187,55,2,1,231,0,0,0,0,0,1,0,0,0,0,0,0,0,495,0,2,497,0
289,289,28,150,77,3,2,294,0,1,3,1,2,0,0,0,0,0,0,0,1,562,0,1,563,0
290,290,17,151,50,1,0,260,0,0,0,0,0,1,0,0,0,0,0,1,0,481,0,3,484,0
291,291,28,185,32,0,0,281,0,1,1,0,1,0,0,2,0,0,1,1,0,533,0,3,536,0
292,292,19,133,41,1,2,274,1,0,0,0,0,0,0,0,0,0,0,1,0,472,0,1,473,0
293,293,20,137,40,0,1,244,0,0,0,0,0,0,0,0,1,0,0,0,0,443,0,3,446,0
294,294,14,195,104,1,0,251,0,0,1,0,0,0,0,1,0,1,0,4,1,573,0,3,576,0
295,295,43,194,70,0,3,402,0,0,0,0,1,0,1,0,0,1,0,0,0,715,0,1,716,0
296,296,20,190,70,1,2,391,0,1,0,0,0,0,0,2,1,1,0,1,2,682,0,2,684,0
297,297,26,237,51,1,2,327,1,0,0,0,0,0,0,0,1,1,0,1,0,648,0,1,649,0
298,298,13,509,31,0,1,302,2,0,1,0,0,0,0,0,0,0,0,1,0,860,0,2,862,0
299,299,18,351,34,0,0,236,1,1,0,0,0,0,0,0,1,1,0,0,0,643,0,4,647,0
300,300,4,323,21,0,2,261,0,0,0,0,0,0,0,0,1,0,1,0,0,613,0,0,613,0
301,301,36,178,92,1,2,439,0,1,1,0,0,0,1,2,0,0,1,0,0,754,0,2,756,0
302,302,14,124,71,0,0,224,0,0,0,0,0,0,0,0,0,0,0,1,1,435,0,1,436,0
303,303,14,140,68,0,0,345,2,1,1,0,0,0,2,0,0,0,0,0,1,574,0,0,574,0
304,304,12,76,42,1,0,233,0,0,0,0,0,0,0,0,1,1,0,1,0,367,0,0,367,0
305,305,19,139,55,0,1,313,2,2,0,0,0,0,0,0,2,0,0,0,0,533,0,3,536,0
306,306,9,123,62,0,1,262,0,1,0,0,0,0,0,0,0,1,1,4,1,465,0,4,469,0
307,307,12,186,66,0,1,341,1,2,1,1,0,0,0,0,0,1,0,0,0,612,0,1,613,0
308,308,12,93,38,1,1,182,0,0,0,0,1,0,2,1,0,0,0,0,0,331,0,1,332,0
309,309,27,153,77,0,5,331,1,0,1,1,0,0,0,1,0,2,0,1,0,600,0,1,601,0
310,310,35,187,79,0,0,293,1,2,0,0,0,0,0,0,0,1,0,1,0,599,0,4,603,0
311,311,21,222,107,1,0,450,1,0,0,0,0,0,0,0,6,1,0,0,0,809,0,2,811,0
312,312,14,132,39,0,0,282,0,0,1,0,2,0,0,0,0,0,0,1,0,471,0,4,475,0
313,313,27,114,49,2,1,225,0,2,2,0,0,0,1,2,1,1,0,1,0,428,0,4,432,0
314,314,34,207,93,1,1,435,1,2,1,0,1,0,1,1,2,0,0,0,2,782,0,4,786,0
315,315,22,247,120,0,0,296,0,0,0,0,0,0,0,0,0,1,0,0,0,686,0,2,688,0
316,316,13,151,31,1,3,279,0,1,1,0,1,0,0,0,1,0,0,0,0,482,0,4,486,0
317,317,8,172,36,0,1,251,2,1,1,0,0,0,0,0,0,0,1,3,2,478,0,1,479,0
318,318,47,252,122,3,2,267,0,0,1,0,1,2,0,1,1,1,0,1,0,701,0,3,704,0
319,319,29,227,48,1,2,426,3,3,0,0,0,0,0,1,0,1,0,1,0,742,0,3,745,0
320,320,33,204,58,0,4,491,2,3,0,0,0,0,3,1,2,0,0,0,0,801,0,1,802,0
321,321,21,127,86,1,1,232,1,2,0,0,0,0,2,0,1,1,0,1,0,476,0,4,480,0
322,322,13,116,64,18,0,222,0,0,1,0,0,0,0,0,2,0,0,0,1,437,0,4,441,0
323,323,35,169,82,4,1,334,0,2,0,0,1,0,1,2,2,1,0,0,0,634,0,4,638,0
324,324,25,219,95,2,1,445,0,0,0,0,0,0,1,1,2,1,0,2,1,795,0,1,796,0
325,325,27,287,67,0,1,373,1,0,1,0,1,1,0,0,2,0,0,2,1,764,0,4,768,0
326,326,20,161,66,1,2,279,1,1,0,0,0,1,1,1,1,0,1,2,0,538,0,7,545,0
327,327,26,162,75,1,0,271,1,1,1,0,3,0,0,1,1,0,0,1,1,545,0,2,547,0
328,328,18,212,82,1,1,393,0,0,0,0,0,0,0,0,2,1,0,0,0,710,0,1,711,0
329,329,18,153,115,0,1,237,0,0,0,0,0,0,0,1,0,1,0,0,0,526,0,6,532,0
330,330,14,212,104,3,0,161,0,1,1,0,1,0,0,0,2,2,0,0,0,501,0,6,507,0
331,331,11,170,136,0,0,291,1,0,0,0,0,0,0,0,0,1,0,1,0,611,0,1,612,0
332,332,24,238,49,1,0,202,1,0,0,0,1,0,0,1,0,0,0,0,0,517,0,0,517,0
333,333,25,192,148,3,4,293,1,0,0,0,1,0,0,0,0,2,0,1,0,670,0,3,673,0
334,334,9,217,77,1,2,200,0,1,0,0,0,0,0,0,1,0,0,1,0,509,0,1,510,0
335,335,12,203,93,0,1,237,0,0,0,0,0,0,0,0,0,3,0,3,0,552,0,1,553,0
336,336,15,133,107,0,0,304,1,0,1,0,0,0,0,1,0,0,1,1,0,564,0,2,566,0
337,337,4,247,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,1,293,1
338,338,3,501,5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,593,0,4,597,0
339,339,16,580,29,0,0,174,0,0,0,0,0,0,0,1,0,0,0,2,2,804,0,3,807,0
340,340,7,444,33,0,1,134,0,1,0,0,0,0,0,0,0,1,0,1,0,622,0,2,624,0
341,341,7,451,38,0,1,247,1,0,0,0,0,0,0,0,1,0,0,0,1,747,0,3,750,0
342,342,22,266,114,0,1,302,0,2,0,0,0,0,0,0,0,0,0,0,0,707,0,6,713,0
343,343,17,163,125,1,1,192,0,0,1,0,0,0,1,0,0,0,1,0,0,502,0,3,505,0
344,344,12,192,72,0,0,179,0,0,0,1,0,0,0,0,0,0,0,0,0,456,0,3,459,0
345,345,13,557,5,0,2,84,0,0,0,0,0,0,1,0,0,0,0,0,0,662,0,7,669,0
