Polling Station No,Candidate_1,INAMAHDAR M,NANHSIRKAMARAYAJ R,ULEVAGUMNAHS C,RAMUKLIHTNES KA,IALAMURIHT R,ILA DEMAHA M,LEVAGUMNAHS A,LEVAGUMNAHS K,LEVAGUMNAHS S,LEVAGUNAHS M,JARAGNAHT P,NARDNEHAM PS,NAGAHZAVIDAV IJALAB K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
142,142,29,218,167,2,219,0,0,0,0,0,2,0,1,638,0,1,639,0
143,143,21,169,99,1,232,0,0,0,1,1,0,1,2,527,0,3,530,0
144,144,23,202,110,0,209,2,0,0,1,0,0,0,1,548,0,5,553,0
145,145,32,194,70,1,250,1,0,0,0,0,0,0,0,548,0,4,552,0
146,146,46,389,190,4,319,0,3,2,1,2,3,4,8,971,0,3,974,0
147,147,17,187,93,4,195,0,1,2,0,0,0,0,0,499,0,0,499,0
148,148,54,298,320,5,318,1,2,0,0,4,3,4,3,1012,0,5,1017,0
149,149,25,142,148,2,184,0,0,0,1,2,0,0,1,505,0,2,507,0
150,150,25,189,176,1,203,1,1,0,2,0,1,1,3,603,0,4,607,0
151,151,57,247,279,1,215,2,0,1,2,4,1,4,2,815,0,1,816,0
152,152,26,275,216,4,184,2,1,2,1,1,0,3,0,715,0,5,720,0
153,153,5,159,145,0,63,1,1,0,0,0,1,1,5,381,0,2,383,0
154,154,30,385,228,6,323,0,1,0,2,2,0,6,4,987,0,5,992,0
155,155,26,257,228,2,267,2,0,0,0,0,1,2,1,786,0,8,794,0
156,156,34,247,198,4,201,1,0,0,1,1,0,2,0,689,0,3,692,0
157,157,12,189,180,1,127,1,0,0,1,1,1,1,0,514,0,3,517,0
158,158,9,188,66,4,155,2,0,0,0,0,0,0,0,424,0,1,425,0
159,159,25,337,247,1,186,1,1,1,1,2,4,1,3,810,0,1,811,0
160,160,26,218,240,4,151,1,0,1,3,2,3,2,3,654,0,5,659,0
161,161,44,340,281,2,165,1,3,0,1,1,0,1,1,840,0,2,842,0
162,162,74,285,274,3,161,4,0,1,4,0,3,0,2,811,0,6,817,0
163,163,51,201,156,2,99,1,0,0,1,0,2,0,2,515,0,1,516,0
164,164,50,241,170,0,100,1,0,1,1,1,5,2,7,579,0,2,581,0
165,165,24,334,142,4,239,0,0,0,0,0,0,0,2,745,0,6,751,0
166,166,28,276,198,2,215,1,0,0,0,0,0,5,2,727,0,3,730,0
167,167,32,213,163,6,252,0,0,1,0,0,2,2,1,672,0,3,675,0
168,168,28,357,251,1,240,0,1,1,5,2,1,1,1,889,0,1,890,0
169,169,23,194,314,1,189,3,1,0,6,2,4,4,7,748,0,13,761,0
170,170,18,191,265,3,131,1,1,0,0,1,0,1,0,612,0,4,616,0
171,171,19,304,275,5,244,1,2,0,1,2,1,0,7,861,0,4,865,0
172,172,29,264,149,1,288,4,1,0,2,3,2,2,9,754,0,1,755,0
173,173,32,184,120,2,104,0,0,1,1,2,1,1,2,450,0,4,454,0
174,174,22,248,205,0,166,0,1,0,1,2,0,0,3,648,0,2,650,0
175,175,28,239,122,1,107,1,0,0,2,2,1,2,2,507,0,4,511,0
176,176,11,241,160,1,137,0,0,0,2,1,1,4,2,560,0,1,561,0
177,177,24,232,107,0,161,0,0,1,2,2,0,0,2,531,0,3,534,0
178,178,22,322,203,4,191,1,1,0,1,3,0,2,2,752,0,4,756,0
179,179,40,295,201,1,294,1,0,0,0,2,0,1,4,839,0,3,842,0
180,180,18,278,62,0,139,0,0,0,1,0,0,0,0,498,0,3,501,0
181,181,22,372,138,1,175,0,1,0,7,4,1,5,3,729,0,5,734,0
182,182,22,354,157,9,264,3,1,1,0,2,1,2,2,818,0,4,822,0
183,183,21,241,155,2,156,0,0,0,1,0,0,1,2,579,0,1,580,0
184,184,21,236,228,2,246,0,0,0,0,0,1,3,4,741,0,1,742,0
185,185,37,237,279,2,335,0,0,0,0,2,0,0,0,892,0,2,894,0
186,186,14,270,208,1,250,0,0,0,0,0,0,3,1,747,0,3,750,0
187,187,22,203,241,1,325,2,1,1,2,2,2,7,3,812,0,6,818,0
188,188,24,249,318,0,273,0,0,0,1,4,1,4,3,877,0,3,880,0
189,189,31,187,149,0,63,0,0,0,2,0,0,0,1,433,0,3,436,0
190,190,22,150,308,1,147,1,0,0,0,0,1,1,1,632,0,3,635,0
191,191,26,107,300,4,78,1,1,0,1,2,2,3,2,527,0,2,529,0
192,192,15,286,389,3,159,0,0,0,1,1,2,4,7,867,0,4,871,0
193,193,29,326,232,3,169,1,1,1,3,1,0,1,3,770,0,2,772,0
194,194,21,254,144,0,146,0,0,0,2,1,2,0,3,573,0,4,577,0
195,195,26,262,204,2,185,2,1,0,2,3,0,2,1,690,0,5,695,0
196,196,15,123,151,0,99,1,0,0,1,0,0,0,2,392,0,2,394,0
197,197,16,279,187,2,265,2,0,0,3,2,3,6,4,769,0,4,773,0
198,198,18,211,267,2,192,1,1,0,1,2,0,0,1,696,0,4,700,0
199,199,53,245,127,3,98,2,0,0,0,1,4,3,6,542,0,5,547,0
200,200,25,187,239,1,66,1,1,0,0,3,2,4,1,530,0,3,533,0
201,201,33,276,300,1,177,1,0,0,1,1,0,2,1,793,0,1,794,0
202,202,15,361,210,1,153,1,1,0,2,4,2,1,1,752,0,6,758,0
203,203,32,300,148,0,118,0,0,0,0,1,0,1,3,603,0,5,608,0
204,204,21,402,284,1,241,0,0,1,2,2,0,7,4,965,0,7,972,0
205,205,7,168,144,4,126,0,0,0,1,5,0,2,1,458,0,5,463,0
206,206,20,194,152,1,185,1,0,0,1,1,0,0,3,558,0,1,559,0
207,207,26,277,293,2,237,2,1,1,1,1,5,8,2,856,0,6,862,0
208,208,37,420,266,2,213,0,0,0,4,4,2,2,3,953,0,3,956,0
209,209,42,414,219,2,231,1,0,0,0,1,1,0,4,915,0,5,920,0
210,210,13,213,299,2,219,1,0,1,3,1,1,2,2,757,0,0,757,0
211,211,11,141,233,4,79,0,1,0,2,1,1,1,5,479,0,2,481,0
212,212,9,98,110,2,79,1,0,0,0,1,0,1,3,304,0,1,305,0
213,213,14,317,343,3,211,1,1,0,2,1,0,3,2,898,0,5,903,0
214,214,10,121,266,1,92,0,0,0,2,1,1,0,0,494,0,1,495,0
215,215,11,203,213,3,42,0,3,0,0,1,0,3,4,483,0,2,485,0
216,216,11,149,185,1,114,0,1,1,0,2,0,3,0,467,0,0,467,0
217,217,30,387,107,1,129,0,1,1,0,2,1,4,3,666,0,2,668,0
218,218,19,288,74,0,123,0,0,0,0,0,0,0,2,506,0,0,506,0
219,219,24,317,194,4,104,1,1,1,1,3,0,2,2,654,0,3,657,0
220,220,18,274,192,1,111,1,0,0,0,1,2,2,2,604,0,0,604,0
221,221,9,260,132,0,50,1,0,0,0,1,0,1,2,456,0,0,456,0
222,222,17,329,292,3,190,1,0,0,0,0,1,2,2,837,0,5,842,0
223,223,44,361,167,2,293,1,0,0,3,2,2,3,10,888,0,2,890,0
224,224,18,217,96,1,142,0,0,0,0,0,1,0,5,480,0,0,480,0
225,225,14,262,213,1,138,0,1,0,1,1,1,3,2,637,0,0,637,0
226,226,22,191,143,0,142,1,0,1,3,1,1,1,0,506,0,3,509,0
227,227,17,172,122,1,84,0,0,0,0,0,0,0,1,397,0,5,402,0
228,228,34,175,162,2,181,0,0,0,0,1,1,2,1,559,0,6,565,0
229,229,36,301,185,3,191,1,0,0,0,2,0,0,4,723,0,3,726,0
230,230,28,288,178,3,204,1,1,0,0,4,0,0,1,708,0,4,712,0
231,231,16,244,413,4,204,2,1,1,0,3,3,4,5,900,0,2,902,0
232,232,14,162,195,2,107,0,0,0,1,0,0,0,1,482,0,3,485,0
233,233,15,260,120,0,123,0,0,0,2,1,0,0,2,523,0,4,527,0
234,234,23,311,123,1,148,0,0,0,1,0,1,1,1,610,0,4,614,0
235,235,14,417,176,4,143,2,0,1,1,1,2,3,7,771,0,5,776,0
236,236,13,293,123,0,156,0,0,0,0,0,0,1,3,589,0,1,590,0
237,237,29,331,121,0,213,0,0,0,0,2,0,1,3,700,0,4,704,0
238,238,24,359,97,0,168,1,0,0,1,1,2,0,1,654,0,2,656,0
239,239,39,400,130,2,241,0,1,1,2,0,0,0,1,817,0,3,820,1
240,240,22,378,99,1,180,0,0,0,1,1,0,0,2,684,0,0,684,0
241,241,20,475,109,1,168,1,1,1,0,3,3,2,5,789,0,7,796,0
242,242,11,258,124,0,90,0,0,0,0,2,1,1,2,489,0,0,489,0
243,243,22,173,95,1,147,1,0,0,1,0,0,0,0,440,0,2,442,0
244,244,28,287,124,1,258,2,0,0,1,1,1,0,2,705,0,0,705,0
245,245,12,195,85,0,161,0,0,0,1,0,0,0,1,455,0,2,457,0
246,246,23,239,120,3,167,0,0,0,0,1,0,0,0,553,0,0,553,0
247,247,20,224,88,1,154,0,0,1,0,1,0,0,2,491,0,3,494,0
248,248,42,293,121,3,228,0,0,1,1,2,1,1,1,694,0,2,696,0
249,249,24,246,88,4,215,1,0,0,2,2,0,1,5,588,0,2,590,0
250,250,35,247,363,6,241,2,0,0,2,2,1,1,2,902,0,4,906,0
251,251,17,262,365,3,266,1,1,0,0,2,0,0,3,920,0,3,923,0
252,252,23,352,208,1,156,0,1,0,1,0,0,1,1,744,0,1,745,0
253,253,8,411,56,0,123,1,0,0,0,2,0,0,0,601,0,0,601,0
254,254,14,297,60,1,80,0,0,0,0,1,0,0,0,453,0,3,456,0
255,255,20,317,78,5,87,0,0,2,0,1,1,0,0,511,0,2,513,0
256,256,21,586,48,1,139,1,0,0,1,2,0,1,1,801,0,4,805,2
257,257,20,442,55,1,117,0,0,0,0,1,0,0,1,637,0,2,639,0
258,258,36,202,189,4,274,0,0,0,0,2,1,1,0,709,0,5,714,0
259,259,24,209,173,5,207,1,0,0,2,2,1,1,2,627,0,3,630,0
260,260,22,244,195,3,316,2,0,1,4,1,1,1,4,794,0,2,796,0
261,261,33,252,302,3,187,2,0,0,1,1,1,1,0,783,0,11,794,0
262,262,20,154,98,1,124,1,0,0,1,0,0,0,1,400,0,0,400,0
263,263,32,292,192,3,305,0,1,1,2,2,2,1,4,837,0,5,842,0
264,264,15,165,101,0,241,2,1,0,1,1,0,1,0,528,0,4,532,0
265,265,17,193,118,1,166,0,0,0,0,1,0,0,0,496,0,4,500,0
266,266,36,217,189,4,350,1,0,0,0,0,0,1,2,800,0,4,804,0
267,267,25,263,97,4,334,2,2,1,0,6,0,1,2,737,0,4,741,0
268,268,16,192,88,1,190,1,0,0,1,0,0,1,0,490,0,2,492,0
