Polling Station No,V.P.KANDASAMY,THALAPATHY MURUGESAN,DR.S.RAJASEKARAN,KANTHASAMY.K.,NM.SUKUMAR,SUMAN SINGH.R.,NAGARAJ.K.,NELSON.W.,PALANISAMY.M.,PAPPA MUTHULAKSHMI.P.,KANDASAMY.A.,KANDASAMY.R.,KANDASAMY.V.,MURUGESAN.N.,MURUGESH.R.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
305,304,298,30,1,339,2,0,0,2,0,0,2,0,0,1,979,0,6,985,0
306,300,246,48,0,348,6,0,1,0,1,1,0,1,0,0,952,0,1,953,0
307,188,271,36,0,283,1,1,2,0,0,0,2,0,1,1,786,0,2,788,0
308,308,218,31,1,289,0,1,0,0,0,1,3,0,1,4,857,0,5,862,0
309,160,251,18,0,237,0,0,0,1,0,0,1,0,1,3,672,0,4,676,0
310,131,215,14,0,83,0,1,0,1,1,0,0,0,1,3,450,0,3,453,0
311,196,228,30,1,247,2,0,0,0,4,1,1,0,1,0,711,0,2,713,0
312,313,387,29,2,164,0,1,1,1,1,0,1,3,1,2,906,0,4,910,0
313,131,205,6,0,92,0,0,1,0,0,0,0,0,0,4,439,0,0,439,0
314,283,223,24,0,189,0,0,0,2,0,0,0,0,0,0,721,0,7,728,0
315,385,266,57,0,214,0,0,1,3,0,1,1,0,0,1,929,0,1,930,0
316,137,178,6,1,129,0,1,0,0,0,0,0,0,1,0,453,0,0,453,0
317,188,224,25,0,210,0,0,0,6,2,0,2,0,1,0,658,0,3,661,0
318,164,143,22,0,94,0,0,0,3,0,0,2,0,0,2,430,0,2,432,0
319,384,273,40,1,286,0,0,2,12,0,1,0,1,0,1,1001,0,6,1007,0
320,311,339,30,0,274,1,0,0,0,1,1,0,0,0,3,960,0,6,966,0
321,419,221,20,2,142,0,1,0,1,0,1,0,0,1,1,809,0,7,816,0
322,384,186,27,1,132,0,0,1,0,0,0,1,1,0,0,733,0,13,746,0
323,334,195,16,1,123,0,2,0,1,0,0,1,1,0,5,679,0,5,684,0
324,258,252,24,3,122,0,1,0,3,1,0,1,0,0,0,665,0,6,671,0
325,300,184,11,2,68,0,0,0,1,0,0,1,0,0,0,567,0,3,570,0
326,420,266,19,0,108,1,1,0,0,0,0,2,0,1,5,823,0,4,827,0
327,161,147,40,1,170,1,0,0,1,1,0,0,0,1,0,523,0,2,525,0
328,184,168,11,1,54,1,0,1,2,0,0,1,0,2,2,427,0,0,427,0
329,361,188,26,0,193,0,0,1,4,0,0,3,2,0,3,781,0,3,784,0
330,e 6291,160,20,0,141,0,0,0,2,2,1,1,0,0,3,621,0,5,626,0
331,242,269,27,0,197,0,1,1,3,1,1,2,0,0,1,745,0,6,751,0
332,298,259,27,1,170,2,1,0,0,0,1,1,0,3,4,767,0,5,772,0
333,272,279,24,1,205,0,0,0,0,0,0,1,0,0,2,784,0,3,787,0
334,318,281,33,1,326,1,0,0,0,1,0,1,0,1,5,968,0,5,973,0
335,308,346,26,2,280,0,1,0,1,1,0,1,1,2,2,971,0,2,973,0
336,334,235,14,2,261,1,0,0,2,0,1,1,2,1,0,854,0,2,856,0
337,265,228,21,0,144,1,0,0,1,1,1,2,0,1,2,667,0,5,672,0
338,246,177,14,1,181,0,1,0,0,0,0,1,0,0,1,622,0,5,627,0
339,324,166,12,0,151,1,0,0,0,0,1,1,0,1,1,658,0,1,659,0
340,219,82,6,0,161,0,0,0,0,0,0,0,0,0,0,468,0,2,470,0
341,234,92,10,2,159,0,1,1,0,0,0,0,0,0,0,499,0,0,499,0
342,317,262,18,0,197,0,0,0,0,0,0,0,0,0,0,794,0,1,795,0
343,330,273,13,0,187,0,0,0,0,0,0,1,0,1,0,805,0,1,806,0
344,168,107,7,0,108,0,0,0,0,0,0,0,0,0,0,390,0,3,393,0
345,170,224,16,0,180,0,0,0,1,0,0,1,0,0,3,595,0,1,596,0
346,306,159,26,0,61,0,0,0,1,0,1,0,0,0,0,554,0,3,557,0
347,390,270,28,1,152,1,0,0,0,1,0,1,1,0,2,847,0,3,850,0
348,134,151,7,2,121,0,0,0,0,0,0,0,0,1,1,417,0,1,418,0
349,238,188,8,0,75,0,1,1,0,0,0,0,1,3,3,518,0,4,522,0
350,296,148,20,0,90,1,0,0,0,0,1,2,0,0,1,559,0,4,563,0
351,343,196,13,0,70,1,1,0,0,1,1,2,0,1,2,631,0,6,637,0
352,274,271,14,0,177,1,0,0,0,2,0,0,0,0,3,742,0,5,747,0
353,195,179,14,1,97,0,0,0,0,0,0,1,0,0,1,488,0,2,490,0
354,271,274,21,1,207,0,0,0,0,0,0,0,0,2,1,777,0,4,781,0
355,206,142,21,1,126,0,1,1,0,0,0,1,0,0,8,507,0,6,513,0
356,308,167,8,0,147,0,1,1,0,0,0,1,0,0,2,635,0,2,637,0
357,195,207,15,1,188,0,1,1,0,1,1,2,0,0,3,615,0,3,618,0
358,261,85,14,0,85,0,1,0,1,0,0,0,0,0,1,448,0,1,449,0
359,336,146,16,2,158,1,0,0,0,0,1,1,0,1,1,663,0,2,665,0
360,318,271,28,1,173,0,1,0,0,0,0,2,0,0,3,797,0,5,802,0
361,266,161,14,1,111,0,0,0,0,0,0,1,0,0,2,556,0,5,561,0
362,441,272,33,2,203,1,1,1,0,0,0,1,0,1,4,960,0,2,962,0
363,250,139,9,0,142,1,0,0,1,0,2,0,1,0,0,545,0,3,548,0
364,222,230,15,2,171,2,0,0,0,0,0,0,1,2,3,648,0,5,653,0
365,313,240,29,0,177,0,2,0,0,1,1,0,0,0,3,766,0,4,770,0
366,320,219,21,2,103,1,0,1,0,0,0,1,1,1,3,673,0,5,678,0
367,336,164,28,1,170,0,0,0,0,0,0,0,2,0,2,703,0,1,704,0
368,373,179,13,1,93,0,0,0,0,0,0,1,0,0,0,660,0,2,662,0
369,263,99,15,0,150,1,1,0,0,0,0,1,0,0,0,530,0,3,533,0
370,309,158,16,0,165,0,1,0,0,0,1,1,0,1,5,657,0,5,662,0
371,434,275,14,1,149,0,0,1,0,0,1,1,0,0,3,879,0,7,886,0
372,255,178,10,0,134,1,0,0,0,0,0,1,0,1,1,581,0,6,587,0
373,240,166,2,0,67,0,0,0,0,0,0,0,2,2,0,479,0,6,485,0
374,367,182,21,2,81,1,0,0,1,2,0,1,0,0,2,660,0,3,663,0
375,391,274,14,0,194,0,1,0,0,0,0,1,0,0,6,881,0,10,891,0
376,391,267,25,0,114,0,0,0,0,0,1,0,1,0,0,799,0,2,801,0
377,345,223,12,1,186,0,1,1,0,0,0,3,2,0,4,778,0,3,781,0
378,360,383,25,0,184,0,0,0,1,2,1,0,2,1,5,964,0,4,968,0
379,332,266,12,0,114,0,1,0,0,0,1,0,0,1,5,732,0,2,734,0
380,448,291,31,3,178,0,1,0,1,0,0,4,1,2,6,966,0,6,972,0
381,376,283,30,0,107,0,1,0,1,0,0,0,0,2,0,800,0,5,805,0
382,384,304,23,1,130,0,0,0,0,0,2,2,2,0,3,851,0,5,856,0
383,268,228,13,2,102,0,1,0,0,0,0,0,0,0,1,615,0,5,620,0
384,253,161,13,0,116,0,0,0,1,0,0,1,0,0,0,545,0,3,548,0
385,e 7349,267,32,1,108,0,0,0,0,0,0,0,0,1,1,759,0,5,764,0
