Polling Station No,V.P.KANDASAMY,THALAPATHY MURUGESAN,DR.S.RAJASEKARAN,KANTHASAMY.K.,NM.SUKUMAR,SUMAN SINGH.R.,NAGARAJ.K.,NELSON.W.,PALANISAMY.M.,PAPPA MUTHULAKSHMI.P.,KANDASAMY.A.,KANDASAMY.R.,KANDASAMY.V.,MURUGESAN.N.,MURUGESH.R.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
23,176,182,10,0,217,0,0,0,0,0,0,1,0,1,1,588,0,3,591,0
24,285,138,12,0,110,1,2,0,1,0,0,0,0,1,2,552,0,1,553,0
25,230,168,11,3,142,1,2,0,0,1,0,2,2,1,1,564,0,2,566,0
26,189,88,18,0,141,0,0,0,0,0,0,2,0,0,0,438,0,0,438,0
27,251,175,22,0,240,0,1,0,0,1,0,0,0,0,0,690,0,2,692,0
28,135,168,11,0,146,1,0,0,0,0,1,0,0,0,1,463,0,2,465,0
29,364,230,33,1,178,1,2,1,1,1,0,2,1,2,2,819,0,6,825,0
30,36,737,17,0,104,0,0,0,0,0,0,0,0,1,0,895,0,3,898,0
31,94,522,17,0,171,2,0,0,0,0,0,0,0,0,2,808,0,1,809,0
32,232,250,41,0,347,2,0,0,1,2,0,2,0,5,6,888,0,9,897,0
33,406,272,33,1,250,0,1,0,0,0,0,2,0,0,1,966,0,3,969,0
34,208,209,32,0,319,0,0,0,1,0,1,4,0,0,0,774,0,3,777,0
35,200,246,25,0,292,0,2,0,1,0,1,1,0,1,0,769,0,5,774,0
36,316,154,42,1,276,0,0,0,0,2,0,1,0,0,2,794,0,4,798,0
37,156,182,10,0,254,1,0,0,0,0,0,0,0,0,1,604,0,2,606,0
38,110,194,26,2,243,0,0,0,0,0,0,0,0,0,0,575,0,4,579,0
39,159,145,33,0,218,0,0,0,0,0,0,0,0,0,0,555,0,3,558,0
40,190,156,29,1,248,1,0,0,0,0,0,2,0,0,0,627,0,4,631,0
41,258,143,28,2,259,1,0,0,0,0,0,0,1,0,0,692,0,5,697,0
42,287,199,20,2,345,1,2,0,0,1,0,1,0,0,2,860,0,3,863,0
43,266,214,23,0,196,0,0,0,0,0,0,0,0,0,2,701,0,3,704,0
44,230,134,19,1,248,0,0,0,1,0,0,2,0,0,2,637,0,2,639,0
45,189,224,16,1,293,0,0,0,0,0,1,1,0,0,0,725,0,1,726,0
46,171,183,17,1,233,1,0,0,0,0,0,1,0,0,0,607,0,2,609,0
47,159,208,32,0,256,1,0,0,0,0,1,2,0,1,1,661,0,1,662,0
48,116,255,18,1,228,1,1,1,0,3,0,0,0,1,0,625,0,2,627,0
49,169,208,19,2,275,0,2,0,0,0,0,0,1,0,1,677,0,4,681,0
50,95,241,17,4,251,0,0,0,0,0,1,1,0,2,0,612,0,2,614,0
51,63,219,11,0,164,1,1,0,0,0,1,1,0,0,1,462,0,1,463,0
52,125,231,11,1,316,0,0,0,0,1,0,0,0,0,1,686,0,2,688,0
53,181,271,34,1,306,0,0,0,0,0,0,0,0,3,2,798,0,1,799,0
54,207,219,24,0,359,2,0,1,1,0,0,0,0,1,2,816,0,5,821,0
55,e 1129,226,15,1,197,2,0,0,1,0,0,1,0,1,0,573,0,3,576,0
56,153,137,20,0,240,0,0,0,0,1,0,0,0,0,0,551,0,1,552,0
57,137,126,18,1,208,1,0,0,0,0,1,0,0,0,1,493,0,3,496,0
58,169,199,24,1,329,0,0,0,0,1,1,3,0,0,0,727,0,4,731,0
59,163,159,18,0,247,1,1,0,0,1,0,0,0,0,1,591,0,1,592,0
60,159,162,16,1,251,1,1,0,1,1,1,0,0,0,0,594,0,3,597,0
61,146,160,29,0,272,1,1,0,1,0,0,0,0,0,1,611,0,3,614,0
62,210,115,19,0,283,0,0,0,0,1,0,1,0,1,1,631,0,2,633,0
63,163,141,22,3,305,0,2,0,2,1,1,2,0,0,0,642,0,2,644,0
64,174,128,26,0,243,1,1,0,1,0,1,0,0,0,0,575,0,3,578,0
65,212,187,35,1,417,0,1,1,0,1,0,0,0,1,1,857,0,4,861,0
66,164,172,38,0,274,1,0,0,0,1,1,0,1,0,1,653,0,1,654,0
67,234,181,46,1,335,1,1,0,1,1,0,0,0,0,1,802,0,2,804,0
68,214,99,25,0,247,2,0,0,0,0,1,4,0,0,0,592,0,3,595,0
69,177,166,21,1,222,0,0,0,0,0,0,1,0,0,2,590,0,2,592,0
70,326,179,37,1,302,0,0,0,1,2,0,1,0,0,0,849,0,4,853,0
71,318,219,36,0,360,2,1,0,0,1,0,1,0,0,0,938,0,1,939,0
72,229,85,29,0,177,0,0,0,0,0,0,2,0,0,3,525,0,3,528,0
73,306,317,33,3,395,1,2,0,1,0,0,0,0,0,0,1058,0,1,1059,0
74,178,151,23,0,242,0,0,0,0,0,0,0,0,0,1,595,0,4,599,0
75,154,89,22,0,226,1,0,0,0,0,1,0,0,0,0,493,0,3,496,0
76,191,118,8,1,154,1,0,0,0,0,1,1,0,1,2,478,0,4,482,0
77,264,273,22,1,339,1,2,0,0,0,0,1,1,2,3,909,0,4,913,0
78,268,193,19,1,301,0,0,0,1,0,1,0,0,0,1,785,0,12,797,0
79,364,208,23,1,334,1,1,0,0,0,0,0,1,0,1,934,0,3,937,0
80,224,150,13,0,233,0,0,0,0,0,1,0,0,0,2,623,0,2,625,0
81,169,192,11,0,260,1,0,0,0,0,0,0,1,1,0,635,0,4,639,0
82,325,219,33,1,256,1,0,0,0,0,0,2,0,1,1,839,0,2,841,0
83,368,282,27,2,336,2,0,0,1,0,0,2,0,1,2,1023,0,3,1026,0
84,210,206,24,2,134,0,0,0,0,0,0,0,1,0,0,577,0,1,578,0
85,219,187,11,0,119,0,1,1,0,0,0,0,0,0,2,540,0,3,543,0
86,196,280,31,1,354,3,0,0,0,4,1,1,0,0,4,875,0,3,878,0
87,249,227,27,0,255,0,0,0,0,2,1,1,1,1,2,766,0,4,770,0
88,100,180,25,0,219,1,0,0,0,2,1,0,0,1,0,529,0,2,531,0
89,229,187,33,0,258,0,1,0,0,1,0,0,0,1,0,710,0,0,710,0
90,168,277,39,1,319,2,1,0,1,1,1,1,0,0,1,812,0,2,814,0
91,205,251,37,0,356,0,2,0,0,0,0,0,1,0,0,852,0,2,854,0
92,207,137,18,0,172,1,0,0,0,0,0,0,0,0,0,535,0,0,535,0
93,125,105,7,0,94,0,0,0,0,1,0,1,1,0,0,334,0,2,336,0
94,153,177,31,0,179,0,0,0,0,1,0,1,0,0,2,544,0,1,545,0
95,255,208,32,2,279,0,1,0,0,0,1,1,0,0,0,779,0,4,783,0
96,258,165,24,1,164,0,0,0,0,0,1,0,1,0,2,616,0,2,618,0
97,137,230,41,0,218,0,0,0,0,0,0,1,0,0,0,627,0,2,629,0
98,195,237,36,0,279,1,1,0,0,4,0,0,0,0,0,753,0,6,759,0
99,150,150,23,1,181,1,0,0,0,0,0,0,0,0,1,507,0,4,511,0
100,122,169,23,2,156,0,0,0,0,0,0,1,0,0,0,473,0,4,477,0
101,165,207,57,0,341,0,0,0,0,0,0,0,0,0,0,770,0,1,771,0
102,175,174,24,0,155,0,0,0,0,0,0,0,0,0,0,528,0,0,528,0
103,276,188,48,0,349,2,0,0,1,0,0,0,0,0,0,864,0,1,865,0
104,200,193,47,0,288,1,1,1,0,1,0,0,0,0,0,732,0,3,735,0
105,306,214,41,0,266,0,0,0,0,1,2,2,0,0,0,832,0,4,836,0
106,271,193,39,1,327,0,1,0,0,1,0,1,0,0,0,834,0,4,838,0
107,274,298,23,0,159,1,1,0,0,1,1,1,0,0,1,760,0,3,763,0
108,296,204,43,0,340,0,1,0,0,0,1,0,0,0,1,886,0,5,891,0
109,311,251,34,1,326,1,0,0,0,0,0,0,0,0,0,924,0,5,929,0
110,e 2258,264,38,3,307,0,0,0,0,1,0,2,0,1,1,875,0,3,878,0
111,182,122,28,0,267,1,0,0,1,0,0,1,0,0,0,602,0,1,603,0
112,266,158,14,0,118,0,0,0,0,0,0,2,1,0,2,561,0,6,567,0
113,187,286,27,2,345,0,1,0,0,0,0,1,0,0,1,850,0,4,854,0
114,374,193,40,0,261,0,0,1,0,0,0,1,0,0,1,871,0,3,874,0
115,309,185,24,0,268,1,0,0,1,2,1,4,0,0,0,795,0,3,798,0
116,151,161,8,0,149,1,0,0,0,0,0,1,0,0,1,472,0,2,474,0
117,172,128,19,3,193,0,0,0,0,0,0,0,0,0,0,515,0,3,518,0
118,202,148,11,0,137,0,0,0,0,0,0,0,0,0,0,498,0,1,499,0
119,147,208,15,1,194,0,1,0,0,1,0,0,0,1,0,568,0,9,577,0
120,244,156,28,0,286,3,0,0,0,0,0,0,0,0,1,718,0,3,721,0
121,165,158,31,0,360,1,0,0,0,0,0,1,0,0,1,717,0,5,722,0
122,274,208,26,0,223,1,0,1,0,0,0,0,0,0,1,734,0,5,739,0
123,150,149,10,1,239,0,0,0,0,0,0,0,1,0,2,552,0,0,552,0
124,197,220,20,0,211,1,0,0,0,0,4,0,0,0,2,655,0,2,657,0
125,172,178,34,1,330,0,0,0,0,0,1,0,0,0,0,716,0,3,719,0
126,227,158,38,1,271,1,0,0,0,0,0,0,0,0,0,696,0,1,697,0
127,228,173,42,0,406,0,0,0,0,0,0,1,0,0,1,851,0,8,859,0
128,264,247,46,0,349,2,0,0,0,2,0,0,0,0,0,910,0,5,915,0
129,301,176,38,1,320,0,1,0,0,0,1,0,1,0,1,840,0,6,846,0
130,146,114,25,0,277,0,0,0,1,0,0,0,0,1,1,565,0,2,567,0
131,180,140,21,0,125,1,0,1,0,0,0,2,0,1,1,472,0,3,475,0
132,97,134,30,0,226,0,1,0,0,0,0,0,0,0,1,489,0,3,492,0
133,137,112,27,0,219,0,0,0,0,1,0,0,0,0,0,496,0,1,497,0
134,127,134,10,0,139,0,0,0,0,0,1,0,0,0,0,411,0,2,413,0
135,197,236,48,0,344,1,0,0,0,1,1,0,0,0,0,828,0,1,829,0
136,194,146,31,1,302,0,0,0,0,0,0,0,0,1,0,675,0,3,678,0
137,191,171,27,2,226,1,1,0,0,0,0,0,1,0,2,622,0,3,625,0
138,212,209,22,3,198,0,1,0,0,0,0,0,0,0,1,646,0,5,651,0
139,161,207,35,1,229,0,0,0,1,0,2,0,0,0,1,637,0,1,638,0
140,72,93,15,0,152,0,0,0,1,0,1,1,0,0,0,335,0,3,338,0
141,109,341,40,0,434,0,1,3,0,1,0,1,0,1,3,934,0,2,936,0
