Polling Station No,V . PALANI,S. MUTHUSAMY,M. YUVARAJA,N. VIJAY,ANANTH MOGHAN K.K.,K. KALAIYARASAN,V. DHANALAKSHMI,M. NATARAJ,M. RUKMANI,SHANMUGAM M.,MOORTHI P.,A. RAMU,C. RAJENDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
240,2,271,129,30,303,3,0,0,0,1,0,0,1,740,0,4,744,0
241,1,202,86,22,205,1,0,0,0,0,1,2,0,520,0,5,525,0
242,0,170,58,22,233,1,0,0,0,0,0,0,1,485,0,0,485,0
243,1,116,62,18,124,0,0,0,0,0,0,0,0,321,0,0,321,0
244,0,307,76,20,249,2,2,1,0,0,0,0,1,658,0,2,660,0
245,2,146,40,14,166,0,1,1,0,0,0,0,2,372,0,5,377,0
246,0,88,22,9,150,0,0,0,0,0,0,0,0,269,0,2,271,0
247,2,242,149,17,298,2,1,0,0,2,1,0,0,714,0,2,716,0
248,3,193,40,15,209,0,0,0,1,1,0,0,0,462,0,2,464,0
249,1,151,99,9,169,0,0,0,0,0,0,0,1,430,0,2,432,0
250,1,328,125,19,301,0,0,0,0,0,2,0,1,777,0,5,782,0
251,1,282,83,16,285,0,0,0,2,0,0,0,0,669,0,5,674,0
252,0,172,149,22,213,0,0,0,0,0,0,0,1,557,0,4,561,0
253,2,193,93,15,204,0,0,0,1,0,0,1,0,509,0,6,515,0
254,1,216,104,10,201,0,0,0,0,0,0,0,1,533,0,3,536,0
255,0,217,111,17,201,2,0,0,1,0,1,0,0,550,0,4,554,0
256,0,269,135,19,227,1,0,0,0,0,0,0,2,653,0,4,657,0
257,0,214,136,29,209,1,0,0,0,0,0,0,1,590,0,3,593,0
258,2,297,131,21,411,0,0,0,1,2,0,1,1,867,0,3,870,0
259,2,299,143,24,308,0,0,0,0,2,1,1,1,781,0,4,785,0
260,1,206,86,14,260,2,0,1,0,1,0,1,2,574,0,0,574,0
261,1,178,63,10,212,3,0,0,0,0,0,0,1,468,0,2,470,0
262,3,287,127,39,245,3,0,0,0,0,1,0,0,705,0,5,710,0
263,0,140,95,24,133,1,0,0,0,1,1,0,0,395,0,1,396,0
264,1,235,119,28,193,1,1,0,1,0,0,1,1,581,0,4,585,0
265,1,250,215,37,253,1,2,1,1,1,3,1,0,766,0,8,774,0
266,4,235,193,45,305,0,0,0,0,1,0,0,0,783,0,5,788,0
267,1,296,135,43,387,3,0,0,0,1,0,1,1,868,0,3,871,0
268,0,205,70,26,269,0,0,0,0,1,0,0,1,572,0,0,572,0
269,1,311,130,27,380,1,0,0,0,0,1,1,1,853,0,4,857,0
270,1,246,123,42,250,0,2,0,0,0,0,0,0,664,0,2,666,0
271,0,227,126,23,260,2,0,1,0,0,1,1,0,641,0,3,644,0
272,2,202,152,32,309,0,0,0,2,0,0,0,1,700,0,3,703,0
273,2,208,95,31,366,3,1,0,2,1,0,1,0,710,0,5,715,0
274,1,270,56,22,202,2,1,0,0,0,0,2,0,556,0,2,558,0
275,0,343,81,47,406,3,0,0,0,1,0,0,1,882,0,4,886,0
276,3,173,50,25,247,0,0,0,0,1,0,0,1,500,0,1,501,0
277,0,263,111,27,298,1,1,0,1,0,0,0,0,702,0,4,706,0
278,0,244,73,15,208,0,0,0,0,0,0,0,0,540,0,2,542,0
279,2,282,92,30,464,1,0,1,0,3,1,0,2,878,0,8,886,0
280,3,418,99,43,351,2,0,1,2,0,0,3,1,923,0,3,926,0
281,1,274,102,25,358,0,1,2,0,2,1,1,0,767,0,7,774,0
282,7,218,78,26,337,5,0,1,1,2,1,1,1,678,0,4,682,0
283,0,271,44,11,232,0,0,0,0,0,0,1,0,559,0,4,563,0
284,1,260,39,31,233,0,0,0,0,0,0,1,1,566,0,5,571,0
285,0,180,31,15,126,2,0,0,0,0,0,0,0,354,0,6,360,0
286,2,200,47,15,301,0,0,0,1,0,0,1,1,568,0,7,575,0
287,1,172,41,18,261,1,0,1,0,2,0,2,0,499,0,2,501,0
288,1,138,22,6,132,0,0,0,0,0,1,0,0,300,0,1,301,0
289,3,237,97,25,338,1,0,0,1,0,0,0,1,703,0,2,705,0
290,0,335,87,49,423,1,1,0,0,1,0,1,1,899,0,4,903,0
291,3,417,71,23,435,1,0,0,0,1,0,0,3,954,0,4,958,0
292,1,338,66,35,475,0,0,0,0,0,1,0,0,916,0,5,921,0
293,1,397,94,33,367,2,0,0,0,1,1,1,0,897,0,4,901,0
294,1,279,58,32,261,2,0,2,0,0,1,1,0,637,0,2,639,0
295,1,289,80,33,233,3,0,0,0,0,1,0,0,640,0,5,645,0
296,1,217,190,32,318,2,0,1,0,0,1,2,4,768,0,5,773,0
297,2,183,139,10,178,2,1,1,0,2,1,1,1,521,0,2,523,0
298,4,272,218,30,245,1,2,0,0,1,0,2,1,776,0,1,777,0
299,2,323,103,41,367,5,0,0,0,0,1,2,1,845,0,10,855,0
300,3,161,182,27,261,0,2,1,2,1,1,1,0,642,0,2,644,0
301,4,252,178,32,333,5,0,0,1,1,2,2,2,812,0,8,820,0
302,4,307,138,16,272,0,3,1,0,1,0,1,1,744,0,2,746,0
303,1,283,235,32,327,4,1,1,0,1,0,0,0,885,0,4,889,0
304,1,90,121,9,144,0,0,0,1,1,1,2,1,371,0,0,371,0
305,0,248,164,22,211,0,0,0,1,0,1,1,2,650,0,2,652,0
306,2,140,144,20,196,1,1,0,0,0,1,0,0,505,0,5,510,0
307,2,278,108,24,170,3,2,0,0,1,2,2,1,593,0,3,596,0
308,2,269,180,27,243,2,3,0,0,1,1,0,1,729,0,8,737,0
309,4,242,215,27,244,1,3,0,1,1,0,1,1,740,0,4,744,0
310,3,139,134,17,198,1,1,0,0,1,1,1,2,498,0,4,502,0
311,3,230,149,16,184,1,2,1,0,1,1,0,2,590,0,5,595,0
312,5,297,209,30,188,1,0,1,0,0,9,1,4,745,0,7,752,0
313,2,206,106,26,225,0,3,1,0,0,0,1,1,571,0,4,575,0
314,0,179,87,15,186,0,0,0,0,0,1,1,1,470,0,3,473,0
315,0,172,120,10,159,0,0,0,0,1,0,2,0,464,0,3,467,0
316,0,193,142,8,176,0,0,0,0,0,0,0,1,520,0,2,522,0
317,5,296,272,34,297,3,1,2,0,1,0,1,0,912,0,3,915,0
318,5,285,241,38,229,4,1,1,0,0,1,2,1,808,0,4,812,0
319,3,229,103,50,211,4,0,2,2,0,0,1,2,607,0,8,615,0
320,0,237,59,28,204,3,0,0,0,1,1,0,0,533,0,2,535,0
321,1,254,127,25,248,1,0,1,0,0,0,1,1,659,0,2,661,0
322,3,278,118,11,202,0,0,0,0,5,3,0,1,621,0,4,625,0
323,1,297,183,41,363,2,1,3,0,2,2,1,2,898,0,2,900,0
324,5,364,98,41,233,3,4,0,0,2,2,1,0,753,0,2,755,0
325,1,339,169,38,325,3,0,1,0,2,0,2,3,883,0,3,886,0
