Polling Station No,M. SEKAR,S.THIRUMURUGAN,R. VAITHILINGAM,DR. K. ARVIND,C. GUNASEKARAN,M. SELVARAJ,A. AJESHKANNAN,M. KANAGARAJ,T. VIJAYAKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
207,99,20,243,129,0,0,0,0,1,492,0,1,493,0
208,124,29,212,151,0,1,1,2,0,520,0,0,520,0
209,100,25,186,129,1,0,0,1,1,443,0,1,444,0
210,171,32,331,125,0,8,2,5,0,674,0,1,675,0
211,164,21,293,54,0,0,0,1,0,533,0,2,535,0
212,203,32,369,194,0,0,0,2,1,801,0,2,803,0
213,170,23,243,106,1,2,0,0,1,546,0,1,547,0
214,177,48,415,179,3,0,1,2,2,827,0,3,830,0
215,142,48,338,178,1,2,1,1,0,711,0,0,711,0
216,144,33,328,230,2,2,0,2,1,742,0,3,745,0
217,161,40,249,212,0,1,0,0,0,663,0,3,666,0
218,98,52,219,173,2,0,0,2,0,546,0,4,550,0
219,67,31,199,130,0,0,1,0,0,428,0,0,428,0
220,131,41,334,129,0,0,1,2,0,638,0,4,642,0
221,141,30,303,131,2,4,1,2,0,614,0,1,615,0
222,135,59,410,182,0,0,1,2,0,789,0,3,792,0
223,130,34,292,112,1,1,1,1,0,572,0,0,572,0
224,145,21,319,104,0,0,1,0,1,591,0,0,591,0
225,121,69,272,172,0,1,1,2,1,639,0,2,641,0
226,158,63,353,142,1,2,2,0,1,722,0,1,723,0
227,114,49,270,88,1,2,0,1,0,525,0,0,525,0
228,126,44,279,127,0,0,0,1,0,577,0,3,580,0
229,153,37,357,121,2,2,0,1,0,673,0,1,674,0
230,162,31,188,134,1,0,1,1,0,518,0,1,519,0
231,162,45,255,95,0,1,0,2,0,560,0,0,560,0
232,142,54,271,154,1,3,1,3,1,630,0,2,632,0
233,169,34,283,126,0,0,0,0,0,612,0,2,614,0
234,129,20,288,165,2,2,1,0,2,609,0,1,610,0
235,75,25,317,108,1,0,1,3,0,530,0,2,532,0
236,90,17,284,127,0,0,0,0,2,520,0,0,520,0
237,102,25,336,191,2,0,2,0,1,659,0,1,660,0
238,131,20,272,101,0,0,1,1,0,526,0,0,526,0
239,126,9,244,124,0,0,0,0,1,504,0,1,505,0
240,133,25,401,121,1,0,0,1,1,683,0,3,686,0
241,159,47,513,133,0,1,0,1,1,855,0,2,857,0
242,79,24,224,113,0,2,0,0,1,443,0,5,448,0
243,126,12,266,92,0,1,0,1,0,498,0,1,499,0
244,167,37,465,121,3,10,0,0,0,803,0,2,805,0
245,239,28,272,158,0,2,0,3,2,704,0,2,706,0
246,110,27,197,173,0,2,0,0,0,509,0,1,510,0
247,63,35,121,65,0,0,0,1,1,286,0,1,287,0
248,59,13,114,67,1,1,0,2,3,260,0,0,260,0
249,203,30,357,196,1,2,1,7,1,798,0,3,801,0
250,89,17,246,113,0,0,0,0,0,465,0,0,465,0
251,120,19,265,186,1,4,0,0,2,597,0,4,601,0
