Polling Station No,oN .SP,ABOHS L .INAR YCNA,T .RAMUKAVIS,IAHARAHT TREBHTUC,C .HGNISAJAR,M.S YNOHTNA .UHTUM,N .HSENAG,S .RELLIM TSIRHC,R .JAR LIOKytra,XELA ECNERWAL MERP,M .ILARUM,K .MARAKNALA YNOTNA,M .NANAVARAS,M .JARAVLES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,20,104,379,0,1,0,0,1,210,0,0,0,0,715,2,0,0,717
2,2,22,135,303,1,0,0,1,1,192,0,1,0,2,658,0,0,0,658
3,3,42,144,298,3,0,1,0,1,274,0,0,1,1,765,4,0,0,769
4,4,19,177,183,4,0,1,1,0,189,1,0,0,0,575,2,0,0,577
5,5,49,29,434,0,5,1,0,1,237,0,0,1,0,757,3,0,0,760
6,6,26,63,226,0,0,0,0,0,147,0,0,0,1,463,5,0,0,468
7,7,62,10,410,1,0,0,0,1,158,0,0,0,0,642,2,0,0,644
8,8,52,92,255,2,1,0,1,0,145,1,1,0,1,551,3,0,0,554
9,9,43,168,180,0,2,0,0,0,189,1,1,0,2,586,4,0,0,590
10,10,47,269,250,2,1,1,0,1,184,1,2,0,1,759,4,0,0,763
11,11,51,351,198,2,2,0,0,0,277,0,0,0,3,884,0,0,0,884
12,12,31,184,142,3,0,1,0,2,200,1,2,0,3,569,2,0,0,571
13,13,75,226,233,0,0,0,2,1,261,1,0,0,3,802,2,0,0,804
14,14,23,76,127,0,1,0,0,0,100,0,0,1,0,328,3,0,0,331
15,15,81,128,337,1,1,2,0,2,209,0,1,0,2,764,2,0,0,766
16,16,60,163,318,1,0,0,0,0,208,0,0,0,1,751,3,0,0,754
17,17,72,91,370,2,2,0,0,0,137,0,0,0,0,674,1,0,0,675
18,18,33,73,155,1,0,1,1,0,157,0,2,0,2,425,0,0,0,425
19,19,39,280,132,2,0,2,0,1,88,0,0,1,3,548,0,0,0,548
20,20,33,49,263,1,0,0,0,0,121,0,0,1,1,469,0,0,0,469
21,21,54,31,355,3,2,1,0,0,195,0,1,0,0,642,2,0,0,644
22,22,51,110,268,0,0,0,0,0,253,0,1,0,2,685,1,0,0,686
23,23,22,27,319,0,1,2,1,1,195,2,0,1,0,571,3,0,0,574
24,24,36,39,226,2,0,0,0,0,186,0,0,0,1,490,1,0,0,491
25,25,41,36,352,2,0,0,1,0,148,0,0,0,0,580,1,0,0,581
26,26,32,263,213,1,0,0,0,1,168,0,1,0,1,680,1,0,0,681
27,27,35,49,366,0,2,1,0,1,231,0,0,0,0,685,1,0,0,686
28,28,65,82,344,3,1,2,0,1,305,1,2,2,2,810,2,0,0,812
29,29,41,122,249,2,2,0,0,1,191,1,0,2,2,613,0,0,0,613
30,30,23,79,142,2,0,0,0,0,81,0,2,0,1,330,0,0,0,330
31,31,80,122,403,6,0,1,2,0,196,0,0,2,0,812,5,0,0,817
32,32,63,133,357,0,2,2,0,0,204,0,1,1,0,763,1,0,0,764
33,33,67,51,313,0,1,0,0,0,143,0,0,0,0,575,1,0,0,576
34,34,32,31,282,1,0,1,1,0,177,1,0,0,0,526,0,0,0,526
35,35,22,35,199,0,0,0,1,0,105,0,0,0,0,362,0,0,0,362
36,36,92,17,375,0,2,0,0,0,180,0,0,0,1,667,0,0,0,667
37,37,58,53,449,1,1,0,0,0,252,0,0,1,0,815,2,0,0,817
38,38,60,63,323,1,1,0,1,0,166,0,0,1,0,616,4,0,0,620
39,39,67,15,278,2,1,0,0,0,106,0,0,0,0,469,0,0,0,469
40,40,50,89,198,2,1,0,0,2,106,0,0,0,0,448,1,0,0,449
41,41,68,197,290,2,0,0,1,1,139,0,0,4,1,703,3,0,0,706
42,42,78,206,297,0,0,0,1,0,183,0,0,1,0,766,3,0,0,769
43,43,158,102,154,0,1,1,0,0,79,0,0,0,1,496,4,0,0,500
44,44,141,63,367,2,2,0,1,1,164,2,0,0,2,745,3,0,0,748
45,45,202,36,209,1,1,0,0,0,110,1,0,0,0,560,4,0,0,564
46,46,45,64,363,2,0,1,0,0,218,0,0,0,2,695,1,0,0,696
47,47,57,90,252,1,0,1,0,1,202,2,0,0,0,606,1,0,0,607
48,48,85,250,282,1,1,0,1,0,169,1,0,1,1,792,0,0,0,792
49,49,41,117,221,0,0,1,0,1,141,0,0,2,0,524,2,0,0,526
50,50,87,190,182,2,1,0,0,0,93,0,0,0,0,555,1,0,0,556
51,51,57,155,171,1,0,0,0,1,152,0,0,0,1,538,1,0,0,539
52,52,60,61,254,0,0,3,0,1,135,2,1,0,1,518,1,0,0,519
53,53,46,164,244,0,0,2,0,0,183,1,0,1,2,643,1,0,0,644
54,54,24,196,118,1,2,0,0,0,82,0,1,0,0,424,2,0,0,426
