Polling Station No,KADAMBUR RAJU.C,KARUNANITHI.K,PANDI.P,RAMACHANDRAN.R,ARUMUGAVEL.T,KANNAN.S,SARAVANAN.S,BALASUBRAMANIAN.S,HARI BALAKRISHNAN.G,ATHIKUMAR KUDUMBAR.B,GUNASEKARAN.P,GURUSAMY.K,CHINNA MAHARAJA.K,SEKAR.C,PARAMASIVAN.S,POUNDURAI.K,PANDIMUNEESWARI.K,PREMKUMAR.K,PONNUSAMY.M,MUNEESWARAN.R,RENGANAYAGALU.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
238,178,142,16,0,0,1,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,1,550,0
239,149,137,20,0,1,1,2,210,0,0,0,0,0,0,0,0,1,0,0,0,0,521,0,0,521,0
240,156,120,20,0,0,0,1,217,0,0,0,0,0,0,0,1,0,1,0,1,0,517,0,1,518,0
241,236,158,43,1,0,1,0,256,2,1,0,0,0,0,0,0,0,0,0,0,0,698,0,2,700,0
242,226,120,28,0,0,0,0,191,0,0,0,0,1,0,0,2,0,0,0,0,0,568,0,2,570,0
243,113,133,19,0,0,0,3,200,0,0,0,0,1,0,0,1,1,0,0,0,1,472,0,2,474,0
244,71,120,23,0,0,0,3,118,0,2,0,0,0,0,0,0,0,1,0,0,0,338,0,1,339,0
245,85,142,30,2,0,0,2,163,0,2,0,0,0,0,1,0,0,0,1,1,0,429,0,2,431,0
246,122,255,49,1,0,3,1,259,0,5,0,1,0,0,1,3,0,2,1,0,0,703,0,2,705,0
247,97,183,33,1,0,0,1,197,0,5,0,1,1,0,0,0,2,2,0,0,0,523,0,2,525,2
248,87,157,24,1,0,2,1,159,1,0,0,0,0,0,0,0,0,1,1,1,0,435,0,4,439,0
249,190,182,71,1,0,0,1,260,0,0,0,1,1,0,1,1,0,2,1,0,0,712,0,5,717,0
250,131,190,46,1,0,0,3,289,0,2,0,1,0,1,0,0,0,0,0,1,0,665,0,3,668,0
251,185,175,57,0,1,1,0,300,0,0,0,0,0,3,1,2,2,1,0,0,0,728,0,1,729,0
252,205,149,35,1,0,0,0,296,0,0,0,0,0,0,0,0,1,0,1,0,0,688,0,4,692,0
253,200,164,50,1,0,2,0,209,0,3,0,0,0,0,0,1,0,0,0,0,0,630,0,1,631,0
254,146,184,57,1,0,0,0,262,0,0,0,1,0,0,0,0,0,0,0,1,0,652,0,11,663,0
255,69,175,18,1,0,1,2,386,2,1,0,0,0,2,1,1,0,0,0,0,0,659,0,0,659,0
256,56,154,25,0,1,0,0,190,0,4,0,1,1,0,0,1,0,0,0,1,0,434,0,1,435,0
257,121,223,40,0,0,0,0,263,1,16,0,0,0,0,1,3,3,0,0,0,1,672,0,3,675,0
258,113,231,18,0,0,2,3,289,1,11,0,0,0,0,0,2,0,0,1,2,0,673,0,7,680,0
259,110,63,22,0,0,0,0,166,0,0,0,0,0,0,0,0,1,0,0,0,0,362,0,0,362,0
260,128,136,24,0,1,0,1,162,0,1,0,0,0,0,0,0,1,0,0,0,1,455,0,0,455,0
261,174,231,49,0,0,1,1,288,0,1,0,0,0,0,0,1,0,0,0,0,0,746,0,6,752,0
262,160,73,23,0,1,0,1,155,0,0,0,0,1,0,0,0,1,0,1,0,0,416,0,3,419,0
263,188,91,21,0,0,1,0,120,0,3,0,0,0,0,0,0,1,1,0,0,0,426,0,5,431,0
264,146,105,31,1,1,1,0,171,1,0,0,0,1,0,0,1,1,0,1,0,0,461,0,1,462,0
265,133,109,20,0,0,0,1,181,0,1,1,0,0,0,0,0,0,1,0,0,0,447,0,1,448,0
266,136,206,30,0,0,3,1,217,0,0,0,0,0,1,0,1,0,3,1,0,0,599,0,1,600,0
267,128,281,45,1,1,2,4,240,1,0,0,0,1,0,1,0,2,1,1,0,0,709,0,1,710,0
268,200,176,33,1,0,1,5,251,1,0,0,0,0,0,0,1,0,0,0,0,0,669,0,0,669,0
269,192,149,25,0,0,1,0,166,0,0,0,0,0,0,0,0,0,1,0,0,1,535,0,1,536,0
270,60,84,12,0,0,0,0,81,0,0,0,0,0,0,1,0,0,1,0,0,0,239,0,0,239,0
271,135,148,32,0,0,1,0,236,0,0,0,0,0,0,1,0,1,0,0,1,0,555,0,0,555,1
272,129,102,26,0,0,0,0,196,0,1,0,0,0,0,0,0,0,0,0,0,0,454,0,4,458,0
273,189,167,51,0,0,0,3,289,1,0,0,0,0,1,0,3,3,1,0,1,0,709,0,4,713,0
274,110,88,12,2,0,1,0,144,0,4,0,1,0,2,0,0,1,1,0,0,0,366,0,0,366,0
275,111,149,41,0,1,0,2,251,0,10,0,1,1,1,0,1,0,0,0,0,0,569,0,1,570,0
276,91,194,46,1,0,0,0,235,0,4,0,0,0,1,0,2,2,0,1,1,0,578,0,4,582,0
277,110,204,63,2,0,0,1,318,1,23,0,0,0,2,1,2,0,0,0,1,0,728,0,3,731,0
278,97,85,19,0,0,0,0,116,1,2,0,0,1,0,0,0,0,2,0,0,0,323,0,1,324,0
279,84,109,28,0,0,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,388,0
280,103,79,37,0,0,0,1,174,0,1,1,0,0,0,0,0,1,0,0,1,0,398,0,0,398,0
281,90,99,20,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,3,317,0
282,116,85,25,1,0,0,0,133,0,0,0,0,0,0,1,0,0,0,0,0,0,361,0,2,363,0
283,125,119,21,0,0,0,3,180,0,2,0,0,0,0,0,1,0,0,0,0,0,451,0,3,454,0
284,84,135,25,2,1,1,0,148,0,6,0,0,0,0,0,0,0,0,0,0,0,402,0,1,403,0
285,131,126,39,0,0,1,0,193,1,7,0,0,0,0,0,0,0,0,0,0,0,498,0,5,503,0
286,130,104,35,1,0,0,0,325,1,4,0,0,0,0,0,0,1,1,0,0,0,602,0,3,605,0
287,158,153,36,1,0,0,2,252,0,3,0,0,0,0,0,0,1,1,0,1,0,608,0,2,610,0
288,105,104,23,0,0,0,0,190,0,0,0,0,0,1,0,1,0,0,0,0,0,424,0,0,424,0
289,92,71,19,0,0,1,0,142,0,1,0,0,0,0,0,0,0,0,0,0,0,326,0,1,327,0
290,141,125,31,1,0,2,2,200,0,5,0,0,0,0,0,1,0,0,0,0,0,508,0,2,510,0
291,130,115,36,1,0,0,0,175,0,3,0,1,0,1,0,0,0,0,0,0,0,462,0,2,464,0
292,117,90,35,0,0,0,0,234,0,1,0,0,0,0,0,0,1,0,0,0,0,478,0,3,481,0
293,152,176,32,0,1,2,1,101,0,4,0,0,0,1,0,0,0,0,0,0,0,470,0,0,470,0
294,117,192,35,0,0,0,1,127,0,18,0,0,0,0,0,0,1,0,0,1,0,492,0,3,495,0
295,278,261,72,3,0,2,1,196,0,14,1,1,0,0,1,0,4,5,0,1,1,841,0,3,844,0
296,88,208,37,0,0,0,0,99,0,14,0,0,1,0,0,0,2,2,0,0,0,451,0,2,453,0
297,242,370,83,1,0,4,0,213,0,0,0,3,0,0,2,0,1,0,1,1,0,921,0,0,921,0
298,162,295,26,1,0,0,1,222,0,6,0,0,1,0,3,2,5,5,0,0,1,730,0,4,734,0
299,244,334,74,2,1,3,1,291,2,11,0,1,1,1,0,4,2,1,0,0,1,974,0,0,974,0
300,346,311,90,1,0,1,1,151,0,12,0,1,0,2,2,2,4,2,1,0,0,927,0,5,932,0
301,143,131,41,0,0,0,1,130,0,4,0,0,0,0,4,0,0,1,1,0,1,457,0,0,457,0
302,233,401,82,1,0,1,0,255,0,1,0,0,0,0,1,1,0,3,1,0,1,981,0,1,982,0
303,362,250,37,0,0,0,0,267,2,1,1,0,0,0,3,1,4,1,0,0,0,929,0,0,929,0
304,211,215,28,1,0,0,0,166,0,10,0,0,0,0,4,1,7,7,0,0,0,650,0,1,651,0
305,79,283,61,2,0,2,0,253,0,0,1,0,0,0,1,0,3,2,0,0,1,688,0,2,690,0
306,60,320,56,0,0,1,2,243,0,0,0,0,0,0,0,0,2,5,0,0,1,690,0,0,690,0
307,32,102,11,0,0,0,0,93,0,1,0,0,0,0,0,2,0,1,0,0,0,242,0,1,243,0
308,ge68 4,131,104,1,1,2,0,195,3,0,0,0,0,1,4,2,4,4,1,1,5,527,0,2,529,0
309,132,221,40,0,0,1,0,246,0,10,0,0,1,0,0,1,2,9,0,1,1,665,0,1,666,0
310,193,186,41,0,0,0,2,77,0,43,0,1,0,0,0,1,0,0,0,0,0,544,0,3,547,0
311,239,178,37,0,0,0,1,116,0,6,0,0,0,0,2,1,2,2,0,1,0,585,0,0,585,0
312,169,162,32,0,0,1,0,119,1,8,0,1,1,1,0,3,2,0,0,0,0,500,0,0,500,0
313,160,166,49,1,0,0,4,189,0,2,0,0,0,0,1,2,4,1,1,0,0,580,0,1,581,0
314,125,188,41,0,0,0,1,119,1,7,0,1,0,0,1,0,0,4,1,0,0,489,0,2,491,0
315,271,306,72,1,0,5,0,189,0,1,0,0,1,1,0,0,2,4,2,0,1,856,0,2,858,0
316,273,208,50,1,0,0,1,209,1,5,0,0,0,0,2,1,1,0,3,0,2,757,0,2,759,0
317,148,183,33,0,0,0,1,187,1,0,1,0,0,3,0,1,2,2,0,1,0,563,0,4,567,0
318,140,163,49,1,0,0,0,82,0,10,0,0,0,0,2,3,3,1,0,1,0,455,0,0,455,0
