Polling Station No,KADAMBUR RAJU.C,KARUNANITHI.K,PANDI.P,RAMACHANDRAN.R,ARUMUGAVEL.T,KANNAN.S,SARAVANAN.S,BALASUBRAMANIAN.S,HARI BALAKRISHNAN.G,ATHIKUMAR KUDUMBAR.B,GUNASEKARAN.P,GURUSAMY.K,CHINNA MAHARAJA.K,SEKAR.C,PARAMASIVAN.S,POUNDURAI.K,PANDIMUNEESWARI.K,PREMKUMAR.K,PONNUSAMY.M,MUNEESWARAN.R,RENGANAYAGALU.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
54,95,211,26,0,0,2,2,141,2,0,1,1,2,1,5,4,2,3,0,0,0,498,0,3,501,0
55,88,335,35,0,0,5,0,104,0,0,0,1,1,2,3,3,2,4,0,0,3,586,0,1,587,0
56,46,497,31,0,0,1,1,56,1,0,0,0,0,0,1,0,1,4,0,0,1,640,0,2,642,0
57,199,298,29,0,0,2,3,89,0,1,0,1,0,2,1,7,0,1,0,0,2,635,0,1,636,0
58,66,236,40,1,0,0,1,143,0,61,0,1,0,4,2,1,0,3,0,0,0,559,0,3,562,0
59,197,200,49,1,0,5,2,119,0,2,1,0,1,3,2,1,0,1,0,1,0,585,0,1,586,0
60,245,124,40,0,0,0,4,253,3,65,0,1,3,2,2,10,2,2,1,1,1,759,0,2,761,0
61,76,156,24,0,0,0,0,69,0,21,1,1,1,2,0,1,0,0,0,0,0,352,0,1,353,0
62,322,88,17,1,0,2,2,142,1,11,1,0,0,3,1,0,4,0,0,1,1,597,0,0,597,0
63,169,121,33,0,0,2,1,111,0,160,1,0,0,4,0,0,0,0,0,0,0,602,0,0,602,0
64,98,95,23,0,0,1,1,108,0,197,1,0,0,3,0,2,0,1,0,0,2,532,0,0,532,0
65,223,214,56,1,0,9,0,203,1,69,0,0,0,0,0,1,0,0,1,0,1,779,0,4,783,0
66,52,202,25,0,0,3,1,134,1,182,0,0,0,3,1,3,2,0,0,0,0,609,0,7,616,0
67,83,127,14,0,0,0,0,104,0,4,2,0,0,0,1,1,0,0,0,0,0,336,0,0,336,0
68,184,104,52,1,0,0,2,149,4,535,1,4,2,4,2,10,2,1,0,0,2,1059,0,0,1059,0
69,175,217,37,0,0,0,1,188,0,0,0,1,2,1,0,3,1,1,0,0,0,627,0,1,628,0
70,138,200,33,0,0,0,1,176,0,0,0,1,0,0,0,1,0,0,1,0,1,552,0,2,554,0
71,141,223,49,1,0,1,0,178,0,2,0,0,0,0,0,1,0,1,0,0,0,597,0,0,597,0
72,218,187,40,0,0,0,0,150,0,0,0,0,0,0,0,1,2,0,0,0,0,598,0,3,601,0
73,174,193,32,0,0,0,0,109,0,2,0,1,0,0,1,3,1,1,0,0,0,517,0,1,518,0
74,296,154,32,1,0,1,2,125,0,1,0,0,0,0,1,4,4,1,0,1,0,623,0,4,627,0
75,44,422,14,0,1,0,0,75,0,0,0,0,0,0,0,0,3,0,0,0,0,559,0,0,559,0
76,40,382,19,0,0,0,0,44,0,0,0,1,0,0,0,1,0,1,0,0,0,488,0,0,488,0
77,ge14 31,196,34,0,0,3,1,172,0,0,0,0,0,2,1,1,0,1,0,0,0,554,0,1,555,0
78,187,60,17,0,1,0,0,71,1,0,0,0,0,0,0,1,1,1,0,0,0,340,0,0,340,0
79,205,296,54,1,0,0,1,298,0,4,1,1,0,2,3,3,0,1,0,0,2,872,0,1,873,0
80,91,105,34,0,0,1,1,116,0,108,0,1,1,2,2,4,0,0,0,0,0,466,0,1,467,0
81,120,51,41,0,0,0,1,67,0,60,0,0,0,0,0,0,0,0,0,0,0,340,0,0,340,0
