Polling Station No,T.M.ANBARASAN,S.SARAVANAN,Y.G.MAHALAKSHMI,J.AGNI SELVARASU,ARAVIND CHANDRASEKAR,B. KALYANARAMKUMAR,S.ROYAPPAN,A.VELUSAMY,N.HARI KRISHNAN,M.HARISH,V.ANBARASAN,A.SARAVANAN,S.SARAVANAN,D.SARAVANAN,R.SARAVANAN,R.SURESH,SENKODI VIJAYALAKSHMI,R.SELVAKUMAR,G.DANIEL ANTONYRAJ,MAHESH KUMAR,G.RAMANAN,K.VELAYUDHAM,M.HARISH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
215,140,62,8,1,0,0,0,0,1,225,0,1,0,0,0,1,0,0,0,0,0,0,1,440,0,1,441,0
216,216,68,16,1,0,0,0,0,1,250,0,0,1,1,2,1,1,0,0,1,0,0,5,564,0,2,566,0
217,168,45,11,0,0,1,0,0,0,209,0,0,0,3,1,0,3,0,0,0,0,0,3,444,0,1,445,0
218,139,47,9,1,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,1,0,347,0,2,349,0
219,222,24,9,1,0,0,0,2,2,312,0,0,0,0,1,1,0,0,0,0,0,0,6,580,0,0,580,0
220,170,67,13,1,0,0,0,0,0,254,1,0,1,1,0,0,0,0,0,0,0,1,1,510,0,3,513,0
221,178,28,5,0,0,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,1,425,0
222,224,27,10,2,0,1,1,0,0,252,2,1,0,0,0,2,0,0,0,0,0,2,3,527,0,2,529,0
223,188,73,19,0,0,0,0,2,1,284,1,0,1,0,1,2,1,1,0,0,0,0,4,578,0,4,582,0
224,107,48,22,0,0,0,0,0,0,199,0,0,0,0,1,1,0,0,0,0,0,0,0,378,0,4,382,0
225,217,27,15,1,0,0,0,0,2,322,2,0,0,0,1,1,1,0,0,0,0,1,3,593,0,3,596,0
226,192,28,10,2,0,0,1,0,1,282,1,0,0,1,0,2,1,0,0,0,0,0,3,524,0,1,525,0
227,162,54,13,0,0,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,3,430,0,2,432,0
228,ge 637,24,8,0,0,0,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,0,0,209,0,3,212,0
229,250,7,4,0,0,0,0,0,0,86,0,1,0,0,0,0,0,0,0,0,0,0,1,349,0,1,350,0
230,111,46,18,1,0,0,0,0,1,246,0,1,0,0,0,0,1,0,0,0,0,0,1,426,0,1,427,0
231,129,72,17,0,1,0,0,0,2,313,0,0,0,0,0,1,1,0,0,0,0,1,1,538,0,0,538,0
232,100,89,7,1,0,0,0,0,0,158,0,1,0,0,0,2,0,0,0,1,0,1,1,361,0,3,364,0
233,199,95,12,2,0,0,0,0,0,169,1,0,1,0,0,0,2,2,0,1,0,1,1,486,0,3,489,0
234,208,20,14,1,0,0,0,0,1,168,0,0,0,0,0,0,0,0,0,0,0,0,2,414,0,1,415,0
235,208,75,4,1,1,1,1,0,1,116,0,1,0,0,0,0,1,0,0,1,2,0,3,416,0,1,417,0
236,202,135,14,2,1,1,0,0,1,285,0,0,0,0,0,0,2,0,0,0,0,0,1,644,0,3,647,0
237,204,37,6,0,0,0,0,0,2,324,2,0,0,0,0,0,1,0,0,0,0,0,1,577,0,0,577,0
238,190,90,12,1,0,0,1,0,0,259,0,0,0,0,1,0,0,0,0,0,1,0,2,557,0,0,557,0
239,251,63,12,0,0,0,0,0,2,161,0,0,0,0,0,0,1,1,0,0,0,0,1,492,0,1,493,0
240,191,47,9,1,0,1,0,1,0,222,0,0,0,0,0,0,0,0,0,0,0,0,1,473,0,1,474,0
241,184,139,14,2,0,0,0,0,1,285,0,1,0,0,0,0,1,0,0,3,0,0,2,632,0,3,635,0
242,143,65,8,1,1,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,1,377,0,1,378,0
243,265,124,14,2,1,0,0,0,0,343,2,0,0,0,1,0,2,1,0,6,0,0,5,766,0,0,766,0
244,266,79,8,3,0,0,1,0,1,315,0,0,0,0,0,0,1,0,0,2,0,0,2,678,0,3,681,0
245,112,17,6,0,1,0,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,257,0
246,233,90,9,2,0,0,0,0,3,348,0,0,0,0,0,0,0,1,0,0,0,0,1,687,0,1,688,0
247,107,55,4,0,0,0,0,0,0,84,0,0,0,0,1,0,0,0,0,0,0,0,2,253,0,0,253,0
248,180,122,24,1,0,0,0,1,1,329,0,1,0,0,0,0,0,1,0,0,0,0,3,663,0,3,666,0
249,265,70,15,0,0,0,1,0,0,323,1,0,0,0,1,1,0,0,0,0,0,0,1,678,0,5,683,0
250,213,98,16,0,0,0,2,0,1,227,1,0,0,1,0,0,1,0,0,2,0,0,1,563,0,4,567,0
251,168,77,9,0,0,0,0,0,1,212,0,1,0,0,0,0,0,0,0,0,0,0,1,469,0,1,470,0
252,268,114,25,1,1,1,0,0,2,360,0,0,0,0,0,2,0,0,0,1,0,0,1,776,0,6,782,0
253,298,66,13,0,0,0,0,0,0,317,1,0,0,0,0,1,0,0,0,1,0,0,2,699,0,0,699,0
254,282,92,16,1,0,0,0,0,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,3,641,0
255,298,83,15,0,0,0,0,0,1,242,1,0,0,0,2,0,1,0,0,0,0,0,1,644,0,5,649,0
256,215,129,22,0,0,0,0,0,0,390,0,0,0,0,0,0,1,0,0,0,0,0,5,762,0,5,767,0
257,288,80,22,0,0,0,0,0,0,337,0,1,0,0,0,1,3,0,1,0,0,0,1,734,0,8,742,0
258,334,60,15,2,0,0,0,0,0,293,0,0,0,0,0,2,0,0,0,0,0,0,1,707,0,5,712,0
259,350,66,14,0,0,0,0,0,0,352,2,0,0,0,1,1,1,0,0,0,0,0,2,789,0,2,791,0
260,228,101,19,0,0,0,0,0,0,298,0,0,0,0,0,0,2,0,0,0,0,1,3,652,0,1,653,0
261,219,73,23,0,0,0,0,0,0,233,0,0,0,0,0,1,0,0,0,0,0,1,1,551,0,5,556,0
262,212,107,12,1,0,0,0,0,0,276,1,0,0,0,1,0,0,0,0,1,0,0,2,613,0,2,615,0
263,156,62,17,0,0,0,0,0,1,162,0,0,0,0,0,0,1,0,0,0,0,0,3,402,0,1,403,0
264,259,85,17,0,1,1,0,1,1,305,1,0,1,0,0,0,0,0,0,0,0,1,1,674,0,5,679,0
265,270,77,19,1,0,0,0,0,2,253,0,0,0,0,0,0,4,0,0,0,0,0,6,632,0,3,635,0
266,272,87,22,0,0,0,0,0,1,286,0,0,1,0,0,0,1,0,0,0,0,0,0,670,0,5,675,0
267,209,65,16,1,1,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,3,473,0
268,197,69,25,0,1,0,0,0,0,179,0,0,0,0,0,1,0,0,0,0,0,0,0,472,0,2,474,0
269,234,118,25,0,0,0,0,0,0,220,1,0,1,1,0,1,0,0,0,0,0,0,0,601,0,5,606,0
270,157,119,19,0,0,0,0,0,0,142,0,0,0,0,1,0,0,0,0,0,0,0,2,440,0,4,444,0
271,295,104,10,0,0,0,0,0,1,316,0,0,0,0,1,0,0,0,0,0,0,0,1,728,0,4,732,0
272,298,96,28,2,0,0,0,0,0,254,0,1,0,0,0,0,1,0,0,0,0,1,0,681,0,2,683,0
273,164,117,15,0,0,0,0,0,2,255,1,0,0,0,0,0,0,0,0,0,0,0,3,557,0,2,559,0
274,236,56,17,0,0,0,1,0,2,220,0,0,1,0,0,0,0,0,0,0,0,1,0,534,0,4,538,0
275,213,84,20,1,0,0,1,0,0,159,0,0,0,0,0,0,1,0,0,0,0,0,0,479,0,1,480,0
276,298,87,13,0,0,0,0,0,1,296,0,0,0,0,0,0,0,2,0,0,0,0,1,698,0,2,700,0
277,199,63,10,1,0,1,0,1,1,192,0,0,0,0,0,0,0,1,0,0,0,0,1,470,0,1,471,0
278,115,35,9,1,0,0,0,0,0,103,0,0,0,0,0,1,0,0,0,0,0,0,0,264,0,2,266,0
279,204,85,20,0,0,0,0,0,2,237,1,0,0,0,0,1,1,0,0,1,0,0,1,553,0,0,553,0
280,199,95,20,1,0,0,0,0,1,232,0,0,0,1,0,1,2,0,0,1,1,0,0,554,0,2,556,0
281,224,139,19,0,0,1,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,2,612,0,1,613,0
282,266,139,27,0,0,0,0,1,1,258,0,0,0,0,1,0,3,0,0,0,0,0,1,697,0,2,699,0
283,121,181,23,0,0,0,1,0,0,226,1,1,0,0,0,0,1,0,0,0,0,0,2,557,0,3,560,0
284,156,124,15,0,0,0,0,0,1,201,0,1,0,0,1,0,0,0,0,0,0,0,2,501,0,6,507,0
285,142,151,27,0,1,1,0,1,0,223,1,0,0,0,1,0,1,0,0,0,0,0,1,550,0,4,554,1
286,159,175,25,1,0,0,0,0,2,235,1,0,0,0,0,0,0,0,0,0,0,0,4,602,0,6,608,0
287,184,130,29,1,0,1,0,0,0,238,1,0,0,0,0,0,0,0,0,0,0,0,2,586,0,9,595,0
288,169,145,38,0,0,1,0,0,2,251,0,0,0,0,0,0,0,0,0,0,0,1,6,613,0,8,621,0
289,143,146,19,1,0,0,0,0,0,163,0,0,0,0,2,0,0,0,0,0,0,0,4,478,0,2,480,0
290,149,118,31,0,0,0,0,0,1,210,1,0,0,0,0,1,1,1,1,0,0,0,1,515,0,2,517,0
291,118,112,24,1,0,0,0,0,0,196,0,0,1,0,0,1,1,0,0,0,1,0,2,457,0,5,462,0
292,192,146,20,1,1,0,0,0,2,183,0,1,0,0,0,0,0,0,0,1,0,0,2,549,0,2,551,0
293,136,123,24,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,3,526,0,2,528,0
294,183,144,24,1,0,0,0,1,2,248,0,0,0,0,1,0,2,0,0,1,0,0,7,614,0,4,618,0
295,170,84,20,0,0,0,0,1,2,276,0,0,1,1,0,1,0,0,0,0,0,0,0,556,0,3,559,0
296,210,110,26,0,0,0,0,1,0,219,1,0,0,0,0,0,0,0,0,0,0,0,5,572,0,4,576,0
297,255,121,6,2,0,0,1,1,2,261,1,0,0,0,1,0,2,0,0,0,0,0,0,653,0,0,653,0
298,187,55,9,1,0,0,0,0,0,218,1,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,471,0
299,304,43,11,0,0,0,0,0,0,201,1,0,0,0,0,0,1,0,0,0,1,0,4,566,0,1,567,0
300,260,53,12,0,0,0,0,0,1,174,0,0,0,0,0,0,1,0,0,0,0,0,2,503,0,2,505,0
301,454,11,5,0,0,0,0,0,0,222,1,1,0,0,0,0,1,1,0,0,0,0,2,698,0,2,700,0
302,355,19,4,1,1,0,0,0,0,199,0,0,0,0,0,0,1,0,0,0,0,0,0,580,0,0,580,0
303,564,23,3,2,0,0,0,0,2,233,0,0,0,0,0,0,0,0,0,0,0,0,1,828,0,0,828,0
304,ge 3484,32,4,0,0,0,0,1,4,293,0,0,1,0,1,1,0,0,0,0,0,0,0,721,0,3,724,0
305,202,42,10,0,0,0,0,0,0,183,0,0,0,0,0,0,1,0,0,0,0,0,3,441,0,3,444,1
306,238,37,12,0,0,0,0,1,0,263,1,0,0,0,0,2,0,0,0,0,0,0,3,557,0,0,557,0
307,128,51,7,1,0,0,1,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,1,324,0,2,326,0
308,93,59,14,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,1,408,0,0,408,0
309,197,59,22,0,0,1,0,0,1,191,0,0,0,0,1,0,0,0,0,1,0,0,2,475,0,1,476,0
310,104,72,11,0,1,0,0,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,2,283,0,3,286,0
311,183,54,15,0,0,1,0,0,0,138,1,0,1,0,0,0,0,1,0,0,0,0,1,395,0,3,398,0
312,191,58,11,0,0,0,0,0,0,200,1,0,0,0,0,0,1,0,0,1,0,0,0,463,0,2,465,0
313,291,117,23,0,0,0,0,0,0,287,1,1,0,0,1,0,1,1,0,0,0,0,1,724,0,5,729,0
314,140,68,7,0,0,0,0,0,0,135,0,0,0,0,0,1,0,0,0,0,0,0,0,351,0,1,352,0
315,299,112,16,1,0,0,1,0,1,310,0,0,0,0,0,1,1,0,0,0,0,0,2,744,0,2,746,0
316,327,164,15,0,0,1,0,0,1,282,0,0,0,0,0,0,2,0,0,0,0,0,3,795,0,4,799,0
317,276,60,21,2,0,0,1,0,1,266,0,1,0,0,0,0,2,1,0,0,0,0,1,632,0,4,636,0
318,334,69,24,0,0,0,0,0,0,272,0,0,0,0,1,1,1,0,0,0,0,0,0,702,0,6,708,0
319,180,90,18,0,0,1,0,0,2,225,0,0,0,0,2,0,0,0,0,0,0,0,5,523,0,5,528,0
320,227,141,29,1,0,0,0,1,1,324,0,0,0,1,0,0,0,0,0,1,0,0,2,728,0,5,733,0
321,209,166,42,0,0,0,0,1,0,282,0,0,1,0,0,0,0,0,0,1,0,0,6,708,0,5,713,0
322,229,132,30,0,0,1,0,0,0,260,0,0,0,0,2,0,1,0,0,0,0,1,2,658,0,11,669,0
323,157,167,17,0,0,0,1,0,1,234,0,0,0,0,0,0,0,0,0,0,0,0,2,579,0,6,585,0
324,88,182,19,0,0,0,0,0,1,162,0,0,0,0,3,0,0,0,0,2,0,0,0,457,0,2,459,0
325,95,197,25,0,0,0,0,0,1,149,0,0,0,0,0,1,0,0,0,3,1,0,5,477,0,3,480,0
326,106,222,18,0,1,0,1,0,0,149,0,0,1,0,0,0,0,0,0,0,0,1,2,501,0,6,507,0
327,135,149,15,0,0,0,0,1,0,150,0,0,0,1,1,0,0,0,0,0,0,0,1,453,0,6,459,0
328,93,281,24,0,1,0,1,0,0,201,0,0,1,0,1,0,1,1,0,0,1,0,2,608,0,6,614,0
329,76,256,31,0,1,0,0,0,0,159,0,0,0,0,1,0,1,0,0,2,0,0,5,532,0,4,536,0
330,115,155,15,0,0,2,0,0,0,210,1,0,0,0,0,0,0,0,0,0,0,0,7,505,0,2,507,0
331,56,259,20,0,1,0,0,0,0,181,2,1,1,0,0,0,1,0,0,0,0,1,7,530,0,4,534,0
332,104,179,22,0,0,0,0,0,0,194,0,0,0,0,1,1,0,0,0,1,0,0,1,503,0,3,506,0
333,110,277,28,1,2,1,1,1,1,194,1,0,0,0,0,0,0,0,0,0,0,0,2,619,0,3,622,0
334,102,80,10,0,0,1,0,0,0,77,0,0,0,0,0,1,0,1,0,0,0,0,1,273,0,7,280,0
335,105,116,21,0,0,0,0,0,0,114,0,1,0,0,1,0,1,0,0,0,0,0,1,360,0,4,364,0
336,188,100,12,0,0,0,0,0,0,278,0,0,0,0,3,1,0,0,0,0,0,0,0,582,0,3,585,0
337,156,173,33,0,0,0,1,0,0,212,0,0,0,0,1,0,0,0,0,0,0,0,1,577,0,4,581,0
338,183,190,34,0,0,0,1,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,4,627,0,3,630,0
339,94,93,19,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,7,447,0
340,141,88,23,0,1,0,0,0,1,250,2,0,0,0,1,0,1,0,0,0,0,1,0,509,0,3,512,0
341,229,135,24,1,0,1,0,3,2,333,0,0,0,0,0,1,0,0,0,0,0,1,2,732,0,3,735,0
342,201,161,18,2,0,0,1,0,1,362,0,0,0,0,0,2,1,0,0,0,0,0,3,752,0,2,754,0
343,195,153,27,0,0,0,0,1,0,185,0,0,0,0,0,0,1,0,0,0,0,0,1,563,0,2,565,0
344,82,340,53,1,1,0,0,0,2,173,0,1,0,0,0,0,0,1,1,0,0,0,3,658,0,6,664,0
345,40,388,19,0,0,0,0,0,0,116,0,1,0,0,1,1,0,0,0,0,1,0,5,572,0,9,581,0
346,140,151,22,0,1,0,0,0,1,186,0,0,0,0,0,0,2,0,0,0,0,1,2,506,0,4,510,0
347,119,171,34,1,1,0,0,0,0,197,1,0,0,0,0,0,0,0,0,0,0,0,1,525,0,6,531,0
348,196,228,47,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,4,731,0
349,223,107,24,1,0,0,0,0,3,239,1,0,0,0,2,0,0,0,0,0,0,0,2,602,0,2,604,0
350,129,95,21,0,0,0,0,0,1,147,1,0,0,0,0,0,1,0,0,1,0,0,2,398,0,2,400,0
351,297,89,31,1,0,1,0,0,0,268,0,0,0,0,0,0,1,1,0,0,0,0,1,690,0,5,695,0
352,56,171,21,0,1,0,0,0,0,82,0,0,0,0,3,0,0,0,0,1,0,0,0,335,0,3,338,0
353,69,226,29,0,0,0,0,0,2,131,0,0,1,0,0,0,0,0,0,1,0,0,4,463,0,2,465,0
354,126,320,23,0,0,0,0,0,1,158,0,0,0,0,1,0,1,0,1,0,0,0,2,633,0,5,638,0
355,51,333,22,0,0,0,0,0,0,144,0,0,0,0,0,0,0,1,0,2,0,0,1,554,0,8,562,0
356,34,233,11,1,0,0,0,0,2,99,0,0,0,0,0,0,0,0,0,0,0,0,1,381,0,3,384,0
357,65,276,28,2,1,0,1,0,0,165,0,0,0,0,0,1,1,0,0,1,0,0,1,542,0,4,546,0
358,120,130,17,0,1,0,0,1,0,158,0,0,0,0,0,0,0,0,0,0,0,0,1,428,0,4,432,0
359,119,165,39,1,1,0,0,1,0,227,1,0,0,0,0,1,1,0,0,1,0,0,1,558,0,9,567,0
360,166,141,25,0,0,0,0,0,1,200,0,0,0,0,2,1,0,0,0,0,0,0,0,536,0,3,539,0
361,146,166,21,1,0,0,0,0,0,224,0,0,0,0,1,0,0,0,1,0,0,1,2,563,0,3,566,0
362,63,123,14,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,2,297,0
363,206,147,37,0,0,0,0,0,0,281,0,1,0,0,0,1,0,0,0,0,0,0,1,674,0,7,681,0
364,200,132,33,0,0,0,0,0,0,243,0,0,0,0,0,1,0,0,0,2,0,0,4,615,0,5,620,0
365,147,145,27,0,2,0,0,0,0,118,1,1,1,0,0,0,0,0,0,0,0,0,0,442,0,6,448,0
366,156,95,30,3,0,0,1,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,1,489,0,3,492,0
367,146,136,15,0,0,0,0,0,1,147,0,0,0,0,0,0,1,0,0,0,0,0,0,446,0,3,449,0
368,238,93,37,0,0,0,0,1,2,296,0,0,0,0,0,0,0,0,0,0,0,0,7,674,0,2,676,0
369,377,44,17,4,1,0,0,0,0,234,0,0,0,0,0,1,0,0,0,0,0,0,3,681,0,4,685,0
370,213,73,28,0,0,0,0,1,0,296,0,0,3,0,0,1,1,0,0,0,0,0,2,618,0,1,619,0
371,247,109,31,1,0,0,1,0,1,247,0,0,1,0,0,1,4,0,0,0,0,0,2,645,0,4,649,0
372,166,59,24,0,1,0,0,0,0,290,0,0,0,1,0,0,1,0,0,0,0,0,2,544,0,1,545,0
373,277,90,26,2,0,0,0,1,1,290,1,0,0,0,2,1,1,0,0,1,0,0,8,701,0,6,707,0
374,287,62,16,0,1,0,0,0,1,239,1,0,0,0,0,1,1,0,0,0,0,0,5,614,0,0,614,0
375,86,249,23,0,0,4,0,0,0,148,0,0,0,0,0,0,1,1,0,1,0,0,0,513,0,10,523,0
376,81,275,26,0,0,0,0,0,0,158,0,0,0,0,1,0,0,0,0,0,0,0,1,542,0,5,547,0
377,63,212,29,1,1,0,0,0,0,167,2,1,0,0,1,0,0,0,0,0,0,0,2,479,0,4,483,0
378,78,355,33,1,1,1,0,0,0,134,0,0,1,0,0,0,2,0,0,0,0,0,0,606,0,8,614,0
379,77,277,25,0,0,0,0,0,0,161,0,2,1,1,0,1,1,0,0,0,0,0,1,547,0,4,551,0
380,ge 1523,238,24,0,1,0,0,0,1,174,0,1,0,0,1,0,1,0,0,0,0,0,2,566,0,4,570,0
381,105,248,39,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,1,1,0,3,548,0,6,554,0
382,121,318,25,0,0,0,0,0,1,177,1,0,0,0,1,0,0,0,0,1,0,0,3,648,0,3,651,0
383,75,240,31,0,0,0,0,0,0,166,0,0,1,0,1,0,0,0,0,0,0,0,2,516,0,6,522,0
384,122,182,10,0,0,0,0,0,0,154,0,3,0,1,0,0,0,0,0,0,0,0,3,475,0,4,479,0
385,133,206,20,0,0,0,0,2,0,163,0,0,2,0,1,0,0,0,0,0,0,0,5,532,0,3,535,0
386,56,230,11,1,1,0,0,0,0,158,0,0,2,1,0,0,0,1,0,1,0,1,0,463,0,7,470,0
387,100,233,35,0,1,0,1,0,0,158,0,0,2,0,1,0,0,0,0,0,0,0,1,532,0,4,536,0
388,248,96,30,1,0,0,1,0,0,334,0,1,0,0,1,0,1,1,0,0,0,0,4,718,0,5,723,0
389,228,165,32,0,0,0,1,0,2,333,1,0,0,1,1,0,0,0,0,0,0,0,1,765,0,2,767,0
390,244,92,22,2,0,0,0,0,2,283,0,0,0,0,0,0,1,0,0,0,0,0,3,649,0,2,651,0
391,160,113,27,0,0,0,0,0,0,315,1,0,0,0,0,1,0,0,0,0,0,0,3,620,0,4,624,0
392,230,121,31,0,0,0,0,0,2,258,0,0,0,0,0,0,1,0,0,0,0,0,1,644,0,3,647,0
393,146,90,21,1,0,0,0,0,0,270,1,0,0,0,0,0,0,0,0,0,0,1,4,534,0,3,537,0
394,165,57,20,0,0,0,1,0,2,169,0,0,0,0,0,1,0,0,0,0,0,0,4,419,0,1,420,0
395,171,100,26,1,1,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,3,562,0,0,562,0
396,213,160,23,0,0,0,0,0,1,268,0,0,1,0,0,1,0,0,1,0,0,0,5,673,0,6,679,0
397,241,105,21,0,0,1,1,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,1,611,0
398,156,109,12,1,0,0,0,0,0,198,0,0,0,0,0,0,1,0,0,0,0,0,1,478,0,5,483,0
399,239,89,18,2,0,0,0,0,2,286,0,0,0,0,1,1,0,0,0,1,0,0,3,642,0,1,643,0
400,245,102,33,1,0,0,1,1,1,308,0,0,0,0,1,1,3,0,0,0,0,0,0,697,0,2,699,0
401,163,118,33,0,0,0,0,0,1,297,0,0,0,0,2,0,0,0,0,0,0,0,5,619,0,4,623,0
402,181,96,28,0,0,1,0,1,1,258,1,0,0,0,0,0,0,0,0,0,0,0,0,567,0,2,569,0
403,131,243,28,0,1,0,0,1,0,194,0,0,0,0,0,1,1,1,0,0,0,1,2,604,0,5,609,3
404,104,173,29,0,1,1,0,1,1,200,1,1,0,0,0,0,1,1,0,0,0,0,1,515,0,3,518,0
405,152,136,31,1,0,0,0,1,0,248,0,0,0,0,1,1,0,0,0,0,0,0,5,576,0,2,578,0
406,172,165,28,0,0,0,0,0,1,236,1,0,0,0,0,2,0,0,1,1,0,0,4,611,0,4,615,0
407,177,228,29,0,2,1,0,0,0,186,1,1,0,0,1,0,0,1,0,0,0,0,1,628,0,7,635,0
408,98,274,26,0,0,0,0,0,0,156,1,0,0,0,0,0,0,0,0,1,0,0,1,557,0,9,566,0
409,91,173,19,0,0,0,0,1,0,170,2,0,0,0,0,0,1,0,0,0,0,0,2,459,0,6,465,0
410,82,385,41,0,0,0,0,0,2,188,0,0,0,0,0,0,2,0,1,0,0,0,2,703,0,8,711,0
411,66,167,16,0,0,1,0,0,0,113,0,0,0,0,1,2,0,0,0,0,0,0,3,369,0,4,373,0
412,71,285,34,1,0,0,0,0,0,166,0,0,1,0,0,0,0,0,0,1,0,1,2,562,0,8,570,0
413,96,233,21,3,0,0,0,1,0,168,0,0,0,0,1,0,0,0,0,0,0,0,2,525,0,6,531,0
414,121,298,38,2,1,0,0,0,0,155,1,1,0,0,0,0,0,0,0,0,0,0,0,617,0,2,619,0
415,118,310,17,0,2,0,0,1,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,2,633,0
416,160,169,22,2,0,0,0,1,0,270,0,0,0,1,1,0,1,0,1,1,0,0,2,631,0,7,638,0
417,182,160,15,0,1,0,0,0,1,296,0,0,0,2,1,1,1,0,0,0,0,0,1,661,0,1,662,0
418,129,252,28,1,0,2,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,1,547,0,9,556,0
419,75,253,18,0,0,0,0,0,0,121,0,0,0,1,0,0,0,0,0,0,0,0,3,471,0,5,476,0
420,110,119,32,1,0,0,0,0,3,205,0,0,0,0,1,0,0,1,1,0,0,0,4,477,0,3,480,0
421,146,125,28,1,0,0,1,0,1,262,0,0,0,1,0,0,0,0,0,0,0,0,4,569,0,2,571,0
422,138,133,16,0,1,0,0,0,0,207,0,0,1,0,1,0,1,1,0,1,0,0,1,501,0,1,502,0
423,122,131,13,3,1,0,0,0,2,189,0,0,0,0,0,0,0,0,0,1,0,1,1,464,0,0,464,0
424,197,148,32,0,0,0,0,0,1,239,0,0,0,0,0,0,1,0,0,0,0,1,1,620,0,4,624,0
425,139,122,24,0,0,0,0,0,0,241,0,0,0,0,0,1,4,0,0,0,0,0,1,532,0,4,536,0
426,200,156,23,0,0,1,0,0,2,310,0,0,0,1,0,0,0,0,0,0,0,1,4,698,0,2,700,0
427,164,123,13,0,1,1,0,0,2,229,0,0,0,0,0,0,0,0,0,0,0,0,1,534,0,5,539,0
428,128,113,26,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,2,415,0,5,420,0
429,120,139,24,1,1,0,1,0,2,226,0,0,0,0,0,0,0,0,0,0,0,0,1,515,0,4,519,0
430,180,157,29,0,0,0,0,0,1,237,1,0,0,0,0,0,1,0,1,0,0,2,1,610,0,4,614,0
431,268,144,40,2,0,0,1,0,0,262,2,0,0,0,0,0,1,0,0,0,0,0,1,721,0,6,727,0
