Polling Station No,T.M.ANBARASAN,S.SARAVANAN,Y.G.MAHALAKSHMI,J.AGNI SELVARASU,ARAVIND CHANDRASEKAR,B. KALYANARAMKUMAR,S.ROYAPPAN,A.VELUSAMY,N.HARI KRISHNAN,M.HARISH,V.ANBARASAN,A.SARAVANAN,S.SARAVANAN,D.SARAVANAN,R.SARAVANAN,R.SURESH,SENKODI VIJAYALAKSHMI,R.SELVAKUMAR,G.DANIEL ANTONYRAJ,MAHESH KUMAR,G.RAMANAN,K.VELAYUDHAM,M.HARISH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,192,148,24,0,0,0,1,1,0,331,1,0,0,0,0,1,0,0,0,0,0,0,4,703,0,1,704,0
39,237,82,30,0,0,0,4,0,2,373,0,0,0,0,0,0,0,1,0,0,0,0,0,729,0,3,732,0
40,120,171,15,0,0,0,1,0,0,242,0,0,0,0,0,0,1,0,0,2,0,0,2,554,0,0,554,0
41,203,128,20,0,1,0,0,0,0,271,1,0,0,1,0,1,1,0,0,0,0,0,0,627,0,0,627,0
42,254,149,31,0,0,0,0,0,1,352,0,1,0,0,2,0,0,0,0,1,0,0,1,792,0,2,794,1
43,160,89,28,1,0,1,1,1,1,293,0,0,0,0,0,1,3,1,0,1,0,0,1,582,0,0,582,0
44,217,126,19,1,0,0,0,1,1,281,0,0,0,0,1,0,0,0,0,0,0,0,4,651,0,2,653,0
45,196,104,23,1,0,0,0,0,2,246,0,0,1,0,1,1,1,0,0,2,0,0,2,580,0,0,580,0
46,311,93,18,3,0,0,0,0,1,277,0,1,0,0,0,0,0,0,0,0,0,0,1,705,0,0,705,0
47,218,115,25,0,0,0,0,1,2,376,0,0,0,0,0,0,0,0,0,0,0,0,3,740,0,2,742,0
48,254,118,39,0,0,1,1,0,0,370,0,0,0,0,1,0,1,0,0,1,0,0,3,789,0,2,791,0
49,245,138,21,1,0,0,0,0,1,306,0,0,0,0,1,1,0,2,0,0,2,0,4,722,0,3,725,0
50,176,164,22,1,0,0,0,0,2,375,0,0,0,1,0,0,0,0,0,0,0,0,0,741,0,1,742,0
51,224,101,25,1,0,0,0,0,1,377,0,0,0,0,0,0,0,0,0,0,0,0,3,732,0,2,734,0
52,174,96,33,0,0,0,0,1,3,365,0,0,0,0,2,1,1,0,0,0,0,0,3,679,0,1,680,0
53,223,138,37,1,0,0,0,0,2,378,0,1,1,0,0,0,0,0,0,1,0,0,0,782,0,3,785,0
54,306,121,28,1,1,0,1,0,1,367,1,0,0,0,1,2,1,0,0,0,0,0,0,831,0,2,833,0
55,201,82,22,2,0,0,0,1,0,336,1,0,0,1,0,0,0,0,0,0,0,0,0,646,0,4,650,0
56,174,88,41,0,0,0,0,0,0,333,2,0,0,0,1,0,1,0,0,0,0,0,1,641,0,4,645,0
57,285,82,40,1,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,1,668,0,0,668,0
58,245,94,36,1,0,0,1,0,1,334,0,0,0,0,1,1,1,1,0,0,0,0,3,719,0,1,720,0
59,216,111,17,1,0,0,0,0,0,409,0,0,0,2,0,0,0,0,0,0,0,1,2,759,0,1,760,0
60,165,120,21,0,0,0,0,0,1,294,0,1,1,0,1,1,1,0,0,0,0,0,1,607,0,3,610,0
61,158,110,25,0,0,0,0,0,2,237,0,0,0,0,0,0,1,0,0,0,0,0,2,535,0,2,537,0
62,217,172,16,2,0,0,0,0,1,282,0,1,0,0,0,1,3,0,0,1,0,1,2,699,0,5,704,0
63,238,111,35,0,0,0,1,0,1,338,0,0,0,0,2,1,0,0,0,0,0,0,3,730,0,3,733,1
64,215,132,22,2,0,0,0,0,1,302,0,0,0,0,0,0,0,0,0,1,0,0,1,676,0,2,678,0
65,200,119,32,1,1,0,0,0,0,322,0,0,0,0,1,0,0,0,0,0,0,0,2,678,0,2,680,0
66,202,89,17,0,0,1,0,0,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,1,563,0
67,201,101,27,0,0,0,0,0,0,289,0,0,0,0,0,0,1,0,0,0,0,0,1,620,0,3,623,0
68,88,49,8,0,0,0,0,0,0,137,0,0,0,0,0,0,1,0,0,0,0,0,0,283,0,1,284,0
69,164,60,18,1,1,0,0,0,3,250,0,0,0,0,0,0,0,0,0,0,0,1,1,499,0,0,499,0
70,216,119,27,1,0,0,0,0,1,298,0,0,0,0,0,0,0,0,0,0,0,0,1,663,0,3,666,0
71,179,92,28,0,1,0,1,0,2,271,0,0,0,0,0,2,0,0,0,1,0,1,1,579,0,4,583,0
72,196,103,23,1,0,0,0,0,0,304,0,0,1,0,0,0,0,0,0,0,0,0,1,629,0,3,632,0
73,156,90,28,1,1,0,0,0,1,240,0,1,0,0,0,0,0,1,0,0,0,0,2,521,0,1,522,0
74,189,89,19,0,0,0,0,0,0,240,0,0,1,0,0,0,0,0,1,0,0,0,2,541,0,0,541,0
75,153,107,32,1,0,0,1,0,0,236,1,0,0,0,0,0,0,0,0,0,0,0,4,535,0,3,538,0
76,ge 1102,76,21,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,371,0,2,373,0
77,190,112,32,0,0,0,0,0,0,242,2,0,0,0,0,1,0,0,0,0,0,0,0,579,0,1,580,0
78,179,64,22,0,0,1,0,0,3,230,0,0,0,0,1,2,0,0,0,0,0,0,3,505,0,0,505,0
79,197,92,15,1,0,0,1,0,1,343,0,0,0,0,0,0,1,0,0,0,0,0,0,651,0,2,653,0
80,159,101,30,0,0,0,0,0,1,228,0,0,0,0,1,1,1,0,0,0,0,0,2,524,0,6,530,0
81,178,83,29,1,0,0,0,0,1,281,0,0,1,0,0,0,1,0,0,0,0,0,1,576,0,5,581,0
82,231,106,29,0,0,0,0,0,1,303,1,0,0,0,0,0,0,0,0,1,0,0,0,672,0,6,678,0
83,184,113,21,2,0,0,0,0,2,246,0,0,0,0,0,0,0,0,0,0,0,0,1,569,0,3,572,0
84,193,118,18,2,0,0,0,0,1,268,0,1,0,0,0,0,0,0,0,0,0,0,2,603,0,2,605,0
85,227,100,26,0,0,0,0,0,0,287,2,0,0,0,1,0,0,0,0,0,0,0,1,644,0,9,653,0
86,276,133,47,1,0,0,2,0,0,307,0,0,0,0,1,0,0,0,0,0,0,0,0,767,0,1,768,0
87,244,127,21,0,0,1,0,0,1,387,0,1,0,0,0,0,2,0,0,1,0,0,8,793,0,2,795,0
88,218,101,32,0,0,0,1,0,0,266,0,0,0,0,0,0,1,0,0,0,0,0,3,622,0,3,625,0
89,217,106,43,1,0,0,0,0,0,302,0,0,0,0,1,0,0,0,0,0,0,0,0,670,0,4,674,0
90,254,101,31,1,0,1,0,0,0,303,0,0,0,0,0,0,0,0,0,1,0,0,1,693,0,6,699,0
91,136,102,40,0,0,0,0,0,0,262,0,0,0,0,0,0,1,0,0,1,0,0,2,544,0,1,545,0
92,225,112,25,1,0,0,0,0,0,261,1,1,0,0,0,3,0,0,0,0,0,0,1,630,0,1,631,0
93,224,96,38,0,0,0,0,0,1,317,0,0,0,0,0,0,0,0,0,0,0,0,2,678,0,1,679,0
94,255,130,35,2,0,0,0,1,1,292,1,0,0,0,0,0,2,0,0,0,0,0,0,719,0,3,722,0
95,171,147,29,0,0,0,0,0,1,271,0,0,0,0,0,0,0,0,0,0,0,0,2,621,0,5,626,0
96,244,113,20,3,0,0,1,0,1,297,1,0,0,0,0,0,1,0,0,0,0,0,3,684,0,3,687,0
97,285,101,27,0,0,0,0,0,0,261,0,0,1,0,0,2,1,0,0,0,0,0,1,679,0,2,681,0
98,225,88,26,1,0,0,0,0,0,336,0,0,0,0,1,1,0,0,0,0,0,0,1,679,0,3,682,0
99,183,99,33,2,0,0,0,0,0,284,0,0,0,0,2,0,1,0,0,0,0,0,0,604,0,8,612,0
100,219,126,30,0,0,0,0,0,0,270,0,1,0,0,1,0,0,0,0,0,0,0,4,651,0,6,657,0
101,185,155,31,0,0,0,2,0,2,341,0,0,0,0,0,0,1,0,0,0,0,0,0,717,0,2,719,0
102,178,121,35,0,0,1,0,1,0,257,0,0,0,1,0,1,0,0,0,0,0,0,0,595,0,3,598,0
103,142,107,33,0,0,0,0,0,0,341,0,0,0,0,1,1,0,0,0,0,0,0,2,627,0,6,633,0
104,219,147,34,0,0,0,0,0,2,341,1,0,0,0,1,0,2,0,0,0,0,0,1,748,0,3,751,0
105,203,112,29,0,0,0,0,2,1,300,1,0,0,1,1,1,0,0,0,0,0,0,1,652,0,4,656,0
106,152,111,25,0,0,0,1,0,2,269,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,3,563,0
107,211,151,44,1,0,0,0,0,2,292,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,1,702,0
