Polling Station No,ABDUL HAKEEM K,SUNDAR C,PALANIVEL THIAGA RAJAN,RAMAR PANDI T,SAKKARAVARTHY P,MADHAR BADHURUDEEN,AVADAINATHAN V,GURU KARTHICK T,SALEEM,SIVAPERUMAL V,MANIVANNAN,RAJENDRAN R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,49,195,247,1,3,372,1,0,1,0,0,1,870,0,4,874,0
2,32,208,198,1,1,333,0,0,1,0,0,0,774,0,2,776,0
3,34,135,284,0,4,470,0,1,1,1,0,0,930,0,3,933,0
4,49,122,295,0,2,273,1,0,0,0,1,1,744,0,2,746,0
5,32,73,236,0,3,249,0,0,0,0,0,0,593,0,2,595,0
6,32,184,150,2,1,341,1,1,0,0,1,1,714,0,2,716,0
7,29,114,167,2,4,363,0,0,0,0,1,0,680,0,1,681,0
8,36,107,123,0,2,372,0,0,0,0,0,1,641,0,3,644,0
9,26,150,159,1,1,385,0,0,0,0,1,1,724,0,1,725,0
10,36,156,140,1,4,269,0,0,1,1,0,2,610,0,3,613,0
11,18,159,185,2,4,381,0,0,0,1,2,0,752,0,1,753,0
12,25,158,141,2,5,414,0,0,0,1,0,1,747,0,0,747,0
13,29,115,175,1,0,259,1,1,0,1,0,0,582,0,2,584,0
14,21,45,146,0,0,156,0,0,1,0,0,0,369,0,1,370,0
15,37,129,227,0,1,341,0,0,0,0,0,1,736,0,5,741,0
16,25,138,200,2,1,371,2,1,2,3,0,0,745,0,5,750,0
17,35,131,141,1,1,276,2,0,1,0,0,2,590,0,4,594,0
18,23,99,142,1,4,296,0,1,2,0,0,1,569,0,4,573,0
19,32,122,224,2,6,349,2,1,1,0,2,0,741,0,2,743,0
20,22,96,134,1,0,158,1,0,1,1,0,0,414,0,0,414,0
21,34,220,125,0,2,276,1,1,0,0,0,0,659,0,1,660,0
22,38,180,163,2,4,361,1,0,0,0,0,0,749,0,4,753,0
23,42,109,212,3,2,420,1,0,0,0,2,3,794,0,2,796,0
24,45,95,105,3,1,293,2,0,0,0,0,1,545,0,3,548,0
25,36,231,136,0,2,370,2,0,0,3,0,0,780,0,0,780,0
26,31,208,240,2,1,359,0,0,2,0,0,1,844,0,7,851,0
27,27,164,147,1,5,295,1,1,1,1,1,0,644,0,3,647,0
28,21,186,239,4,1,323,2,0,0,0,1,1,778,0,5,783,0
29,24,117,157,1,2,271,0,0,0,1,1,1,575,0,3,578,0
30,26,147,146,4,4,393,0,1,0,0,0,0,721,0,1,722,0
31,27,141,90,1,0,339,0,0,0,0,0,1,599,0,1,600,0
32,23,125,127,3,0,229,1,0,0,0,0,0,508,0,1,509,0
33,23,146,154,0,1,251,0,1,2,0,0,1,579,0,2,581,0
34,19,166,182,1,1,214,0,0,0,0,0,0,583,0,0,583,0
35,11,102,123,0,2,227,0,0,0,0,1,0,466,0,2,468,0
36,15,71,200,1,1,225,2,0,0,0,0,0,515,0,2,517,0
37,14,240,145,0,2,359,1,0,1,0,1,1,764,0,3,767,0
38,17,106,81,2,0,192,0,0,0,0,0,0,398,0,5,403,0
39,22,153,121,0,2,282,1,0,0,0,0,0,581,0,4,585,0
40,37,173,195,3,1,315,1,1,2,0,0,0,728,0,4,732,0
41,18,117,283,0,0,430,1,0,1,0,4,0,854,0,1,855,0
42,35,199,111,1,1,260,0,0,0,2,1,0,610,0,5,615,0
43,13,86,283,0,0,234,2,0,1,0,0,0,619,0,2,621,0
44,20,127,107,2,0,181,0,0,0,0,0,0,437,0,2,439,0
45,15,90,142,0,1,180,2,1,0,0,0,1,432,0,1,433,0
46,17,192,101,2,1,248,1,0,1,0,0,0,563,0,4,567,0
47,30,196,116,0,1,248,0,0,0,0,0,0,591,0,5,596,0
48,27,189,174,0,1,243,1,0,1,0,0,0,636,0,1,637,0
49,33,227,143,1,1,385,1,1,2,0,0,0,794,0,4,798,0
50,18,138,117,1,2,252,0,1,0,1,0,0,530,0,0,530,0
51,10,85,118,2,2,191,0,0,2,0,0,1,411,0,1,412,0
52,21,128,91,0,0,193,1,1,0,2,0,1,438,0,2,440,0
53,25,251,123,1,2,311,0,0,0,0,0,0,713,0,7,720,0
