Polling Station No,Polling Station No.,NIASSUH A .DEMAHA AJAHK,T .NAHTANIMAS,.MAVISAMARAP .B.P.V,N .IHTOJAKAN.RD,K .JARIMOOB,T .HSEMAR,R .IVAR,B .HSERUS,V .JARAVLES,A .RAKAVIHD,R .UHTUMIHCTAN,HBARPADNAKINAM C .U N,.RAKNAHSEENAM .G.M,S .UHTUMIRAM,V .NAGURUM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
52,52,11,183,271,155,1,2,0,0,0,0,0,2,1,0,3,629,0,1,630,0
53,53,16,322,181,138,0,2,1,0,0,0,0,1,0,1,0,662,0,2,664,0
54,54,10,90,117,55,0,1,0,0,0,0,0,0,0,0,2,275,0,1,276,0
55,55,29,461,203,199,3,0,2,0,0,0,0,3,1,2,3,906,0,3,909,0
56,56,6,208,214,178,1,0,0,0,0,0,0,0,0,1,1,609,0,3,612,0
57,57,6,176,177,129,0,0,0,0,0,0,0,0,1,0,1,490,0,1,491,0
58,58,9,205,168,128,0,1,0,0,0,0,0,1,0,2,1,515,0,0,515,0
59,59,6,257,176,124,0,0,0,0,0,0,0,0,0,1,7,571,0,0,571,0
60,60,6,123,91,40,0,0,0,0,0,0,0,1,0,0,1,262,0,1,263,0
61,61,6,203,167,106,1,0,0,0,0,0,0,0,0,0,1,484,0,1,485,0
62,62,18,197,150,102,0,0,0,0,0,0,0,0,0,0,0,467,0,0,467,0
63,63,15,292,247,186,0,0,0,1,0,0,3,1,1,5,8,759,0,1,760,0
64,64,13,244,193,158,3,0,1,0,0,1,0,2,0,2,2,619,0,2,621,0
65,65,20,342,241,221,1,1,0,0,0,0,0,1,3,2,5,837,0,4,841,0
66,66,13,222,135,87,0,1,1,1,0,0,0,0,0,2,3,465,0,0,465,0
67,67,34,287,123,161,0,0,1,1,0,2,0,2,0,2,3,616,0,1,617,0
68,68,8,195,140,79,2,0,0,0,0,0,0,1,0,0,0,425,0,2,427,0
69,69,43,330,229,180,0,1,0,0,0,0,1,2,1,2,3,792,0,2,794,0
70,70,13,215,323,143,0,0,3,1,0,0,0,0,1,1,5,705,0,0,705,0
71,71,30,307,213,266,0,0,0,0,0,0,0,1,3,0,0,820,0,1,821,0
72,72,3,183,256,138,0,0,0,0,0,0,0,4,0,0,1,585,0,0,585,0
73,73,9,198,239,125,0,1,2,0,0,0,0,1,1,0,3,579,0,1,580,0
74,74,35,311,220,175,0,1,0,0,0,0,0,1,1,4,2,750,0,4,754,0
75,75,25,260,83,77,1,0,0,0,0,0,0,2,0,0,2,450,0,0,450,0
76,76,23,304,325,253,3,4,0,0,0,0,1,3,3,2,3,924,0,2,926,0
77,77,30,271,184,162,0,0,0,0,1,0,2,0,0,0,1,651,0,0,651,0
78,78,16,187,142,161,0,1,1,1,1,0,1,0,1,0,3,515,0,0,515,0
79,79,18,196,224,177,0,0,0,0,0,0,0,1,3,1,1,621,0,0,621,0
80,80,26,285,217,189,1,0,0,2,1,0,0,1,2,1,2,727,0,1,728,0
81,81,22,138,192,155,0,0,0,0,0,0,0,3,0,1,0,511,0,1,512,0
82,82,37,140,178,186,2,2,0,0,1,0,0,0,0,1,4,551,0,1,552,0
83,83,38,248,162,245,1,0,0,0,0,0,0,1,0,0,2,697,0,0,697,0
84,84,13,192,174,150,0,0,0,0,1,1,0,1,0,1,1,534,0,1,535,0
85,85,16,208,117,169,0,0,1,0,0,0,0,0,0,0,1,512,0,1,513,0
86,86,11,173,159,59,0,0,0,0,0,0,0,0,0,1,3,406,0,1,407,0
87,87,24,232,194,118,1,0,0,2,1,0,0,0,1,2,0,575,0,1,576,0
88,88,19,277,352,161,0,0,0,1,1,0,1,2,0,3,4,821,0,3,824,0
89,89,22,303,176,146,1,4,0,0,0,0,0,2,1,0,2,657,0,2,659,0
90,90,17,164,181,140,1,1,1,0,2,0,0,0,0,1,1,509,0,1,510,0
91,91,37,269,197,163,0,1,0,1,1,0,0,2,1,0,9,681,0,5,686,0
92,92,19,179,175,195,1,0,0,0,0,0,0,1,1,0,2,573,0,4,577,0
93,93,22,254,175,132,1,1,0,0,0,0,0,0,1,0,3,589,0,2,591,0
94,94,12,320,371,205,1,0,0,1,0,0,1,0,1,0,2,914,0,1,915,0
95,95,12,175,168,112,0,1,0,1,0,0,0,0,0,0,4,473,0,1,474,0
96,96,20,215,333,135,0,0,1,0,0,0,0,0,0,1,1,706,0,2,708,0
97,97,61,180,217,172,0,0,0,0,0,0,0,2,0,0,3,635,0,0,635,0
98,98,54,328,177,157,1,0,2,0,1,0,0,0,1,1,5,727,0,3,730,0
99,99,15,172,135,159,1,2,0,0,0,0,0,0,0,0,1,485,0,0,485,0
100,100,25,381,205,301,0,0,3,1,0,0,1,0,0,1,3,921,0,2,923,0
101,101,20,228,140,105,0,0,0,0,0,0,0,0,1,0,1,495,0,0,495,0
102,102,21,408,256,264,2,0,0,1,0,0,0,0,1,0,2,955,0,3,958,0
103,103,13,157,173,54,0,0,0,0,0,1,0,0,0,0,0,398,0,1,399,0
104,104,20,264,193,315,0,0,0,0,1,0,0,1,1,0,3,798,0,0,798,0
105,105,19,140,146,331,3,0,1,0,0,0,0,2,1,2,0,645,0,1,646,0
106,106,7,152,129,118,0,0,0,0,0,0,0,1,0,0,2,409,0,0,409,0
107,107,23,264,232,229,2,0,0,0,0,0,3,1,0,1,3,758,0,2,760,0
108,108,26,360,341,207,0,0,0,1,0,0,0,1,0,1,1,938,0,2,940,0
109,109,34,226,228,99,0,1,0,0,0,0,0,1,1,0,2,592,0,1,593,0
110,110,13,188,116,59,0,0,0,0,0,1,0,0,0,0,3,380,0,0,380,0
111,111,24,267,190,172,0,1,0,0,3,0,0,0,0,1,2,660,0,1,661,0
112,112,23,343,224,230,1,0,1,0,0,0,0,3,1,1,2,829,0,5,834,0
113,113,23,360,163,129,0,0,1,0,1,0,0,1,0,0,4,682,0,0,682,0
114,114,13,273,280,158,0,1,0,0,0,0,0,0,1,1,1,728,0,1,729,0
115,115,22,165,230,71,0,0,0,0,0,0,0,0,0,0,1,489,0,1,490,0
116,116,31,190,241,100,0,0,1,0,0,0,0,0,0,0,1,564,0,2,566,0
117,117,13,281,193,144,0,0,1,0,0,0,0,1,1,1,2,637,0,0,637,0
118,118,11,194,166,127,0,0,0,0,1,0,0,0,0,1,0,500,0,0,500,0
119,119,24,278,234,150,1,1,0,1,0,0,0,3,0,0,5,697,0,1,698,0
120,120,10,196,152,94,0,0,0,0,1,0,0,1,0,0,1,455,0,3,458,0
121,121,12,264,183,139,1,0,0,0,0,0,0,0,0,1,0,600,0,1,601,0
122,122,4,203,103,98,0,0,0,0,0,0,0,1,0,1,1,411,0,0,411,0
123,123,24,275,80,117,0,0,1,0,0,0,0,0,1,1,1,500,0,3,503,0
124,124,17,334,319,216,0,2,2,0,0,1,0,1,0,0,1,893,0,2,895,0
125,125,19,340,289,173,2,1,1,0,0,0,1,1,3,0,2,832,0,4,836,0
126,126,12,404,249,118,0,0,0,0,0,0,0,2,0,1,3,789,0,1,790,0
127,127,17,261,188,124,1,0,0,0,0,0,0,0,2,1,5,599,0,2,601,0
128,128,17,253,277,117,0,0,0,0,0,0,0,1,0,2,1,668,0,0,668,0
129,129,10,181,202,98,0,0,0,0,0,0,0,1,0,2,1,495,0,1,496,0
130,130,29,229,372,131,0,0,0,0,1,0,0,0,0,1,3,766,0,0,766,0
131,131,17,203,194,79,3,0,0,0,0,1,0,0,0,0,0,497,0,4,501,0
132,132,10,96,183,74,0,0,0,0,0,0,0,0,0,3,1,367,0,0,367,0
133,133,16,291,179,147,0,0,0,0,0,0,1,2,0,1,2,639,0,0,639,0
134,134,12,221,123,101,0,0,0,0,0,0,0,0,0,0,3,460,0,0,460,0
135,135,10,283,171,249,0,1,0,0,1,0,0,0,1,4,2,722,0,1,723,0
136,136,6,277,143,100,0,0,0,0,0,0,0,1,0,2,2,531,0,0,531,0
137,137,22,272,258,163,0,0,0,0,0,0,0,1,0,1,1,718,0,1,719,0
138,138,19,294,223,138,0,1,0,2,0,0,0,0,0,1,2,680,0,0,680,0
139,139,17,181,151,111,0,0,0,0,0,0,0,0,0,1,1,462,0,1,463,0
140,140,11,222,182,165,1,0,1,0,0,0,0,2,0,1,2,587,0,0,587,0
141,141,23,347,283,205,0,1,0,0,0,2,1,3,1,2,1,869,0,1,870,0
142,142,17,183,159,99,0,0,0,0,0,0,0,2,0,0,4,464,0,1,465,0
143,143,14,263,204,175,1,0,0,0,0,0,0,2,2,1,1,663,0,0,663,0
144,144,4,228,108,130,0,0,0,0,1,0,0,0,0,0,0,471,0,3,474,0
145,145,21,274,201,156,0,0,0,0,1,0,0,0,0,3,0,656,0,3,659,0
146,146,19,262,259,126,0,0,0,0,0,0,0,0,0,0,1,667,0,0,667,0
147,147,38,229,223,179,0,0,0,0,0,1,0,1,0,0,0,671,0,1,672,0
148,148,20,221,299,191,0,1,0,0,0,0,0,0,0,1,3,736,0,1,737,0
149,149,29,222,197,133,0,0,1,0,0,0,0,1,0,1,5,589,0,1,590,0
150,150,19,303,226,116,0,1,2,0,0,0,0,2,2,0,2,673,0,3,676,0
151,151,28,380,254,146,0,0,0,0,0,0,0,0,1,1,3,813,0,0,813,0
152,152,21,304,296,207,2,0,0,0,1,0,1,1,0,1,4,838,0,2,840,0
153,153,22,191,198,113,0,2,0,0,0,0,0,0,0,0,1,527,0,3,530,0
154,154,7,190,242,75,0,0,0,0,0,0,0,0,0,0,2,516,0,0,516,0
155,155,17,275,469,132,0,0,0,0,0,0,0,1,0,2,1,897,0,3,900,0
156,156,18,182,294,120,2,1,0,0,0,0,0,1,1,1,3,623,0,0,623,0
157,157,23,266,271,192,2,0,0,0,0,0,0,2,0,2,1,759,0,2,761,0
158,158,48,286,136,132,0,0,5,0,0,1,0,0,0,0,4,612,0,1,613,0
159,159,38,200,187,283,0,0,0,0,1,0,0,0,0,0,4,713,0,4,717,0
160,160,29,201,202,167,2,0,1,0,0,1,0,1,1,2,2,609,0,1,610,0
161,161,29,174,147,230,1,0,2,0,0,0,0,0,0,0,7,590,0,1,591,0
162,162,22,224,145,204,1,0,1,0,1,0,0,0,0,0,2,600,0,0,600,0
163,163,22,246,219,244,0,0,0,0,0,0,0,0,0,2,2,735,0,0,735,0
164,164,10,236,407,167,0,1,0,0,0,0,1,0,2,0,1,825,0,1,826,0
165,165,7,94,109,47,0,0,0,0,0,0,0,0,0,1,0,258,0,0,258,0
166,166,30,166,141,74,0,1,0,0,0,0,0,0,0,1,0,413,0,1,414,0
167,167,13,286,387,117,0,1,1,1,0,0,0,0,1,2,6,815,0,1,816,0
168,168,7,151,209,60,2,0,1,0,0,0,0,1,1,1,1,434,0,0,434,0
169,169,19,297,332,153,1,0,1,0,0,0,0,1,0,2,1,807,0,3,810,0
170,170,10,154,247,73,0,0,0,0,0,0,0,0,0,1,1,486,0,1,487,0
171,171,81,387,279,242,0,0,0,0,1,0,0,1,0,3,3,997,0,4,1001,0
172,172,38,274,316,201,1,0,1,0,0,0,0,5,0,0,0,836,0,3,839,0
173,173,9,301,263,162,0,0,0,0,0,0,0,0,0,0,3,738,0,2,740,0
174,174,29,252,226,174,0,0,0,0,0,0,0,1,0,2,2,686,0,1,687,0
175,175,30,383,222,249,0,0,0,0,0,0,0,1,1,0,3,889,0,1,890,0
176,176,15,226,342,111,0,1,4,0,0,0,0,1,0,1,0,701,0,0,701,0
177,177,8,419,119,97,0,0,0,0,0,0,0,0,0,0,2,645,0,0,645,0
178,178,12,216,95,173,1,0,1,0,0,0,0,0,0,1,1,500,0,1,501,0
179,179,22,409,189,181,0,0,0,0,0,0,0,1,0,0,0,802,0,1,803,0
180,180,22,240,158,187,0,0,0,1,0,0,0,1,0,0,0,609,0,1,610,0
181,181,4,152,63,62,0,0,1,0,0,0,0,0,0,0,1,283,0,1,284,0
182,182,13,593,124,159,0,0,0,0,0,0,0,1,0,0,3,893,0,1,894,0
183,183,33,365,256,248,2,1,2,0,0,0,0,1,0,0,4,912,0,2,914,0
184,184,19,355,137,245,0,1,0,0,0,0,0,0,0,0,1,758,0,0,758,0
185,185,16,331,259,238,0,1,0,0,1,0,0,0,0,2,0,848,0,3,851,0
186,186,26,275,206,322,0,0,0,1,1,0,0,2,1,1,1,836,0,2,838,0
187,187,21,244,205,157,0,0,0,0,0,2,2,0,0,0,0,631,0,0,631,0
188,188,27,322,266,155,0,0,0,0,0,0,0,0,0,0,0,770,0,2,772,0
189,189,9,275,189,130,0,0,0,1,0,1,0,1,0,2,0,608,0,0,608,0
190,190,20,240,237,231,0,1,0,0,1,0,0,2,0,3,3,738,0,4,742,0
191,191,14,280,172,205,0,0,0,0,0,1,0,0,0,1,1,674,0,2,676,0
192,192,12,382,258,162,0,1,0,0,0,0,0,0,1,2,8,826,0,1,827,0
193,193,39,332,283,214,0,0,0,1,0,0,2,1,0,0,2,874,0,3,877,0
194,194,16,306,247,180,0,1,0,0,0,0,0,0,1,0,2,753,0,2,755,0
195,195,9,191,354,168,1,0,0,0,0,0,0,0,0,1,0,724,0,1,725,0
196,196,11,212,241,126,0,0,0,0,0,0,0,0,1,0,0,591,0,2,593,0
197,197,18,169,266,132,0,0,0,0,0,0,1,0,0,0,1,587,0,0,587,0
198,198,28,237,223,218,0,0,0,0,0,0,0,2,0,0,1,709,0,0,709,0
199,199,12,286,238,86,0,0,0,1,0,0,0,0,0,2,1,626,0,1,627,0
200,200,30,297,246,232,1,2,0,1,0,0,0,2,3,4,2,820,0,2,822,0
201,201,17,194,182,173,0,1,0,0,1,0,4,0,0,0,1,573,0,1,574,0
202,202,15,180,288,140,0,0,0,0,0,0,0,0,0,1,1,625,0,3,628,0
203,203,15,154,223,116,1,0,0,0,0,0,0,0,0,0,0,509,0,1,510,0
204,204,26,218,128,121,0,0,0,0,1,0,0,0,0,0,1,495,0,0,495,0
205,205,17,160,261,116,0,0,1,0,0,0,1,0,1,2,2,561,0,1,562,0
206,206,22,291,225,148,0,0,1,0,0,0,0,0,1,0,2,690,0,1,691,0
207,207,12,186,231,118,0,1,0,0,0,0,0,1,0,1,2,552,0,1,553,0
208,208,31,207,229,152,0,3,1,0,1,0,0,1,0,0,2,627,0,0,627,0
209,209,26,258,132,181,0,1,1,0,0,0,0,0,0,0,2,601,0,1,602,0
210,210,35,368,201,287,0,0,0,0,3,1,0,1,1,0,2,899,0,2,901,0
211,211,45,266,430,315,0,0,0,1,2,0,0,0,3,4,2,1068,0,1,1069,0
212,212,18,312,543,159,3,0,0,1,1,1,0,0,1,6,7,1052,0,1,1053,0
213,213,6,214,212,139,1,1,0,0,1,1,0,2,0,2,2,581,0,0,581,0
214,214,25,256,254,223,0,1,0,0,0,0,1,2,0,0,5,767,0,0,767,0
215,215,39,217,351,270,0,1,0,0,1,0,0,3,1,2,1,886,0,1,887,0
216,216,20,266,306,252,0,1,0,0,0,0,1,0,1,2,4,853,0,2,855,0
217,217,8,170,230,164,0,0,0,0,0,1,0,1,2,3,0,579,0,1,580,0
218,218,32,298,284,188,0,0,1,0,1,0,0,4,2,2,3,815,0,1,816,0
219,219,10,147,298,164,0,0,1,0,0,0,0,1,0,1,1,623,0,1,624,0
220,220,14,335,178,170,0,1,1,0,0,0,0,0,0,1,3,703,0,1,704,0
221,221,11,200,381,198,2,0,1,1,0,1,2,2,4,2,2,807,0,1,808,0
222,222,19,186,464,138,2,0,0,0,0,0,2,3,2,3,4,823,0,1,824,0
223,223,14,294,306,175,0,1,0,0,1,0,0,0,0,0,2,793,0,0,793,0
224,224,8,111,279,116,0,0,0,0,1,0,0,2,1,1,1,520,0,0,520,0
225,225,28,346,365,239,0,0,0,0,1,0,0,2,2,0,1,984,0,0,984,0
226,226,16,242,225,191,0,0,0,0,0,0,0,1,1,1,1,678,0,2,680,0
227,227,21,376,313,321,0,0,0,1,1,0,2,3,1,1,3,1043,0,4,1047,0
228,228,37,274,367,273,0,1,0,0,0,0,0,2,1,0,6,961,0,1,962,0
229,229,13,202,275,177,0,0,0,0,0,1,1,2,0,2,1,674,0,1,675,0
230,230,27,301,179,297,0,0,0,0,0,0,0,1,0,1,2,808,0,5,813,0
231,231,16,306,143,206,1,0,0,0,1,1,1,0,1,1,1,678,0,3,681,0
232,232,33,277,269,177,1,0,0,0,0,0,0,5,1,0,3,766,0,3,769,0
