Polling Station No,Polling Station No.,NIASSUH A .DEMAHA AJAHK,T .NAHTANIMAS,.MAVISAMARAP .B.P.V,N .IHTOJAKAN.RD,K .JARIMOOB,T .HSEMAR,R .IVAR,B .HSERUS,V .JARAVLES,A .RAKAVIHD,R .UHTUMIHCTAN,HBARPADNAKINAM C .U N,.RAKNAHSEENAM .G.M,S .UHTUMIRAM,V .NAGURUM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
297,297,27,249,162,248,2,1,0,1,2,0,0,0,1,1,0,694,0,5,699,0
298,298,38,275,310,304,1,2,0,0,2,0,3,0,2,4,10,951,0,6,957,0
299,299,28,229,165,277,1,1,0,1,0,0,0,1,0,0,1,704,0,4,708,0
300,300,52,314,243,264,0,0,0,0,0,0,0,1,0,1,2,877,0,3,880,0
301,301,9,167,176,169,0,1,1,1,0,0,0,1,0,1,1,527,0,1,528,0
302,302,26,280,289,177,0,0,0,0,0,0,0,3,0,0,4,779,0,2,781,0
303,303,16,236,315,183,0,1,0,1,1,0,0,2,3,4,2,764,0,1,765,0
304,304,14,241,146,136,0,0,0,0,0,0,0,0,1,0,2,540,0,0,540,0
305,305,7,226,310,107,0,0,0,0,0,0,0,1,0,0,3,654,0,1,655,0
306,306,9,216,373,150,0,1,0,0,0,0,0,0,0,1,4,754,0,0,754,0
307,307,28,280,389,206,1,0,0,0,0,0,0,1,1,1,0,907,0,0,907,0
308,308,14,181,244,183,2,0,0,0,0,0,1,1,1,1,3,631,0,4,635,0
309,309,38,252,201,211,0,0,0,1,1,0,0,1,0,0,1,706,0,3,709,0
310,310,13,192,245,131,0,0,0,0,1,0,0,2,0,1,1,586,0,2,588,0
311,311,6,172,223,123,0,0,0,0,0,0,0,0,0,0,0,524,0,0,524,0
312,312,36,219,220,308,1,1,0,0,0,0,0,3,2,0,7,797,0,2,799,0
313,313,15,122,149,182,0,0,0,1,1,1,0,1,1,1,1,475,0,2,477,0
314,314,20,269,150,180,0,0,0,0,0,0,0,0,0,0,2,621,0,2,623,0
315,315,7,468,578,88,2,0,1,0,0,0,0,2,2,6,5,1159,0,1,1160,0
316,316,29,244,372,123,1,0,0,0,0,0,0,3,1,3,7,783,0,2,785,0
317,317,11,440,411,134,1,1,0,0,0,0,0,1,2,0,3,1004,0,1,1005,0
318,318,26,349,299,240,0,1,0,0,1,0,0,2,0,3,3,924,0,5,929,0
319,319,15,232,382,186,0,1,0,0,1,0,0,0,0,2,3,822,0,1,823,0
320,320,15,237,242,90,0,0,0,0,1,0,0,0,0,1,3,589,0,0,589,0
321,321,54,194,340,177,0,0,0,0,0,0,0,0,0,1,1,767,0,3,770,0
322,322,32,261,301,172,0,1,0,0,0,0,1,3,0,2,1,774,0,0,774,0
323,323,34,212,232,193,0,1,1,0,0,0,1,0,0,6,1,681,0,0,681,0
324,324,27,296,220,143,1,0,0,0,0,0,0,0,1,1,5,694,0,2,696,0
325,325,22,288,296,197,1,1,1,1,0,0,0,0,4,1,8,820,0,1,821,0
326,326,9,185,222,150,0,0,0,0,0,0,0,1,2,3,2,574,0,1,575,0
327,327,36,318,195,283,1,0,0,0,0,0,0,2,2,0,5,842,0,3,845,0
