Polling Station No,ASWINI B,KALAIVANAN POONDI K,CHANDRASEKARAN GOVI,KANTHAN A,THIYAGARAJAN .M,VEERAMANI V,MUTHARASAN S,SAHUL HAMEED M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,35,346,138,2,2,335,0,5,863,0,7,870,0
2,19,444,40,2,0,173,0,2,680,0,2,682,0
3,30,251,230,1,1,176,0,0,689,0,1,690,0
4,25,226,172,0,0,193,1,0,617,0,4,621,0
5,26,225,225,2,4,207,1,4,694,0,5,699,0
6,41,207,64,1,0,145,0,0,458,0,2,460,0
7,19,177,120,5,1,144,0,0,466,0,0,466,0
8,25,183,125,1,1,161,1,0,497,0,1,498,0
9,20,397,125,0,1,146,1,0,690,0,3,693,0
10,64,382,180,0,1,187,0,0,814,0,1,815,0
11,17,281,247,1,1,193,2,3,745,0,1,746,0
12,37,277,166,0,3,239,0,1,723,0,1,724,0
13,25,324,294,1,1,247,0,1,893,0,1,894,0
14,37,328,82,1,3,231,3,0,685,0,2,687,0
15,15,150,150,1,0,124,1,0,441,0,0,441,0
16,36,391,164,2,0,293,1,2,889,0,6,895,0
17,12,249,115,6,2,189,0,0,573,0,1,574,0
18,23,156,65,7,2,144,0,0,397,0,1,398,0
19,28,266,142,3,0,255,1,1,696,0,4,700,0
20,33,197,158,0,1,174,0,0,563,0,2,565,0
21,21,170,145,1,1,202,0,2,542,0,1,543,0
22,19,243,90,0,0,200,0,2,554,0,0,554,0
23,58,362,165,4,1,306,2,1,899,0,2,901,0
24,22,304,92,3,1,260,2,0,684,0,1,685,0
25,22,367,130,6,3,292,1,6,827,0,9,836,0
26,35,326,207,2,3,220,3,0,796,0,2,798,0
27,25,186,138,1,2,233,2,1,588,0,4,592,0
28,21,227,114,1,0,170,0,0,533,0,5,538,0
29,24,198,91,0,1,189,0,2,505,0,2,507,0
30,41,199,122,1,1,181,0,1,546,0,0,546,0
31,37,362,103,1,2,360,2,2,869,0,3,872,0
32,64,358,125,0,2,349,0,0,898,0,2,900,0
33,30,235,77,1,1,161,1,1,507,0,3,510,0
34,37,246,74,0,2,194,0,3,556,0,3,559,0
35,30,277,100,1,3,210,0,4,625,0,2,627,0
36,28,279,140,3,2,298,1,2,753,0,2,755,0
37,30,270,102,1,2,236,3,1,645,0,1,646,0
38,43,323,147,3,0,374,0,1,891,0,1,892,0
39,31,272,150,3,0,229,0,2,687,0,3,690,0
40,30,164,89,1,0,157,0,0,441,0,3,444,0
41,24,283,181,0,0,274,1,0,763,0,8,771,0
42,19,185,75,1,1,142,0,0,423,0,2,425,0
43,37,233,69,1,27,264,0,3,634,0,2,636,0
44,61,202,94,0,1,184,0,1,543,0,3,546,0
45,15,159,126,2,2,161,0,0,465,0,3,468,0
46,20,201,140,4,1,225,1,1,593,0,1,594,0
47,20,197,82,1,0,168,1,1,470,0,1,471,0
48,34,249,68,1,0,244,2,3,601,0,2,603,0
49,7,154,108,0,1,129,0,1,400,0,0,400,0
50,17,261,117,0,0,204,2,2,603,0,0,603,0
51,38,213,114,3,1,331,1,2,703,0,3,706,0
52,66,225,109,3,1,249,2,1,656,0,1,657,0
53,40,244,204,3,2,231,0,0,724,0,3,727,0
54,28,222,89,6,1,181,2,1,530,0,1,531,0
55,11,143,76,2,4,90,0,0,326,0,0,326,0
56,22,240,100,0,1,157,1,1,522,0,1,523,0
57,17,288,130,1,0,229,0,2,667,0,1,668,0
58,34,252,78,2,0,127,0,0,493,0,0,493,0
59,23,266,80,0,1,163,0,2,535,0,5,540,0
60,37,262,145,0,2,166,3,2,617,0,4,621,0
61,15,195,180,4,1,209,4,1,609,0,0,609,0
62,38,201,178,2,2,199,2,1,623,0,2,625,0
63,23,231,273,0,2,254,1,1,785,0,0,785,0
64,21,236,166,1,2,175,0,2,603,0,2,605,0
65,31,269,213,5,0,252,1,1,772,0,2,774,0
66,26,252,204,0,0,212,3,3,700,0,0,700,0
67,28,314,183,2,1,290,0,0,818,0,7,825,0
68,22,203,160,0,0,174,1,1,561,0,3,564,0
69,20,255,286,1,0,178,3,3,746,0,7,753,0
70,24,268,94,0,0,182,3,1,572,0,2,574,0
71,20,351,153,3,0,201,2,2,732,0,1,733,0
72,26,248,55,3,1,155,1,4,493,0,1,494,0
73,37,283,202,0,2,242,2,3,771,0,1,772,0
74,19,220,217,0,0,210,5,4,675,0,1,676,0
75,37,265,130,0,2,246,1,5,686,0,6,692,0
76,28,279,105,0,0,200,1,1,614,0,1,615,0
77,25,234,125,1,2,168,0,2,557,0,1,558,0
78,21,252,83,2,1,124,0,2,485,0,3,488,0
79,34,297,37,4,0,178,3,2,555,0,0,555,0
80,27,292,15,0,2,115,0,2,453,0,3,456,0
81,13,349,17,0,2,158,0,1,540,0,2,542,0
82,8,376,4,0,1,103,1,2,495,0,1,496,0
83,12,345,2,1,0,71,1,3,435,0,0,435,0
84,31,486,12,0,0,127,0,1,657,0,5,662,0
85,7,260,70,0,3,198,2,1,541,0,4,545,0
86,20,316,132,0,3,168,1,0,640,0,2,642,0
87,34,370,134,1,0,241,0,2,782,0,7,789,0
88,54,458,151,2,3,355,3,3,1029,0,7,1036,0
89,32,191,93,2,3,141,4,3,469,0,3,472,0
90,29,397,204,2,4,226,0,2,864,0,1,865,0
91,16,185,150,0,0,225,0,2,578,0,0,578,0
92,25,230,79,0,1,142,1,1,479,0,2,481,0
93,30,482,159,1,1,276,1,5,955,0,1,956,0
94,24,366,124,0,3,264,1,2,784,0,0,784,0
95,25,413,132,3,2,251,3,2,831,0,1,832,0
96,33,365,237,2,0,339,0,1,977,0,3,980,0
97,48,407,107,2,1,309,2,1,877,0,4,881,0
98,25,217,130,4,3,289,0,0,668,0,3,671,0
99,21,167,152,0,0,197,1,2,540,0,3,543,0
100,12,210,103,1,1,220,2,1,550,0,2,552,0
101,27,251,115,2,1,325,2,4,727,0,2,729,0
102,30,260,103,2,1,263,1,4,664,0,4,668,0
103,20,253,128,2,2,291,0,3,699,0,2,701,0
104,40,238,142,5,1,289,1,3,719,0,1,720,0
105,57,315,165,2,1,243,1,3,787,0,2,789,0
106,32,242,266,1,6,290,2,2,841,0,0,841,0
107,43,271,141,1,4,362,0,2,824,0,5,829,0
108,57,226,127,0,6,283,2,1,702,0,6,708,0
109,30,361,139,4,2,366,1,0,903,0,3,906,0
110,17,192,58,1,0,152,0,0,420,0,0,420,0
111,19,124,67,1,3,136,0,2,352,0,1,353,0
112,37,206,110,4,3,301,0,0,661,0,3,664,0
113,24,249,132,1,1,210,0,3,620,0,3,623,0
114,31,266,111,1,1,245,1,0,656,0,3,659,0
115,35,307,151,0,2,296,1,1,793,0,8,801,0
116,50,262,130,2,2,257,1,0,704,0,7,711,0
117,20,161,96,0,1,175,1,2,456,0,3,459,0
118,17,196,78,2,2,200,0,3,498,0,0,498,0
119,44,245,158,6,2,275,2,0,732,0,6,738,0
120,31,307,134,2,1,339,1,0,815,0,5,820,0
121,37,313,85,1,0,260,1,0,697,0,6,703,0
122,28,478,18,2,0,187,1,4,718,0,6,724,0
123,12,507,4,1,0,104,0,0,628,0,0,628,0
124,8,484,4,0,1,113,1,2,613,0,3,616,0
125,21,584,6,0,0,139,1,1,752,0,4,756,0
126,23,229,67,4,0,191,0,5,519,0,1,520,0
127,35,281,72,2,0,228,3,1,622,0,5,627,0
128,28,323,116,3,0,335,0,0,805,0,4,809,0
129,19,207,142,1,2,234,0,2,607,0,6,613,0
130,17,138,117,2,0,181,1,2,458,0,1,459,0
131,39,258,180,3,2,234,1,1,718,0,6,724,0
132,22,181,99,0,1,152,1,0,456,0,6,462,0
133,14,147,67,0,0,106,0,0,334,0,5,339,0
134,49,253,155,0,3,332,1,0,793,0,4,797,0
135,33,302,134,0,0,244,2,4,719,0,6,725,0
136,27,283,95,1,0,291,1,1,699,0,1,700,0
137,40,190,123,2,4,234,0,1,594,0,1,595,0
138,30,207,80,0,0,160,2,0,479,0,4,483,0
139,30,243,81,0,2,277,1,0,634,0,1,635,0
140,26,212,112,1,1,235,1,0,588,0,2,590,0
141,24,232,133,1,1,243,3,4,641,0,4,645,0
142,29,295,108,1,0,279,0,0,712,0,5,717,0
143,55,270,128,4,7,440,2,4,910,0,4,914,0
144,12,166,75,0,0,212,1,0,466,0,2,468,0
145,28,143,82,3,0,187,0,1,444,0,2,446,0
146,16,247,79,2,0,329,1,1,675,0,2,677,0
147,20,179,103,0,3,189,0,0,494,0,4,498,0
148,28,244,100,0,1,268,0,3,644,0,1,645,0
149,25,307,79,3,1,380,2,3,800,0,1,801,0
150,18,352,105,1,0,266,2,1,745,0,2,747,0
151,23,298,64,1,1,219,0,1,607,0,1,608,0
152,23,199,65,1,1,248,1,3,541,0,4,545,0
153,13,243,122,1,0,145,0,0,524,0,3,527,0
154,22,439,53,2,0,179,2,1,698,0,4,702,0
155,18,189,92,2,2,257,1,4,565,0,2,567,0
156,26,206,61,0,1,379,2,1,676,0,0,676,0
157,29,362,148,3,1,317,0,0,860,0,1,861,0
158,28,229,105,1,2,293,2,2,662,0,1,663,0
159,23,242,96,3,1,231,2,1,599,0,3,602,0
160,24,362,71,2,1,310,0,4,774,0,8,782,0
161,18,126,46,1,0,157,0,1,349,0,1,350,0
162,27,184,82,1,2,179,0,1,476,0,4,480,0
163,30,377,101,10,1,351,1,1,872,0,1,873,0
164,36,277,123,5,3,447,3,1,895,0,0,895,0
165,29,292,115,7,0,382,0,1,826,0,3,829,0
166,50,236,101,2,4,328,1,1,723,0,0,723,0
167,19,134,60,1,0,114,1,0,329,0,1,330,0
168,28,156,70,1,2,225,1,1,484,0,5,489,0
169,22,144,106,0,0,171,0,0,443,0,5,448,0
170,30,199,96,0,3,348,0,1,677,0,1,678,0
171,62,267,160,0,0,354,0,0,843,0,3,846,0
172,36,317,78,2,0,365,0,2,800,0,1,801,0
173,17,242,130,1,4,293,1,1,689,0,0,689,0
174,39,261,166,5,0,245,2,1,719,0,1,720,0
175,39,214,165,0,1,185,0,5,609,0,1,610,0
176,27,277,147,1,5,274,1,4,736,0,3,739,0
177,26,310,96,0,0,136,0,0,568,0,3,571,0
178,36,204,165,4,0,175,1,2,587,0,2,589,0
179,21,285,143,3,0,151,0,2,605,0,1,606,0
180,17,180,224,7,2,182,2,2,616,0,1,617,0
181,19,273,92,0,0,149,1,2,536,0,0,536,0
182,34,258,173,3,1,236,1,2,708,0,2,710,0
183,42,224,197,4,1,242,2,1,713,0,3,716,0
184,66,241,105,1,2,202,1,2,620,0,1,621,0
185,28,195,66,1,0,133,0,0,423,0,0,423,0
186,30,309,63,1,1,207,0,2,613,0,0,613,0
187,31,518,94,1,2,313,5,2,966,0,6,972,0
188,36,392,105,6,0,403,4,1,947,0,4,951,0
189,56,382,119,0,3,367,0,4,931,0,3,934,0
190,27,253,118,1,1,288,0,1,689,0,3,692,0
191,44,323,100,9,4,380,2,7,869,0,1,870,0
192,43,313,110,3,1,305,1,4,780,0,4,784,0
193,8,416,6,1,0,66,0,1,498,0,2,500,0
194,12,270,2,0,0,53,0,1,338,0,4,342,0
195,13,429,28,5,1,185,1,3,665,0,0,665,1
196,22,300,22,0,0,149,0,2,495,0,0,495,0
197,17,420,15,0,0,98,1,2,553,0,0,553,0
198,12,549,16,0,0,145,0,4,726,0,2,728,0
199,38,405,79,3,1,315,0,2,843,0,2,845,0
200,22,164,107,2,2,269,1,0,567,0,4,571,0
201,40,296,65,0,1,240,3,2,647,0,1,648,0
202,40,185,131,1,4,271,1,2,635,0,2,637,0
203,96,234,104,3,2,262,3,2,706,0,3,709,0
204,43,299,127,1,2,326,0,0,798,0,1,799,0
205,28,232,35,1,1,161,1,1,460,0,1,461,0
206,31,215,137,0,1,263,0,3,650,0,3,653,0
207,29,254,157,1,1,369,1,0,812,0,1,813,0
208,38,346,122,1,1,343,0,3,854,0,3,857,0
209,39,292,113,1,2,266,3,3,719,0,5,724,0
210,29,357,92,3,3,430,1,5,920,0,2,922,0
211,30,287,107,1,1,226,2,0,654,0,1,655,0
212,19,220,67,0,0,198,0,1,505,0,2,507,0
213,26,422,71,0,0,255,2,2,778,0,1,779,0
214,28,349,125,1,4,328,2,2,839,0,4,843,0
215,41,193,138,0,2,289,1,3,667,0,3,670,0
216,39,338,133,1,1,303,1,5,821,0,3,824,0
217,35,182,77,2,1,210,3,0,510,0,5,515,0
218,39,182,99,1,0,198,1,0,520,0,3,523,0
219,30,238,171,2,0,239,1,0,681,0,2,683,0
220,12,228,131,0,2,273,1,2,649,0,1,650,0
221,42,223,172,1,0,235,1,3,677,0,2,679,0
222,23,278,151,1,1,296,2,2,754,0,4,758,0
223,32,134,61,1,0,209,0,0,437,0,3,440,0
224,33,168,107,2,3,138,0,4,455,0,2,457,0
225,51,241,145,4,3,274,2,2,722,0,1,723,0
226,87,321,125,0,5,325,1,0,864,0,3,867,0
227,28,256,80,4,1,216,1,1,587,0,4,591,0
228,39,285,158,3,16,311,0,6,818,0,2,820,0
229,22,177,143,3,1,198,2,2,548,0,3,551,0
230,30,335,207,0,2,226,1,2,803,0,1,804,0
231,46,287,132,1,2,236,0,0,704,0,2,706,0
232,55,252,95,2,0,249,0,1,654,0,2,656,0
233,46,388,98,1,1,373,2,2,911,0,5,916,0
234,45,306,165,1,3,339,3,1,863,0,2,865,0
235,19,273,175,0,0,242,1,2,712,0,0,712,0
236,25,219,165,1,2,231,0,0,643,0,0,643,0
237,28,146,222,2,0,224,4,2,628,0,0,628,0
238,11,275,135,0,1,239,3,1,665,0,1,666,0
239,28,200,130,0,1,230,1,1,591,0,5,596,0
240,21,196,98,3,2,221,0,3,544,0,3,547,0
241,35,194,234,2,0,243,1,2,711,0,4,715,0
242,15,164,130,0,1,200,1,1,512,0,1,513,0
243,38,235,90,0,1,196,0,1,561,0,0,561,0
244,29,290,134,3,1,225,1,0,683,0,3,686,0
245,29,273,92,0,3,191,0,0,588,0,3,591,0
246,46,249,145,1,1,383,2,5,832,0,3,835,0
247,49,306,65,3,2,215,6,2,648,0,2,650,0
248,30,291,77,0,8,250,0,0,656,0,1,657,0
249,16,287,153,3,4,261,1,4,729,0,3,732,0
250,24,257,167,1,2,225,1,6,683,0,1,684,0
251,40,476,82,3,1,365,2,3,972,0,1,973,0
252,34,257,202,1,3,266,1,1,765,0,1,766,0
253,41,287,174,3,6,339,2,6,858,0,3,861,0
254,32,244,59,2,3,299,1,5,645,0,4,649,0
255,18,234,78,0,6,188,0,0,524,0,1,525,0
256,21,221,40,0,1,163,1,1,448,0,1,449,0
257,13,413,18,0,0,173,0,0,617,0,7,624,0
258,26,240,54,0,0,166,2,1,489,0,2,491,0
259,42,204,77,1,1,338,1,3,667,0,4,671,0
260,12,140,77,0,1,168,1,0,399,0,2,401,0
261,25,301,37,0,2,144,1,1,511,0,0,511,0
