Polling Station No,ANIS FATHIMA,DORAI. SHANMUGA PRABU,AZARUDEEN UDUMAN ALI,C. CHANDRASEKARAN,B. DHAMODHARAN,K. MASILAMANI,A.M. SHAHJAHAN,A. ANIS FATHIMA ABDUL RAHIM,V. KULANDHAIVELU,A S THANGARASU,V. THIYAGARAJAN,S. NATARAJAN,K. RAJENDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
293,35,219,242,3,1,1,289,3,0,1,2,0,1,797,0,1,798,0
294,40,220,184,2,0,0,206,1,0,0,0,1,2,656,0,3,659,0
295,21,152,132,1,0,2,152,0,1,1,0,1,0,463,0,1,464,0
296,41,289,339,3,1,0,176,2,0,1,1,2,0,855,0,2,857,0
297,12,246,312,1,0,2,284,2,2,1,0,1,1,864,0,2,866,0
298,27,193,306,2,0,1,222,0,0,0,1,1,0,753,0,3,756,0
299,45,303,290,2,2,10,262,3,0,0,0,1,1,919,0,1,920,0
300,35,167,180,0,1,2,126,0,0,1,1,1,0,514,0,1,515,0
301,21,302,156,2,0,1,105,1,0,0,1,1,0,590,0,3,593,0
302,28,160,305,2,0,5,204,2,0,0,1,1,1,709,0,1,710,0
303,40,298,183,0,0,4,237,1,0,0,0,1,0,764,0,2,766,0
304,36,159,227,0,0,0,209,1,1,0,1,1,0,635,0,2,637,0
305,22,194,169,2,0,2,131,1,0,0,0,1,0,522,0,3,525,0
306,23,124,136,0,0,0,133,1,0,1,0,0,0,418,0,5,423,0
307,39,153,145,0,0,0,199,1,0,0,1,1,0,539,0,6,545,0
308,37,237,241,1,0,1,160,2,2,0,1,0,0,682,0,6,688,0
309,41,193,277,2,3,0,254,3,0,1,1,0,0,775,0,6,781,0
310,21,129,304,2,1,7,216,0,0,0,0,1,0,681,0,2,683,0
311,27,144,161,1,0,0,140,0,0,1,0,1,0,475,0,0,475,0
312,33,170,318,0,0,2,303,4,2,0,2,0,1,835,0,1,836,0
313,15,155,191,1,1,1,111,0,0,1,2,1,0,479,0,2,481,0
314,35,205,285,3,0,2,248,3,1,1,0,3,0,786,0,0,786,0
315,46,143,301,2,0,1,240,1,1,0,4,1,1,741,0,3,744,0
