Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
208,367,30,198,3,1,170,0,0,1,1,0,0,0,0,771,0,1,772,0
209,256,33,192,1,1,264,10,0,0,1,1,1,2,1,763,0,2,765,0
210,143,16,289,0,1,138,0,0,0,0,0,0,0,0,587,0,1,588,0
211,417,28,191,1,0,247,3,1,0,0,0,1,0,0,889,0,3,892,0
212,337,15,217,1,0,178,0,0,1,0,0,0,0,2,751,0,2,753,0
213,145,18,109,2,0,112,11,0,0,0,0,0,0,0,397,0,0,397,0
214,170,27,120,1,0,82,26,0,0,1,0,0,0,0,427,0,0,427,0
215,316,24,163,2,2,194,1,0,0,1,0,1,3,0,707,0,7,714,0
216,204,23,258,0,0,188,3,1,0,1,0,0,3,1,682,0,2,684,0
217,213,42,94,0,0,79,2,0,0,0,0,0,0,0,430,0,1,431,0
218,358,25,264,1,2,217,1,0,0,0,0,1,0,0,869,0,5,874,0
219,202,9,115,0,0,103,8,0,2,1,0,0,0,1,441,0,1,442,0
220,260,27,150,1,0,135,3,0,1,0,0,0,1,2,580,0,3,583,0
221,332,16,151,1,0,105,0,0,0,0,3,1,0,0,609,0,2,611,0
222,305,34,295,1,0,182,14,0,0,0,0,1,1,1,834,0,4,838,0
223,322,15,119,0,0,128,0,1,0,0,0,1,2,0,588,0,3,591,0
224,264,22,164,0,0,140,3,0,0,0,0,0,2,2,597,0,1,598,0
225,5338,43,273,0,1,210,1,1,0,0,0,0,4,2,873,0,5,878,0
226,172,17,98,0,1,116,1,0,0,1,0,1,0,1,408,0,0,408,0
227,224,21,77,0,0,144,1,0,1,0,0,0,0,0,468,0,3,471,0
228,346,30,190,2,0,209,3,0,1,1,0,0,2,0,784,0,3,787,0
229,188,12,122,2,0,181,4,0,0,0,1,2,2,0,514,0,0,514,0
230,161,13,80,0,0,90,1,1,0,1,0,0,0,0,347,0,0,347,0
231,381,52,180,2,1,255,14,0,1,1,1,2,0,1,891,0,5,896,0
232,267,36,151,0,1,171,7,0,0,0,0,0,0,2,635,0,1,636,0
233,186,14,193,0,0,162,3,1,1,1,1,0,3,0,565,0,2,567,0
234,392,24,206,2,0,257,5,0,0,0,2,0,2,0,890,0,1,891,0
235,372,20,261,2,1,160,5,0,0,0,0,0,0,0,821,0,0,821,0
236,148,25,137,2,0,95,4,0,0,1,0,0,0,1,413,0,1,414,0
237,274,41,283,1,2,271,0,0,0,0,0,1,1,0,874,0,4,878,0
238,366,22,183,0,1,182,0,1,0,1,1,1,1,1,760,0,3,763,0
239,68,8,132,0,2,63,0,0,1,0,0,0,1,1,276,0,0,276,0
240,409,24,283,0,1,197,6,0,0,0,0,1,1,2,924,0,4,928,0
241,287,20,164,0,1,281,0,1,0,0,1,1,2,1,759,0,7,766,0
242,395,32,178,1,0,238,1,0,0,0,1,0,0,1,847,0,4,851,0
243,378,38,131,0,1,202,6,0,0,0,1,0,0,0,757,0,2,759,0
244,291,27,182,0,0,258,3,0,1,0,0,1,0,1,764,0,2,766,0
245,361,26,195,0,0,292,4,0,0,0,0,0,0,0,878,0,6,884,0
246,388,24,171,1,1,248,45,0,1,0,0,1,2,0,882,0,4,886,0
247,279,22,228,0,1,358,2,0,0,1,1,0,0,1,893,0,1,894,0
248,213,25,206,0,0,139,0,0,0,0,0,1,0,0,584,0,2,586,0
249,247,25,140,1,0,135,1,0,0,1,0,0,1,1,552,0,2,554,0
250,251,25,210,1,0,197,0,0,0,0,0,0,1,0,685,0,1,686,0
251,171,17,221,0,2,103,0,0,0,0,0,0,0,1,515,0,1,516,0
252,103,8,593,2,0,112,0,0,1,1,1,0,0,0,821,0,3,824,0
253,466,16,195,0,1,187,4,0,0,0,1,0,0,0,870,0,2,872,0
254,223,11,79,0,0,73,0,1,0,1,0,0,0,0,388,0,1,389,0
255,175,16,118,0,0,109,0,0,0,0,0,0,0,1,419,0,2,421,0
256,292,12,183,2,0,122,3,0,1,0,0,1,0,2,618,0,4,622,0
257,176,13,142,0,1,113,0,0,0,1,1,0,2,0,449,0,2,451,0
258,173,11,140,0,1,102,0,0,1,0,0,0,1,2,431,0,3,434,0
259,486,32,161,1,1,166,0,0,0,0,0,1,0,1,849,0,1,850,0
260,411,19,132,2,0,148,24,0,1,0,0,0,1,0,738,0,3,741,0
261,406,35,223,1,0,191,5,1,0,0,0,0,0,0,862,0,4,866,0
262,192,19,155,1,0,122,1,0,0,0,1,0,1,0,492,0,2,494,0
