Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
119,304,23,272,1,0,153,3,0,1,1,0,1,3,1,763,0,4,767,0
120,259,12,156,1,0,132,0,0,0,0,0,0,0,1,561,0,3,564,0
121,275,38,143,1,0,117,2,0,0,0,0,0,0,0,576,0,0,576,0
122,540,29,152,2,1,193,1,0,0,0,0,1,1,1,921,0,7,928,0
123,359,29,126,0,0,113,0,0,0,0,0,0,0,0,627,0,4,631,0
124,261,13,146,0,1,116,1,0,0,0,0,0,0,0,538,0,6,544,0
125,403,41,284,2,4,228,0,0,0,0,0,0,3,1,966,0,6,972,0
126,217,25,141,0,1,100,5,0,0,0,0,0,0,0,489,0,2,491,0
127,301,21,119,0,0,71,0,0,0,0,0,0,0,2,514,0,2,516,0
128,602,31,207,1,0,179,1,0,0,1,1,1,0,0,1024,0,1,1025,0
129,296,20,135,0,0,129,0,0,0,0,0,2,0,0,582,0,0,582,0
130,242,11,111,2,0,120,0,0,0,0,0,1,0,0,487,0,3,490,0
131,261,28,175,0,0,148,1,1,0,0,0,0,1,0,615,0,1,616,0
132,117,11,263,0,0,115,0,0,1,0,0,0,0,0,507,0,6,513,0
133,338,23,98,0,0,72,0,0,1,1,0,1,0,0,534,0,0,534,0
134,243,18,119,0,0,108,0,0,0,0,0,2,0,0,490,0,0,490,0
135,3287,25,153,1,0,158,1,1,1,2,0,0,0,0,629,0,4,633,0
136,371,20,168,1,0,151,2,1,0,1,1,2,0,2,720,0,1,721,0
137,379,52,189,0,2,165,1,0,0,0,0,0,1,1,790,0,3,793,0
138,322,17,85,0,0,86,1,0,0,0,0,0,0,1,512,0,7,519,0
139,315,21,206,1,0,162,0,0,0,0,0,0,5,0,710,0,8,718,0
140,334,17,191,2,0,192,0,2,0,1,0,0,4,0,743,0,9,752,0
141,55,17,466,0,1,67,0,0,0,0,0,0,0,0,606,0,2,608,0
142,246,11,184,0,0,143,1,0,0,0,0,1,0,0,586,0,4,590,0
143,127,16,447,0,0,84,0,0,0,0,0,0,0,0,674,0,0,674,0
