Polling Station No,ILAYANAGULAN. K,NIVEDHA M MURUGAN,PAVUNRAJ. S,PRABAKARAN. V,PURATCHIDASAN. T,VIJAYALAIYAN. J,ANANDARAJ. D,INBARAJ. T,NOOR NISHA. M,MAYA VENKATESAN. M,MURUGAN. S,MUJIBUR RAHMAN. E.M.M,SHANGAMITHTHIRAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,26,455,292,0,3,220,1,0,1,13,0,1,0,1012,0,3,1015,0
2,12,233,317,0,0,111,0,0,0,0,0,0,1,674,0,2,676,0
3,25,204,351,1,1,151,0,1,0,0,0,0,4,738,0,3,741,0
4,6,113,219,2,2,101,0,0,0,1,0,1,2,447,0,1,448,0
5,22,183,228,3,0,187,0,0,0,15,0,1,1,640,0,4,644,0
6,19,203,196,2,0,115,0,0,1,4,0,0,0,540,0,2,542,0
7,8,338,214,0,3,176,0,0,0,20,0,2,2,763,0,4,767,0
8,18,219,299,1,0,104,0,1,1,0,0,0,1,644,0,4,648,0
9,32,219,291,2,0,157,0,0,0,4,0,1,0,706,0,3,709,0
10,17,281,295,1,4,223,1,1,1,2,0,3,2,831,0,3,834,0
11,26,217,242,0,0,127,1,0,0,0,0,1,0,614,0,3,617,0
12,38,226,299,1,1,142,0,0,0,14,0,0,2,723,0,4,727,0
13,44,300,283,0,0,205,0,0,1,2,0,0,2,837,0,1,838,0
14,11,152,215,1,1,215,0,1,0,2,0,0,1,599,0,1,600,0
15,15,155,221,3,0,140,1,0,0,1,0,1,1,538,0,2,540,0
16,18,153,296,1,1,227,2,1,0,12,0,0,0,711,0,2,713,0
17,18,150,242,2,0,112,0,0,0,1,0,1,0,526,0,0,526,0
18,15,114,184,0,1,73,0,0,0,2,0,0,4,393,0,0,393,0
19,17,290,189,1,2,133,0,1,0,7,0,1,1,642,0,0,642,0
20,11,177,202,3,0,92,0,0,0,1,0,1,0,487,0,0,487,0
21,13,128,223,1,0,115,1,0,0,3,0,1,0,485,0,1,486,0
22,19,144,273,0,0,117,1,1,0,0,0,0,1,556,0,2,558,0
23,18,319,345,3,1,206,0,0,2,3,0,1,2,900,0,3,903,0
24,9,123,272,4,0,98,0,0,0,1,1,0,0,508,0,1,509,0
25,21,277,369,2,0,163,0,0,0,1,0,0,2,835,0,3,838,0
26,17,358,287,6,4,292,1,2,1,4,0,3,2,977,0,1,978,0
27,14,269,173,0,0,138,0,0,0,0,0,1,0,595,0,2,597,0
28,23,174,225,0,1,147,0,2,0,1,0,0,1,574,0,4,578,0
29,17,156,249,1,0,127,0,0,0,1,1,0,9,561,0,2,563,0
30,18,116,221,1,0,110,0,1,0,2,0,0,2,471,0,0,471,0
31,20,197,358,0,1,126,0,1,0,2,0,1,4,710,0,1,711,0
32,24,266,403,3,2,161,0,0,0,1,0,0,1,861,0,2,863,0
33,10,124,211,0,0,101,0,2,0,1,0,0,0,449,0,1,450,0
34,10,354,163,2,2,183,1,1,0,0,0,0,1,717,0,3,720,0
35,7,191,162,1,0,171,1,1,2,2,0,2,2,542,0,0,542,0
36,15,154,257,0,0,85,0,0,1,1,1,2,0,516,0,1,517,0
37,16,229,332,2,0,155,0,0,1,0,0,0,1,736,0,1,737,0
38,24,374,344,1,6,172,0,0,1,13,0,1,3,939,0,1,940,0
39,20,261,257,1,1,172,0,0,0,5,0,2,2,721,0,1,722,0
40,16,124,304,2,2,220,1,2,1,2,0,1,0,675,0,1,676,0
41,25,348,169,3,2,274,0,1,0,7,0,2,3,834,0,6,840,0
42,22,116,106,0,1,342,0,0,1,0,0,1,1,590,0,1,591,0
43,17,131,121,0,0,255,2,2,0,0,0,0,1,529,0,0,529,0
44,12,108,118,0,5,263,1,1,1,0,0,3,1,513,0,2,515,0
45,49,156,180,1,2,417,2,0,1,1,0,4,1,814,0,2,816,1
46,19,148,160,0,2,176,0,0,1,1,0,0,0,507,0,1,508,1
47,27,141,143,0,0,229,0,0,0,1,0,0,1,542,0,2,544,0
48,24,150,323,0,0,178,0,1,1,1,0,2,0,680,0,1,681,0
49,34,257,188,3,1,231,0,3,0,1,0,1,1,720,0,6,726,0
50,15,149,254,1,0,151,0,1,0,1,0,2,0,574,0,3,577,0
51,34,275,280,2,1,210,0,2,0,1,0,0,1,806,0,1,807,0
52,13,232,179,1,1,146,0,0,0,1,0,1,0,574,0,1,575,0
53,18,211,202,0,0,157,0,0,0,0,0,0,0,588,0,1,589,0
54,12,226,197,1,0,118,0,1,0,1,0,0,0,556,0,1,557,0
55,14,173,280,2,0,122,0,0,0,0,0,1,2,594,0,1,595,0
56,16,153,280,2,1,107,0,0,0,0,0,0,2,561,0,3,564,0
57,28,202,277,5,2,375,2,3,0,3,1,3,3,904,0,3,907,0
58,33,157,243,2,0,367,0,0,1,2,1,2,0,808,0,5,813,0
59,30,165,289,2,2,462,2,0,0,0,0,0,0,952,0,2,954,0
60,5,185,200,2,3,112,0,0,0,12,0,0,0,519,0,1,520,0
61,14,157,273,0,0,96,0,0,1,0,1,1,0,543,0,2,545,0
62,13,129,232,1,2,87,0,0,0,13,0,1,1,479,0,1,480,0
63,7,160,252,1,0,123,1,0,0,15,1,0,1,561,0,2,563,0
64,20,219,118,2,1,292,0,0,1,2,1,0,0,656,0,2,658,0
65,16,156,333,3,1,437,0,1,0,0,3,4,2,956,0,2,958,0
66,12,189,300,0,0,119,0,0,0,0,0,2,1,623,0,3,626,0
67,12,280,225,0,0,181,0,0,0,5,0,0,2,705,0,2,707,0
68,15,177,294,1,0,137,0,0,0,4,0,0,0,628,0,2,630,0
69,26,227,442,3,0,133,0,0,0,0,0,0,2,833,0,1,834,0
70,14,241,337,2,0,122,0,1,0,2,0,3,3,725,0,0,725,0
71,17,247,231,0,0,110,1,0,0,0,0,0,0,606,0,2,608,0
72,11,256,190,2,0,76,0,0,1,0,0,1,1,538,0,1,539,0
73,22,281,220,2,0,178,1,0,0,0,0,0,4,708,0,2,710,0
74,33,243,303,1,0,159,2,0,0,0,1,3,0,745,0,2,747,0
75,5,183,172,0,0,105,0,0,0,0,0,1,0,466,0,0,466,0
76,6,248,199,1,0,77,0,0,0,1,0,0,1,533,0,0,533,0
77,21,211,241,2,1,211,0,0,0,1,0,1,0,689,0,2,691,0
78,15,199,250,0,1,216,0,0,0,0,0,0,0,681,0,2,683,0
79,32,275,202,0,1,266,0,0,0,1,0,1,2,780,0,4,784,0
80,15,181,237,2,0,166,0,1,0,2,0,0,1,605,0,0,605,0
81,29,268,265,0,0,244,0,1,0,11,0,0,0,818,0,2,820,0
82,19,161,182,0,1,177,1,0,0,12,1,0,0,554,0,1,555,0
83,12,167,163,2,0,218,0,1,1,14,0,0,1,579,0,0,579,0
84,25,166,234,0,0,209,1,0,0,32,0,1,1,669,0,1,670,0
85,19,244,174,1,0,155,0,1,0,23,0,0,1,618,0,4,622,0
86,13,335,104,1,0,167,1,4,0,32,0,0,3,660,0,0,660,0
87,24,271,142,0,1,211,0,3,2,21,0,0,1,676,0,0,676,0
88,11,215,255,0,0,119,0,0,1,2,0,0,0,603,0,1,604,0
89,33,305,206,1,0,154,0,0,0,8,0,1,3,711,0,4,715,0
90,27,236,223,4,1,136,0,1,0,4,1,3,2,638,0,3,641,0
91,7,144,158,0,1,60,0,0,0,1,0,1,1,373,0,0,373,0
92,11,360,134,1,1,171,0,1,1,6,1,0,1,688,0,2,690,0
93,30,165,167,0,0,175,0,2,2,7,0,0,3,551,0,1,552,0
94,9,421,112,3,1,118,0,0,1,1,0,0,2,668,0,0,668,0
95,20,199,161,1,1,205,0,1,1,1,1,2,1,594,0,2,596,0
96,23,387,157,4,0,156,0,1,1,5,1,0,0,735,0,0,735,0
97,31,181,297,0,1,241,0,1,0,7,2,2,1,764,0,2,766,0
98,31,157,234,0,1,178,0,2,1,5,0,0,1,610,0,3,613,0
99,21,247,134,0,0,116,0,1,0,1,0,0,5,525,0,0,525,0
100,21,162,155,0,1,151,1,2,0,2,0,1,0,496,0,1,497,0
101,21,262,192,0,2,222,1,0,0,3,0,0,1,704,0,2,706,0
102,22,259,200,0,2,191,0,1,0,4,0,0,2,681,0,3,684,0
103,7,169,211,3,1,169,2,0,1,3,0,0,2,568,0,0,568,0
104,29,173,151,2,1,205,0,1,0,0,0,0,0,562,0,2,564,0
105,12,149,167,0,1,159,0,0,0,3,0,1,1,493,0,0,493,0
106,27,168,261,0,1,237,1,2,2,5,0,2,1,707,0,1,708,0
107,13,149,202,0,3,237,0,0,5,1,0,2,3,615,0,1,616,0
108,14,248,198,0,1,170,0,1,0,1,0,1,3,637,0,0,637,0
109,19,322,284,1,1,265,1,2,0,4,0,0,1,900,0,4,904,0
110,24,167,201,2,1,444,1,2,0,0,0,1,3,846,0,1,847,0
111,21,155,336,4,1,390,0,1,0,1,1,4,1,915,0,2,917,0
112,25,110,183,0,1,258,0,1,1,1,1,0,0,581,0,1,582,0
113,15,133,216,1,2,203,0,0,0,0,0,0,0,570,0,0,570,0
114,14,176,237,2,0,128,0,0,1,1,0,0,0,559,0,3,562,0
115,12,173,149,1,1,186,1,0,0,0,0,2,0,525,0,0,525,0
116,16,185,223,1,2,148,0,1,0,0,0,0,3,579,0,2,581,0
117,9,140,338,0,1,144,1,0,0,0,0,0,1,634,0,1,635,0
118,34,318,311,0,1,244,0,0,0,2,0,1,4,915,0,0,915,0
119,17,197,234,10,1,205,0,1,0,0,0,2,1,668,0,0,668,0
120,27,242,200,2,2,147,1,0,0,1,0,0,0,622,0,2,624,0
121,11,145,338,1,1,128,1,0,0,0,0,2,1,628,0,0,628,0
122,34,222,204,1,2,134,0,1,1,5,0,2,6,612,0,1,613,0
123,35,171,259,3,2,118,1,0,0,6,1,2,5,603,0,1,604,0
124,44,303,341,2,0,220,0,0,2,18,2,4,1,937,0,0,937,0
125,12,232,341,0,1,179,1,2,0,18,0,1,3,790,0,5,795,0
126,20,211,202,1,0,160,0,0,0,4,0,3,1,602,0,1,603,0
127,23,209,235,0,0,210,1,0,0,20,0,1,1,700,0,0,700,0
128,32,334,273,4,0,161,1,0,0,2,0,2,1,810,0,3,813,0
129,16,349,176,2,1,225,1,2,0,0,0,6,2,780,0,3,783,1
130,7,529,56,1,1,109,0,0,0,1,0,0,0,704,0,1,705,0
131,1,287,33,0,0,54,0,0,0,0,0,0,0,375,0,1,376,0
132,6,362,35,0,0,42,0,1,0,0,0,1,0,447,0,2,449,0
133,18,431,75,1,0,114,0,1,1,1,0,0,3,645,0,0,645,0
134,13,283,297,1,1,144,0,4,1,6,1,2,1,754,0,3,757,0
135,7,199,234,0,1,124,0,1,0,1,0,0,1,568,0,2,570,0
136,31,443,351,1,1,141,0,2,0,1,0,0,3,974,0,1,975,0
137,29,267,336,4,0,286,3,3,0,3,0,2,0,933,0,5,938,0
138,20,192,265,1,3,165,0,2,2,1,1,1,0,653,0,2,655,0
139,12,179,234,0,1,148,0,0,0,0,0,0,0,574,0,3,577,0
140,13,265,170,0,0,118,1,0,0,0,0,1,1,569,0,1,570,0
141,22,211,245,0,1,76,0,0,0,0,0,0,1,556,0,1,557,0
142,10,456,16,1,1,42,0,0,0,0,0,0,1,527,0,1,528,0
143,17,367,17,0,0,47,0,1,0,0,0,0,0,449,0,2,451,0
144,33,381,140,0,1,177,2,2,0,1,0,0,0,737,0,1,738,0
145,19,403,229,1,1,133,0,0,0,2,1,1,0,790,0,2,792,0
146,24,354,32,0,1,70,0,0,0,0,0,2,0,483,0,0,483,0
147,29,282,110,0,1,83,0,0,0,0,0,1,3,509,0,2,511,0
148,13,186,157,1,0,104,0,0,0,0,0,0,0,461,0,3,464,0
149,12,190,133,0,0,160,0,0,0,0,0,1,0,496,0,2,498,0
150,19,123,203,1,1,193,1,2,0,0,0,0,1,544,0,1,545,0
151,24,281,164,0,1,200,1,0,0,2,0,1,3,677,0,0,677,0
152,21,233,211,1,0,121,1,1,0,1,1,1,0,592,0,3,595,0
153,17,408,110,1,0,173,0,0,0,0,1,3,1,714,0,3,717,0
154,5,272,7,0,0,41,0,1,1,1,0,1,1,330,0,0,330,0
155,3,387,28,0,0,68,1,0,0,0,1,1,0,489,0,1,490,0
156,20,176,189,0,0,142,0,0,0,0,0,0,0,527,0,3,530,0
157,17,235,85,0,1,158,0,2,0,0,0,0,0,498,0,3,501,0
158,12,427,167,1,0,180,0,0,2,0,1,1,0,791,0,3,794,0
159,28,206,280,0,2,149,0,0,0,1,0,0,1,667,0,5,672,0
160,28,307,176,2,2,141,1,1,1,1,1,1,2,664,0,0,664,0
161,13,171,121,1,2,98,0,1,0,1,0,1,0,409,0,5,414,0
162,18,175,59,1,0,118,0,0,0,0,0,2,0,373,0,0,373,0
163,10,225,89,0,0,100,0,0,0,0,1,0,3,428,0,1,429,0
164,38,277,244,0,1,164,0,0,0,0,0,1,0,725,0,2,727,0
165,16,176,305,2,0,112,0,0,0,0,0,1,2,614,0,1,615,0
166,34,149,164,0,0,121,0,0,0,3,0,0,0,471,0,1,472,0
167,23,309,164,0,1,116,0,0,0,2,0,0,1,616,0,5,621,0
168,28,255,181,3,2,166,0,2,0,1,0,2,3,643,0,2,645,0
169,26,242,209,0,0,136,0,0,0,0,1,0,0,614,0,2,616,0
170,29,282,291,2,0,193,1,0,0,1,0,0,1,800,0,1,801,0
171,28,316,245,0,1,160,1,0,0,0,1,1,0,753,0,1,754,0
172,20,313,235,2,0,142,1,0,0,2,0,0,2,717,0,6,723,0
173,17,342,156,1,1,163,0,1,1,2,0,1,2,687,0,1,688,0
174,14,315,164,0,0,155,0,1,0,1,0,1,1,652,0,2,654,0
175,26,266,227,1,1,152,0,0,0,2,1,0,1,677,0,1,678,0
176,34,291,241,0,1,295,0,1,0,0,0,1,0,864,0,4,868,0
177,12,82,99,1,0,90,0,1,0,0,0,0,0,285,0,1,286,0
178,26,208,152,1,0,229,0,0,0,0,1,1,1,619,0,2,621,0
179,25,322,292,2,1,213,0,4,1,0,0,2,1,863,0,3,866,0
180,36,307,254,1,3,328,2,2,1,0,0,2,2,938,0,5,943,0
181,13,213,254,2,2,189,0,1,0,0,0,0,1,675,0,2,677,0
182,17,368,156,1,1,140,1,0,0,0,0,3,1,688,0,4,692,0
183,36,372,199,4,0,246,0,0,0,2,1,1,0,861,0,0,861,0
184,11,440,84,1,0,126,0,0,0,0,1,1,2,666,0,0,666,0
185,7,296,67,1,0,112,0,0,1,0,0,0,0,484,0,2,486,0
186,14,194,252,3,3,156,0,0,0,0,0,1,1,624,0,4,628,0
187,34,106,169,1,0,158,1,1,0,0,0,3,2,475,0,1,476,0
188,17,239,183,2,1,116,0,0,0,0,1,1,2,562,0,1,563,0
189,14,230,152,0,0,145,0,0,1,0,0,0,1,543,0,0,543,0
190,18,205,268,2,0,155,0,0,1,0,0,1,0,650,0,3,653,0
191,14,211,268,0,1,155,0,0,1,1,0,0,2,653,0,1,654,0
192,22,304,278,2,0,158,1,0,0,0,0,0,0,765,0,2,767,0
193,26,297,194,3,0,116,0,0,0,1,1,3,3,644,0,3,647,0
194,7,146,148,0,0,87,0,0,0,0,0,0,0,388,0,0,388,0
195,17,245,203,0,0,153,0,1,0,1,0,2,1,623,0,2,625,0
196,27,239,148,1,1,119,0,0,0,0,0,2,0,537,0,2,539,0
197,16,239,187,1,2,163,1,0,0,0,0,0,3,612,0,1,613,0
198,25,207,304,0,1,237,1,0,0,1,0,1,0,777,0,0,777,0
199,10,404,54,1,0,87,0,0,0,0,0,0,0,556,0,1,557,0
200,19,268,164,3,0,191,0,0,0,0,0,1,1,647,0,3,650,0
201,9,360,111,0,0,86,0,0,0,0,0,0,0,566,0,2,568,0
202,7,343,47,0,0,73,0,0,1,4,0,1,2,478,0,0,478,0
203,24,220,218,2,1,183,0,1,0,1,0,0,2,652,0,2,654,0
204,39,166,153,0,1,187,0,0,0,2,0,0,0,548,0,0,548,0
205,15,254,201,3,0,141,0,0,0,2,0,0,2,618,0,1,619,0
206,15,199,192,1,0,208,1,1,0,0,2,0,0,619,0,2,621,0
207,19,211,167,0,0,129,0,0,0,1,0,3,0,530,0,1,531,0
208,17,185,133,0,0,101,0,1,1,1,0,0,2,441,0,4,445,0
209,18,175,229,0,0,87,0,1,0,0,1,2,0,513,0,1,514,1
210,12,173,234,1,1,97,0,2,0,1,0,0,0,521,0,0,521,0
211,33,209,251,3,0,151,0,0,0,1,0,1,2,651,0,2,653,0
212,11,100,144,1,0,98,0,0,0,0,0,0,1,355,0,1,356,0
213,27,201,120,1,0,224,0,0,1,2,0,0,1,577,0,0,577,0
214,23,168,198,2,0,147,2,1,1,0,0,0,3,545,0,2,547,0
215,23,214,157,0,0,107,0,0,0,0,0,1,0,502,0,2,504,0
216,25,159,238,1,1,93,0,0,0,0,0,0,1,518,0,0,518,0
217,27,258,158,2,0,210,1,0,1,0,0,0,4,661,0,2,663,0
218,14,172,168,0,0,177,0,1,0,1,0,1,0,534,0,0,534,0
219,15,171,146,2,1,116,0,0,0,7,0,1,0,459,0,1,460,0
220,20,288,177,1,0,135,0,0,1,0,0,3,0,625,0,1,626,0
221,31,326,268,0,2,220,1,0,0,0,1,1,0,850,0,1,851,0
222,12,300,190,0,1,161,0,0,0,4,0,5,0,673,0,0,673,0
223,19,266,307,1,2,161,1,2,0,3,0,0,1,763,0,2,765,0
224,18,242,234,0,1,148,1,0,0,0,0,1,3,648,0,2,650,0
225,14,229,197,1,1,85,0,0,1,1,0,1,0,530,0,1,531,0
226,30,347,271,4,1,253,0,0,0,1,2,1,1,911,0,2,913,0
227,11,208,210,0,0,119,0,0,0,0,0,0,2,550,0,0,550,0
228,20,311,221,3,5,156,0,0,0,0,0,4,3,723,0,0,723,0
229,12,308,343,0,0,196,1,0,0,0,0,0,1,861,0,0,861,0
230,21,256,201,2,0,153,1,0,1,0,0,0,3,638,0,2,640,0
231,17,231,219,0,0,118,0,0,0,1,1,1,1,589,0,0,589,0
232,20,242,315,1,0,163,0,2,0,0,0,0,2,745,0,2,747,0
233,27,313,420,1,0,166,1,0,0,0,1,1,0,930,0,4,934,0
234,28,331,377,0,2,173,0,0,2,0,0,0,2,915,0,9,924,0
235,24,293,269,0,0,216,0,2,0,0,0,1,3,808,0,4,812,0
236,10,225,129,0,0,134,0,1,0,0,0,1,1,501,0,2,503,0
237,21,369,313,3,0,154,1,0,0,0,3,3,4,871,0,1,872,0
238,2,108,113,0,0,57,0,0,0,0,0,1,1,282,0,0,282,0
239,16,280,216,0,0,175,0,0,0,1,0,1,3,692,0,0,692,0
240,13,391,73,0,0,122,0,1,0,0,0,0,1,601,0,4,605,0
241,15,224,207,0,2,154,0,0,0,1,0,0,3,606,0,0,606,0
242,23,207,149,0,1,169,0,0,0,0,0,1,0,550,0,1,551,0
243,25,225,109,0,0,112,0,0,1,1,1,1,1,476,0,1,477,0
244,14,195,77,0,1,118,0,0,0,1,0,0,1,407,0,1,408,0
245,18,166,239,1,0,160,1,0,0,2,0,1,2,590,0,2,592,0
246,17,248,189,0,2,104,0,0,0,1,0,0,1,562,0,0,562,0
247,25,281,278,1,0,226,0,0,0,6,0,1,2,820,0,2,822,0
248,19,152,173,0,0,98,0,0,0,0,0,0,1,443,0,0,443,0
249,17,207,179,0,1,105,0,0,2,4,0,1,0,516,0,0,516,0
250,40,277,324,1,2,134,0,1,0,0,0,1,1,781,0,1,782,0
251,11,132,173,1,0,100,0,1,0,1,0,0,4,423,0,3,426,0
252,23,223,280,1,4,230,0,0,0,1,0,2,1,765,0,4,769,0
253,38,287,275,1,0,205,0,2,0,0,0,1,2,811,0,0,811,0
254,37,243,236,0,0,168,1,0,0,0,0,1,1,687,0,1,688,0
255,17,266,292,1,1,170,0,1,0,1,0,4,4,757,0,4,761,0
256,14,223,274,1,3,142,0,1,0,0,1,0,0,659,0,0,659,0
257,16,184,279,1,2,206,2,0,1,2,0,3,4,700,0,4,704,0
258,8,162,212,0,0,106,0,0,0,0,0,1,0,489,0,0,489,0
259,8,194,202,1,0,140,1,1,1,2,1,2,1,554,0,2,556,0
260,15,305,316,0,1,156,0,0,0,0,0,1,1,795,0,0,795,0
261,2,185,180,0,1,104,0,0,0,1,0,0,0,473,0,0,473,0
262,16,226,245,0,0,122,0,0,0,5,0,1,0,615,0,2,617,0
263,8,316,353,2,0,221,1,0,0,2,0,1,1,905,0,3,908,0
264,7,224,222,0,2,189,0,1,0,4,0,0,5,654,0,0,654,0
265,22,328,240,1,0,209,0,2,1,12,0,2,5,822,0,0,822,0
266,11,176,197,0,1,141,0,0,0,4,0,0,0,530,0,2,532,0
267,15,193,216,1,2,176,0,0,0,2,1,0,0,606,0,2,608,0
268,34,384,308,1,0,217,0,1,0,3,1,0,6,955,0,2,957,0
269,28,230,287,3,2,154,0,1,0,2,2,1,1,711,0,4,715,0
270,29,255,179,0,0,143,2,1,0,0,1,1,1,612,0,4,616,0
271,12,186,226,1,0,129,0,0,0,0,0,1,0,555,0,2,557,0
272,14,322,291,5,2,180,0,1,0,2,0,1,3,821,0,3,824,0
273,15,185,297,0,0,119,2,1,0,1,0,0,0,620,0,1,621,0
274,17,242,240,2,1,170,1,2,0,0,0,1,2,678,0,3,681,0
275,19,242,132,0,2,223,0,0,0,3,0,1,2,624,0,5,629,0
276,20,218,190,3,2,163,0,0,1,0,0,0,1,598,0,2,600,0
277,10,181,202,0,1,152,0,0,1,1,0,1,0,549,0,1,550,0
278,11,147,127,1,3,194,0,0,0,3,0,0,0,486,0,2,488,0
279,16,197,267,1,1,149,0,1,0,0,0,0,1,633,0,1,634,0
280,32,291,233,5,1,247,0,0,1,0,0,2,4,816,0,2,818,0
281,13,174,197,0,1,110,3,0,2,0,0,0,3,503,0,0,503,0
282,11,231,218,1,0,145,0,0,0,2,0,2,2,612,0,0,612,0
283,9,281,286,1,0,166,0,0,0,0,0,0,0,743,0,1,744,0
284,21,315,288,2,1,190,0,0,0,5,0,0,1,823,0,3,826,0
285,15,230,47,0,0,59,0,0,0,0,0,1,1,353,0,0,353,0
286,11,216,304,0,2,134,0,0,0,2,0,0,0,669,0,3,672,0
287,16,192,212,0,0,123,0,1,0,0,0,0,0,544,0,1,545,0
288,21,246,202,2,0,162,0,1,2,3,1,3,3,646,0,3,649,0
289,20,338,349,0,0,128,0,0,0,2,1,0,6,844,0,2,846,0
290,6,223,255,1,0,174,1,0,0,0,0,0,0,660,0,0,660,0
291,18,250,221,1,0,114,0,1,0,2,0,1,2,610,0,2,612,0
292,17,359,272,1,0,198,0,5,1,0,0,4,1,858,0,2,860,0
293,10,151,180,0,0,89,0,0,0,1,1,1,1,434,0,0,434,0
294,22,156,243,0,0,154,0,1,2,0,0,0,1,579,0,3,582,0
295,14,214,260,0,0,93,0,0,0,0,0,1,0,582,0,1,583,0
296,10,185,235,1,2,118,0,0,0,0,0,0,0,551,0,0,551,0
297,6,164,160,1,0,86,0,0,0,0,0,0,0,417,0,0,417,0
298,21,302,358,0,0,142,0,0,0,0,1,1,1,826,0,2,828,0
299,11,306,308,1,1,186,0,2,0,1,1,2,3,822,0,1,823,0
300,18,213,262,1,0,100,0,0,1,1,0,1,1,598,0,2,600,0
301,10,303,121,1,0,132,0,1,1,1,1,1,2,574,0,0,574,0
302,11,312,172,0,0,149,0,0,0,0,1,4,1,650,0,4,654,0
303,13,362,137,0,0,137,0,0,0,0,0,3,2,654,0,2,656,0
304,14,341,182,0,1,96,0,0,0,0,0,0,0,634,0,0,634,0
305,22,331,127,0,0,88,0,0,0,0,0,0,1,569,0,2,571,0
306,12,474,19,0,2,86,0,1,0,0,0,1,1,596,0,1,597,0
307,10,231,345,0,1,155,0,0,0,0,0,0,0,742,0,5,747,0
308,26,195,277,2,0,101,1,0,0,0,0,0,9,611,0,1,612,0
309,7,299,213,1,2,137,0,1,0,3,0,0,0,663,0,0,663,1
310,4,159,303,2,0,107,0,0,0,3,0,0,2,580,0,1,581,0
311,10,350,164,0,0,112,0,1,0,0,1,1,0,639,0,1,640,0
312,1,340,89,0,0,64,0,1,0,0,0,5,0,500,0,4,504,1
313,6,367,80,0,2,110,0,1,2,0,0,3,1,572,0,3,575,0
314,12,365,75,0,0,71,0,0,1,0,0,1,0,525,0,1,526,0
315,10,234,299,2,0,164,1,0,0,2,0,0,0,712,0,5,717,0
316,19,141,163,0,1,124,1,1,2,8,0,2,5,467,0,1,468,0
317,6,182,143,0,0,108,0,0,0,3,0,2,0,444,0,4,448,0
318,20,261,182,0,1,182,1,0,0,4,0,0,3,654,0,2,656,0
319,4,155,158,0,1,131,0,0,0,0,0,1,3,453,0,1,454,0
320,20,186,146,1,1,136,0,1,0,2,0,0,1,494,0,2,496,0
321,15,181,260,1,0,153,0,1,0,1,1,3,0,616,0,1,617,0
322,17,334,251,2,1,300,2,0,0,2,1,0,1,911,0,3,914,1
323,21,348,104,1,0,188,0,0,0,2,0,2,0,666,0,0,666,0
324,15,290,156,1,1,247,0,0,0,0,1,2,4,717,0,1,718,0
325,16,359,93,0,0,165,0,0,0,1,0,1,0,635,0,4,639,0
326,7,195,77,0,1,94,0,0,0,2,1,0,0,377,0,1,378,0
327,23,208,269,0,1,226,2,0,0,0,0,0,1,730,0,4,734,0
328,21,125,156,0,1,166,0,0,0,1,0,0,1,471,0,0,471,0
329,9,98,118,0,3,100,0,0,2,0,0,1,0,331,0,2,333,0
330,19,255,218,0,1,223,0,1,0,2,0,0,1,720,0,1,721,0
331,16,183,172,1,0,242,0,0,0,0,1,0,1,616,0,3,619,0
332,10,155,108,0,1,175,0,0,0,0,1,2,3,455,0,2,457,0
333,15,228,110,0,0,157,1,0,0,1,0,0,1,513,0,1,514,0
334,20,129,160,5,0,162,1,0,1,0,1,2,0,481,0,3,484,0
335,7,165,59,1,1,155,0,0,1,0,0,1,2,392,0,3,395,0
336,14,95,213,1,1,259,0,0,1,0,0,3,2,589,0,2,591,0
337,23,72,265,2,3,271,1,0,1,0,0,3,1,642,0,0,642,2
338,26,63,273,1,3,316,0,1,1,0,1,3,2,690,0,1,691,0
339,22,167,238,0,1,311,0,1,1,0,1,0,0,742,0,0,742,0
340,25,180,163,0,1,221,0,1,0,0,1,1,1,594,0,4,598,0
341,16,180,240,2,1,322,0,1,2,0,0,0,0,764,0,0,764,0
342,37,187,243,2,3,421,1,1,2,1,0,0,1,899,0,1,900,0
