Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,0,0,603,11,0,0,182,165,0,0,0,0,163,0,0,0,0,0,0,528,0,0,528,0
2,0,0,605,11,0,0,254,163,0,2,0,0,118,0,0,0,2,0,0,553,0,0,553,0
3,3,0,890,10,0,0,305,312,0,42,0,0,131,0,0,0,0,2,0,810,0,0,810,0
4,4,0,1031,19,0,0,381,279,0,32,0,2,211,0,0,0,3,3,0,939,0,0,939,0
5,5,0,1088,201,0,0,255,524,0,21,0,1,100,0,0,2,2,0,0,933,0,0,933,0
6,6,0,1113,13,0,0,514,107,0,0,0,2,356,0,2,3,6,0,0,1015,0,0,1015,0
7,7,0,1058,27,0,0,257,499,0,46,0,2,115,0,3,0,3,2,0,956,0,0,956,0
8,8,0,1098,16,0,0,353,310,0,43,0,0,264,0,3,0,1,0,0,995,0,0,995,0
9,9,0,957,19,0,0,300,280,0,12,0,0,216,0,2,0,3,0,0,837,0,0,837,0
10,10,0,951,24,0,0,262,295,0,0,0,0,226,0,0,0,0,0,0,823,0,0,823,0
11,11,0,775,10,0,0,298,321,0,0,0,0,58,0,0,0,5,0,0,707,0,0,707,0
12,12,0,937,12,0,0,193,473,0,111,0,0,74,0,0,0,0,0,0,866,0,0,866,0
13,13,0,941,13,0,0,178,415,0,200,0,0,71,0,0,0,0,2,0,888,0,0,888,0
14,14,0,415,3,0,0,78,215,0,55,0,0,22,0,4,0,0,0,0,381,0,0,381,0
15,15,0,863,13,0,0,181,481,0,42,0,0,89,0,2,2,0,0,0,814,0,0,814,0
16,16,0,992,19,0,0,566,85,0,0,0,0,218,0,2,0,8,0,0,913,0,0,913,0
17,17,0,862,0,0,0,166,417,0,82,0,0,80,0,10,2,2,0,0,777,0,0,777,0
18,18,0,729,7,0,0,315,132,0,10,0,0,174,0,0,1,2,0,0,654,0,0,654,0
19,19,0,828,14,0,0,150,363,0,0,0,0,86,0,12,0,4,3,0,729,0,0,729,0
20,20,0,1037,22,0,0,454,208,0,28,0,2,264,0,5,0,0,0,0,987,0,0,987,0
21,21,0,660,23,0,0,91,320,0,99,0,0,39,0,2,0,0,0,0,577,0,0,577,0
22,22,0,731,9,0,0,208,292,0,62,0,0,84,0,4,0,0,2,0,663,0,0,663,0
23,23,0,566,11,0,0,118,268,0,33,0,0,65,0,0,2,0,0,0,509,0,0,509,0
24,24,0,874,9,0,0,387,262,0,25,0,0,79,0,0,2,0,0,0,781,0,0,781,0
25,25,0,1083,25,0,3,642,133,0,5,0,0,201,0,0,0,0,0,0,1018,0,0,1018,0
26,26,0,485,5,0,0,90,222,0,24,0,0,86,0,2,0,0,0,0,431,0,0,431,0
27,27,0,778,23,0,0,145,309,0,41,0,0,139,0,5,0,0,0,0,670,0,0,670,0
28,28,0,756,12,0,0,191,285,0,23,0,0,162,0,4,0,0,0,0,681,0,0,681,0
29,29,0,1068,6,0,0,617,94,0,0,0,0,264,0,3,0,0,0,0,995,0,0,995,0
30,30,0,927,35,0,0,221,213,0,5,0,0,323,0,2,0,0,0,0,805,0,0,805,0
31,31,0,640,0,0,0,243,81,0,14,0,0,212,0,3,3,5,0,0,574,0,0,574,0
32,32,0,1092,38,0,0,263,265,0,11,0,0,359,0,2,0,0,0,0,945,0,0,945,0
33,33,0,778,19,0,0,201,146,0,0,0,0,272,0,0,0,0,0,0,649,0,0,649,0
34,34,0,579,0,0,0,119,248,0,12,0,0,118,0,0,0,0,0,0,508,0,0,508,0
35,35,0,718,10,0,0,239,193,0,23,0,0,171,0,0,0,0,0,0,644,0,0,644,0
36,36,0,988,30,0,0,188,388,0,38,0,0,203,0,10,0,0,0,0,868,0,0,868,0
37,37,0,480,18,0,0,103,94,0,6,0,0,179,0,0,0,0,0,0,404,0,0,404,0
38,38,0,620,0,0,3,417,54,0,0,0,0,97,0,0,0,0,0,0,583,0,0,583,0
39,39,0,800,0,0,0,251,162,0,0,0,0,274,0,1,0,0,0,0,717,0,0,717,0
40,40,0,855,33,0,0,205,141,0,11,0,0,341,0,3,0,01,1,0,741,0,0,741,0
41,41,0,1040,33,0,0,213,256,0,22,0,0,341,0,2,0,2,2,0,878,0,0,878,0
42,42,0,965,14,0,0,170,498,0,40,0,0,141,0,6,4,3,17,0,882,0,0,882,0
43,43,0,896,18,0,0,191,360,0,22,0,0,193,0,5,3,2,0,0,801,0,0,801,0
44,44,0,754,17,0,0,214,231,0,2,0,0,232,0,2,0,0,0,0,703,0,0,703,0
45,45,0,683,13,0,0,254,162,0,5,0,0,186,0,0,0,0,01,0,629,0,0,629,0
46,46,0,862,10,0,0,206,455,0,7,0,0,86,0,2,0,0,0,0,772,0,0,772,0
47,47,0,449,6,0,0,171,152,0,19,0,0,56,0,0,0,0,0,0,413,0,0,413,0
48,48,0,1057,16,0,0,255,581,0,28,0,0,70,0,0,0,0,0,0,959,0,0,959,0
49,49,0,509,0,0,0,143,227,0,27,0,0,46,0,2,0,0,0,0,455,0,0,455,0
50,50,0,579,18,0,0,220,93,0,0,0,0,161,0,2,0,0,0,0,500,0,0,500,0
51,51,0,656,19,0,0,163,295,0,23,0,0,85,0,4,0,0,0,0,591,0,0,591,0
52,52,0,1093,31,0,0,261,430,0,57,0,0,202,0,13,0,2,0,0,1005,0,0,1005,0
53,53,0,960,15,0,0,207,479,0,5,0,0,163,0,4,5,2,0,0,882,0,0,882,0
54,54,0,930,10,0,0,429,194,0,30,0,0,165,0,5,0,2,0,0,841,0,0,841,0
55,55,0,583,12,0,0,71,359,0,58,0,0,35,0,5,2,0,0,0,547,0,0,547,0
56,56,0,844,12,0,0,145,503,0,42,0,0,50,0,6,0,0,0,0,762,0,0,762,0
57,57,0,937,12,0,0,156,512,0,45,0,0,86,0,5,0,2,0,0,822,0,0,822,0
58,58,0,799,11,0,0,400,212,0,14,0,0,81,0,2,0,5,2,0,730,0,0,730,0
59,59,0,746,0,0,0,485,97,0,0,0,0,77,0,1,0,0,0,0,675,0,0,675,0
60,60,0,582,0,0,0,128,225,0,62,0,0,66,0,2,0,3,0,0,494,0,0,494,0
61,61,0,517,15,0,0,149,284,0,5,0,0,18,0,0,0,2,0,0,475,0,0,475,0
