Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,275,10,179,1,0,266,0,1,0,1,0,0,0,1,1,3,2,0,2,1,743,0,1,744,0
62,267,22,165,0,4,248,4,0,0,0,2,1,0,0,0,1,0,0,0,0,714,0,3,717,0
63,286,8,276,3,3,352,2,1,1,0,1,0,0,0,3,4,1,0,1,0,942,0,0,942,0
64,237,32,308,2,1,423,1,3,0,1,1,0,2,2,2,2,1,0,2,0,1020,0,0,1020,0
65,193,19,247,2,0,302,1,1,0,1,0,0,1,0,1,3,4,0,1,0,776,0,2,778,0
66,267,15,327,1,1,259,1,0,0,0,0,0,0,1,0,3,0,1,3,0,879,0,1,880,0
67,249,25,353,3,1,351,4,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,1,987,0
68,230,15,339,0,1,260,1,0,0,0,0,0,0,1,0,2,2,0,0,0,851,0,1,852,0
69,227,23,230,3,2,366,0,0,2,0,0,0,0,0,0,1,0,0,0,0,854,0,3,857,0
70,173,20,275,2,0,253,1,0,0,0,1,0,0,1,0,3,0,0,0,0,729,0,1,730,0
71,140,23,191,0,2,182,2,1,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,541,0
72,152,17,212,1,0,249,4,2,0,0,0,0,0,1,0,1,0,1,2,0,642,0,1,643,0
73,208,23,159,0,2,312,1,1,0,0,0,0,0,0,0,2,0,0,1,0,709,0,2,711,0
74,170,25,215,1,1,253,1,0,0,0,1,0,0,2,0,1,1,0,1,1,673,0,0,673,0
75,260,39,228,1,4,451,1,1,0,0,0,3,0,0,0,1,2,1,1,2,995,0,7,1002,0
76,143,22,201,0,1,292,3,1,0,0,2,0,0,0,1,3,1,0,0,0,670,0,2,672,0
77,193,33,252,2,1,374,2,0,0,1,1,0,1,1,0,0,1,0,1,0,863,0,3,866,0
78,220,29,419,1,2,292,3,2,0,0,1,0,1,0,0,2,2,0,0,0,974,0,0,974,0
79,101,4,124,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,330,0
80,212,15,252,3,0,280,5,0,0,0,0,0,1,0,0,0,0,0,0,0,768,0,1,769,0
81,155,18,293,2,1,264,7,0,0,0,0,0,1,0,0,1,0,1,0,0,743,0,3,746,1
82,246,23,200,0,1,237,1,0,0,0,0,0,0,1,0,0,0,0,1,0,710,0,1,711,0
83,196,20,212,1,1,309,0,1,1,0,0,1,0,0,0,0,4,0,0,0,746,0,2,748,0
84,257,16,162,1,0,175,0,0,1,0,0,0,0,0,0,2,3,0,0,0,617,0,0,617,0
85,280,19,119,1,2,181,0,0,0,0,0,0,0,0,0,1,1,0,1,0,605,0,0,605,0
86,86,5,109,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,290,0
