Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
231,275,38,193,0,1,260,0,0,0,0,0,2,0,0,0,0,1,0,0,0,770,0,5,775,0
232,190,10,234,0,3,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,1,698,0
233,193,24,176,1,2,215,0,2,0,0,0,0,0,0,0,0,0,0,0,1,614,0,2,616,0
234,184,19,230,0,1,229,1,0,0,0,0,0,0,0,2,0,2,0,0,0,668,0,1,669,0
235,232,11,158,0,2,227,0,0,0,0,0,0,0,0,0,2,2,1,1,0,636,0,0,636,0
236,284,22,228,0,0,330,0,0,0,0,0,0,0,1,0,2,2,0,0,0,869,0,2,871,0
237,358,23,242,0,0,370,0,0,0,0,1,1,0,3,0,5,0,1,1,0,1005,0,2,1007,0
238,229,27,316,2,1,295,0,0,0,1,0,0,2,0,0,2,4,0,2,0,881,0,2,883,0
239,262,10,153,0,0,212,0,1,0,0,0,0,0,0,0,2,1,0,1,0,642,0,2,644,0
240,218,7,179,0,1,207,1,1,0,0,0,0,0,0,0,0,0,0,0,0,614,0,1,615,0
241,323,17,196,1,5,356,1,0,0,0,1,0,1,0,0,3,2,0,3,0,909,0,3,912,0
242,244,23,291,0,3,400,2,1,0,0,1,0,2,3,2,3,6,0,3,2,986,0,3,989,0
243,218,30,224,0,1,221,0,0,0,1,0,0,0,0,0,2,0,0,0,0,697,0,1,698,0
244,166,14,187,2,1,195,1,1,0,0,0,1,0,0,0,0,1,0,0,1,570,0,0,570,0
245,251,20,181,2,0,233,0,1,0,0,0,0,0,1,0,1,1,0,0,0,691,0,0,691,0
246,191,23,160,0,1,201,0,1,0,0,1,0,0,2,1,1,2,0,1,0,585,0,1,586,0
247,191,20,177,1,1,216,0,0,0,0,1,0,1,0,0,0,0,0,0,0,608,0,1,609,0
248,195,15,220,1,0,163,1,0,0,1,0,0,0,0,0,1,2,0,0,1,600,0,2,602,0
249,267,20,178,1,1,207,0,0,0,0,0,0,0,0,0,0,1,0,1,0,676,0,2,678,0
250,189,16,178,0,2,244,1,1,0,0,0,0,0,0,1,1,0,0,0,0,633,0,2,635,0
251,204,15,183,0,0,194,0,0,0,0,0,0,0,0,0,2,5,0,2,0,605,0,1,606,1
252,303,30,303,1,0,275,1,1,0,1,0,0,1,0,1,1,0,1,0,0,919,0,3,922,0
253,301,60,271,2,4,363,4,0,0,0,0,1,1,0,0,0,1,1,0,1,1010,0,2,1012,0
254,283,38,230,1,1,235,4,0,0,0,1,0,0,0,0,2,4,0,0,1,800,0,2,802,0
255,225,33,261,0,2,273,0,0,0,0,0,0,0,1,0,3,4,0,0,0,802,0,0,802,0
256,298,20,350,2,1,251,1,0,0,1,1,1,4,1,1,1,2,0,0,0,935,0,2,937,0
257,293,19,440,0,2,261,2,1,1,0,1,0,1,0,0,2,11,2,6,3,1045,0,9,1054,0
258,136,13,151,0,1,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,405,0
259,210,11,313,1,0,188,0,0,1,0,0,0,2,0,0,1,0,1,0,0,728,0,0,728,0
260,314,18,391,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,2,892,0
261,182,11,295,2,1,155,0,0,0,0,1,0,0,2,0,2,1,0,0,0,652,0,1,653,0
262,241,18,272,2,0,177,1,1,0,0,0,0,0,1,0,1,0,0,0,0,714,0,2,716,0
263,301,28,422,3,3,270,3,1,0,1,0,1,2,0,0,13,0,1,1,1,1051,0,5,1056,0
264,123,8,307,1,3,208,0,0,0,0,0,0,1,0,1,3,1,0,1,0,657,0,1,658,0
265,178,26,239,1,1,235,1,0,0,0,0,0,0,1,0,2,1,0,0,1,686,0,3,689,0
266,165,13,250,1,1,188,0,1,0,0,0,0,1,1,1,1,2,0,0,1,626,0,7,633,0
267,151,21,192,2,0,274,0,3,1,0,0,1,0,0,2,4,0,0,2,2,655,0,1,656,0
268,214,25,365,3,1,265,4,1,0,1,1,0,0,1,0,2,0,0,0,0,883,0,5,888,0
269,195,12,236,0,5,246,6,1,0,0,0,1,0,0,1,3,2,0,1,0,709,0,0,709,0
270,169,13,261,2,2,267,3,0,1,0,0,0,0,0,1,5,2,0,0,0,726,0,1,727,0
271,158,14,139,1,1,201,0,0,1,0,0,0,0,1,0,0,0,0,0,0,516,0,5,521,0
272,112,24,104,1,1,152,1,0,1,0,0,0,0,0,0,0,2,0,0,0,398,0,0,398,0
273,179,24,183,2,1,338,0,0,0,0,2,0,0,0,0,1,0,1,0,0,731,0,1,732,0
274,127,21,255,1,5,307,0,3,0,0,0,0,0,0,1,4,1,1,1,0,727,0,2,729,0
275,251,10,128,0,0,295,0,0,0,0,3,1,1,0,0,6,0,0,0,0,695,0,2,697,0
276,230,15,176,2,1,304,0,0,2,0,0,0,0,0,1,1,1,0,0,0,733,0,7,740,0
277,177,17,186,1,0,250,1,0,1,0,0,0,0,1,0,2,2,0,1,0,639,0,1,640,0
278,200,10,122,0,3,385,0,1,0,0,0,0,1,1,0,1,3,0,0,1,728,0,2,730,0
279,229,12,140,0,2,318,0,1,0,0,0,0,0,0,0,3,1,0,0,0,706,0,5,711,0
280,233,13,227,0,0,332,1,0,0,0,0,0,1,0,0,1,0,0,2,0,810,0,1,811,0
281,179,20,236,1,0,289,0,1,0,1,0,0,0,0,0,1,2,0,1,0,731,0,2,733,0
282,253,42,162,0,1,233,0,0,0,0,0,0,0,1,0,3,0,0,1,1,697,0,3,700,0
283,143,20,241,3,3,242,0,0,0,1,1,0,0,0,0,1,2,0,1,0,658,0,2,660,0
284,189,11,329,2,2,302,1,0,1,1,0,1,0,0,0,2,0,0,1,0,842,0,2,844,0
285,163,19,202,1,0,182,1,0,0,1,0,0,0,0,1,1,2,0,0,0,573,0,0,573,0
286,242,23,326,1,1,237,1,2,0,0,0,0,0,0,1,0,1,0,0,0,835,0,5,840,0
287,148,11,197,1,0,153,0,0,1,0,0,0,0,1,0,0,1,0,0,1,514,0,2,516,0
288,199,23,164,3,3,303,1,0,0,1,0,0,0,0,0,2,1,0,1,0,701,0,0,701,0
289,176,24,188,2,2,323,0,0,0,0,0,0,0,1,3,2,0,0,0,2,723,0,1,724,0
290,158,16,252,0,1,228,1,0,0,0,0,2,0,0,1,2,0,1,0,0,662,0,2,664,0
291,167,4,232,3,4,211,0,2,0,1,1,0,1,0,0,3,2,0,1,0,632,0,0,632,0
292,314,32,293,0,0,233,1,0,0,0,0,0,1,0,1,0,1,0,0,0,876,0,0,876,0
293,115,13,151,0,1,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,396,0,2,398,0
294,222,11,306,3,3,295,1,0,0,0,0,0,0,1,0,2,1,0,0,0,845,0,0,845,0
295,140,9,256,1,0,155,0,0,0,0,0,0,1,1,0,0,1,0,0,0,564,0,1,565,0
296,182,11,251,2,2,212,1,0,0,0,1,0,0,0,1,1,0,0,0,0,664,0,1,665,0
297,125,15,232,1,1,221,0,1,0,0,0,0,1,1,1,1,0,0,0,0,600,0,4,604,0
298,247,18,197,3,4,304,1,0,0,1,0,0,0,0,1,3,2,0,1,0,782,0,2,784,0
299,171,12,260,3,2,312,1,1,0,0,0,0,0,1,0,3,3,1,4,0,774,0,1,775,0
300,228,18,188,0,2,176,2,0,0,1,0,0,0,0,0,0,1,0,0,0,616,0,1,617,0
301,199,14,284,3,6,192,1,1,0,1,2,0,2,0,0,0,3,1,1,0,710,0,3,713,0
302,297,24,366,6,2,251,1,2,1,1,0,0,2,2,0,1,0,0,1,0,957,0,1,958,0
303,157,16,270,10,2,188,1,0,1,0,1,0,1,2,1,2,0,1,0,0,653,0,2,655,0
304,172,7,178,5,4,181,0,0,0,0,0,0,0,1,1,3,3,0,1,0,556,0,0,556,0
305,244,29,371,7,3,322,0,0,0,0,0,0,0,1,1,2,4,0,0,0,984,0,2,986,0
306,232,21,356,0,5,313,0,0,1,0,2,1,1,1,0,3,3,0,1,0,940,0,2,942,0
307,237,29,369,4,0,238,2,2,0,2,2,1,2,2,1,10,2,1,0,1,905,0,0,905,0
308,236,12,245,10,4,201,0,1,2,0,0,1,3,2,3,5,1,0,1,2,729,0,2,731,0
309,105,8,146,0,1,106,1,0,0,0,2,2,0,0,0,2,2,0,1,0,376,0,2,378,0
310,343,12,326,2,1,331,1,1,1,2,2,1,1,1,0,1,2,1,1,0,1030,0,1,1031,0
311,168,26,309,3,3,254,0,0,0,0,3,0,0,2,3,2,0,1,3,0,777,0,3,780,0
312,246,30,385,5,5,310,1,2,0,0,0,0,1,1,2,3,1,0,5,0,997,0,4,1001,0
