Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,276,23,210,2,1,394,1,1,1,1,0,0,0,1,1,911,0,911,0
2,265,28,219,2,3,356,3,0,1,0,1,1,1,7,7,887,0,887,0
3,229,29,436,1,3,344,3,0,0,0,0,1,1,6,6,1053,0,1053,0
4,242,36,231,6,2,319,3,1,4,1,0,4,0,2,2,851,0,851,0
5,114,14,138,1,1,229,1,0,0,2,2,1,0,2,2,505,0,505,0
6,170,20,228,2,2,285,4,0,1,1,3,1,2,3,3,722,0,722,0
7,294,15,395,4,1,230,3,0,0,0,0,0,1,2,2,945,0,945,0
8,314,29,277,1,0,206,1,2,1,0,1,1,1,2,2,836,0,836,0
9,113,11,279,2,0,179,0,0,0,0,0,2,0,0,0,586,0,586,0
10,279,23,461,0,1,212,1,0,0,0,2,5,0,6,6,990,0,990,0
11,260,37,362,2,3,326,2,1,1,2,0,3,2,1,1,1002,0,1002,0
12,276,18,316,1,1,253,0,0,0,0,1,1,0,4,4,871,0,871,0
13,290,31,295,2,0,284,1,0,0,2,0,4,2,4,4,915,0,915,0
14,301,19,297,2,2,224,3,0,1,3,0,2,1,7,7,862,0,862,0
15,61,9,420,1,1,152,0,0,0,0,0,0,2,2,2,648,0,648,0
16,169,25,335,0,0,282,3,1,1,1,0,1,1,11,11,830,0,830,0
17,183,20,198,1,2,268,1,0,0,2,0,1,2,2,2,680,0,680,0
18,69,14,186,1,1,79,1,1,0,0,0,0,1,4,4,357,0,357,0
19,110,28,304,1,0,164,2,0,0,0,1,1,1,4,4,616,0,616,0
20,138,22,326,2,0,113,0,0,0,0,0,1,0,7,7,609,0,609,0
21,126,10,140,1,0,170,0,1,0,1,3,1,0,4,4,457,0,457,0
22,171,9,183,1,0,176,0,0,0,0,0,1,1,0,0,542,0,542,0
23,191,16,146,1,0,184,1,1,0,2,1,1,0,2,2,546,0,546,0
24,241,26,366,3,0,274,1,0,0,0,0,0,2,4,4,917,0,917,0
25,136,11,254,2,3,145,3,0,1,0,3,2,0,3,3,563,0,563,0
26,164,4,129,0,0,153,2,0,0,1,0,0,2,1,1,456,0,456,0
27,208,16,101,1,2,173,1,0,1,0,1,0,1,2,2,507,0,507,0
28,207,13,330,0,1,220,0,0,0,0,0,1,0,3,3,775,0,775,0
29,144,9,198,2,1,219,0,0,1,0,2,1,1,4,4,582,0,582,0
30,145,14,160,0,0,261,0,0,1,0,1,2,1,2,2,587,0,587,0
31,169,22,222,0,0,208,0,0,1,0,0,0,2,5,5,629,0,629,0
32,212,16,124,1,1,209,3,0,0,0,1,1,0,1,1,569,0,569,0
33,79,12,304,1,0,160,0,0,0,0,0,3,0,2,2,561,0,561,0
34,84,16,299,0,1,130,3,0,0,0,0,0,0,3,3,536,0,536,0
35,460,22,98,1,0,228,0,0,3,0,2,0,1,9,9,824,0,824,0
36,180,22,91,0,0,200,1,1,0,0,0,0,0,3,3,498,0,498,0
37,268,9,84,0,2,161,1,0,0,1,0,0,0,2,2,528,0,528,0
38,252,17,103,0,0,216,1,0,1,0,0,0,0,3,3,593,0,593,0
39,252,32,188,0,1,318,2,1,0,0,0,1,0,3,3,798,0,798,0
40,108,11,118,1,0,157,0,0,0,0,0,0,0,2,2,397,0,397,0
41,183,11,72,0,0,120,0,1,0,0,0,0,1,2,2,390,0,390,0
42,188,25,186,1,1,187,1,0,0,0,0,1,0,5,5,595,0,595,0
43,270,14,43,1,0,154,0,1,1,0,0,0,1,3,3,488,0,488,0
44,317,8,63,0,2,124,1,0,0,0,0,0,0,2,2,517,0,517,0
