Polling Station No,GOPINATH PALANIYAPPAN,B.CHITRA,S.THANDAVAMOORTHY,R.MANOHARAN,M.KAMAL KUMAR,R.DHANDAPANI,K.DHAVASIAPPAN,A.MANIKANDAN,K.MANIKANNAN,M.VIJAY BALAJI,M.V.KARTHY,SHANMUGAM.P,M.DHARANI KUMAR,C.THIYAGARAJAN,NATHIYA.S,H.MOHAMED GAIPEER,J.MUTHU BAVA,M.MURUGESAN,S.LAKSHMANATHAN,R.VAIRAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
209,257,2,10,95,1,1,1,1,0,331,0,0,0,0,0,3,4,0,0,0,706,0,2,708,0
210,124,3,22,142,0,0,0,0,0,191,1,0,1,1,0,1,0,0,0,1,487,0,4,491,0
211,104,1,25,112,0,0,0,0,0,159,0,0,0,0,0,0,4,0,0,0,405,0,2,407,0
212,147,1,23,144,0,0,3,0,2,205,1,0,0,0,0,1,1,1,1,1,531,0,5,536,0
213,165,0,27,238,0,1,0,1,0,302,0,0,0,0,2,1,3,1,0,3,744,0,4,748,0
214,109,0,22,173,0,0,0,0,0,267,0,1,0,0,0,2,3,1,0,1,579,0,6,585,0
215,100,0,17,150,0,0,0,0,1,196,0,0,0,1,0,0,3,0,0,3,471,0,7,478,0
216,124,1,21,217,1,0,0,0,3,241,1,0,0,0,0,3,2,0,0,1,615,0,6,621,0
217,126,0,16,243,0,1,0,0,0,277,1,0,1,0,0,0,1,0,0,0,666,0,4,670,0
218,154,1,19,171,0,0,0,0,0,312,1,0,0,2,0,1,0,0,0,0,661,0,1,662,0
219,135,1,24,204,0,0,0,0,2,158,0,0,0,1,0,1,0,1,1,2,530,0,3,533,0
220,171,1,30,228,0,0,0,0,0,258,0,0,1,1,0,0,1,0,0,4,695,0,10,705,0
221,219,3,35,204,2,0,1,0,1,324,0,0,0,1,0,1,0,0,0,15,806,0,5,811,0
222,150,0,24,235,1,2,1,1,0,187,0,0,1,1,0,0,0,0,0,0,603,0,7,610,0
223,241,2,15,63,1,0,0,0,0,276,0,0,1,0,1,1,3,0,1,1,606,0,2,608,0
224,252,0,25,176,2,3,0,0,1,379,0,0,1,0,0,1,1,0,0,2,843,0,3,846,0
225,186,1,14,143,1,0,1,1,0,382,0,0,3,0,0,1,1,0,0,1,735,0,3,738,0
226,181,1,16,106,1,0,0,0,1,226,1,0,0,0,0,0,0,0,0,2,535,0,3,538,0
227,156,0,34,142,0,1,0,0,0,206,0,0,0,1,0,1,0,0,0,0,541,0,2,543,0
228,215,0,22,141,3,0,0,1,2,258,0,0,0,0,0,0,5,0,0,0,647,0,3,650,0
229,173,1,12,97,0,0,0,0,0,334,0,0,1,0,2,4,1,0,0,1,626,0,2,628,0
230,140,0,20,194,2,0,0,0,1,240,0,0,0,0,0,0,0,0,0,2,599,0,4,603,0
231,137,1,14,90,0,0,0,0,0,173,0,0,2,0,1,1,0,0,0,6,425,0,3,428,0
232,123,0,19,86,0,0,0,0,0,115,0,0,0,0,0,1,0,0,0,0,344,0,1,345,0
233,173,1,18,139,1,0,0,0,0,217,0,0,0,2,1,0,5,0,0,0,557,0,3,560,0
234,150,0,12,111,0,0,2,0,0,181,0,0,0,1,0,0,2,0,0,0,459,0,2,461,0
235,165,2,23,102,0,1,2,0,0,204,0,0,1,1,0,0,1,0,0,0,502,0,5,507,0
236,172,0,27,139,0,2,1,0,0,308,0,0,0,3,2,1,0,1,0,1,657,0,2,659,0
237,202,5,16,151,2,0,1,0,0,231,1,0,1,1,2,1,1,1,0,0,616,0,3,619,0
238,189,0,24,107,0,0,1,0,3,296,1,0,0,0,0,1,2,0,0,2,626,0,1,627,0
239,188,2,17,153,1,0,0,0,1,454,0,0,1,1,0,7,3,1,0,0,829,0,0,829,0
240,103,0,12,191,0,0,0,0,0,133,0,0,0,1,0,1,0,0,0,3,444,0,1,445,0
241,82,0,8,124,0,0,0,0,0,108,0,1,0,0,1,1,1,0,0,2,328,0,1,329,0
242,102,1,7,143,0,0,0,1,0,255,0,0,0,0,0,3,4,0,0,0,516,0,3,519,0
243,134,0,14,205,0,0,1,0,0,260,0,0,0,0,1,0,1,0,1,1,618,0,6,624,0
244,144,1,19,207,1,0,0,0,1,175,0,0,1,0,0,1,0,0,0,0,550,0,4,554,0
245,131,0,14,124,0,0,0,0,0,119,0,0,0,0,0,0,1,0,0,0,389,0,4,393,0
246,188,1,22,242,2,0,0,0,1,181,0,0,0,0,2,0,0,0,0,0,639,0,2,641,0
247,244,1,23,170,1,1,1,0,2,340,0,0,1,0,1,0,1,0,0,0,786,0,2,788,0
248,167,2,16,181,0,1,0,0,2,281,0,0,0,0,1,0,0,0,0,0,651,0,2,653,0
249,135,0,11,118,1,0,0,0,2,167,0,0,0,1,0,0,2,0,0,0,437,0,3,440,0
250,164,0,15,105,0,0,0,0,1,234,0,0,0,0,2,0,2,0,1,0,524,0,7,531,0
251,247,1,15,151,1,0,0,0,0,318,0,0,0,0,0,1,2,0,0,0,736,0,5,741,0
252,149,1,10,77,0,0,2,0,0,163,0,0,0,0,0,0,2,1,1,0,406,0,2,408,0
253,268,3,12,131,0,0,0,0,1,245,0,0,0,0,0,1,6,0,0,1,668,0,7,675,0
254,202,1,13,96,0,0,0,1,3,248,0,0,0,0,1,0,3,0,0,0,568,0,3,571,0
255,232,1,4,209,0,0,0,0,1,211,1,0,1,0,0,3,3,0,0,2,668,0,3,671,0
256,249,1,13,121,1,0,0,0,1,374,1,1,1,2,1,1,3,0,0,1,771,0,0,771,0
257,277,2,10,165,0,0,0,0,1,387,0,0,0,0,0,0,2,1,0,0,845,0,1,846,0
258,40,1,15,57,1,0,0,1,0,70,1,0,1,0,0,0,0,0,1,0,188,0,3,191,0
