Polling Station No,ABIRAMI. D,SARAVANAKUMAR. T,MAHENDRAN. I,VELLAIPANDI. V,AYYAPPAN. P,VIJAY. M,KIRANYA. S,DHANASEKARAN. T,THIAGARAJAN. O. V,THIRUMOORTHY. A,PRAVEENA. S,MUTHU. N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,62,206,263,5,40,270,1,1,2,3,0,0,853,0,0,853,0
2,37,152,123,0,18,182,0,0,1,1,0,1,515,0,0,515,0
3,34,194,394,1,19,207,1,0,1,1,5,2,859,0,4,863,0
4,21,214,248,2,12,178,1,0,2,1,0,1,680,0,3,683,0
5,35,215,213,2,32,239,1,2,0,1,2,2,744,0,1,745,0
6,29,85,95,4,14,106,0,0,0,0,0,0,333,0,0,333,0
7,25,145,174,2,24,137,0,1,2,1,2,1,514,0,5,519,0
8,15,81,114,0,13,177,1,1,0,0,0,2,404,0,0,404,0
9,48,91,155,4,54,170,0,0,1,0,2,1,526,0,3,529,0
10,51,221,236,2,19,346,2,2,2,1,1,1,884,0,5,889,0
11,63,343,158,6,27,147,0,1,2,1,1,1,750,0,1,751,0
12,67,174,246,1,23,332,0,1,2,3,5,2,856,0,3,859,0
13,61,304,180,2,67,233,2,0,0,0,2,0,851,0,1,852,0
14,62,174,109,0,52,196,1,0,1,1,0,1,597,0,0,597,0
15,57,238,133,1,63,221,2,0,1,0,0,0,716,0,1,717,0
16,38,142,112,1,25,130,0,0,0,0,1,0,449,0,0,449,0
17,24,196,223,4,23,142,0,0,2,1,0,0,615,0,1,616,0
18,64,134,191,4,70,121,0,0,0,0,0,0,584,0,1,585,0
19,16,67,53,0,12,89,0,0,0,1,0,0,238,0,3,241,0
20,46,129,173,2,43,141,2,0,2,0,0,0,538,0,1,539,0
21,48,214,165,1,37,264,0,0,1,0,0,3,733,0,2,735,0
22,55,194,81,2,43,185,0,0,0,1,0,0,561,0,0,561,0
23,16,171,74,1,13,127,0,0,0,1,0,1,404,0,4,408,0
24,43,117,298,2,75,168,0,0,0,1,1,0,705,0,0,705,0
25,53,222,238,2,57,161,0,0,0,0,1,2,736,0,2,738,0
26,25,151,147,2,42,234,1,0,0,3,5,1,611,0,1,612,0
27,17,84,136,1,21,88,0,0,0,0,1,1,349,0,1,350,0
28,38,130,188,1,30,165,1,0,1,1,0,0,555,0,5,560,0
29,27,86,146,3,32,191,0,0,1,0,1,1,488,0,3,491,0
30,58,159,192,3,43,252,0,0,2,0,0,1,710,0,5,715,0
31,93,274,221,3,27,308,1,2,5,0,2,0,936,0,2,938,0
32,44,174,249,1,21,200,0,0,0,1,0,0,690,0,2,692,0
33,38,171,147,2,25,147,0,0,1,0,2,0,533,0,0,533,0
34,56,190,168,1,40,135,1,0,1,0,0,0,592,0,3,595,0
35,6,132,101,2,18,173,0,2,0,0,0,1,435,0,2,437,0
36,64,302,242,3,49,245,1,1,0,1,5,6,919,0,4,923,0
37,28,240,123,1,53,196,0,0,2,0,1,1,645,0,1,646,0
