Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
24,322,320,76,0,1,200,25,0,0,1,0,1,0,0,0,946,0,1,947,0
25,117,111,20,0,1,63,3,0,0,0,0,1,0,0,0,316,0,0,316,0
26,170,184,11,0,0,63,5,0,0,0,0,1,1,0,2,437,0,2,439,0
27,233,318,20,0,1,133,9,0,0,0,1,0,1,0,4,720,0,6,726,0
28,248,271,37,0,0,175,7,0,0,0,0,0,0,0,0,738,0,2,740,0
29,179,260,40,0,0,156,12,0,1,0,0,1,0,0,1,650,0,1,651,0
30,164,274,34,0,0,131,6,0,1,0,0,0,0,0,3,613,0,2,615,0
31,159,260,49,0,0,104,24,0,0,2,0,0,0,2,0,600,0,3,603,0
32,242,381,17,0,0,184,3,8,1,1,0,0,0,1,2,840,0,4,844,0
33,209,223,46,0,0,104,1,0,0,0,0,0,0,2,0,585,0,4,589,0
34,168,237,40,0,3,151,4,0,0,0,0,0,0,0,0,603,0,3,606,0
35,319,362,60,0,0,158,19,0,0,0,0,0,0,4,3,925,0,5,930,0
36,110,298,41,0,0,173,22,0,0,0,0,0,0,0,1,645,0,2,647,0
37,177,202,33,0,0,175,4,0,0,0,1,0,0,1,0,593,0,1,594,0
38,127,184,30,1,1,137,15,0,0,0,0,0,0,1,1,497,0,0,497,0
39,119,208,26,0,0,152,4,2,0,0,0,0,0,1,0,512,0,1,513,0
40,97,196,20,0,0,175,16,0,0,1,0,0,0,0,0,505,0,0,505,0
41,192,313,22,0,0,184,16,0,1,0,0,0,0,0,3,731,0,0,731,0
42,228,289,43,0,0,207,28,1,0,0,0,1,1,0,0,798,0,4,802,0
43,187,212,21,0,0,113,13,0,0,0,0,1,0,0,0,547,0,4,551,0
44,196,279,16,0,1,173,1,0,1,0,0,47,0,0,2,716,0,2,718,0
45,264,300,61,0,0,304,3,1,1,0,0,1,0,2,0,937,0,5,942,0
46,133,165,43,0,0,212,6,0,0,0,0,2,0,0,0,561,0,1,562,0
47,100,127,48,0,1,203,6,0,0,0,1,0,0,0,0,486,0,3,489,0
48,102,223,58,0,0,273,9,1,0,0,0,3,0,1,0,670,0,1,671,0
49,75,127,20,0,0,177,0,0,0,0,1,10,0,1,0,411,0,1,412,0
50,118,151,17,0,1,216,5,0,0,0,1,19,0,0,0,528,0,2,530,0
51,198,233,18,1,1,204,4,0,0,1,0,33,0,1,0,694,0,0,694,0
52,163,199,37,2,0,254,4,2,0,0,0,17,0,1,2,681,0,1,682,0
53,197,268,43,1,1,195,1,1,0,0,1,6,0,0,1,715,0,4,719,0
54,106,218,54,0,0,136,3,1,0,1,0,53,1,1,4,578,0,5,583,0
55,255,261,42,0,1,287,1,1,0,1,0,15,0,3,2,869,0,2,871,0
56,142,162,23,1,0,255,1,0,0,0,0,1,0,0,0,585,0,3,588,0
57,179,237,21,2,1,229,5,2,0,0,2,8,0,2,1,689,0,7,696,0
58,264,283,33,1,0,348,3,0,0,0,2,60,2,1,1,998,0,1,999,0
59,119,297,34,1,0,305,9,0,0,0,0,0,0,0,0,765,0,0,765,0
60,97,194,60,0,0,220,11,0,0,0,0,0,0,1,2,585,0,5,590,0
61,78,282,26,0,0,208,4,0,0,0,0,0,1,0,0,599,0,3,602,0
62,141,232,44,0,0,308,12,1,0,0,0,1,0,0,0,739,0,2,741,0
63,147,288,42,0,0,265,8,0,1,0,0,0,0,0,1,752,0,4,756,0
64,144,113,31,0,2,143,11,0,0,1,0,0,0,1,0,446,0,0,446,0
65,181,225,28,1,1,235,5,1,1,1,0,1,0,0,2,682,0,1,683,0
66,136,242,26,1,0,271,10,0,0,0,0,0,0,0,0,686,0,1,687,0
67,62,167,18,0,1,160,4,1,0,0,0,2,0,0,0,415,0,1,416,0
68,101,150,22,0,0,201,9,0,0,0,0,0,1,1,0,485,0,5,490,0
69,108,208,18,0,0,226,8,0,0,0,0,0,0,0,0,568,0,3,571,0
70,99,216,25,0,0,210,4,0,0,1,0,2,0,0,0,557,0,6,563,0
71,132,210,24,0,0,233,6,1,0,0,0,0,0,0,0,606,0,2,608,0
