Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
133,331,295,71,0,0,163,13,1,1,0,0,0,1,1,4,881,0,3,884,0
134,126,173,8,0,0,129,2,0,0,0,0,0,0,1,4,443,0,1,444,0
135,209,127,15,1,0,125,0,0,0,1,0,1,0,1,1,481,0,4,485,0
136,201,189,29,0,0,132,2,1,0,0,0,0,0,0,1,555,0,4,559,0
137,225,177,30,0,0,159,1,2,0,0,0,1,3,2,0,600,0,6,606,0
138,323,208,17,0,3,185,3,0,0,1,0,1,0,1,5,747,0,5,752,0
139,118,170,8,0,0,82,0,0,0,0,0,0,0,1,1,380,0,1,381,0
140,386,147,35,1,0,144,3,0,1,0,0,1,0,0,1,719,0,5,724,0
141,188,246,17,0,0,137,0,0,0,0,0,2,0,1,1,592,0,3,595,0
142,133,185,17,2,0,154,1,0,0,0,1,0,0,1,1,495,0,1,496,0
143,188,154,39,0,0,174,6,0,0,0,0,0,0,0,1,562,0,1,563,0
144,145,173,35,0,1,174,6,0,0,1,1,0,0,1,0,537,0,0,537,0
145,387,254,35,2,0,225,2,0,0,0,0,2,1,0,1,909,0,5,914,0
146,430,224,26,0,0,137,0,0,0,0,0,1,1,0,1,820,0,4,824,0
147,291,261,28,0,0,154,1,1,0,0,0,0,0,0,1,737,0,5,742,0
148,169,189,35,1,0,166,8,0,0,0,0,1,1,0,0,570,0,2,572,0
149,248,401,12,0,3,317,0,0,0,1,0,10,0,1,5,998,0,8,1006,0
150,161,129,14,0,0,97,12,0,0,0,0,2,0,1,1,417,0,3,420,0
151,216,327,15,0,1,277,3,0,1,1,1,3,0,0,2,847,0,4,851,0
