Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
22,22,2,31,215,184,0,0,1,0,1,333,0,0,0,1,1,1,0,0,1,1,0,772,0,3,775,0
23,23,1,42,188,177,1,1,1,0,0,298,2,0,1,1,1,1,1,1,0,2,0,719,0,1,720,0
24,24,0,19,172,129,0,0,0,0,0,198,1,0,0,0,1,0,0,0,0,0,0,520,0,1,521,0
25,25,2,27,175,124,0,0,3,0,1,153,0,0,1,0,2,0,0,0,0,1,0,489,0,1,490,0
26,26,1,26,166,192,0,2,0,1,1,301,0,1,0,1,2,1,0,1,0,1,0,697,0,1,698,0
27,27,1,26,176,143,0,0,0,0,1,267,4,1,0,0,0,0,0,0,2,0,1,622,0,3,625,0
28,28,0,21,242,97,0,0,1,1,0,186,0,0,0,1,0,0,0,0,1,0,1,551,0,2,553,0
29,29,1,18,168,156,2,1,1,0,13,250,4,1,1,0,1,1,0,0,0,0,0,618,0,1,619,0
30,30,1,28,193,227,0,1,0,0,1,191,6,1,0,2,0,0,0,0,0,0,0,651,0,2,653,0
31,31,1,44,160,220,2,1,0,0,1,235,2,0,1,1,0,2,0,1,4,0,0,675,0,3,678,0
32,32,1,47,283,109,0,0,0,3,2,225,0,1,0,1,3,0,0,1,1,0,1,678,0,0,678,0
33,33,1,42,195,231,2,0,0,1,1,260,0,1,2,1,0,0,1,0,0,1,0,739,0,0,739,0
34,34,2,18,188,150,0,0,0,1,3,208,1,2,1,0,0,0,3,0,0,1,0,578,0,4,582,0
35,35,0,21,135,112,1,0,2,0,0,218,0,0,0,0,1,1,0,0,0,1,1,493,0,3,496,0
36,36,1,17,245,209,3,1,0,0,2,348,0,1,1,0,1,3,0,0,2,2,0,836,0,6,842,0
37,37,2,11,151,130,0,0,1,2,0,258,0,0,0,0,0,1,0,0,2,1,0,559,0,1,560,0
38,38,0,15,93,142,2,1,0,0,0,155,2,2,1,0,0,0,0,0,0,0,0,413,0,2,415,0
39,39,1,28,244,230,2,0,0,1,1,265,0,1,1,0,0,0,0,0,0,0,1,775,0,0,775,0
40,40,0,17,139,204,2,0,0,2,1,174,1,0,1,2,0,0,0,0,1,0,0,544,0,3,547,0
41,41,1,21,231,210,1,0,0,1,2,349,0,0,0,1,2,2,0,0,1,0,0,822,0,4,826,0
42,42,1,40,273,216,0,1,0,0,1,405,0,1,2,1,1,1,0,0,0,2,0,945,0,1,946,0
43,43,2,77,303,298,1,1,0,0,0,357,3,2,0,3,3,1,0,0,1,0,0,1052,0,1,1053,0
44,44,1,20,227,145,2,0,0,0,2,284,5,0,0,1,1,1,0,0,0,1,0,690,0,0,690,0
45,45,1,6,74,140,0,1,0,0,1,81,0,0,1,0,1,0,0,1,0,1,0,308,0,4,312,0
46,46,0,27,202,167,0,1,0,0,1,270,2,0,0,0,0,1,1,0,1,3,0,676,0,3,679,0
47,47,1,51,248,192,0,1,0,1,3,293,0,1,2,0,1,2,0,1,1,1,0,799,0,4,803,0
48,48,0,17,207,198,0,0,0,1,0,264,3,0,0,0,1,3,0,0,0,2,0,696,0,1,697,0
49,49,0,24,265,101,0,5,0,0,0,234,0,0,0,0,0,1,0,0,1,1,0,632,0,3,635,0
50,50,0,10,105,173,0,0,0,0,0,123,0,1,0,0,0,0,0,0,0,1,1,414,0,2,416,0
51,51,1,16,157,253,2,0,0,0,1,243,1,0,1,1,0,2,0,0,0,0,0,678,0,5,683,0
52,52,0,49,190,187,1,2,0,0,1,238,2,0,0,0,1,1,1,0,1,1,0,675,0,2,677,0
53,53,0,40,218,208,0,0,0,0,3,412,1,0,0,3,2,0,0,0,1,0,0,888,0,8,896,0
54,54,2,36,311,124,0,1,1,1,2,477,1,3,0,0,2,1,0,0,1,0,2,965,0,1,966,0
55,55,0,19,205,134,0,1,0,0,1,286,0,0,0,1,1,0,0,0,0,0,0,648,0,2,650,0
56,56,1,30,204,132,0,0,1,0,0,313,1,2,0,1,0,0,0,0,0,0,0,685,0,1,686,0
57,57,1,36,261,173,1,0,0,0,4,425,0,2,2,1,0,0,0,0,1,0,0,907,0,2,909,0
58,58,2,42,221,110,1,0,0,0,0,287,0,0,0,1,1,1,0,1,0,0,0,667,0,1,668,0
59,59,0,21,159,102,0,0,0,0,1,229,0,1,0,0,0,0,0,0,0,0,0,513,0,3,516,0
60,60,3,20,299,195,1,0,0,0,1,288,1,1,1,1,1,2,0,0,1,1,0,816,0,0,816,0
61,61,2,22,146,208,0,0,0,0,2,284,0,1,0,2,1,0,0,0,0,0,0,668,0,0,668,0
62,62,1,26,185,95,0,1,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,560,0,3,563,0
63,63,1,44,207,74,0,0,0,0,0,376,1,1,0,0,0,0,0,1,0,0,0,705,0,7,712,0
64,64,3,16,237,73,0,0,1,0,1,279,0,0,0,0,0,0,0,1,0,0,0,611,0,1,612,0
65,65,0,27,261,126,0,1,0,1,1,334,1,0,0,0,1,0,0,0,0,2,0,755,0,2,757,0
66,66,2,22,276,115,1,0,0,0,1,329,1,0,1,0,0,3,0,0,1,0,1,753,0,3,756,0
67,67,1,20,212,295,2,1,0,2,2,512,1,2,1,1,0,1,0,1,3,2,0,1059,0,1,1060,0
68,68,0,23,190,238,1,0,0,0,0,326,2,1,1,2,0,1,0,1,1,0,1,788,0,2,790,0
69,69,0,13,121,62,2,0,0,0,1,148,1,0,0,1,1,1,0,0,2,1,0,354,0,0,354,0
70,70,1,23,196,369,1,0,1,1,0,306,1,1,0,0,1,2,0,0,1,0,0,904,0,7,911,0
71,71,1,39,240,248,0,0,0,0,0,376,0,0,1,1,1,1,0,0,1,0,0,909,0,2,911,0
72,72,1,24,173,378,0,0,0,0,1,305,2,0,0,1,1,2,0,0,0,0,0,888,0,2,890,0
73,73,1,19,113,355,1,0,0,3,1,255,4,0,1,0,1,0,0,0,0,0,0,754,0,5,759,0
74,74,0,10,122,266,1,0,1,0,1,297,3,1,0,0,1,3,0,0,0,0,0,706,0,4,710,0
75,75,0,15,52,212,0,0,0,0,2,155,0,1,0,0,2,0,0,0,0,0,0,439,0,0,439,0
76,76,1,17,104,191,0,0,0,0,0,193,0,1,0,0,1,1,0,0,0,2,1,512,0,3,515,0
77,77,0,18,109,131,0,0,0,0,0,319,3,0,0,2,0,0,0,1,1,0,0,584,0,4,588,0
78,78,1,15,122,290,0,1,1,0,0,255,3,0,1,3,0,2,0,0,0,3,0,697,0,2,699,0
79,79,1,21,112,286,1,0,0,0,1,203,0,0,1,0,0,1,0,1,0,0,0,628,0,4,632,0
80,80,1,8,42,224,1,0,0,0,0,74,4,0,0,0,0,0,1,0,0,0,0,355,0,4,359,0
81,81,1,6,57,149,1,0,0,0,0,112,0,0,0,0,0,1,0,0,0,1,0,328,0,3,331,0
82,82,1,14,104,312,2,0,3,0,2,182,4,1,0,1,3,0,0,0,0,1,0,630,0,6,636,0
83,83,0,26,166,229,1,0,0,0,1,324,2,0,0,0,0,2,0,0,0,0,0,751,0,9,760,0
84,84,0,16,199,157,4,0,0,0,1,246,0,0,2,0,0,0,0,0,0,0,0,625,0,3,628,0
