Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
221,221,1,50,238,191,0,2,0,0,2,488,2,1,0,0,1,0,0,0,2,3,0,981,0,4,985,0
222,222,0,28,187,178,1,1,0,0,4,342,1,0,0,0,0,1,1,0,2,1,0,747,0,1,748,0
223,223,2,22,111,135,2,0,1,0,1,291,2,0,19,0,1,2,0,0,1,4,0,594,0,2,596,0
224,224,2,42,327,222,1,1,0,0,1,377,2,0,2,2,1,2,0,0,0,0,0,982,0,0,982,0
225,225,0,25,220,158,0,0,0,0,1,186,0,1,0,0,1,1,0,0,0,0,0,593,0,0,593,0
226,226,1,45,255,146,1,0,0,1,1,413,1,1,0,0,0,0,1,0,1,1,0,868,0,4,872,0
227,227,1,9,138,63,0,1,0,0,0,239,1,0,0,1,0,0,0,0,1,1,0,455,0,5,460,0
228,227A,0,35,129,45,0,1,0,0,0,237,2,0,0,0,0,2,0,0,0,0,0,451,0,0,451,0
229,228,2,28,220,125,0,0,0,0,1,450,0,0,0,0,0,1,0,0,0,1,0,828,0,0,828,0
230,229,0,43,226,236,0,1,0,0,4,356,1,0,0,1,1,0,0,0,1,2,0,872,0,3,875,0
231,230,0,42,288,90,1,0,0,1,1,396,1,0,0,0,0,0,0,0,1,1,0,822,0,5,827,0
232,231,1,43,320,96,0,2,1,2,2,393,2,1,0,1,0,2,1,1,1,2,0,871,0,3,874,0
233,232,5,51,246,201,0,0,0,0,0,393,0,3,0,0,2,1,0,0,0,0,0,902,0,4,906,0
234,233,0,12,194,100,0,0,0,0,3,279,2,0,0,1,0,1,1,1,0,1,0,595,0,1,596,0
235,234,1,57,272,114,0,0,0,0,0,361,2,1,0,0,1,0,0,1,0,0,0,810,0,7,817,0
236,235,2,31,193,88,0,0,0,2,1,229,0,0,0,0,0,0,0,0,0,2,0,548,0,2,550,0
237,236,1,32,142,70,0,0,0,1,1,350,0,2,0,1,1,2,1,0,1,1,1,607,0,3,610,0
238,237,0,34,199,87,0,0,1,0,0,237,0,1,0,1,1,0,0,0,1,1,0,563,0,3,566,0
239,238,0,34,136,57,0,0,0,0,0,218,1,0,0,1,0,0,0,0,0,0,0,447,0,0,447,0
240,239,1,43,281,120,0,2,0,0,2,427,0,1,1,0,0,1,0,0,0,0,0,879,0,2,881,0
241,240,0,53,263,113,0,1,0,1,0,400,0,0,1,0,0,1,0,1,0,0,0,834,0,8,842,0
242,241,0,24,224,94,0,0,0,0,0,258,2,0,0,0,0,0,0,1,0,2,0,605,0,3,608,0
243,242,2,52,199,149,0,1,0,0,1,349,1,2,0,1,1,1,1,0,1,1,1,763,0,1,764,0
244,243,0,39,223,132,0,0,0,1,2,284,1,1,0,0,0,0,0,0,0,0,0,683,0,6,689,0
245,244,0,56,245,131,0,0,1,2,1,408,0,0,0,1,0,1,0,0,0,0,0,846,0,3,849,0
246,245,1,33,157,201,1,0,0,1,1,313,1,1,1,0,1,0,1,0,1,1,0,715,0,1,716,0
247,246,1,28,177,105,0,1,0,3,0,272,3,1,1,0,1,1,0,0,1,0,1,596,0,1,597,0
248,247,3,28,330,111,0,0,1,1,2,317,2,0,0,0,1,1,0,1,0,0,0,798,0,3,801,0
249,248,0,36,214,123,0,0,0,3,0,319,1,0,0,0,0,0,0,0,0,2,0,698,0,2,700,0
250,249,0,24,235,113,0,0,0,1,1,342,2,0,0,0,0,2,1,0,0,1,1,723,0,4,727,0
251,250,0,22,70,196,1,0,1,1,1,320,2,1,2,0,0,5,0,0,1,0,0,623,0,0,623,0
252,251,1,34,186,136,0,1,0,0,1,347,0,1,2,1,4,1,0,0,0,0,0,715,0,3,718,0
253,252,0,14,148,75,1,0,0,0,0,393,0,0,0,0,0,2,0,0,0,0,0,633,0,1,634,0
254,253,1,19,112,119,1,0,1,0,1,341,0,4,0,0,0,0,0,0,0,1,0,600,0,1,601,0
255,254,1,31,138,188,0,2,0,0,0,304,0,1,1,0,1,0,0,0,1,0,2,670,0,3,673,0
256,255,1,71,139,299,3,0,0,1,1,217,0,0,0,0,2,2,0,0,0,1,0,737,0,2,739,0
257,256,2,42,144,224,0,0,0,0,1,345,0,3,0,0,3,1,1,0,0,1,0,767,0,0,767,0
258,257,0,44,82,206,0,0,1,2,2,309,1,0,1,4,2,1,0,0,1,1,0,657,0,0,657,0
259,258,7,36,134,179,2,0,2,1,2,291,0,1,1,3,1,1,0,0,2,3,1,667,0,1,668,0
260,259,5,28,160,123,1,0,1,1,2,300,0,0,0,1,0,2,0,0,1,2,0,627,0,3,630,0
261,260,6,43,228,263,1,2,0,0,1,436,1,1,0,0,0,0,0,0,0,0,0,982,0,2,984,0
262,261,1,22,154,273,4,0,1,1,3,180,1,2,1,2,4,1,3,2,0,2,2,659,0,3,662,0
263,262,2,28,194,196,1,0,2,0,1,371,3,2,2,0,1,0,0,0,1,2,0,806,0,5,811,0
264,263,0,27,137,256,2,0,1,0,1,325,1,1,1,0,4,0,0,1,1,4,1,763,0,1,764,0
265,264,3,42,187,238,0,3,1,0,1,241,1,1,1,0,0,1,1,1,0,2,1,725,0,1,726,0
266,265,0,31,201,147,0,0,0,2,1,181,2,4,1,0,2,1,0,0,1,0,0,574,0,1,575,0
267,266,2,30,214,125,0,1,0,1,3,213,2,1,0,3,4,3,0,1,1,2,2,608,0,3,611,0
268,267,1,38,169,204,2,0,0,0,0,252,0,1,0,0,1,0,0,0,0,0,0,668,0,3,671,0
269,268,1,45,287,125,1,0,0,0,1,310,3,0,0,0,0,1,0,0,0,2,0,776,0,2,778,0
270,269,1,77,224,262,2,0,2,0,1,211,1,0,0,1,0,1,1,1,2,4,0,791,0,3,794,0
271,270,2,24,195,174,2,0,1,1,1,273,1,3,2,3,5,2,2,0,1,2,0,694,0,2,696,0
272,271,2,44,202,320,1,0,1,0,0,283,1,0,2,0,4,1,0,0,1,1,1,864,0,1,865,0
273,272,1,29,194,159,0,1,1,0,0,267,1,1,2,1,1,6,0,0,4,0,0,668,0,1,669,0
274,273,0,14,144,137,1,0,1,0,0,257,1,1,1,1,1,1,1,0,0,1,0,562,0,1,563,0
275,274,3,12,99,157,2,0,0,0,1,222,0,0,1,0,0,0,0,0,1,0,0,498,0,0,498,0
276,275,1,25,190,183,2,1,0,0,1,345,5,1,1,0,1,1,0,2,0,0,0,759,0,0,759,0
277,276,1,21,131,78,0,0,0,0,1,182,1,0,0,0,0,0,0,0,0,0,1,416,0,1,417,0
278,277,0,27,211,89,1,0,1,0,2,251,1,1,2,0,0,2,0,0,0,1,0,589,0,6,595,0
279,278,0,16,121,123,0,0,0,0,1,246,0,0,0,0,0,1,0,0,0,2,0,510,0,2,512,0
280,279,1,53,210,202,2,0,0,0,1,366,0,0,1,1,1,0,0,0,2,1,0,841,0,2,843,0
281,280,0,24,117,224,0,0,1,0,1,197,1,0,1,1,2,1,2,0,1,3,0,576,0,1,577,0
282,281,0,31,227,133,0,0,0,0,1,334,3,1,0,0,2,1,0,1,0,2,0,736,0,1,737,0
283,282,4,30,221,222,2,1,0,0,3,366,4,4,1,1,1,2,1,0,2,2,1,868,0,2,870,0
284,283,3,51,214,131,1,4,4,1,4,408,3,0,1,1,3,0,0,2,1,1,0,833,0,3,836,0
285,284,0,52,240,118,0,0,0,0,0,303,0,0,0,0,1,0,0,0,0,0,0,714,0,4,718,0
286,285,1,62,192,248,2,1,1,2,1,414,1,1,0,2,3,1,1,0,0,0,0,933,0,3,936,0
287,286,3,50,195,187,0,0,1,2,1,327,3,2,2,3,2,1,0,0,1,0,0,780,0,3,783,0
288,287,0,54,200,212,1,0,1,1,2,305,1,1,0,1,0,0,0,0,0,1,0,780,0,0,780,0
289,288,1,35,194,186,5,0,1,1,1,193,0,3,2,3,4,1,0,1,1,2,0,634,0,0,634,0
290,289,0,33,136,83,2,0,3,1,2,324,1,2,1,0,3,4,0,0,3,0,4,602,0,1,603,0
291,290,0,0,50,27,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,98,0,0,98,0
292,291,0,30,226,123,1,0,1,0,2,318,2,3,3,1,1,0,0,0,1,0,0,712,0,4,716,0
293,292,0,39,93,97,0,0,0,1,1,397,2,1,0,1,1,1,0,0,1,1,0,636,0,1,637,0
294,293,0,22,134,85,0,0,0,0,1,247,0,0,0,2,0,1,0,0,0,0,0,492,0,0,492,0
295,294,1,19,145,119,1,0,0,0,1,231,0,1,0,0,1,0,1,0,0,1,0,521,0,0,521,0
296,295,1,19,102,73,0,1,1,1,0,228,2,0,2,1,3,2,1,0,1,1,2,441,0,0,441,0
297,296,0,19,110,64,0,1,0,0,3,288,4,1,0,0,0,1,1,0,0,0,0,492,0,3,495,0
298,297,1,3,60,25,0,0,0,0,0,42,0,2,2,0,0,0,0,1,1,2,0,139,0,1,140,0
299,298,2,35,182,56,0,2,0,0,1,284,0,0,1,1,5,2,0,0,1,1,0,573,0,4,577,0
300,299,1,42,184,136,3,0,1,0,2,317,3,0,0,1,3,1,0,0,2,1,3,700,0,1,701,0
301,300,1,47,207,124,4,3,0,1,2,282,5,2,2,1,0,2,0,2,5,6,0,696,0,2,698,0
302,301,0,44,224,108,1,0,3,0,0,282,0,0,0,1,1,0,1,1,1,2,0,669,0,1,670,0
303,302,3,60,213,127,1,0,0,0,1,346,2,1,0,1,1,0,1,0,2,1,1,761,0,2,763,0
304,303,0,28,153,121,1,0,0,0,2,237,1,1,0,1,0,1,0,0,2,3,0,551,0,0,551,0
305,304,1,40,118,150,3,2,1,2,1,252,1,1,0,1,2,0,0,0,2,0,0,577,0,4,581,0
306,305,1,44,180,136,1,0,1,0,1,380,1,1,1,0,2,0,0,0,1,4,1,755,0,2,757,0
307,306,1,24,126,193,1,1,0,0,1,128,0,0,2,0,1,0,0,0,1,0,0,479,0,0,479,0
308,307,1,31,98,81,0,1,0,0,1,126,0,0,1,1,0,1,0,0,1,0,0,343,0,1,344,0
309,308,1,19,134,195,0,0,0,0,2,351,0,0,1,2,1,1,0,0,0,0,0,707,0,0,707,0
310,309,1,52,183,160,1,0,0,1,3,299,5,0,0,2,0,0,0,0,1,3,0,711,0,7,718,0
311,310,4,75,206,151,3,1,1,3,2,315,0,0,1,2,4,0,3,1,1,3,0,776,0,5,781,0
312,311,1,62,123,119,0,0,4,1,0,435,1,4,3,2,2,5,0,1,1,2,1,767,0,1,768,0
313,312,0,25,144,96,1,0,0,1,1,118,2,1,0,2,2,1,0,0,1,0,0,395,0,1,396,0
314,313,1,68,120,82,2,0,2,0,3,295,0,0,2,1,0,1,0,0,0,0,0,577,0,0,577,0
315,314,0,31,188,124,0,1,2,0,2,286,1,0,1,1,0,1,1,0,2,4,0,645,0,1,646,0
316,315,2,55,218,260,1,1,2,0,2,303,2,3,2,1,0,1,0,0,0,1,0,854,0,2,856,0
317,316,0,18,140,220,1,1,0,2,3,272,1,0,0,1,1,1,0,0,2,4,0,667,0,1,668,0
318,317,0,22,125,239,0,0,0,0,3,281,0,2,0,1,0,2,1,0,0,0,0,676,0,3,679,0
319,318,0,14,593,67,1,1,0,0,1,258,0,1,0,0,2,1,1,0,5,0,0,945,0,0,945,0
320,319,0,14,628,55,0,0,0,0,1,208,0,0,0,1,0,1,0,1,1,1,0,911,0,2,913,0
321,320,1,18,328,52,0,1,0,0,0,170,0,0,2,0,0,0,0,0,0,0,0,572,0,0,572,0
322,321,2,8,297,27,0,0,0,0,2,141,1,0,0,0,1,0,0,0,0,0,0,479,0,0,479,0
323,322,0,21,564,33,1,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,774,0,0,774,0
324,323,0,21,331,86,1,0,0,0,1,183,0,0,0,0,0,2,0,0,1,0,0,626,0,0,626,0
325,324,4,49,270,176,1,0,0,2,2,466,0,1,0,2,2,0,0,0,0,1,0,976,0,3,979,0
326,325,0,36,135,137,0,3,1,2,3,208,1,2,0,1,0,1,0,0,1,0,0,531,0,1,532,0
327,326,0,91,175,258,0,0,0,0,2,330,3,2,0,1,1,0,1,0,0,0,2,866,0,2,868,0
328,327,1,54,231,234,2,0,0,1,0,253,1,1,2,1,0,1,0,0,1,1,1,785,0,2,787,0
329,328,1,36,194,216,1,0,0,0,3,370,3,3,0,1,0,1,0,1,0,3,1,834,0,2,836,0
330,329,1,37,191,223,0,0,1,0,1,231,1,1,0,0,1,1,0,0,3,0,0,692,0,1,693,0
331,330,1,92,272,263,3,0,0,0,1,282,0,1,4,1,1,5,1,0,3,4,1,935,0,0,935,0
332,331,1,28,311,292,3,1,0,0,0,250,0,0,2,2,1,0,0,2,2,6,0,901,0,0,901,0
333,332,0,36,225,202,0,0,0,1,2,121,1,0,0,4,1,2,0,0,0,0,0,595,0,2,597,0
334,333,1,24,189,197,2,0,0,0,2,107,0,1,0,2,1,1,0,0,3,2,0,532,0,2,534,0
335,334,0,20,169,227,2,0,1,0,1,111,0,0,1,1,0,0,0,0,7,4,0,544,0,2,546,0
336,335,0,45,179,248,1,0,0,0,1,224,0,1,1,2,0,0,0,0,1,1,0,704,0,0,704,0
337,336,4,27,167,239,1,0,0,0,1,171,0,0,0,1,1,1,1,1,2,4,0,621,0,0,621,0
338,337,1,31,223,330,0,2,0,0,2,164,2,1,0,2,1,0,0,1,3,1,0,764,0,1,765,0
339,338,3,33,231,201,2,1,0,0,0,199,0,4,1,1,0,1,0,0,3,3,0,683,0,0,683,0
340,339,1,28,131,191,0,1,1,0,2,176,0,1,0,0,1,2,0,0,1,3,0,539,0,1,540,0
341,340,0,27,181,209,1,1,0,0,1,157,0,1,2,1,0,0,0,0,0,1,1,583,0,0,583,0
342,341,1,23,266,235,3,0,0,0,0,168,1,1,1,3,1,0,1,0,1,1,3,709,0,0,709,0
343,342,1,12,160,172,2,0,2,1,0,216,3,0,2,2,1,1,0,0,3,1,1,580,0,1,581,0
344,343,1,8,209,240,1,3,0,0,2,244,0,1,3,2,0,1,0,0,0,4,0,719,0,2,721,0
345,344,0,15,176,221,4,0,1,3,3,234,0,0,0,0,1,2,1,0,2,3,0,666,0,0,666,0
346,345,1,23,210,326,4,0,1,0,1,272,0,0,1,0,1,2,1,2,5,2,2,854,0,1,855,0
347,346,1,45,396,332,2,0,0,2,2,232,0,1,2,2,0,1,0,3,5,3,2,1031,0,3,1034,0
348,347,0,38,337,437,6,1,1,0,3,245,3,0,3,1,1,2,0,1,10,9,1,1099,0,3,1102,0
349,348,0,36,210,176,0,0,2,1,1,327,3,0,0,6,1,6,0,2,1,2,1,775,0,2,777,0
350,349,1,20,205,199,2,0,0,0,0,184,1,1,2,0,2,0,0,0,2,1,2,622,0,0,622,0
351,350,3,52,200,155,1,1,0,3,2,239,2,5,1,3,0,5,0,1,0,0,2,675,0,1,676,0
352,351,2,30,259,133,2,1,0,1,2,388,0,0,0,4,1,3,0,0,2,1,0,829,0,2,831,1
353,352,0,24,285,386,2,0,0,0,0,155,1,0,0,2,0,1,0,0,1,4,2,863,0,1,864,0
354,353,1,36,346,181,0,0,2,1,1,195,1,0,1,5,1,1,1,0,11,9,1,794,0,1,795,0
355,354,0,31,337,193,1,0,0,0,1,248,0,1,1,2,0,0,0,0,0,0,1,816,0,3,819,0
356,355,1,12,153,115,1,0,0,0,1,119,0,0,1,3,1,0,0,1,2,1,0,411,0,1,412,0
357,356,1,78,223,378,1,1,1,0,1,194,0,1,1,3,1,0,0,1,2,2,0,889,0,2,891,0
358,357,1,57,165,221,1,0,0,0,0,125,0,0,0,1,0,1,0,0,1,2,0,575,0,2,577,0
359,358,1,57,177,247,1,0,1,0,1,117,2,1,0,2,1,0,0,0,0,0,0,608,0,0,608,0
360,359,1,24,125,118,0,0,0,0,1,246,0,2,1,0,0,1,0,0,1,3,0,523,0,1,524,0
361,360,0,28,189,195,2,0,0,0,0,295,3,2,2,1,2,0,0,0,0,2,0,721,0,4,725,0
362,361,2,35,195,160,1,0,0,0,0,204,1,1,1,0,0,1,0,0,0,0,0,601,0,0,601,0
363,362,0,15,130,164,0,1,0,0,0,233,0,1,0,1,0,0,1,0,0,0,0,546,0,3,549,0
364,363,1,47,274,237,0,1,1,0,0,325,0,3,1,4,0,0,0,0,1,4,0,899,0,4,903,0
365,364,0,57,338,227,0,0,0,0,1,170,0,4,3,1,0,1,0,0,3,1,0,806,0,1,807,0
366,365,0,30,176,176,3,0,0,0,0,139,0,0,2,1,1,0,1,0,0,0,0,529,0,0,529,0
367,366,1,54,310,223,0,0,1,0,4,322,1,0,0,0,2,1,0,0,1,2,1,923,0,4,927,0
