Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
138,643,,152,14,101,,,287,,,,,,,,,567,,567,
139,992,,,31,168,,,367,,,,,,,,,805,,805,
140,1015,,,55,127,,,324,,,,,,,,,799,,799,
141,959,,3,,168,,,348,,,,,,,,,741,,741,
142,648,,,1,58,,,188,,,,,,,,,523,,523,
143,752,,92,,190,,,278,,,,,,,,,584,,584,
144,1016,,356,27,135,,,281,,,,,,,,,818,,818,
145,,,,,,,,,,12,13,14,15,,,,,,,
146,848,,194,,204,,,240,,,,,,,,,673,,,
147,924,,134,,328,,,256,,,,,,,,,761,,761,
148,692,,289,,36,,,219,,,,,,,,,575,,575,
149,684,,,18,7,,,,,,,,,,,,580,,580,
150,756,,,23,,,,,,,,,,,,,629,,629,
151,831,,,29,139,,,,,,,,,,,,707,,707,
152,798,,,22,106,,,,,,,,,,,,720,,720,
153,516,,,,4,,,181,,,,,,,,,404,,,
154,618,,,1,,,,203,,,,,,,,,495,,495,
155,635,,,,100,,,231,,,,,,,,,536,,536,
156,742,,,19,,,,204,,,,,,,,,,,614,
157,987,,4,28,0,,,396,,,,,,,,,808,,808,
158,1068,,338,,158,,,350,,,,,,,,,894,,894,
159,596,,142,,143,,,214,,,,,,,,,516,,516,
160,,,,,,,,,11,,13,14,15,16,17,,,,,
161,536,,141,22,110,,,162,,,,,,,,,440,,440,
162,697,,195,19,158,,,201,,,,,,,,,580,,580,
163,1150,,280,,176,,,431,,,,,,,,,924,,924,
164,646,,238,,,,,204,,,,,,,,,555,,555,
165,707,,334,3,9,,,175,,,,,,,,,600,,500,
166,761,,215,,164,,,225,,,,,,,,,636,,,
167,857,,259,,130,,,281,,,,,,,,,717,,,
168,804,,196,1,171,,,250,,,,,,,,,,,549,
169,704,,,,253,,,181,,,,,,,,,588,,588,
170,616,,,,205,,,160,,,,,,,,,507,,507,
171,830,,,,,,,198,,,,,,,,,749,,749,
172,744,,,,0,,,206,,,,,,,,,550,,650,
173,661,,,,,,,180,,,,,,,,,567,,567,
