Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
257,309,18,1,120,0,0,0,1,1,239,0,1,0,0,0,2,1,0,0,693,0,2,695,0
258,262,12,0,147,0,0,1,0,0,156,0,0,0,0,1,0,0,0,1,580,0,5,585,0
259,218,14,0,111,0,0,0,1,0,136,0,0,0,0,0,1,0,0,0,481,0,3,484,0
260,117,16,1,111,0,1,0,3,0,164,0,0,0,0,1,0,0,0,0,414,0,2,416,0
261,123,12,1,134,0,0,0,0,0,131,0,0,0,0,0,0,1,0,1,403,0,1,404,0
262,227,36,2,216,1,0,1,0,2,363,0,2,0,0,0,2,0,1,0,853,0,7,860,0
263,217,28,1,570,3,1,0,2,2,244,1,1,0,0,2,3,1,0,0,1076,0,5,1081,0
264,220,18,0,447,5,0,0,2,2,223,0,0,0,0,1,3,1,0,0,922,0,2,924,0
265,171,12,0,224,0,0,0,1,0,134,0,0,2,0,1,0,3,1,1,550,0,2,552,0
266,237,13,0,411,1,0,0,2,0,219,0,1,1,0,0,2,0,0,0,887,0,3,890,0
267,136,14,0,282,2,0,0,0,0,129,0,0,0,1,0,1,3,0,0,568,0,1,569,0
268,311,25,0,381,3,0,0,1,0,333,0,0,0,0,0,1,2,0,1,1058,0,1,1059,0
269,163,16,2,366,1,0,0,0,3,161,0,0,1,1,2,1,0,0,0,717,0,2,719,0
270,487,6,0,161,0,1,0,0,1,237,0,0,1,0,0,1,4,0,0,899,0,0,899,0
271,228,19,1,150,1,0,0,2,2,187,0,0,0,0,0,1,2,0,0,593,0,1,594,0
272,196,15,0,247,1,1,0,0,0,193,0,0,1,0,0,1,4,0,0,659,0,2,661,0
273,114,14,0,194,0,0,0,1,0,135,1,0,1,0,1,0,0,0,0,461,0,0,461,0
274,169,13,1,233,1,0,0,2,1,253,0,0,0,0,0,1,0,0,0,674,0,2,676,0
275,232,25,0,230,0,1,0,7,2,177,0,1,2,0,0,1,2,0,0,680,0,1,681,0
276,369,19,1,277,0,0,0,2,1,341,0,0,0,0,2,1,2,0,0,1015,0,2,1017,0
277,255,5,1,242,1,0,0,0,0,159,2,0,2,0,0,1,2,0,0,670,0,5,675,0
278,261,23,1,194,0,1,0,3,2,233,0,0,1,1,0,0,2,0,0,722,0,6,728,0
279,275,11,0,135,1,0,0,2,0,165,0,0,0,0,2,2,0,0,0,593,0,1,594,0
280,137,20,0,222,1,3,0,2,0,194,1,1,0,0,1,1,3,0,0,586,0,2,588,0
281,143,22,1,208,1,1,0,1,1,136,1,0,0,0,1,0,5,0,0,521,0,0,521,0
282,200,14,0,187,0,0,0,0,0,142,0,0,0,0,0,0,1,0,0,544,0,3,547,0
283,194,14,2,185,0,0,0,0,0,150,1,0,0,0,1,2,1,0,0,550,0,4,554,0
284,129,22,0,247,0,0,0,2,0,190,0,0,0,1,0,0,0,0,2,593,0,1,594,0
285,231,26,1,277,1,0,0,0,2,185,0,0,0,0,0,0,0,0,0,723,0,3,726,0
286,146,15,1,292,0,0,0,0,0,171,0,0,1,0,1,1,2,0,0,630,0,2,632,0
287,188,26,1,219,0,0,1,0,1,164,0,0,0,1,0,0,0,0,0,601,0,2,603,0
