Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
60,614,11,2,57,1,1,0,0,6,190,1,1,0,2,3,0,2,1,0,892,0,0,892,0
61,167,23,0,160,0,0,2,0,1,328,0,0,0,0,1,2,2,0,0,686,0,0,686,0
62,208,28,0,232,0,0,0,0,2,238,1,0,0,0,1,1,1,0,0,712,0,3,715,0
63,286,16,5,186,2,1,0,0,2,390,0,0,1,1,0,0,0,0,0,890,0,1,891,0
64,295,26,3,249,0,1,2,4,2,285,3,0,2,0,0,3,4,0,1,880,0,2,882,0
65,194,18,0,272,0,2,0,1,1,185,0,0,0,0,3,1,0,0,0,677,0,0,677,0
66,176,32,0,262,0,1,0,1,1,342,0,0,0,0,0,2,0,0,1,818,0,1,819,0
67,240,15,0,158,0,0,0,1,2,175,0,0,0,0,0,1,2,0,0,594,0,3,597,0
68,217,37,0,234,0,2,0,1,3,333,0,1,0,0,1,2,4,1,0,836,0,5,841,0
69,356,30,1,288,3,0,0,2,4,298,0,2,0,1,1,5,2,1,0,994,0,1,995,0
70,152,23,0,389,3,0,1,0,1,238,0,0,0,0,1,3,0,0,1,812,0,1,813,0
71,265,19,3,300,1,2,0,1,1,208,0,0,0,2,0,1,1,2,2,808,0,5,813,0
72,304,41,1,298,1,0,0,2,3,274,2,1,2,0,4,4,3,0,0,940,0,4,944,0
73,102,14,0,245,2,0,0,0,0,102,0,0,0,0,0,0,0,0,1,466,0,0,466,0
74,218,25,1,369,3,0,2,2,0,236,0,1,1,0,2,2,2,0,0,864,0,1,865,0
75,178,33,1,226,0,1,0,2,3,220,0,0,0,0,2,0,1,0,0,667,0,3,670,0
76,224,32,1,382,3,2,3,1,1,294,0,0,1,2,1,1,0,0,0,948,0,4,952,0
77,330,21,3,320,2,0,0,2,1,285,1,1,0,0,2,3,4,0,1,976,0,2,978,0
78,407,20,2,346,2,2,0,2,0,170,0,1,0,1,3,4,6,1,3,970,0,4,974,0
79,260,15,1,300,3,1,0,2,0,258,0,0,0,0,1,1,0,0,0,842,0,1,843,0
80,256,21,1,370,0,1,0,0,2,228,0,0,0,0,4,0,1,1,0,885,0,2,887,0
81,174,21,1,346,0,0,0,2,1,159,0,0,0,0,1,0,0,0,0,705,0,4,709,0
82,260,22,1,436,4,0,0,0,1,175,0,0,0,0,1,0,0,0,0,900,0,1,901,0
83,207,18,3,421,0,5,0,0,2,279,1,0,0,0,1,1,0,0,0,938,0,1,939,0
84,569,14,1,152,1,0,0,0,0,216,0,0,0,1,1,0,2,0,0,957,0,0,957,0
85,202,25,1,322,0,3,0,0,1,251,0,0,0,1,0,0,2,0,0,808,0,3,811,0
86,192,19,1,360,1,0,0,2,3,184,1,0,1,2,1,3,2,0,0,772,0,2,774,0
87,132,14,1,315,1,1,1,1,1,217,0,1,1,0,0,2,3,0,0,691,0,3,694,0
88,144,23,0,406,1,0,0,3,2,263,0,1,2,1,1,1,4,1,1,854,0,2,856,0
89,256,26,1,350,0,3,0,1,1,210,2,0,0,2,2,1,3,0,0,858,0,1,859,0
90,252,29,5,338,4,0,0,2,0,279,1,0,0,1,1,3,4,0,0,919,0,2,921,0
91,329,16,1,290,1,1,0,0,2,189,0,2,3,1,3,7,3,0,1,849,0,2,851,0
92,230,13,1,160,1,0,3,0,1,169,0,1,1,1,1,3,4,0,1,590,0,3,593,0
93,88,9,1,206,0,2,0,0,0,52,0,0,2,0,0,1,2,0,0,363,0,2,365,0
94,189,7,2,287,4,0,0,1,0,173,0,0,1,1,0,1,1,0,2,669,0,2,671,0
95,308,24,2,325,3,0,1,0,1,191,2,0,2,1,3,4,11,0,2,880,0,10,890,0
96,166,33,1,349,6,0,0,1,2,132,0,1,2,0,4,6,0,0,0,703,0,1,704,0
97,156,23,11,318,3,1,1,1,5,121,1,1,0,0,3,5,0,1,0,651,0,1,652,0
98,269,35,1,332,2,2,0,2,3,287,1,0,0,0,1,4,3,0,0,942,0,8,950,0
99,202,12,0,372,1,0,0,0,1,196,0,1,0,0,1,0,0,0,0,786,0,2,788,0
100,214,16,0,220,0,0,0,3,3,207,1,1,0,1,0,0,1,0,0,667,0,3,670,0
101,246,15,1,317,0,0,0,0,0,271,1,0,1,0,0,0,1,0,2,855,0,5,860,0
102,166,14,1,228,0,2,0,1,0,193,0,0,0,0,0,0,1,0,0,606,0,3,609,0
103,114,16,3,286,2,2,0,0,0,192,1,0,0,1,1,1,0,0,0,619,0,0,619,0
104,91,16,0,300,4,0,0,2,0,147,0,0,0,1,0,0,0,0,0,561,0,0,561,0
105,198,18,0,287,1,0,0,0,1,210,0,1,1,0,0,2,2,0,1,722,0,3,725,0
106,277,15,0,351,1,0,0,0,1,174,1,0,0,0,0,0,0,0,0,820,0,3,823,0
107,184,21,1,242,1,4,1,1,0,211,1,0,0,0,1,0,0,0,0,668,0,4,672,0
108,239,24,2,372,1,0,0,0,0,294,1,0,0,0,0,0,1,0,0,934,0,1,935,0
109,133,12,1,244,2,1,1,0,0,213,0,0,0,0,0,1,0,1,0,609,0,0,609,0
110,333,29,1,211,0,2,0,1,0,273,0,0,1,0,0,2,1,0,0,854,0,5,859,0
111,283,24,1,216,0,0,0,0,1,243,0,0,0,0,0,1,1,0,1,771,0,3,774,0
112,330,36,5,318,1,0,0,2,2,302,0,0,0,0,0,1,3,0,0,1000,0,3,1003,0
113,304,14,1,255,1,2,0,1,3,272,0,0,0,1,1,1,2,0,0,858,0,1,859,0
114,250,17,1,190,2,0,1,0,0,158,0,0,0,0,0,0,0,0,0,619,0,0,619,0
115,232,10,1,130,1,3,0,1,4,243,0,0,0,0,1,0,2,0,0,628,0,0,628,0
116,141,8,0,105,0,0,0,0,0,118,0,0,0,0,1,1,1,0,0,375,0,0,375,0
117,311,22,1,264,1,1,0,0,2,297,2,1,1,0,1,0,0,1,0,905,0,3,908,0
118,97,8,1,74,0,0,1,0,0,87,0,0,0,0,0,0,0,0,0,268,0,0,268,0
119,232,10,1,244,0,0,0,0,0,223,0,0,1,0,0,0,0,0,0,711,0,2,713,0
120,193,23,2,274,0,0,0,0,0,243,0,0,2,0,0,1,0,1,0,739,0,1,740,0
121,255,25,0,285,1,0,1,0,3,247,1,0,0,0,2,0,0,0,0,820,0,1,821,0
122,238,27,0,325,0,1,0,0,1,269,0,1,1,1,0,2,0,0,0,866,0,1,867,0
123,196,37,3,411,3,4,0,1,2,311,0,0,0,1,0,0,2,1,0,972,0,2,974,0
124,205,22,2,239,1,0,0,2,0,242,0,0,0,0,0,2,1,0,0,716,0,2,718,0
125,226,13,0,272,1,0,0,0,0,155,0,0,0,0,0,1,2,1,0,671,0,0,671,0
126,283,16,0,336,1,0,0,2,0,328,0,0,1,0,0,3,2,0,0,972,0,2,974,0
127,218,25,1,253,0,1,1,3,1,279,0,0,2,0,1,0,1,0,1,787,0,4,791,0
128,199,36,2,265,0,0,0,2,2,249,1,1,0,1,0,0,0,1,0,759,0,4,763,0
129,163,16,1,227,4,0,2,1,0,292,0,2,0,1,1,4,1,4,0,719,0,1,720,0
130,211,14,1,215,0,0,0,1,2,184,0,1,0,0,0,0,0,1,0,630,0,1,631,0
131,179,8,0,159,0,2,0,1,1,176,0,1,0,0,0,1,1,1,1,531,0,2,533,0
132,197,6,1,223,2,7,0,0,1,92,0,1,0,0,1,1,1,0,0,533,0,1,534,0
133,265,21,1,233,2,4,0,2,0,336,1,0,1,0,1,2,3,0,1,873,0,1,874,0
134,254,25,0,316,1,0,1,3,2,283,1,0,2,0,2,3,2,0,0,895,0,3,898,0
135,203,20,1,226,0,1,0,1,0,182,1,0,0,0,1,1,3,0,0,640,0,4,644,0
136,169,22,2,195,0,1,0,0,0,194,0,0,0,0,0,1,2,0,0,586,0,0,586,0
137,183,21,0,287,2,0,0,1,1,228,0,0,3,0,0,1,0,0,0,727,0,3,730,0
138,163,23,1,308,0,0,1,2,1,226,0,0,1,0,1,1,2,0,0,730,0,0,730,0
139,106,18,1,365,4,0,1,0,1,207,1,0,1,0,0,5,1,1,0,712,0,2,714,0
140,128,20,2,239,0,1,0,1,1,157,0,0,0,0,0,0,0,0,1,550,0,4,554,0
141,220,17,0,320,1,0,0,1,1,227,1,0,0,0,0,0,3,1,0,792,0,3,795,0
142,166,17,1,113,0,3,0,1,0,108,0,0,0,0,1,3,2,0,0,415,0,1,416,0
143,238,32,0,281,1,1,0,0,0,171,0,0,0,0,1,1,1,0,0,727,0,3,730,0
144,271,28,3,297,3,0,0,1,0,197,0,0,1,0,2,0,2,0,0,805,0,0,805,0
145,222,22,1,331,0,0,0,0,1,166,0,0,0,1,1,1,0,0,0,746,0,4,750,0
146,223,14,0,225,1,0,0,0,0,138,0,0,0,0,2,2,1,0,1,607,0,1,608,0
147,233,19,0,244,2,0,0,2,0,139,0,1,1,0,0,0,5,1,0,647,0,2,649,0
148,261,22,0,268,1,0,0,0,1,203,4,0,1,1,0,1,1,0,0,764,0,3,767,0
149,240,22,0,353,2,0,0,1,1,206,2,0,0,1,0,0,2,0,0,830,0,1,831,0
150,161,25,4,233,1,0,0,0,3,223,1,0,0,0,0,1,2,0,0,654,0,3,657,0
151,184,28,2,153,0,2,0,1,1,195,0,0,0,0,0,1,0,0,0,567,0,1,568,0
152,243,23,2,297,1,1,2,1,2,226,0,0,0,0,0,1,0,0,0,799,0,2,801,0
153,166,11,0,336,3,1,0,0,2,242,1,0,0,0,2,3,2,0,0,769,0,3,772,0
154,68,21,0,137,1,0,2,1,1,74,1,0,0,0,0,0,0,0,0,306,0,0,306,0
155,271,34,1,342,1,0,0,2,6,329,2,0,1,0,0,3,2,0,0,994,0,4,998,0
156,192,19,1,198,3,1,1,1,2,232,0,0,1,2,2,0,3,3,0,661,0,4,665,0
