Polling Station No,K. DEENU,A. RAMU,M. RAJU,C. THANGARAJU,C. DINESH KUMAR,D. VIDHYASAGAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
55,28,169,195,178,1,0,571,0,2,573,0
56,18,128,147,173,3,0,469,0,7,476,0
57,13,95,182,113,4,0,407,0,2,409,0
58,18,157,218,196,0,1,590,0,2,592,0
59,12,98,272,163,3,1,549,0,0,549,0
60,14,191,217,215,2,3,642,0,8,650,0
61,25,221,212,149,1,0,608,0,2,610,0
62,30,334,224,205,2,1,796,0,8,804,0
63,17,118,273,131,2,1,542,0,3,545,0
64,19,126,160,131,3,0,439,0,2,441,0
65,19,122,251,162,2,2,558,0,1,559,0
66,19,128,310,181,3,2,643,0,1,644,0
67,29,87,378,199,4,1,698,0,3,701,0
68,18,146,227,244,5,5,645,0,5,650,0
69,35,259,234,178,1,2,709,0,3,712,0
70,15,263,246,258,2,1,785,0,3,788,0
71,33,128,341,210,1,1,714,0,7,721,0
72,37,184,309,236,0,1,767,0,4,771,0
73,23,286,296,198,3,3,809,0,3,812,0
74,12,344,86,136,2,0,580,0,4,584,0
75,20,297,131,145,0,3,596,0,3,599,0
76,18,110,182,125,1,0,436,0,2,438,0
77,24,301,251,200,4,0,780,0,6,786,0
78,10,142,92,56,2,0,302,0,0,302,0
79,26,356,238,254,3,1,878,0,5,883,0
80,18,133,126,173,1,0,451,0,0,451,0
81,10,445,78,126,1,2,662,0,6,668,0
82,25,321,198,248,3,3,798,0,8,806,0
83,32,289,266,249,3,4,843,0,4,847,0
84,57,299,234,225,0,2,817,0,6,823,0
85,5,288,146,209,3,0,651,0,3,654,0
86,23,238,204,232,4,3,704,0,8,712,0
87,15,294,144,187,2,2,644,0,3,647,0
88,15,217,161,180,1,1,575,0,3,578,0
89,13,341,147,256,1,1,759,0,1,760,0
90,19,331,164,180,3,1,698,0,3,701,0
91,35,319,243,225,8,2,832,0,5,837,0
92,12,96,132,110,2,2,354,0,4,358,0
93,9,90,98,99,0,3,299,0,5,304,0
94,16,224,150,154,6,21,571,0,15,586,0
95,10,112,118,155,6,1,402,0,2,404,0
96,43,290,240,266,2,3,844,0,8,852,0
97,14,156,106,168,4,0,448,0,1,449,0
98,8,222,131,67,4,0,432,0,2,434,0
99,44,265,262,228,5,0,804,0,4,808,0
100,7,202,183,175,1,0,568,0,4,572,0
101,26,182,174,142,1,0,525,0,3,528,0
102,17,235,255,159,2,2,670,0,2,672,0
103,12,335,141,154,0,0,642,0,4,646,0
104,37,289,175,207,1,5,714,0,8,722,0
105,6,101,113,123,0,1,344,0,1,345,0
106,12,345,172,173,5,0,707,0,9,716,0
107,5,116,15,50,1,1,188,0,1,189,0
108,15,286,105,145,1,1,553,0,2,555,0
109,15,90,46,80,0,2,233,0,1,234,0
110,11,217,119,161,1,2,511,0,5,516,0
111,21,178,142,201,8,1,551,0,3,554,0
112,33,60,224,213,6,0,536,0,2,538,0
113,24,71,312,335,2,2,746,0,3,749,0
