Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,4,166,36,352,5,0,0,0,0,0,2,0,0,565,0,0,0,565
2,2,11,252,72,354,3,0,1,1,0,0,0,0,0,694,1,0,0,695
3,3,4,339,63,327,1,0,0,0,0,0,0,0,0,734,1,0,0,735
4,4,7,269,49,439,3,1,0,0,0,0,2,0,1,771,1,0,0,772
5,5,9,181,47,328,2,0,0,0,0,0,0,0,3,570,0,0,0,570
6,6,13,240,67,481,4,0,1,0,0,2,2,1,0,811,1,0,0,812
7,7,61,202,69,329,2,0,0,0,0,0,0,0,0,663,0,0,0,663
8,8,120,140,43,250,5,0,1,0,0,0,0,0,0,559,1,0,0,560
9,9,113,304,63,362,0,2,0,0,1,1,0,0,1,847,0,0,0,847
10,10,95,150,28,247,1,0,0,1,0,2,0,1,0,525,0,0,0,525
11,11,41,156,39,252,2,1,1,0,0,0,0,0,0,492,0,0,0,492
12,12,18,264,77,427,2,0,1,0,0,0,3,0,0,792,1,0,0,793
13,13,56,170,34,191,1,1,0,0,0,2,0,0,0,455,0,0,0,455
14,14,18,266,21,184,2,0,0,0,0,1,0,1,1,494,0,0,0,494
15,15,3,200,28,408,4,0,1,0,0,0,3,0,1,648,0,0,0,648
16,16,3,220,32,364,3,5,0,0,0,0,2,0,3,632,1,0,0,633
17,17,13,160,36,331,0,1,0,0,0,0,1,0,0,542,1,0,0,543
18,18,5,250,39,382,0,1,0,0,0,0,1,2,1,681,1,0,0,682
19,19,6,174,43,267,2,1,0,0,0,1,1,0,1,496,2,0,0,498
20,20,31,287,34,234,1,1,2,0,0,0,0,0,0,590,4,0,0,594
21,21,46,156,29,181,2,0,0,0,0,2,1,0,1,418,2,0,0,420
22,22,61,315,41,208,0,0,0,0,1,2,0,0,0,628,3,0,0,631
23,23,100,140,6,106,2,0,0,0,0,0,0,0,1,355,0,0,0,355
24,24,69,257,26,233,0,0,0,0,0,0,2,0,0,587,0,0,0,587
25,25,77,216,21,228,2,0,0,0,0,1,1,0,0,546,2,0,0,548
26,26,15,146,17,98,0,1,0,0,0,1,0,0,1,279,2,0,0,281
27,27,38,336,31,242,3,0,1,0,0,1,1,0,2,655,2,0,0,657
28,28,9,163,16,112,0,0,0,0,0,0,1,0,0,301,1,0,0,302
29,29,20,332,50,296,1,1,1,1,0,0,1,2,0,705,2,0,0,707
30,30,179,137,23,188,6,0,0,0,0,0,0,0,1,534,1,0,0,535
31,31,210,162,20,230,6,1,1,1,0,2,0,1,0,634,4,0,0,638
32,32,39,258,38,235,1,1,0,1,0,1,0,1,0,575,0,0,0,575
33,33,234,187,15,251,3,0,0,0,1,0,0,0,1,692,6,0,0,698
34,34,28,413,51,279,4,0,0,0,0,3,2,0,0,780,1,0,0,781
35,35,176,161,31,284,1,0,1,1,0,1,1,1,2,660,2,0,0,662
36,36,75,118,12,137,1,0,0,0,1,1,0,0,0,345,4,0,0,349
37,37,57,233,15,213,2,0,0,0,1,0,0,0,2,523,2,0,0,525
38,38,72,178,15,137,1,0,0,0,1,0,0,0,0,404,3,0,0,407
39,39,79,189,18,196,1,0,0,1,0,1,0,1,0,486,2,0,0,488
40,40,40,369,50,251,2,0,0,0,0,0,0,0,0,712,0,0,0,712
41,41,17,235,34,199,1,0,0,0,0,0,1,2,0,489,0,0,0,489
42,42,50,210,55,179,1,0,0,0,0,0,1,1,0,497,2,0,0,499
43,43,35,312,31,232,2,0,0,0,0,1,0,0,1,614,2,0,0,616
44,44,29,406,52,282,3,1,0,0,1,1,1,2,2,780,2,0,0,782
45,45,25,273,40,191,2,0,0,0,0,0,0,0,0,531,1,0,0,532
46,46,24,294,23,116,1,1,0,0,0,0,1,0,3,463,1,0,0,464
47,47,27,479,40,157,0,0,0,0,1,0,1,0,0,705,0,0,0,705
48,48,147,269,46,210,4,0,0,0,1,0,0,0,1,678,5,0,0,683
49,49,49,347,35,294,1,1,0,0,0,0,1,2,0,730,0,0,0,730
50,50,92,350,36,266,2,7,0,1,0,3,2,1,1,761,4,0,0,765
51,51,26,393,41,153,0,17,0,0,0,0,1,2,0,633,0,0,0,633
52,52,44,251,73,375,1,0,0,0,1,1,0,1,1,748,3,0,0,751
53,53,20,175,22,164,1,0,2,0,0,0,0,2,0,386,1,0,0,387
54,54,72,154,40,150,0,1,0,1,3,0,1,0,1,423,0,0,0,423
55,55,160,143,43,202,1,1,2,1,16,0,2,0,1,572,0,0,0,572
56,56,7,202,22,175,0,0,0,0,0,0,0,0,0,406,0,0,0,406
57,57,26,231,27,141,0,0,0,0,1,0,0,0,0,426,0,0,0,426
58,58,107,81,22,172,2,1,0,0,2,0,0,0,0,387,3,0,0,390
59,59,234,107,30,243,1,1,1,0,3,3,3,2,0,628,5,0,0,633
60,60,233,185,22,362,1,2,1,0,3,0,1,2,2,814,3,0,0,817
61,61,79,91,11,230,4,0,0,0,0,1,2,1,0,419,7,0,0,426
62,62,80,142,11,164,0,0,0,0,1,0,0,1,0,399,1,0,0,400
63,63,236,221,29,326,4,1,0,0,2,0,1,1,4,825,2,0,0,827
64,64,146,284,75,314,5,1,1,1,4,0,1,2,1,835,1,0,0,836
65,65,135,189,23,177,1,0,0,0,0,0,1,0,0,526,5,0,0,531
66,66,162,89,8,143,1,1,1,0,0,1,2,0,1,409,1,0,0,410
67,67,3,119,17,236,0,0,4,0,0,0,0,0,0,379,0,0,0,379
68,68,12,152,21,269,0,0,0,0,0,0,0,0,2,456,1,0,0,457
69,69,15,249,21,350,0,1,0,1,0,0,0,0,0,637,3,0,0,640
70,70,9,187,23,325,2,0,0,0,0,1,2,0,0,549,1,0,0,550
71,71,18,274,42,351,0,1,0,0,0,1,3,0,2,692,4,0,0,696
72,72,17,180,16,281,1,0,1,0,1,2,1,0,0,500,3,0,0,503
73,73,9,137,15,271,0,0,0,0,0,0,0,0,2,434,1,0,0,435
74,74,11,239,28,292,1,0,0,0,0,1,1,0,1,574,0,0,0,574
75,75,16,289,23,330,0,0,1,0,0,0,0,0,0,659,1,0,0,660
76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,9,217,36,318,1,0,0,0,0,0,1,0,2,584,0,0,0,584
78,78,10,121,42,305,3,0,0,0,0,0,1,0,0,482,0,0,0,482
79,79,9,171,32,245,3,1,0,0,0,1,0,0,0,462,0,0,0,462
80,80,43,212,73,415,1,0,0,0,0,0,2,1,1,748,3,0,0,751
81,81,4,178,36,328,2,0,1,0,0,3,4,1,0,557,0,0,0,557
82,82,4,174,59,340,2,1,0,1,2,0,3,2,0,588,1,0,0,589
83,83,7,271,67,334,0,1,0,0,2,0,2,0,2,686,0,0,0,686
84,84,63,113,7,161,3,0,0,0,0,0,0,1,0,348,0,0,0,348
85,85,7,154,24,174,0,0,0,0,0,0,1,0,1,361,0,0,0,361
86,86,13,263,35,385,1,0,1,0,2,1,3,0,1,705,3,0,0,708
87,87,73,289,37,263,2,1,0,0,0,0,1,0,0,666,4,0,0,670
88,88,82,225,31,267,3,1,0,0,0,1,0,0,2,612,0,0,0,612
89,89,29,370,17,194,3,0,0,0,0,0,0,1,1,615,1,0,0,616
90,90,95,255,31,262,2,0,0,1,2,0,2,0,1,651,2,0,0,653
91,91,90,321,26,175,1,0,0,1,0,0,0,0,0,614,1,0,0,615
92,92,78,383,34,335,2,1,0,0,1,0,2,0,2,838,1,0,0,839
93,93,48,326,27,212,3,0,0,0,0,0,0,0,0,616,3,0,0,619
94,94,15,378,47,211,0,0,0,1,0,0,0,0,1,653,1,0,0,654
95,95,35,353,24,205,3,0,0,0,1,0,0,0,0,621,2,0,0,623
96,96,76,479,46,262,2,1,0,0,0,0,0,1,1,868,3,0,0,871
97,97,41,211,25,149,1,1,0,0,0,1,0,2,0,431,6,0,0,437
98,98,17,321,80,203,0,0,1,0,0,0,0,0,1,623,2,0,0,625
99,99,65,386,45,206,2,0,0,0,0,0,1,2,0,707,3,0,0,710
100,100,74,367,50,247,3,1,1,0,0,0,0,0,0,743,1,0,0,744
101,101,63,248,47,178,1,0,0,0,0,0,0,1,0,538,3,0,0,541
102,102,148,161,39,201,2,0,0,0,1,1,0,0,0,553,5,0,0,558
103,103,257,204,38,280,0,0,0,0,2,1,0,0,2,784,2,0,0,786
104,104,260,218,15,206,1,2,0,0,0,0,0,1,2,705,2,0,0,707
105,105,49,211,14,214,0,1,0,0,0,2,1,0,1,493,1,0,0,494
106,106,196,212,26,176,3,0,0,0,1,0,0,0,2,616,2,0,0,618
107,107,123,276,47,231,1,0,0,0,0,1,0,0,2,681,2,0,0,683
108,108,127,134,24,134,3,1,0,0,0,0,0,0,0,423,5,0,0,428
109,109,149,191,31,219,1,0,1,1,1,0,1,3,0,598,4,0,0,602
110,110,286,179,25,341,3,0,0,0,0,3,1,0,2,840,3,0,0,843
111,111,73,161,30,134,2,0,0,0,0,0,0,0,1,401,1,0,0,402
