Polling Station No,M.ARUNKUMAR,S.KIRTHIKA,S.SENTHILNATHAN,K.MUNIYAPPAN,R.KARTHIKEYAN,D.SHANMUGAN,M.RAMESH,M.RAVIKUMAR,A.KATHIRVEL,K.DHANABAL,A.DURAISAMY,R.NATARAJAN,L.BHARATHI,R.VELUSAMY,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,17,138,148,1,1,158,2,0,0,1,0,1,0,2,469,0,0,469,0
2,9,149,128,1,1,172,0,0,0,2,0,0,0,0,462,0,1,463,0
3,17,148,158,0,0,179,0,1,0,0,0,0,1,0,504,0,0,504,0
4,22,110,182,1,3,142,0,0,0,0,0,0,0,1,461,0,4,465,0
5,35,217,243,1,2,331,0,1,0,0,0,1,2,0,833,0,10,843,0
6,30,164,218,3,1,269,0,0,0,1,0,0,2,0,688,0,2,690,0
7,25,131,137,1,0,256,0,0,0,2,0,0,0,0,552,0,0,552,0
8,22,141,176,0,4,236,0,0,1,0,0,0,1,1,582,0,5,587,0
9,39,245,298,2,15,331,1,0,1,1,0,1,2,1,937,0,4,941,0
10,41,258,161,4,3,258,0,1,0,2,0,0,2,1,731,0,3,734,0
11,46,157,206,3,3,299,2,3,0,0,0,1,0,3,723,0,3,726,0
12,24,150,260,14,11,313,4,1,4,2,0,2,3,2,790,0,2,792,0
13,29,148,150,0,3,238,3,1,0,1,0,0,3,2,578,0,0,578,0
14,39,123,144,1,2,194,0,0,0,1,0,0,0,1,505,0,2,507,0
15,20,103,205,0,2,308,0,3,0,0,2,1,0,4,648,0,6,654,0
16,25,152,210,1,4,360,0,2,2,1,0,3,2,0,762,0,8,770,0
17,10,107,142,3,2,307,1,0,0,0,2,0,2,2,578,0,4,582,0
18,27,208,200,3,6,298,0,0,0,0,0,0,0,3,745,0,2,747,0
19,31,262,178,3,3,334,1,1,0,0,0,0,0,0,813,0,6,819,0
20,26,103,170,1,1,261,0,0,0,0,2,0,2,1,567,0,3,570,0
21,17,189,133,0,1,189,1,0,0,0,3,0,2,1,536,0,2,538,0
22,43,180,262,2,1,353,1,1,2,2,2,1,2,6,858,0,6,864,0
23,31,151,291,1,3,352,0,1,2,0,1,0,0,1,834,0,1,835,0
24,27,155,170,0,0,222,0,0,1,0,0,0,0,0,575,0,1,576,0
25,10,117,86,0,2,99,0,0,1,1,2,2,0,3,323,0,3,326,0
26,12,48,115,2,2,195,1,2,2,1,1,1,0,0,382,0,3,385,0
27,20,67,218,2,2,317,0,0,1,0,1,0,2,1,631,0,2,633,0
28,23,98,130,1,5,249,0,0,3,4,0,1,9,5,528,0,1,529,0
29,36,149,162,4,0,332,4,1,1,1,1,0,3,1,695,0,8,703,0
30,32,136,241,0,1,371,0,1,0,1,0,0,0,1,784,0,3,787,0
31,28,236,189,0,2,258,0,0,0,2,0,0,0,1,716,0,4,720,0
32,26,175,165,0,0,267,0,0,0,2,1,0,0,0,636,0,1,637,0
33,19,184,141,0,0,211,0,0,0,0,2,1,1,5,564,0,2,566,0
34,14,336,204,0,2,177,0,2,0,2,0,0,0,4,741,0,2,743,0
35,31,233,210,7,5,320,0,1,1,2,2,3,3,9,827,0,9,836,0
36,19,111,98,2,0,189,0,0,0,0,0,0,2,0,421,0,3,424,0
37,29,112,240,2,2,344,2,2,0,1,2,0,2,5,743,0,5,748,0
