Polling Station No,Polling Station No.,D.NAJAR IALIAK.RD,S.IHZOMNEHT,S.IHTOJAGAN,M.IMHSKALAJAR,R.RANAYYA,G.NAGALABNA,P.RAKNAS,.L.B .A.B P.MAVLES,A.NAPPALA,S.HAIAPPURAK,K.MALLEHC,N.LAMUREP,P.NADNAKINAM,M.NARAHONAM,.NAYIDNAPAYAJIV M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,26,180,116,4,88,0,0,2,0,0,1,0,1,0,0,418,0,1,419,0
2,2,13,164,51,1,77,0,0,0,0,0,0,0,2,0,1,309,0,1,310,0
3,3,26,211,181,0,166,1,0,5,1,0,1,0,3,2,0,597,0,3,600,0
4,4,17,200,173,2,97,1,0,3,0,0,4,0,2,0,1,500,0,1,501,0
5,5,22,197,309,2,122,0,1,2,0,0,2,1,3,5,0,666,0,2,668,0
6,6,27,131,172,1,156,5,0,6,4,0,0,1,2,0,3,508,0,2,510,0
7,7,18,162,179,0,171,0,2,3,0,0,0,2,3,0,1,541,0,0,541,0
8,8,43,131,279,0,337,0,11,0,1,0,1,1,0,1,1,806,0,4,810,0
9,9,21,92,196,0,176,0,0,4,0,0,0,0,0,0,1,490,0,2,492,0
10,10,20,106,244,0,238,2,0,0,1,0,1,0,0,0,0,612,0,1,613,0
11,11,29,80,187,1,300,0,0,2,0,0,0,0,0,0,1,600,0,5,605,0
12,12,14,86,200,0,166,2,2,0,0,0,0,0,1,1,1,473,0,1,474,0
13,13,32,121,138,1,183,1,0,3,1,1,0,1,1,0,0,483,0,4,487,0
14,14,15,74,95,0,99,1,0,3,1,0,0,0,0,1,0,289,0,1,290,0
15,15,51,177,244,1,233,1,0,5,1,0,0,0,0,0,1,714,0,5,719,0
16,16,49,121,252,1,273,0,1,7,0,0,0,0,0,1,0,705,0,3,708,0
17,17,38,177,198,0,373,0,0,4,0,0,0,2,1,0,4,797,0,2,799,0
18,18,8,63,174,0,192,2,0,1,0,0,0,0,2,0,3,445,0,1,446,0
19,19,13,79,194,0,176,1,0,1,1,0,0,0,0,0,0,465,0,0,465,0
20,20,19,99,175,0,327,2,1,4,1,0,1,1,1,1,2,634,0,3,637,0
21,21,34,161,209,1,234,1,0,2,0,0,1,1,0,1,0,645,0,3,648,0
22,22,22,162,309,1,164,1,0,2,1,0,2,0,2,3,2,671,0,1,672,0
23,23,15,52,209,2,106,0,1,1,1,0,0,0,0,3,2,392,0,1,393,0
24,24,25,126,210,1,141,0,0,5,1,0,0,0,2,0,0,511,0,3,514,0
25,25,29,133,306,0,226,3,0,3,0,0,1,1,2,2,1,707,0,2,709,0
26,26,22,118,335,2,127,0,0,2,1,0,1,0,0,0,0,608,0,1,609,0
27,27,34,149,343,0,174,3,2,4,0,0,0,1,0,1,1,712,0,3,715,0
28,28,11,113,187,1,389,1,1,2,0,0,0,0,0,1,0,706,0,3,709,0
29,29,16,93,147,0,234,1,0,1,0,0,0,2,2,0,1,497,0,2,499,0
30,30,29,131,267,0,302,2,2,2,0,0,0,1,0,0,0,736,0,4,740,0
31,31,48,170,292,2,294,0,0,4,1,1,1,1,1,1,2,818,0,6,824,0
32,32,29,134,318,6,265,0,1,1,2,2,0,1,4,4,2,769,0,1,770,0
33,33,26,131,417,1,221,0,0,4,1,0,1,1,2,2,1,808,0,3,811,0
34,34,36,99,354,1,226,2,9,3,3,1,0,1,8,4,7,754,0,2,756,0
35,35,51,277,182,1,235,1,0,4,1,0,2,1,5,4,4,768,0,1,769,0
36,36,30,194,277,7,233,0,4,3,1,0,1,0,9,2,1,762,0,1,763,0
37,37,15,238,169,2,211,1,2,0,0,0,2,2,3,2,1,648,0,0,648,0
38,38,22,123,105,1,166,3,0,1,0,0,0,1,0,0,0,422,0,2,424,0
39,39,80,156,256,4,268,1,7,8,1,0,1,1,1,2,1,787,0,2,789,0
40,40,47,97,223,1,225,3,10,8,1,1,2,0,1,1,0,620,0,4,624,0
41,41,30,282,242,3,360,2,1,2,1,0,1,1,3,0,1,929,0,1,930,0
42,42,7,102,117,0,72,0,0,1,0,0,0,0,0,0,0,299,0,0,299,0
43,43,13,164,178,1,229,6,0,2,2,1,0,1,2,1,0,600,0,2,602,0
44,44,22,139,272,2,420,0,1,2,0,0,1,1,0,1,0,861,0,2,863,0
45,45,23,287,227,2,346,2,1,1,1,0,0,1,0,0,1,892,0,1,893,0
46,46,24,196,158,3,252,0,0,1,0,0,0,2,2,0,2,640,0,3,643,0
47,47,17,116,260,4,287,1,0,4,0,0,0,0,2,1,1,693,0,0,693,0
48,48,8,60,227,1,171,0,0,1,0,0,0,0,1,0,1,470,0,0,470,0
49,49,15,185,218,0,179,6,1,3,1,0,1,0,2,0,0,611,0,1,612,0
50,50,14,165,267,1,120,0,2,1,3,0,0,0,1,0,0,574,0,0,574,0
51,51,29,170,186,0,225,3,0,1,1,1,0,1,0,0,4,621,0,2,623,0
52,52,24,243,228,2,212,3,0,2,2,0,0,1,1,1,3,722,0,0,722,0
53,53,32,272,238,4,265,1,1,3,1,1,0,3,0,7,2,830,0,1,831,0
54,54,11,108,186,1,102,0,1,3,0,0,2,0,0,0,2,416,0,1,417,0
55,55,24,188,396,2,154,1,3,4,3,0,0,0,9,3,2,789,0,5,794,0
56,56,23,164,330,1,272,2,0,1,2,0,1,1,0,1,0,798,0,2,800,0
57,57,41,193,242,0,300,5,1,2,1,0,1,3,1,1,1,792,0,1,793,0
58,58,30,107,283,5,256,1,2,4,1,0,1,1,0,2,1,694,0,0,694,0
59,59,25,129,249,1,172,1,1,1,0,0,1,1,1,2,1,585,0,0,585,0
60,60,19,110,247,0,229,0,0,1,0,0,3,0,1,0,1,611,0,4,615,0
61,61,11,82,127,0,110,1,0,2,0,0,0,0,0,1,0,334,0,0,334,0
62,62,14,89,186,0,170,2,0,2,1,0,0,0,1,0,1,466,0,2,468,0
63,63,25,65,141,0,152,0,0,1,1,0,0,0,0,1,2,388,0,2,390,0
64,64,9,82,314,0,162,6,0,0,1,0,0,0,0,0,1,575,0,6,581,0
65,65,10,66,154,0,83,1,0,0,0,0,0,0,1,0,0,315,0,1,316,0
66,66,18,140,233,1,204,0,0,1,1,0,0,0,1,0,0,599,0,1,600,0
67,67,19,168,229,0,227,1,0,2,0,1,0,0,1,0,0,648,0,4,652,0
68,68,8,109,452,0,181,0,0,1,0,0,0,0,0,0,1,752,0,3,755,0
69,69,24,102,321,2,160,2,0,2,0,0,0,1,1,0,0,615,0,5,620,0
70,70,14,153,256,1,215,0,0,1,1,0,0,0,0,0,1,642,0,0,642,0
71,71,17,100,334,1,194,0,0,4,0,0,0,0,1,0,0,651,0,2,653,0
72,72,13,78,321,4,102,1,0,1,2,0,0,0,2,1,4,529,0,0,529,0
73,73,19,106,319,5,309,3,0,1,0,0,0,0,0,0,0,762,0,4,766,0
74,74,9,91,250,1,180,1,1,1,2,0,1,0,1,0,1,539,0,1,540,0
75,75,15,74,241,1,210,1,0,2,1,0,0,0,0,0,1,546,0,1,547,0
76,76,23,229,278,1,172,1,0,1,0,0,0,1,0,1,0,707,0,1,708,0
77,77,31,117,275,3,248,2,0,1,0,1,0,0,2,0,2,682,0,1,683,0
78,78,21,83,226,0,159,1,0,0,1,0,0,0,0,0,1,492,0,2,494,0
79,79,17,114,209,1,226,0,0,1,1,0,0,0,1,0,0,570,0,2,572,0
80,80,10,112,164,0,144,3,0,3,0,0,0,0,0,1,0,437,0,2,439,0
81,81,27,268,286,2,243,0,6,4,0,0,0,1,2,1,1,841,0,2,843,0
82,82,72,158,409,1,201,1,10,6,1,0,1,0,1,2,2,865,0,5,870,0
83,83,24,112,155,1,135,0,4,1,1,1,0,0,1,1,0,436,0,2,438,0
84,84,12,250,192,0,263,0,0,1,0,0,0,0,2,1,1,722,0,4,726,0
85,85,17,207,212,3,175,0,4,3,0,0,0,0,2,0,0,623,0,4,627,0
86,86,19,114,223,2,158,2,4,1,0,0,0,1,1,2,0,527,0,2,529,0
87,87,14,209,188,0,216,2,0,5,2,0,0,1,2,0,0,639,0,2,641,0
88,88,17,231,313,1,164,0,6,0,0,0,0,1,0,2,2,737,0,0,737,0
89,89,28,140,382,1,122,0,26,2,2,0,0,0,1,2,4,710,0,4,714,0
90,90,43,126,358,4,173,0,20,2,1,0,1,2,2,0,3,735,0,3,738,0
91,91,26,203,388,2,216,0,6,0,1,0,0,2,1,3,5,853,0,2,855,0
92,92,84,236,287,2,266,1,4,4,2,1,0,0,0,1,4,892,0,1,893,0
93,93,32,191,166,1,157,1,2,5,1,0,0,1,2,1,6,566,0,0,566,0
94,94,27,148,151,3,188,4,1,5,0,0,1,2,1,1,0,532,0,0,532,0
95,95,24,200,231,0,231,1,4,0,0,1,1,0,3,4,1,701,0,0,701,0
96,96,28,250,239,2,226,0,1,0,1,0,1,2,2,1,2,755,0,4,759,0
97,97,65,175,244,4,216,0,1,3,1,0,1,0,3,2,2,717,0,3,720,0
98,98,13,180,131,2,73,0,2,1,4,0,2,2,5,4,0,419,0,4,423,0
99,99,32,307,219,2,346,4,4,0,2,1,0,3,3,4,1,928,0,1,929,0
100,100,14,338,191,2,218,0,0,0,0,0,1,1,1,0,1,767,0,5,772,0
101,101,19,252,347,4,259,0,0,1,0,0,0,1,2,0,3,888,0,4,892,0
102,102,11,423,204,1,164,0,0,0,0,0,0,1,4,2,1,811,0,0,811,0
103,103,14,246,221,5,206,3,0,3,1,0,0,2,5,1,2,709,0,0,709,0
104,104,20,246,146,1,251,1,0,0,2,0,2,1,2,0,0,672,0,2,674,0
105,105,31,150,174,6,174,1,0,1,2,0,0,0,2,4,6,551,0,4,555,0
106,106,25,142,222,4,261,7,0,2,1,0,1,2,1,1,1,670,0,6,676,0
107,107,30,263,177,1,345,2,0,0,2,2,1,1,3,1,2,830,0,1,831,0
108,108,19,152,71,0,189,1,0,3,0,0,0,0,0,1,0,436,0,2,438,0
109,109,15,224,143,3,109,3,0,4,1,0,0,0,0,1,0,503,0,1,504,0
110,110,20,241,218,2,199,1,0,1,1,0,1,1,3,2,0,690,0,1,691,0
111,111,29,156,199,1,186,1,0,4,2,0,1,2,7,3,1,592,0,2,594,0
112,112,21,164,210,1,181,0,0,1,2,0,1,0,1,2,3,587,0,1,588,0
113,113,20,302,250,2,244,0,0,2,0,0,2,0,1,0,3,826,0,3,829,0
114,114,29,216,227,0,180,0,0,2,0,1,0,0,3,1,2,661,0,0,661,0
115,115,30,167,182,0,161,2,0,6,0,0,0,1,2,1,0,552,0,1,553,0
116,116,24,236,165,1,98,2,0,1,0,0,0,0,0,0,0,527,0,0,527,0
117,117,20,94,99,1,159,0,0,5,1,0,0,0,1,0,0,380,0,5,385,0
118,118,21,218,161,5,215,5,0,3,0,1,0,0,3,0,2,634,0,0,634,0
119,119,20,191,245,1,182,0,0,0,1,0,2,2,3,1,1,649,0,2,651,0
120,120,54,324,256,1,293,2,0,4,0,0,0,0,3,2,0,939,0,1,940,0
121,121,48,124,230,1,102,0,2,2,0,0,0,0,1,2,0,512,0,1,513,0
122,122,35,290,171,1,177,1,0,3,2,0,0,0,0,1,3,684,0,0,684,0
123,123,5,111,213,2,138,0,0,2,0,1,0,0,1,1,1,475,0,1,476,0
124,124,36,272,226,0,143,6,0,2,0,0,1,1,4,0,1,692,0,1,693,0
125,125,27,210,314,2,181,1,0,2,1,0,0,2,1,4,2,747,0,2,749,0
126,126,11,174,238,1,85,4,0,0,0,1,0,0,2,0,0,516,0,1,517,0
127,127,31,151,188,0,200,3,1,3,2,0,0,2,1,1,2,585,0,2,587,0
128,128,19,115,180,0,169,1,0,1,0,1,0,2,2,2,2,494,0,1,495,0
129,129,48,270,297,6,254,12,0,7,1,0,3,2,7,3,3,913,0,2,915,0
130,130,39,107,213,2,310,1,2,5,1,0,1,0,1,1,0,683,0,3,686,0
