Polling Station No,Polling,C .NASAVINEERS,.RAMUKLIHTNES P.I,S .ISARAHTUM,NANHSIRK S .IALLIP IPOG,B.HTEERAB KIEHS,G .AJAR REEZAN,M .PEEDARP,P .RAVEHTUMAR,M .UBAB SINA,J .SSAD AIKCORA,R .ILA RAMU,.LAMUREP HSENAG D,R .MAGEMRAK,M .AYNARAS,P .NASAVINEES,IHTINAYAHDAVLES M .,N .JARAGAN,S .UBAB,M .NAPPAYINUM,G .NARDNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,158,257,24,1,0,247,2,0,0,0,0,1,0,0,1,0,0,2,0,0,693,0,3,696,0
2,2,192,237,32,0,0,211,0,2,2,0,2,1,0,1,5,13,3,0,0,1,702,0,4,706,0
3,3,269,236,22,2,0,290,1,0,0,0,2,0,1,1,0,1,0,2,0,1,828,0,2,830,0
4,4,87,65,15,0,0,118,0,1,0,0,0,0,0,0,0,0,1,0,0,0,287,0,0,287,0
5,5,219,217,39,0,1,350,0,0,0,1,0,1,0,0,0,0,0,0,0,0,828,0,1,829,0
6,6,185,287,44,0,4,288,3,2,1,0,2,1,2,1,1,1,1,2,0,0,825,0,4,829,0
7,7,310,249,40,0,0,386,0,0,0,0,1,0,0,0,0,3,1,0,0,0,990,0,1,991,0
8,8,221,189,36,1,2,274,0,0,0,1,0,0,0,0,0,2,1,2,1,0,730,0,4,734,0
9,9,162,211,32,0,1,276,2,3,0,1,2,1,1,0,0,0,0,0,0,0,692,0,5,697,0
10,10,178,198,27,1,0,203,1,0,0,0,0,0,1,2,0,0,1,0,0,0,612,0,8,620,0
11,11,328,233,35,0,0,298,3,1,0,0,0,0,0,2,4,4,0,0,0,0,908,0,3,911,0
12,12,195,184,22,0,0,224,0,1,0,0,0,0,0,0,0,1,0,0,0,0,627,0,5,632,0
13,13,193,81,23,0,0,108,0,1,0,0,0,1,0,0,1,2,1,0,1,0,412,0,1,413,0
14,14,147,292,51,0,0,292,0,1,0,0,0,0,0,0,0,0,0,1,0,0,784,0,4,788,0
15,15,123,172,18,2,0,168,1,1,0,0,0,0,0,0,0,1,0,0,0,0,486,0,1,487,0
16,16,193,231,27,2,2,265,1,0,0,0,2,0,0,1,2,2,0,0,0,0,728,0,1,729,0
