Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,177,22,150,1,0,0,0,422,0,0,0,1,0,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,784,0,4,788,0
43,126,13,104,1,0,0,0,353,1,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,604,0,7,611,0
44,170,27,185,2,0,0,1,378,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,768,0,6,774,0
45,203,18,101,2,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,658,0,3,661,0
46,183,28,150,0,0,1,1,350,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,714,0,3,717,0
47,203,22,140,1,0,1,1,410,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,3,0,0,786,0,1,787,0
48,158,33,136,0,0,0,1,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,5,664,0
49,219,28,175,1,0,0,1,441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,868,0,6,874,0
50,143,21,117,1,0,0,2,346,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,633,0,3,636,0
51,123,24,111,1,0,0,2,268,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,534,0,7,541,0
52,95,12,96,3,1,1,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,3,399,0
53,150,30,149,3,0,0,0,372,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,707,0,6,713,0
54,220,23,148,3,0,2,0,418,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0,4,821,0
55,228,15,175,0,0,0,1,375,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,801,0,3,804,0
56,223,11,77,2,0,0,0,327,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,646,0,6,652,0
57,185,31,147,2,0,1,1,329,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,700,0,6,706,0
