Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Candidate_25,Candidate_26,Candidate_27,Candidate_28,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,143,146,3,35,0,0,326,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,6,6,666,0,666,0
2,110,275,0,28,1,0,233,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,2,2,2,657,0,657,0
3,120,180,1,31,1,1,199,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,6,6,546,0,546,0
4,105,77,2,21,0,0,217,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,426,0,426,0
5,157,131,1,33,0,0,264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,589,0,589,0
6,173,172,0,19,0,0,221,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3,3,595,0,595,0
7,230,114,0,39,0,1,333,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,3,3,724,0,724,0
8,152,108,0,21,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,4,545,0,545,0
9,96,65,1,19,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,5,379,0,379,0
10,133,86,0,28,1,0,347,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,1,0,2,0,0,1,1,606,0,606,0
11,233,87,1,24,1,2,365,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,722,0,722,0
12,227,118,0,27,1,0,362,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,1,1,0,1,1,1,746,0,746,0
13,237,133,0,48,0,0,317,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,744,0,744,0
14,147,199,2,27,1,0,244,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,4,4,630,0,630,0
15,138,194,0,37,0,0,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,569,0,569,0
16,157,172,0,32,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,560,0,560,0
17,165,188,0,39,0,0,240,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,5,5,643,0,643,0
18,189,155,2,34,0,1,245,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,7,7,638,0,638,0
19,182,143,1,45,0,0,205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,4,582,0,582,0
20,169,164,2,27,0,0,254,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,623,0,623,0
21,203,140,0,41,0,3,338,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,738,0,738,0
22,178,152,2,28,0,1,248,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,4,618,0,618,0
23,161,174,2,40,0,0,226,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,609,0,609,0
24,182,179,1,26,0,0,247,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,645,0,645,0
25,112,181,1,18,0,1,198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,517,0,517,0
26,176,156,1,31,0,0,263,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9,9,639,0,639,0
27,185,175,0,42,1,0,275,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,8,690,0,690,0
28,114,143,0,29,0,0,208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,500,0,500,0
29,128,114,0,25,1,1,205,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,480,0,480,0
30,186,125,1,34,0,0,252,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,5,5,608,0,608,0
31,137,115,0,37,0,1,196,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,491,0,491,0
32,168,124,0,28,0,3,256,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,4,4,589,0,589,0
33,103,74,0,10,0,0,200,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,3,397,0,397,0
34,153,136,1,20,0,0,233,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,3,3,552,0,552,0
35,190,164,0,23,0,0,256,2,1,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,1,0,0,1,1,644,0,644,0
36,203,146,2,41,0,0,280,1,0,0,0,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,6,6,687,0,687,0
37,244,143,1,40,0,3,296,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,8,8,741,0,741,0
38,157,147,1,25,0,0,238,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,577,0,577,0
39,186,119,1,22,0,0,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,568,0,568,0
40,164,115,0,21,1,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,521,0,521,0
41,142,124,0,32,0,0,227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,531,0,531,0
42,144,115,2,30,0,0,197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,494,0,494,0
43,142,171,1,37,1,1,297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,10,663,0,663,0
44,195,166,1,35,1,0,250,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,3,656,0,656,0
45,182,144,0,37,0,0,294,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,2,663,0,663,0
46,246,166,1,64,0,1,372,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,6,861,0,861,0
47,218,147,1,42,0,0,244,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,657,0,657,0
48,190,131,0,36,0,0,240,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,5,606,0,606,0
49,154,93,0,20,1,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,491,0,491,0
50,167,165,1,32,0,1,231,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,613,0,613,0
51,172,134,2,27,0,1,297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,637,0,637,0
52,143,140,1,22,0,0,218,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,530,0,530,0
53,246,151,1,37,1,0,279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,720,0,720,0
54,195,143,0,28,1,0,322,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,2,698,0,698,0
55,161,153,0,29,0,1,290,4,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,7,7,651,0,651,0
56,204,133,0,43,0,0,261,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,4,649,0,649,0
57,154,201,0,32,0,0,290,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,3,688,0,688,0
58,198,157,0,49,0,0,284,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,694,0,694,0
59,184,187,0,35,1,0,297,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,715,0,715,0
60,176,145,1,39,0,1,271,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,7,643,0,643,0
61,110,253,0,29,0,0,232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,631,0,631,0
62,98,285,0,22,0,0,233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,643,0,643,0
63,138,247,1,38,0,0,298,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,3,732,0,732,0
64,134,174,0,34,1,0,217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,568,0,568,0
65,194,166,0,24,1,0,285,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,673,0,673,0
